1.2,1.2,-30.925,-37.525,-54.587,-50.532,-67.05,-70.16,-71.063,-61.112,-74.558,-63,-61,-79.645,-69.605,-86.944,-77.906,-85.123,-87,-78.85,0.77582,1.5176,1.1329,1.0107,2.1282,1.48,2.6667,1.896,1.8317,2.6263,3.7934,1.216,1.1085,2.0416,1.6439,0.98326,0.8165,1.9553
3.6,1.2,-34.405,-45.625,-54.85,-57.737,-71.487,-76.741,-64.737,-66.45,-67.416,-60.693,-65.05,-76.034,-74.232,-88.235,-79.561,-88.08,-87.4,-78.306,5.266,3.8331,0.91541,3.1613,2.7742,1.9517,2.145,3.4307,1.7944,5.6305,2.8414,1.1693,3.2529,3.5625,3.1547,1.5524,0.54772,2.8266
1.2,3.6,-36.425,-35.788,-59.313,-59.275,-70.213,-67.397,-69.525,-59.7,-69.263,-63.646,-64.195,-80.5,-68.836,-84.125,-74.519,-88.556,-84.333,-79.261,1.3386,4.4286,2.1735,5.8396,1.5727,1.4262,2.1757,3.0415,4.7085,3.9873,3.917,2.8828,3.4492,4.6585,1.4071,1.8467,0.5164,2.3985
3.6,3.6,-47.038,-39.291,-60.413,-50.304,-68.1,-70.983,-73.705,-67.114,-75.444,-62,-62.862,-77.175,-73.4,-88.4,-79.571,-86.167,-87.667,-76.714,6.2164,1.6025,2.2653,2.2666,1.0744,2.8066,2.3692,2.0127,2.6075,1.7205,1.2703,1.4158,2.6833,3.6271,2.6378,1.2673,0.5164,1.5407
1.2,6,-37.862,-39.038,-55.188,-54.775,-68,-64.286,-70.658,-63.712,-61.805,-59.026,-51.612,-71.98,-66.652,-84.933,-76.061,-87.5,-88,-79.4,3.5031,3.0624,1.6389,3.9038,2.4287,1.2238,3.4711,1.8973,1.9128,1.5642,1.6342,0.96933,0.9937,5.3247,5.2178,0.52223,0.89443,1.1425
3.6,6,-33.462,-39.55,-52.225,-47.949,-66.237,-64.804,-61.212,-51.638,-65.171,-51.888,-49.772,-74.214,-65.698,-81.95,-72.847,-85.667,-86,-74.469,4.5142,10.401,1.2424,1.4041,1.6932,0.84034,4.1145,0.9579,2.0849,5.1015,1.1317,1.5953,1.2133,1.9474,3.7177,0.5164,0.89443,3.4076
1.2,8.4,-35.225,-41.275,-55.225,-50.167,-66.537,-65.281,-66.372,-66.434,-57.974,-54.75,-47.797,-69.489,-59.72,-75.981,-68.246,-84.333,-84.833,-71.027,0.74587,5.772,3.0975,2.9073,1.3589,1.6759,2.2684,3.2592,3.8138,4.385,0.96582,1.9496,5.1401,4.8115,3.0202,1.3663,1.1146,2.1014
3.6,8.4,-45.587,-32.675,-54.175,-49.362,-62.179,-72.615,-64.633,-56.513,-57.553,-47.737,-47.228,-64.451,-57.208,-74.246,-73.174,-80.645,-85,-70.764,2.4479,7.4575,1.9407,2.1302,1.2766,1.3009,2.9272,3.1381,2.0291,5.7385,4.5091,2.4248,1.6353,1.9734,2.2554,1.4955,0,2.4568
6,8.4,-52.55,-36.35,-48.3,-49.329,-54.321,-65.037,-60.025,-57.05,-55.84,-44.85,-37.188,-62.312,-52.35,-73.385,-67.746,-78.514,-71.119,-71.109,4.2602,6.8734,1.3063,5.7439,0.65453,0.93087,5.0491,1.8065,4.2966,3.9654,0.98204,3.1383,4.1433,2.6792,1.834,2.0361,0.9423,2.068
8.4,8.4,-49.731,-34.125,-42.85,-49.263,-50.722,-72.02,-59.675,-52.375,-52.418,-50.237,-42.416,-62.261,-53.025,-70.794,-62.775,-77.667,-80.556,-66.326,4.9061,1.8098,1.1485,4.7859,1.2804,1.7145,2.3155,1.8985,1.5326,5.1095,3.6287,2.0555,3.9361,1.9932,3.464,4.1772,1.8222,5.1167
