GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
-1.18E-06,13.5064408735,-19.9622016397,1
-7.08E-07,13.4318200106,-19.3272712666,1
4.11E-07,13.4606860724,-19.3252159808,1
4.39E-07,12.8421711728,-19.587341503,1
-2.17E-07,13.7417261044,-19.328889839,1
2.16E-07,13.9646319225,-19.3339320846,1
9.39E-07,13.7157917736,-19.5984413184,1
6.84E-07,14.1121135436,-19.4206673298,1
2.35E-07,13.7973773786,-19.4197812513,1
-7.47E-07,14.299825434,-19.7017810976,1
-5.06E-07,14.1054520556,-19.5175508088,1
-7.08E-07,13.1834915753,-19.319189566,1
3.52E-07,13.798855891,-19.4184676048,1
6.61E-07,13.9053591328,-19.7837067381,1
1.18E-06,13.9072600619,-19.8739715849,1
2.13E-07,13.9330789296,-19.7850223146,1
3.50E-08,13.5199257863,-19.1440043169,1
6.61E-07,13.7685062823,-19.7847804802,1
-7.14E-07,13.5002147715,-19.8712980202,1
7.03E-07,13.4908887811,-19.5091578726,1
4.43E-07,13.9971140632,-19.6916296232,1
3.47E-07,13.9404755724,-19.7843059876,1
5.00E-08,13.68193057,-19.6903427379,1
1.01E-06,13.2941481041,-19.2323124744,1
2.86E-07,13.490202521,-19.3253520064,1
-1.11E-07,13.3801204073,-19.322325592,1
-1.24E-06,13.4629840336,-19.2340621971,1
8.71E-08,13.7123994589,-19.5989980166,1
-1.05E-06,13.7923654027,-19.8726451342,1
5.98E-07,13.4843483327,-20.1428665605,1
2.06E-07,13.5592246574,-19.7761194101,1
-6.65E-07,13.5452402164,-19.6858952995,1
7.45E-08,13.6233566772,-19.9608660895,1
-7.08E-07,13.6733301959,-20.2362586404,1
-4.96E-07,13.425388564,-19.9611262548,1
3.66E-07,13.4382069987,-19.323086639,1
2.66E-07,13.7390270695,-19.6904642025,1
-6.26E-07,13.691145553,-19.0556686923,1
5.34E-07,13.538562818,-19.2300076879,1
-1.50E-06,13.5229739527,-19.4138700938,1
-6.88E-08,15.7352594419,-21.3892205567,2
-2.85E-09,15.4769373291,-21.1179780128,2
-3.62E-07,15.0125675305,-21.1080793194,2
-6.11E-07,15.3391135831,-21.3808945614,2
-3.71E-08,15.3945725453,-21.4709218044,2
-1.60E-07,15.2135319548,-21.1947194753,2
-9.01E-07,15.9169273639,-21.2926491669,2
-5.33E-07,15.6216900586,-21.5681219767,2
7.60E-07,15.6743052489,-21.3903640966,2
-4.44E-07,15.5384948279,-21.2036662484,2
-9.57E-07,15.4715537689,-20.386413897,2
2.46E-07,14.8215428213,-20.7385144963,2
-2.37E-07,15.5773059412,-21.1073999266,2
4.61E-07,15.8299308781,-21.4715865238,2
-2.69E-08,15.6507762536,-21.3816006786,2
-2.54E-07,15.6032362415,-21.2927524787,2
-3.53E-07,15.4233541709,-21.0151937355,2
-1.82E-07,15.192930003,-21.2864234086,2
-7.64E-07,15.4797023355,-22.0229783511,2
-2.53E-07,15.6959957215,-21.1100234761,2
2.62E-08,15.6575218915,-21.2865654656,2
-2.95E-07,15.6332586227,-20.7487596764,2
