06:18:d6:c2:98:24(inonet),04:18:d6:c1:98:24(inonet),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),e8:37:7a:6c:7f:55(PYR),dc:02:8e:c2:23:52(ILKSEM),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),4c:5e:0c:71:aa:15(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),18:28:61:9e:ab:5c(MMD),04:bf:6d:d8:e8:a4(Evosoft),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),00:0f:f7:2e:0a:d0(ESOGU-WIFI),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),e4:8d:8c:20:4d:c1(UPLAT),c4:6e:1f:58:40:d2(DLink_D01),00:26:5a:52:0b:8c(RFKON_115),4c:5e:0c:23:44:33(RFKON2014-Mesh),18:28:61:58:78:6a(Dlink_DAP-1360),1c:87:2c:7e:23:9c(EROGLU-PRI),1c:87:2c:7e:23:9d(EROGLU-PUB),REF_POINT
-75,-56,-50,-58,-37,-57,-68,-72,-44,-63,-73,-56,-73,-87,-82,-75,-88,NaN,-79,-89,NaN,-90,1
-74,-60,-52,-58,-36,-57,-69,-71,-48,-63,-72,-55,-73,-87,-81,-75,-88,NaN,-79,-90,NaN,-90,1
-74,-59,-50,-58,-36,-66,-75,-72,-50,-62,-73,-55,-72,-85,-81,-75,-88,NaN,NaN,-90,NaN,NaN,1
-74,-56,-50,-58,-37,-57,-75,-72,-51,-62,-73,-54,-72,-87,NaN,-75,-88,-88,NaN,NaN,NaN,NaN,1
-74,-57,-50,-58,-36,-58,-67,-73,-51,-63,-73,-56,-72,-88,-82,NaN,-88,-88,-80,-88,NaN,NaN,1
-74,-59,-51,-59,-37,-58,-67,-73,-53,-62,-73,-56,-72,-88,-82,-76,NaN,NaN,-80,-89,NaN,NaN,1
-74,-60,-51,-58,-37,-58,-68,-72,-53,-62,-73,-56,-73,NaN,-81,-79,NaN,NaN,-76,-89,NaN,NaN,1
-74,-57,-51,-59,-37,-67,-68,-72,-53,-62,-73,-56,-72,-89,-81,-77,NaN,-86,-76,-90,NaN,NaN,1
-74,-56,-50,-58,-37,-58,-77,-72,-53,-63,-74,-55,-72,-88,-81,-75,-88,-86,-77,-90,NaN,NaN,1
-74,-59,-52,-59,-37,-58,-77,-72,-53,-62,-73,-62,-72,-88,-82,-76,-88,-89,-77,NaN,NaN,NaN,1
-73,-64,-50,-58,-36,-58,-67,-73,-52,-62,-73,-55,-72,-88,-80,-76,NaN,-89,-75,NaN,NaN,NaN,1
-73,-59,-51,-58,-37,-66,-67,-71,-53,-59,-73,-55,-72,-88,-79,-76,NaN,-86,-75,NaN,NaN,NaN,1
-73,-56,-51,-58,-36,-66,-68,-74,-52,-62,-73,-55,-74,NaN,-82,-79,-89,-86,-75,-90,NaN,NaN,1
-73,-66,-52,-58,-37,-56,-67,-74,-53,-63,-72,-56,-72,NaN,-81,-75,-89,NaN,NaN,-90,NaN,NaN,1
-74,-59,-51,NaN,-37,-57,-68,-71,-53,-63,-71,-55,-72,-84,-81,-76,-89,-87,NaN,NaN,NaN,NaN,1
-73,-63,-52,NaN,-37,-66,-67,-71,-52,-61,-72,-55,-73,-88,-81,-76,-89,-87,-74,NaN,NaN,NaN,1
-73,-58,-51,-59,-37,-66,-67,-69,-51,-63,-69,-56,-72,-88,-81,-75,NaN,NaN,-74,NaN,NaN,NaN,1
-74,-57,-51,-59,-79,-57,NaN,-69,-52,-62,-70,-56,-71,NaN,-81,-76,-89,NaN,-77,NaN,NaN,NaN,1
-74,-59,-51,-59,-37,-57,NaN,NaN,-51,-63,-72,-56,-71,-81,-81,-76,-89,NaN,-78,NaN,NaN,NaN,1
-74,-57,-50,-57,-36,-65,-77,-67,-52,-63,-70,-64,-66,-84,NaN,-77,NaN,NaN,-78,NaN,NaN,NaN,1
-73,-64,-51,-57,-37,-59,-77,-67,-52,-63,-69,-56,-66,-85,NaN,-75,NaN,-85,-79,NaN,NaN,NaN,1
-74,-64,-51,-58,-36,-57,-67,NaN,-52,-63,-68,-56,-71,-85,-82,-75,NaN,-85,-79,NaN,NaN,NaN,1
-74,-62,-51,-59,-37,-67,-67,-70,-54,-61,-70,-54,-69,-85,-80,-77,NaN,-88,-79,NaN,NaN,NaN,1
