06:18:d6:c2:98:24(inonet),04:18:d6:c1:98:24(inonet),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),e8:37:7a:6c:7f:55(PYR),dc:02:8e:c2:23:52(ILKSEM),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),4c:5e:0c:71:aa:15(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),18:28:61:9e:ab:5c(MMD),04:bf:6d:d8:e8:a4(Evosoft),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),00:0f:f7:2e:0a:d0(ESOGU-WIFI),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),e4:8d:8c:20:4d:c1(UPLAT),c4:6e:1f:58:40:d2(DLink_D01),00:26:5a:52:0b:8c(RFKON_115),4c:5e:0c:23:44:33(RFKON2014-Mesh),18:28:61:58:78:6a(Dlink_DAP-1360),1c:87:2c:7e:23:9c(EROGLU-PRI),1c:87:2c:7e:23:9d(EROGLU-PUB),REF_POINT
-68,-68,-48,-71,-33,-59,-66,-73,-41,-59,-72,-57,-67,NaN,-74,-84,-88,NaN,-83,NaN,NaN,NaN,2
-68,-61,NaN,-72,-32,-59,-66,-75,-40,-59,-66,-58,-67,NaN,-74,NaN,-88,-83,-83,NaN,NaN,NaN,2
-69,-60,-48,-69,-32,-60,-65,-74,-40,-60,-72,-58,-67,-82,-74,NaN,-88,-83,-83,NaN,NaN,NaN,2
-68,-63,-47,-71,-31,-61,-66,-73,-40,-60,-72,-58,-67,-81,-75,NaN,-89,-84,-82,-85,NaN,NaN,2
-69,-61,-47,-72,-30,-59,-66,-74,-41,-58,-72,-57,-67,-82,-74,NaN,-89,-84,-82,-86,NaN,NaN,2
-69,-68,-47,-70,-32,-59,-67,-72,-41,-60,-71,-57,-67,-82,-74,NaN,NaN,NaN,NaN,-86,NaN,NaN,2
-69,-59,-47,-72,-33,-59,-66,-73,-41,-60,-71,-58,-67,-82,-74,-82,-93,NaN,-81,NaN,NaN,NaN,2
-69,-64,-47,-70,-31,-60,-67,-74,-41,-60,-71,-58,-67,NaN,-74,-82,-82,-84,-81,NaN,-89,-91,2
-69,-63,-47,-71,-32,-59,-65,-73,-41,-60,-71,-58,-62,NaN,-74,-84,-87,-84,-79,NaN,-89,-91,2
-68,-63,-48,-71,-33,-59,-65,-75,-40,-58,-71,-57,-67,NaN,-74,-84,-85,-83,-79,-86,NaN,-89,2
-69,-62,-48,-71,-32,-60,-66,-75,-41,-61,NaN,-57,-66,NaN,-78,-84,-87,-84,-80,-86,NaN,-89,2
-68,-61,-48,-69,-33,-61,-66,-73,-42,-56,-71,-57,-67,-85,-78,-84,-87,-84,-79,NaN,NaN,NaN,2
-69,-67,-48,-71,-32,-59,-65,-73,-40,-60,-70,-57,-67,-83,-74,-83,-85,-84,-79,NaN,NaN,NaN,2
-68,-65,-48,-72,-33,-60,-66,-74,-40,-47,-71,-57,-67,-83,-75,-82,-89,-84,-79,NaN,NaN,NaN,2
-70,-64,-49,-58,-31,-70,-66,-73,-36,-58,-73,-52,-76,-82,-74,-82,-89,-83,NaN,NaN,NaN,NaN,3
-71,-57,-54,-65,-34,-67,-66,-72,-33,-65,-74,-56,-76,-87,-79,NaN,NaN,-88,NaN,NaN,NaN,-90,3
-74,-56,-46,-60,-33,-79,-66,-75,-35,-65,-72,-54,-78,-87,-79,-79,-90,-88,NaN,NaN,NaN,-90,3
-73,-57,-46,-60,-33,-66,-66,-75,-34,-69,-73,-53,-78,-84,-78,-79,-90,NaN,-77,NaN,-90,-91,3
-73,-56,-47,-60,-33,-66,-67,-75,-31,-64,-73,-54,-77,-85,-79,NaN,-91,-88,-77,NaN,-90,-91,3
-73,-57,-47,-60,-32,-67,-66,-70,-34,-64,-72,-54,-77,-85,-79,-79,-90,-88,NaN,NaN,NaN,NaN,3
-73,-56,-46,-59,-33,-66,-67,-70,-34,-65,-72,-55,-77,NaN,-73,-79,-90,NaN,NaN,NaN,NaN,NaN,3
-74,-57,-47,-59,-33,-66,-67,-75,-35,-65,-72,-54,-78,NaN,-73,-79,NaN,NaN,-76,NaN,NaN,NaN,3
-74,-56,-47,-59,-34,-66,-67,-75,-35,-65,-73,-54,-78,NaN,NaN,-75,NaN,NaN,-76,NaN,NaN,NaN,3
-73,-62,-46,-59,-34,-66,-67,-76,-35,-50,-73,-54,NaN,NaN,-78,-78,NaN,NaN,NaN,NaN,NaN,NaN,3
-73,-56,-47,-60,-32,-67,-66,-76,-35,-64,-73,-54,-77,NaN,-78,-78,NaN,NaN,NaN,NaN,NaN,NaN,3
-73,-56,-47,-60,-33,-67,-66,-77,-35,-64,-72,-55,-78,-86,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,3
-73,-55,-47,-61,-33,-68,-64,-77,-35,-64,-73,-55,-78,-86,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,3
-73,-56,-47,-60,-33,-64,-64,NaN,-35,-64,-73,-54,-78,NaN,NaN,-79,NaN,-89,NaN,NaN,NaN,NaN,3
-73,-61,-47,-60,-33,-64,-65,-76,-35,-60,-73,-54,NaN,NaN,NaN,NaN,NaN,-89,NaN,NaN,NaN,NaN,3
-74,-56,-48,-61,-33,-64,-66,-76,-35,-63,-73,-54,NaN,NaN,-79,-78,NaN,NaN,-79,NaN,NaN,NaN,3
-74,-56,-49,-60,-31,-66,-65,-77,-35,-48,-73,-54,-77,NaN,-79,-79,NaN,NaN,-79,NaN,NaN,NaN,3
-73,-55,-47,-59,-34,-66,-65,-76,-35,-49,-73,-54,-77,-86,-78,-79,NaN,NaN,NaN,NaN,-88,-88,3
-73,-56,-47,-59,-31,-64,-65,-76,-35,-68,-73,-54,-76,-86,-78,-79,NaN,NaN,NaN,NaN,-88,-88,3
-73,-57,-46,-60,-33,-65,-65,-75,-35,-51,-75,-54,-77,-86,-79,NaN,NaN,-87,NaN,NaN,NaN,-91,3
-73,-57,-48,-60,-33,-67,-67,-80,-35,-50,-75,-54,-76,-86,-79,-79,NaN,-87,NaN,NaN,NaN,-91,3
-74,-61,-48,-60,-33,-64,-67,-75,-35,-65,NaN,-54,-77,-84,-79,-79,NaN,-87,-81,NaN,-89,-91,3
-73,-61,-47,-58,-34,-65,-85,-76,-35,-63,NaN,-54,-77,-84,-78,-79,NaN,-87,-81,NaN,-89,-91,3
-72,-61,-48,-59,-33,-67,-68,-75,-35,-65,-72,-54,-81,-84,-78,-79,NaN,-89,-82,NaN,NaN,NaN,3
-73,-61,-47,-60,-33,-66,-68,-75,-35,-63,-72,-54,-81,-84,NaN,NaN,-91,-89,-82,NaN,NaN,NaN,3
-72,-57,-51,-59,-33,-64,-66,-75,-35,-64,-73,-54,-76,NaN,NaN,-78,-86,NaN,-80,NaN,NaN,NaN,3
-73,-60,-47,-60,-33,-66,-66,-75,-35,-64,-72,-55,-77,NaN,-79,-78,-91,NaN,-78,NaN,NaN,-91,3
-73,-60,-48,-59,-33,-64,-68,-75,-35,-64,-73,-54,-77,-85,-79,NaN,-91,NaN,-78,NaN,NaN,-91,3
-73,-57,-48,-60,-34,-67,-68,-76,-35,-64,-73,-54,-76,-85,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-73,-56,-51,-59,-33,-65,-65,-76,-35,-71,NaN,-54,-77,NaN,-83,-78,NaN,NaN,NaN,NaN,NaN,NaN,3
-73,-61,-48,-59,-33,-64,-66,-76,-35,-71,-71,-54,-77,NaN,-79,-79,NaN,NaN,-77,NaN,-89,-91,3
-73,-57,-48,NaN,-33,-66,-66,-76,-35,-64,-72,-54,-77,NaN,-79,-80,NaN,NaN,-77,NaN,-89,-91,3
-72,-56,-47,-59,-31,-65,-66,-75,-35,-51,-72,-55,-78,NaN,-79,-80,NaN,NaN,-78,NaN,NaN,NaN,3
-73,-61,-47,-59,-33,-67,-68,-75,-35,-51,-72,-54,-80,NaN,-79,-80,NaN,NaN,-77,-84,NaN,-88,3
-73,-60,-48,-59,-33,-63,-67,-75,-35,-50,-72,-54,-76,NaN,-79,-78,NaN,NaN,-77,-84,NaN,-88,3
-73,-59,-49,-59,-34,-64,-68,-75,-35,-62,-72,-53,-77,NaN,-79,-78,NaN,-87,NaN,NaN,NaN,NaN,3
-73,-57,-48,-59,-76,-64,-67,NaN,-35,-65,-72,-55,-76,NaN,NaN,-78,NaN,-88,NaN,NaN,NaN,NaN,3
-73,-61,-48,-59,-33,-65,-66,-76,-34,-71,-73,-54,-71,NaN,-78,-79,NaN,-88,NaN,NaN,NaN,NaN,3
-73,-56,-48,-61,-35,-65,-68,-74,-35,-64,-73,-55,-76,NaN,-79,-79,NaN,NaN,NaN,NaN,NaN,NaN,3
-73,-62,-48,-61,-33,-64,-67,-75,-34,-64,-74,-54,-77,-85,-79,-80,NaN,NaN,-78,NaN,-88,NaN,3
-73,-56,-47,NaN,-34,-67,-68,-75,-35,-64,-73,-54,-77,-85,-79,-78,NaN,NaN,-78,NaN,-88,NaN,3
-72,-56,-48,-59,-32,-64,-67,-76,-35,-65,-73,-54,-77,-87,-79,-79,-86,NaN,NaN,NaN,NaN,NaN,3
-72,-59,-48,-60,-33,-64,-68,-76,-33,-63,-74,-54,-77,-87,-76,-79,-86,NaN,-77,NaN,NaN,NaN,3
-72,-59,-51,-61,-31,-65,-68,-74,-35,-65,-73,-54,-77,NaN,-78,-79,NaN,NaN,-77,NaN,NaN,-91,3
-72,-59,-49,-56,-34,-65,-69,-75,-35,-65,-72,-54,-76,NaN,-79,-79,NaN,NaN,-77,NaN,NaN,-91,3
-72,-56,-48,-56,-34,-66,-69,-75,-34,-50,-71,-55,-76,-87,-79,NaN,NaN,NaN,NaN,NaN,-90,NaN,3
-73,-60,-51,-60,-32,-65,-66,-76,-37,-51,-72,-55,-68,-87,-82,NaN,NaN,NaN,NaN,NaN,-90,NaN,3
-74,-58,-52,-60,-34,-65,-71,-75,-33,-63,-72,-54,-79,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-70,-58,-50,-60,-79,-63,-68,-80,-36,-65,-76,-55,-77,-88,-80,NaN,-91,-85,-82,NaN,NaN,NaN,3
-73,-58,-49,-61,-33,-63,-67,-73,-34,-64,-76,-55,-78,-88,-79,-76,-90,-85,-82,NaN,NaN,NaN,3
-71,-57,-49,-63,-33,-62,-67,-76,-36,-64,-74,-56,-79,-86,-79,-76,-90,NaN,NaN,NaN,NaN,NaN,3
-71,-56,-51,-64,-33,-62,-65,-73,-36,-61,-72,-55,-79,-85,-79,-77,-81,-92,-81,NaN,-90,NaN,3
-71,-65,-48,-69,-32,-63,-63,-77,-35,-66,-69,-55,-75,-85,-79,-78,-89,-87,-82,NaN,-90,NaN,3
-71,-66,-47,-67,-33,-66,-66,-76,-35,-62,-71,-54,-75,NaN,NaN,-78,-89,-87,-81,NaN,-93,-92,3
-70,-58,-48,-65,-33,-62,-68,-74,-34,-63,-71,-54,-77,NaN,NaN,NaN,NaN,-90,-80,NaN,-93,-92,3
-71,-56,-48,-65,-33,-62,-68,-76,-34,-65,-76,-54,-77,-86,NaN,-80,NaN,-90,-80,-83,NaN,NaN,3
-71,-58,-50,-64,-33,-60,-68,-72,-35,-64,-70,-53,-76,-86,-77,-77,-90,NaN,-80,-83,NaN,NaN,3
-72,-59,-49,-63,-33,-63,-66,-78,-35,-51,-71,-53,-78,-86,-78,-77,-90,NaN,NaN,NaN,NaN,NaN,3
-71,-59,-49,-65,-33,-63,-68,-75,-35,-60,-71,-53,-78,-87,-79,-75,NaN,NaN,NaN,NaN,NaN,NaN,3
-71,-59,-49,-64,-34,-62,-68,-74,-35,-61,-70,-54,-79,-87,-78,-75,NaN,NaN,-81,NaN,NaN,NaN,3
-70,-57,-49,-63,-33,-62,-67,-77,-35,-71,-71,-53,-77,NaN,-78,NaN,-91,NaN,-81,NaN,NaN,NaN,3
-70,-60,-49,-64,-33,-64,-66,-76,-35,-64,-71,-52,-78,NaN,-78,-76,-89,NaN,NaN,NaN,NaN,NaN,3
-71,-58,-50,-64,-33,-61,-67,-79,-35,-63,-71,-53,-78,NaN,-79,-71,-89,NaN,-80,NaN,NaN,NaN,3
-72,-58,-89,-65,-33,-63,-66,-77,-35,-63,-70,-53,NaN,-84,-72,-71,-90,NaN,-80,NaN,NaN,NaN,3
-71,-64,-48,-63,-33,-62,-68,-78,-35,-63,-71,-53,NaN,-85,-79,-78,-90,-90,NaN,-83,-90,-90,3
-71,-58,-49,-67,-33,-63,-67,-78,-35,-64,-71,-53,-77,-85,-79,-72,-90,-90,NaN,-83,-90,-90,3
-71,-58,-52,-65,-33,-61,-67,-77,-35,-62,-71,-54,-77,-86,NaN,-76,-90,NaN,NaN,NaN,-90,-90,3
-71,-57,-77,-61,-33,-62,-67,-77,-35,-64,-71,-54,-78,-85,-79,-75,NaN,NaN,NaN,NaN,-90,-90,3
-71,-64,-48,-60,-33,-63,-67,-77,-35,-64,-72,-53,-79,-86,-78,-76,NaN,NaN,NaN,NaN,NaN,-90,3
-70,-59,-49,-61,-30,-63,-67,-77,-35,-60,-72,-53,-78,-86,-78,-76,-88,NaN,NaN,NaN,NaN,-90,3
-70,-57,-49,-63,-33,-63,-65,-77,-35,-69,-71,-52,-77,-87,-78,-77,-88,NaN,-82,NaN,NaN,NaN,3
-70,-58,-53,-63,-30,-62,-67,-75,-35,-67,-71,-53,-77,-87,-80,-77,NaN,NaN,-82,NaN,NaN,NaN,3
-70,-58,-49,-64,-33,-65,-65,-73,-36,-67,-71,-53,NaN,NaN,-71,NaN,NaN,-87,NaN,NaN,NaN,NaN,3
-70,-61,-50,-66,-33,-63,-65,-72,-36,-69,-72,-54,NaN,-88,-71,NaN,NaN,-87,NaN,NaN,-90,-92,3
-72,-60,-51,-63,-34,-63,-65,-71,-36,-64,-72,-54,-68,-88,-80,-78,NaN,NaN,-79,NaN,-90,-92,3
-70,-59,-51,-63,-33,-63,-66,-71,-35,-67,-71,-54,-80,NaN,-80,-78,NaN,NaN,-79,NaN,NaN,NaN,3
-71,-57,-50,-63,-32,-63,-65,-73,-35,-68,-79,-54,-75,NaN,-77,NaN,NaN,NaN,-81,NaN,NaN,NaN,3
-72,-63,-51,-62,-31,-62,-73,-68,-36,-65,-71,-54,-77,-85,-79,NaN,NaN,NaN,-81,NaN,NaN,NaN,3
-72,-62,-51,-64,-32,-64,-66,-72,-36,-66,-71,-54,-76,-85,-71,-75,NaN,NaN,NaN,NaN,NaN,NaN,3
-70,-63,-50,-65,-31,-64,-67,-70,-36,-65,-73,-54,-75,NaN,-71,-75,-86,NaN,-78,NaN,-90,-91,3
-64,-66,-49,-57,-36,-65,-68,-63,-32,-68,-66,-58,-75,-80,-77,-77,-86,NaN,-77,NaN,-90,-91,4
-65,-63,-46,-65,-38,-65,-68,-63,-35,-69,-71,-62,-69,-80,-77,NaN,-85,NaN,-77,NaN,NaN,NaN,4
-65,-60,-47,-64,-34,-70,-69,-67,-29,-67,-70,-59,-69,-80,-75,NaN,-85,NaN,NaN,NaN,NaN,-91,4
-64,-60,-46,-73,-34,-66,-71,-66,-32,-67,-69,-58,-69,-80,-75,-78,-86,NaN,NaN,NaN,NaN,-91,4
-65,-61,-46,-64,-34,-68,-71,-65,-30,-66,-70,-59,-69,-84,-75,-78,-86,NaN,NaN,NaN,NaN,NaN,4
-65,-61,-45,-64,-34,-67,-71,-65,-32,-67,-70,-58,-68,-84,-74,-78,NaN,NaN,-74,NaN,NaN,NaN,4
-65,-60,-45,-60,-34,-66,-72,-66,-32,-67,-70,-59,-70,-80,-76,-78,NaN,NaN,-74,NaN,NaN,NaN,4
-65,-60,-45,-60,-34,-66,-74,-68,-32,-63,-70,-63,-69,-80,-76,-78,NaN,NaN,NaN,NaN,NaN,NaN,4
-65,-61,-45,-64,-34,-65,-74,-65,-30,-67,-69,-59,-69,-80,-76,-78,NaN,NaN,NaN,NaN,-92,-91,4
-65,-60,-45,-64,-34,-66,-75,-66,-32,-60,-69,-59,-70,NaN,-76,-78,NaN,-92,NaN,NaN,-92,-91,4
-65,-60,-45,-64,-34,-67,-70,-66,-32,-65,-70,-59,-70,-82,NaN,-78,-87,-92,NaN,NaN,NaN,NaN,4
-65,-64,-45,NaN,-34,-67,-70,-67,-32,-66,-70,-59,NaN,-79,-75,-77,-86,NaN,NaN,NaN,NaN,-90,4
-65,-61,-49,-64,-34,-67,-70,-66,-32,-66,-71,-60,-70,-79,-75,-79,-84,-89,NaN,NaN,-92,-90,4
-65,-61,-45,-64,-34,-68,-74,-66,-32,-67,-70,-60,-69,-82,-75,-78,-86,-89,NaN,NaN,-92,NaN,4
-65,-64,-45,-64,-34,-68,-69,-66,-32,-67,-70,-59,-69,-82,-75,-78,-87,NaN,NaN,NaN,NaN,NaN,4
-65,-60,-45,-64,-34,-70,-70,-66,-32,-65,-70,-60,-69,-82,-76,-78,-85,NaN,NaN,NaN,NaN,NaN,4
-65,-62,-45,NaN,-35,-66,-69,-66,-35,-65,-71,-60,-66,-80,-76,-79,-85,NaN,NaN,NaN,NaN,NaN,4
-65,-59,-45,-65,-34,-66,-71,-65,-32,-65,-71,-60,-69,-80,-76,-79,-86,-90,NaN,NaN,NaN,NaN,4
-65,-62,-48,-67,-34,-66,-71,-65,-32,-65,-74,-59,-70,-79,-73,-79,-84,-90,NaN,NaN,NaN,NaN,4
-65,-59,-45,-66,-35,-66,-69,-66,-32,-66,-69,-59,-69,-80,-72,-80,-84,NaN,NaN,NaN,NaN,NaN,4
-65,-59,-45,-63,-34,-72,-71,-65,-83,-66,-70,-60,-70,-86,-76,-80,-84,NaN,NaN,NaN,NaN,NaN,4
-65,-59,-44,-63,-35,-66,-71,-66,-30,-66,-70,-59,-69,-83,-75,-78,-87,-89,-83,NaN,NaN,-92,4
-65,-59,-46,-66,-34,-72,-71,-65,-32,-66,-71,-60,-69,-81,-76,-76,-87,-89,-83,NaN,NaN,-92,4
-65,-60,-45,-63,-34,-67,-73,-64,-30,-63,-69,-63,-68,-82,-75,-76,-86,NaN,NaN,NaN,NaN,-90,4
-64,-66,-46,-64,-33,-66,-71,-65,-31,-64,-69,-60,-69,-82,-76,NaN,-86,-92,NaN,NaN,-91,-91,4
-65,-58,-45,-66,-34,-64,-71,-66,-32,-63,-69,-59,-69,-82,-76,-80,NaN,-92,-84,NaN,-91,-91,4
-65,-61,-46,-65,-34,-65,-70,-66,-30,-67,-69,-56,-69,-82,NaN,-78,NaN,NaN,-84,NaN,-91,NaN,4
-65,-60,-47,-63,-34,-67,-70,-67,-31,-69,-69,-60,-68,NaN,NaN,-78,-84,-90,-81,NaN,-91,NaN,4
-65,-58,-46,-63,-34,-66,-70,-66,-31,-67,-69,-57,-68,NaN,-74,-78,-84,-90,-81,NaN,NaN,NaN,4
-65,-60,-49,-64,-35,-66,-72,-66,-32,-67,-69,-57,-69,-80,-74,-78,-85,NaN,-83,-87,-93,NaN,4
-65,-62,-44,-64,-33,-66,-70,-66,-32,-67,-69,-58,-70,-80,NaN,-79,-85,-89,-83,-87,-93,NaN,4
-65,-59,-47,-64,-34,-66,-69,-65,-32,-75,-68,-58,-70,NaN,-76,-77,NaN,-89,NaN,-87,NaN,NaN,4
-65,-60,-46,-64,-34,-66,-70,-65,-31,-66,-69,-60,-70,NaN,-76,-77,-82,NaN,NaN,NaN,NaN,NaN,4
-65,-63,-46,-61,-34,-72,-70,-65,-32,-68,-69,-60,-70,NaN,-75,-79,-82,NaN,-88,NaN,NaN,NaN,4
-65,-62,-47,-63,-35,-64,NaN,-65,-32,-68,-70,-60,-70,-83,-75,-79,NaN,NaN,-88,NaN,-93,-93,4
-65,-62,-46,-63,-34,-69,-73,-65,-32,-72,-69,-66,-69,-83,-74,NaN,-85,-89,NaN,NaN,-93,-93,4
-64,-61,-46,-64,-35,-68,-72,-68,-31,-71,-69,-60,-69,NaN,-75,NaN,-85,-89,NaN,NaN,NaN,NaN,4
-64,-60,-46,-63,-34,-68,-73,-67,-32,-70,-69,-61,-69,-81,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-64,-63,-46,-65,-34,-64,-74,-64,-32,-68,-69,-62,-69,-81,-74,-79,-84,NaN,NaN,NaN,NaN,NaN,4
-65,-61,-47,-60,-34,-65,-71,-65,-32,-70,-69,-58,NaN,NaN,-74,-79,-84,NaN,NaN,NaN,NaN,NaN,4
-64,-62,-45,-65,-35,-72,-72,-65,-32,-69,-70,-63,-68,-81,NaN,NaN,-83,-89,-76,NaN,NaN,NaN,4
-64,-61,-45,-65,-34,-67,-72,-64,-32,-70,-70,-63,-69,-81,NaN,NaN,-83,-89,-76,NaN,NaN,NaN,4
-64,-61,NaN,-66,-34,-67,NaN,-64,-32,-70,-69,-63,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-65,-59,-46,-61,-34,-66,-72,-64,-32,-71,-69,-61,-69,NaN,-76,NaN,-83,-89,-84,NaN,NaN,NaN,4
-65,-59,-47,-60,-34,-68,-72,-65,-32,-71,-69,-62,-69,-81,-76,-79,-83,-89,-84,NaN,NaN,NaN,4
-65,-61,-47,-64,-33,-68,-72,-66,-32,-64,-70,-63,-69,-81,-76,-84,-84,-89,-83,NaN,NaN,NaN,4
-65,-60,-46,-64,-33,-64,-69,-65,-32,-73,-69,-61,-69,-82,-76,-78,-84,-89,-83,NaN,NaN,NaN,4
-65,-63,-48,-65,-34,-65,-69,-66,-30,-71,-68,-63,-70,-80,NaN,-78,-84,NaN,-82,NaN,NaN,NaN,4
-65,-62,-48,-65,-33,-78,-71,-67,-33,-74,-69,-63,-69,-81,-76,-80,-84,NaN,-82,NaN,NaN,NaN,4
-65,-62,-46,-64,-34,-67,-71,-65,-33,-73,-68,-63,-68,-81,-76,-80,-84,NaN,NaN,NaN,NaN,NaN,4
-64,-63,-46,-64,-34,-67,-73,-64,-33,-82,-68,-63,-69,NaN,-76,-78,NaN,NaN,NaN,NaN,NaN,NaN,4
-65,-63,-47,-62,-35,-67,-71,-64,-33,-70,-69,-71,-69,-79,-76,-78,NaN,NaN,-80,NaN,NaN,NaN,4
-64,-63,-47,-61,-34,-67,-72,-65,-31,-70,-68,-60,-69,-81,NaN,-78,-83,-90,-78,NaN,NaN,NaN,4
-65,-62,-47,-61,-34,-67,-72,-65,-31,-71,-69,-61,-69,-81,NaN,-79,-84,-90,-78,NaN,NaN,NaN,4
-65,-60,-45,-63,-33,-69,-71,-65,-31,-73,-68,-65,-69,-80,-75,-79,-84,-87,NaN,NaN,NaN,NaN,4
-64,-60,-47,-62,-32,-66,-71,-64,-32,-71,-68,-63,-69,-81,-73,NaN,NaN,-87,NaN,NaN,NaN,NaN,4
-64,-61,-46,-66,-33,-66,-74,-68,-32,-71,-67,-63,-69,-77,-73,-79,-84,-89,-82,NaN,NaN,NaN,4
-64,-61,-47,-64,-34,-65,-74,-64,-31,-68,-73,-61,-69,-84,-75,-79,-85,-89,-82,NaN,-92,-92,4
-64,-63,-47,-64,-33,-65,-70,-64,-33,-71,-69,-71,-69,-84,-75,-79,-85,NaN,-82,NaN,-92,-92,4
-65,-63,-47,-66,-34,-65,-75,-65,-31,-69,-70,-63,-69,-78,-76,-80,-84,NaN,-78,NaN,NaN,NaN,4
-64,-65,-47,-65,-34,-65,-73,-64,-31,-70,-68,-63,-68,-80,-76,-80,-85,-89,-76,NaN,NaN,NaN,4
-64,-62,-47,-74,-34,-87,-74,-64,-32,-73,-70,-63,-68,-80,-76,-78,-85,-89,-76,NaN,NaN,NaN,4
-65,-61,-46,-62,-33,-66,-75,NaN,-31,-71,-70,-63,NaN,-80,-76,-79,-84,NaN,NaN,-88,NaN,NaN,4
-64,-63,-46,-65,-34,-66,-72,-64,-32,-75,-69,-63,-70,-80,-69,-79,-84,NaN,NaN,-86,NaN,NaN,4
-65,-63,-46,-64,-34,-67,-72,-64,-59,-70,-69,-63,-66,-81,-69,-79,-84,NaN,NaN,-86,NaN,NaN,4
-65,-63,-45,-65,-34,-67,NaN,-64,-32,-70,-69,-63,-69,-79,-69,NaN,-84,-91,NaN,NaN,NaN,NaN,4
-64,-63,-46,-64,-64,-67,NaN,-64,-32,-63,-69,-64,-69,-80,NaN,NaN,-84,-90,NaN,NaN,NaN,NaN,4
-64,-62,-46,-64,-86,-67,-82,-65,-34,-63,-69,-64,-69,-81,-75,-81,NaN,-90,NaN,-80,NaN,NaN,4
-65,-60,-47,-66,-82,-66,-72,-64,-30,-71,-70,-65,-69,-81,-75,-84,-84,-88,NaN,-80,NaN,NaN,4
-64,-60,-46,-74,-34,-67,-72,-65,-31,-71,-68,-65,NaN,-81,NaN,-79,-84,-88,NaN,NaN,NaN,NaN,4
-64,NaN,-46,-65,-82,-66,-72,-67,-32,-72,-69,-65,-68,-81,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,4
-64,-61,-46,-63,-33,-66,-72,-65,-31,-73,-69,-64,-69,-81,-76,-79,NaN,NaN,NaN,NaN,NaN,NaN,4
-65,-62,-46,-63,-34,-66,-73,-65,-31,-71,-69,-60,-69,-81,-75,-79,NaN,NaN,NaN,-86,NaN,NaN,4
-64,-60,-47,NaN,-35,-66,-72,-64,-31,-67,-70,-64,-69,-82,-75,-80,NaN,NaN,NaN,-88,NaN,NaN,4
-64,-65,-47,NaN,-34,-66,-71,-64,-32,-68,-70,-63,-69,-82,-73,-81,-84,NaN,NaN,-88,NaN,NaN,4
-64,-63,-47,NaN,-90,-65,-73,-65,-31,-66,-71,-64,-70,-79,-73,-81,-84,NaN,NaN,NaN,-91,NaN,4
-64,-63,-46,-65,-34,-65,-74,-64,-29,-66,-70,-63,-69,-79,-75,NaN,-86,-91,-82,NaN,-91,NaN,4
-64,-60,-46,-65,-34,-65,-72,-65,-30,-70,-70,-62,-69,-79,-75,-80,-84,-91,-82,NaN,NaN,-91,4
-65,-61,-46,-65,-34,-67,-74,-65,-32,-70,-70,-60,-70,-79,-75,-82,-84,-90,NaN,NaN,NaN,-91,4
-64,-62,-46,NaN,-35,-68,-71,-65,-31,-68,-70,-61,-70,-80,-75,-82,NaN,-90,NaN,NaN,-91,NaN,4
-69,-56,-47,-63,-40,-59,-74,-67,-32,-54,-66,-50,-60,-80,-77,-85,-88,NaN,NaN,-88,-91,NaN,5
-70,-56,-48,-70,-42,-64,-72,-70,-33,-53,-68,-48,-62,-89,-77,-80,-88,NaN,NaN,-88,NaN,NaN,5
-71,-55,-48,-71,-42,-66,-72,-70,-33,-49,-68,-48,-62,-89,-74,-79,NaN,NaN,NaN,NaN,-90,NaN,5
-71,-64,-51,-70,-40,-68,-73,-69,-33,-57,-67,-48,-63,NaN,-75,-76,NaN,NaN,NaN,-86,-90,NaN,5
-70,-56,-49,-66,-44,-68,-76,-69,-34,-55,-64,-48,-63,-80,-75,-75,-89,-86,NaN,-86,NaN,NaN,5
-70,-57,-48,-63,-43,-67,-69,-73,-33,-48,-64,-49,-63,-80,-75,-75,-89,-86,NaN,-87,NaN,NaN,5
-69,-66,-47,-66,-38,-60,-76,-69,-35,-55,-67,-48,-60,NaN,-77,-77,NaN,NaN,NaN,-88,NaN,-91,5
-71,-56,-47,-68,-39,-63,-76,-70,-33,-55,-67,-47,-63,NaN,-77,-77,NaN,NaN,NaN,-88,NaN,-91,5
-70,-64,-49,-68,-38,-64,-77,-72,-32,-55,-67,-48,-63,-86,NaN,-79,NaN,NaN,NaN,NaN,-90,-91,5
-71,-59,-48,-65,-39,-64,-77,-70,-33,-51,-68,-47,-63,-83,-78,-77,NaN,NaN,NaN,NaN,-90,-91,5
-71,-57,-50,-60,-51,-67,-77,-71,-35,-56,-68,-48,-62,-83,-76,-77,NaN,NaN,NaN,NaN,NaN,-90,5
