1.2,1.2,-14.874,2.0823,-17.871,0.25539,0.32838,0.3267
3.6,1.2,-17.015,-0.63097,-19.551,0.35222,0.28967,0.31734
1.2,3.6,-14.648,7.6248,-21.181,0.28743,0.37148,0.3049
3.6,3.6,-13.312,-5.0017,-22.805,0.2945,0.24995,0.2971
1.2,6,-12.345,-3.8532,-27.514,0.40929,0.33223,0.39612
3.6,6,-9.1382,-5.1629,-25.729,0.29577,0.44638,0.27824
1.2,8.4,-10.218,-0.47435,-30.143,0.31889,0.32165,0.25011
3.6,8.4,-10.51,-3.0176,-32.064,0.21191,0.34037,0.33218
6,8.4,-12.794,-0.57422,-29.748,0.29572,0.40002,0.2867
8.4,8.4,-10.452,-1.53,-24.916,0.25263,0.31339,0.34119
10.8,8.4,-14.024,0.30421,-25.268,0.35307,0.29325,0.31319
13.2,8.4,-11.585,-1.2803,-27.514,0.34854,0.35926,0.34591
15.6,8.4,-11.768,-2.3248,-25.902,0.33021,0.24575,0.21577
18,8.4,-8.1536,-6.0416,-23.377,0.31208,0.31797,0.33368
15.6,10.8,-14.641,-0.97376,-28.992,0.30474,0.31973,0.30825
18,10.8,-10.182,-4.3957,-25.007,0.28959,0.27728,0.32729
15.6,13.2,-7.3241,2.5865,-28.461,0.27084,0.29453,0.30966
18,13.2,-5.9886,-4.1415,-26.345,0.32172,0.38338,0.24147
18,15.6,-9.2134,2.3912,-26.19,0.27476,0.26036,0.28791
18,18,-12.584,3.8851,-33.633,0.37416,0.23868,0.31557
