@relation 'Sony_Xperia_Train_WiFi_MF-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R18,25-30'

@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 00:66:4b:1f:08:23_TeknoTAM numeric
@attribute 1c:87:2c:7e:23:9c_EROGLU-PRI numeric
@attribute 1c:87:2c:7e:23:9d_EROGLU-PUB numeric
@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
-34,-40,-59,-50,-68,-70,-63,-64,-78,-63,-63,-80,-73,-89,-78,-86,?,?,?,?,?,?,?,-17.16938,-7.31945,-15.919495,1
-33,-45,-55,-50,-69,-67,-70,-59,-75,-64,-63,-80,-69,?,-76,-85,-88,?,?,?,?,?,?,-16.943932,-7.769012,-15.537262,1
-31,-35,-58,-52,-67,-69,-70,-59,-75,-74,-64,-79,-68,?,-76,-85,-88,?,?,?,?,?,?,-16.625595,-7.259941,-15.074921,1
-32,-39,-55,-49,-68,-70,-70,-63,-76,-61,-64,-77,-68,?,-76,-84,-87,?,?,?,?,?,?,-16.921997,-6.969452,-15.919495,1
-31,-37,-55,-50,-68,-70,-78,-62,-74,-63,-64,-77,?,?,-81,-86,-87,?,?,?,?,?,?,-16.833496,-7.332611,-15.283966,1
-31,-34,-55,-52,-69,-70,-76,-61,-72,-63,-64,-78,-69,?,-76,-84,?,?,?,?,?,?,?,-17.010498,-6.878662,-15.102386,1
-31,-39,-55,-52,-67,-70,-76,-62,-72,-62,-63,-78,-70,?,-78,-87,?,-77,?,?,?,?,?,-16.833496,-7.514191,-15.737915,1
-31,-37,-54,-51,-68,-70,-72,-61,?,-62,-62,-78,-70,?,-78,-87,?,-77,?,?,?,?,?,-17.010307,-7.60498,-15.465546,1
-32,-38,-54,-51,-68,-74,-71,-62,?,-62,-62,?,-69,?,?,?,?,?,?,?,?,?,?,-16.479492,-7.423401,-15.283966,1
-31,-38,-55,-50,-68,-74,-71,-63,-73,-62,-63,?,-70,?,?,?,?,?,?,?,?,?,?,-17.010307,-7.423401,-15.465546,1
-32,-38,-55,-50,-68,?,-70,-61,-74,-76,-60,-78,-70,?,-78,?,?,?,?,?,?,?,?,-16.833496,-7.60498,-15.102386,1
