GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
8.28E-07,15.4030572913,-22.7074755392,3
1.11E-06,15.4249691969,-22.9815221612,3
1.50E-06,15.7171802539,-23.0734614113,3
-2.59E-07,15.8650330333,-22.5262796789,3
-5.63E-07,15.3659596618,-22.4422161371,3
-3.16E-07,15.3182873554,-22.3481242455,3
3.78E-07,15.7554496949,-22.7952522119,3
1.09E-06,15.8679706679,-23.2539040845,3
-5.95E-07,13.1910576119,-24.0526431562,4
7.38E-07,13.5807065654,-23.9722693225,4
-8.07E-07,13.4397547573,-24.1576683708,4
6.81E-07,13.2891978242,-24.2464019511,4
-7.92E-07,13.8843514452,-24.0717363276,4
8.80E-07,13.4631620963,-23.9764890691,4
5.18E-07,13.7412464691,-24.1589510621,4
-1.30E-07,13.5051730153,-24.1445664474,4
-4.00E-07,12.9665552856,-24.2283417365,4
2.18E-07,13.8141134255,-23.9711162389,4
-5.30E-07,13.453341022,-23.4218241862,4
-4.19E-07,13.4944024794,-23.9766299105,4
9.64E-07,13.8376852137,-23.9733987006,4
-1.18E-07,13.8689011993,-23.7921969256,4
1.23E-06,13.1391692556,-23.3312953861,4
4.61E-07,13.1357608588,-23.7824411327,4
3.28E-07,12.971085496,-23.9569444966,4
2.40E-07,13.485466096,-23.4203110531,4
2.28E-07,13.9326288274,-23.6094108261,4
-3.86E-07,13.5880819932,-23.523051762,4
-3.27E-07,13.2260118107,-23.5106834125,4
7.73E-07,13.5441323635,-23.8866066554,4
-2.80E-07,13.4247884073,-23.8711246125,4
-3.19E-07,13.5492940223,-24.2423496806,4
2.08E-07,13.9137407154,-24.0725872499,4
-7.27E-07,13.7166241653,-24.075095217,4
6.08E-07,13.8192277718,-23.3465184497,4
3.10E-07,14.0166318106,-23.4309593192,4
1.31E-06,14.1193304551,-23.9781598777,4
2.31E-08,13.6111948712,-24.3301425861,4
-1.71E-07,13.3857184749,-24.1475880247,4
-7.59E-07,13.7086716036,-24.0694694526,4
3.74E-07,13.3377876527,-24.2472773789,4
5.38E-07,13.0985369795,-24.5059017821,4
-7.33E-07,13.4785910368,-23.8736967812,4
5.85E-07,13.8114759436,-23.8814328974,4
2.64E-07,13.9201950186,-23.9756000801,4
1.04E-06,13.5060581592,-23.7856577438,4
4.57E-07,13.4251088469,-23.7829530916,4
3.54E-07,13.5076043853,-23.7833334246,4
-7.38E-07,11.7371999576,-28.5685400463,5
-7.19E-07,12.093420985,-28.7336755934,5
6.95E-07,12.3109985672,-28.4642954393,5
6.40E-07,12.0892277743,-28.482256508,5
2.56E-07,12.3798886179,-28.667364817,5
6.16E-07,12.0881490076,-28.5733158012,5
-7.82E-07,12.2746234978,-28.2073448327,5
4.35E-07,13.0490402525,-27.9382593189,5
6.71E-07,12.5900085399,-28.1218829332,5
-1.10E-07,12.0507158141,-28.0295464772,5
7.59E-08,12.0984725165,-27.8509186139,5
2.23E-07,12.3787308035,-28.6676743327,5
4.54E-07,12.518474753,-28.6668953111,5
-2.94E-07,12.4706784457,-28.1210726942,5
-1.09E-07,12.1750160304,-28.1255452329,5
-4.16E-07,12.2700786482,-28.6688668497,5
-2.34E-07,12.4852274399,-28.3943507939,5
-1.14E-07,12.1080828842,-28.4825509009,5
6.07E-07,12.3309369125,-28.0277240256,5
-8.13E-07,12.6484074445,-28.0296432744,5
1.85E-07,12.2018076836,-28.487291614,5
-2.86E-07,12.1939789562,-28.3081632537,5
4.17E-07,12.3595133855,-27.85149741,5
3.75E-07,11.9062086657,-28.0266135587,5
-3.15E-07,11.8950949893,-27.9344150955,5
1.42E-07,12.0478729881,-27.8425703122,5
4.29E-07,12.3240929563,-28.7582516717,5
-4.10E-07,12.2176649649,-28.9428830188,5
1.57E-07,12.1552326565,-28.3061590373,5
8.51E-07,11.790611239,-28.6636940045,5
-3.90E-07,11.8616135615,-28.7543206791,5
1.71E-07,12.0080495414,-28.5714428587,5
9.57E-07,11.8299960834,-28.5725525186,5
9.04E-07,11.9594665712,-28.6662714003,5
9.28E-07,12.4472211376,-28.0324322721,5
-1.41E-07,12.453049849,-28.6714697945,5
-3.48E-07,12.257494156,-29.1252554131,5
6.62E-07,12.4660313024,-28.8489557687,5
-1.35E-08,12.3455828586,-28.3030016711,5
5.09E-07,12.0800868335,-28.8445354804,5
3.31E-07,9.6500806398,-27.4203564605,6
4.89E-07,9.6222026634,-27.7835478004,6
-8.76E-07,9.6299734362,-27.8777884885,6
