06:18:d6:c2:98:24(inonet),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),18:28:61:9e:ab:5c(MMD),04:18:d6:c1:98:24(inonet),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),4c:5e:0c:71:aa:15(RFKON2014-Mesh),18:28:61:1c:0b:69(EVOSOFT),dc:02:8e:c2:23:52(ILKSEM),e8:37:7a:6c:7f:55(PYR),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),c4:6e:1f:58:40:d2(DLink_D01),18:28:61:58:78:6a(Dlink_DAP-1360),4c:5e:0c:23:44:33(RFKON2014-Mesh),e4:8d:8c:20:4d:c1(UPLAT),00:26:5a:52:0b:8c(RFKON_115),18:28:61:13:0d:9d(EROGLU),REF_POINT
-70,-77,NaN,-78,-61,-56,-38,-59,-60,-48,-60,-64,-64,-71,-92,NaN,NaN,NaN,NaN,-92,1
-69,-77,NaN,-77,-61,-56,-38,-58,-64,-49,-57,-66,-64,-71,-92,NaN,NaN,-77,NaN,-92,1
-71,-77,-79,-76,NaN,-56,-38,-59,-62,-48,-57,-66,-63,-70,NaN,-88,-76,-77,NaN,NaN,1
-70,-77,-79,-76,NaN,-56,-38,-59,-63,-48,-58,-66,-64,-71,NaN,-88,-79,NaN,NaN,NaN,1
-70,-77,-79,-76,-61,-55,-38,-58,-63,-49,-57,-65,-64,-71,-90,NaN,-72,-78,NaN,NaN,1
-69,-77,-79,-76,-61,-55,-38,-59,-57,-48,-57,-65,-64,-71,-90,NaN,-72,-77,NaN,NaN,1
-70,-74,NaN,NaN,-67,-55,-38,-59,-63,-49,-60,-65,-63,-70,NaN,NaN,NaN,-76,NaN,NaN,1
-70,-74,-76,-77,-67,-55,-68,-60,-64,-49,-57,-64,-63,-70,NaN,NaN,-72,-76,NaN,NaN,1
-70,-78,-76,-77,-63,-57,-39,-59,-64,-48,-57,-64,-69,-71,NaN,NaN,-81,NaN,NaN,NaN,1
-71,-75,NaN,NaN,-62,-57,-39,-59,-60,-48,-57,-65,-63,-71,NaN,NaN,-75,NaN,NaN,NaN,1
-72,-75,-80,-75,-62,-58,-36,-59,-64,-47,-56,-65,-64,-71,NaN,NaN,-75,NaN,NaN,NaN,1
-71,-75,-78,-77,-62,-57,-38,-59,-63,-47,-57,-66,-72,-72,NaN,NaN,NaN,-77,NaN,NaN,1
-71,-75,-78,-77,-61,-56,-69,-59,-64,-45,-56,-67,-70,-71,NaN,NaN,-80,-76,NaN,NaN,1
-70,NaN,NaN,-76,-61,-56,-38,-59,-64,-47,-55,-67,-63,-71,NaN,NaN,-73,-77,NaN,NaN,1
-71,-76,-77,-77,-61,-55,-36,-57,-63,-47,-55,-65,-63,-72,NaN,NaN,-73,-76,-78,NaN,1
-70,-74,-77,-77,-60,-56,-38,-57,-63,-47,-56,-65,-63,-71,NaN,NaN,-74,-76,-78,NaN,1
-70,-74,NaN,NaN,-60,-56,-39,-57,-63,-48,-55,-66,-63,-71,NaN,NaN,-74,-77,NaN,NaN,1
-70,-75,NaN,NaN,NaN,-55,-38,-59,-64,-47,-55,-67,-67,-71,NaN,NaN,-74,-75,-83,NaN,1
-69,-75,-78,-74,NaN,-56,-39,-59,-63,-50,-56,-63,-64,-71,NaN,NaN,NaN,-77,-83,NaN,1
-71,-75,-78,-75,-60,-55,-38,-65,-62,-44,-60,-65,-66,-69,NaN,NaN,NaN,-77,NaN,NaN,1
-71,-75,NaN,-75,-62,-56,-39,-60,-62,-44,-58,-65,-72,-72,NaN,NaN,NaN,-76,NaN,NaN,1
-71,-76,-82,-76,-59,-55,-38,-58,-64,-50,-58,-67,-70,-70,-91,NaN,NaN,-76,NaN,NaN,1
-71,-76,-82,-77,-65,-52,-38,-59,-64,-48,-57,-64,-63,-71,-91,NaN,-76,-64,NaN,NaN,1
-72,-76,-82,-77,-61,-54,-37,-59,-64,-46,-59,-64,-68,-71,NaN,NaN,-76,-64,-90,NaN,1
-72,NaN,NaN,NaN,-59,-56,-38,-59,-64,-46,-58,-64,-63,-71,NaN,NaN,-74,-77,-90,NaN,1
-71,-76,NaN,-73,-65,-55,-38,-59,-64,-47,-57,-66,-64,-71,NaN,NaN,-72,-76,NaN,NaN,1
-72,-76,-83,-77,-66,-54,-38,-58,NaN,-46,-59,-66,-65,-70,NaN,NaN,-74,-77,NaN,NaN,1
-72,-75,-82,-77,-66,-55,-38,-92,-64,-46,-58,-66,-65,-72,NaN,NaN,-76,-77,NaN,NaN,1
-72,-75,-82,-77,-59,-54,-37,-59,-65,-46,-58,-65,-68,-72,NaN,NaN,-80,NaN,NaN,NaN,1
-72,NaN,-84,-77,-60,-53,-38,-59,-64,-46,-59,-65,-65,-71,NaN,NaN,-77,NaN,NaN,NaN,1
-72,-76,-77,-76,-62,-56,-38,-59,-67,-46,-60,-66,-66,-71,NaN,NaN,-76,NaN,NaN,NaN,1
-71,-76,-78,-77,-64,-55,-38,-59,-64,-47,-58,-64,-64,-71,NaN,NaN,-76,-76,NaN,NaN,1
-71,-77,-78,-76,-60,-53,-38,-58,-64,-46,-58,-65,-65,-71,NaN,NaN,-76,-77,NaN,NaN,1
-72,-76,-79,-76,-61,-52,-37,-58,-64,-47,-58,-67,-68,-69,NaN,NaN,-76,-77,NaN,NaN,1
-72,-76,-79,-76,-60,-53,-39,-58,-63,-45,-60,-66,-66,-71,NaN,NaN,-72,-75,NaN,NaN,1
-72,-76,NaN,-76,-63,-55,-38,NaN,-64,-48,-59,-65,-66,-71,NaN,NaN,-72,-75,NaN,NaN,1
-69,NaN,NaN,NaN,-60,-55,-38,-60,-64,-47,-58,-67,-52,-71,NaN,NaN,-74,-77,NaN,NaN,1
