06:18:d6:c2:98:24(inonet),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),18:28:61:9e:ab:5c(MMD),04:18:d6:c1:98:24(inonet),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),4c:5e:0c:71:aa:15(RFKON2014-Mesh),18:28:61:1c:0b:69(EVOSOFT),dc:02:8e:c2:23:52(ILKSEM),e8:37:7a:6c:7f:55(PYR),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),c4:6e:1f:58:40:d2(DLink_D01),18:28:61:58:78:6a(Dlink_DAP-1360),4c:5e:0c:23:44:33(RFKON2014-Mesh),e4:8d:8c:20:4d:c1(UPLAT),00:26:5a:52:0b:8c(RFKON_115),18:28:61:13:0d:9d(EROGLU),REF_POINT
-70,-82,-68,-74,-68,-51,-39,-68,-60,-52,-67,-69,-64,-76,-86,NaN,-72,-76,NaN,NaN,2
-69,-81,-70,-74,-66,-51,-39,-68,-60,-52,-67,-71,-64,-76,-87,NaN,-72,-76,NaN,NaN,2
-69,-81,-70,-73,-66,-51,-38,-68,-60,-53,-66,-70,-71,NaN,-87,-88,-72,NaN,NaN,NaN,2
-70,NaN,-75,-73,-65,-49,-39,-69,-60,-52,-66,-69,-62,NaN,-87,-88,-71,NaN,NaN,NaN,2
-70,NaN,-70,-75,-65,-50,-38,-68,-59,-52,-63,-70,-63,-75,-86,NaN,-71,NaN,NaN,NaN,2
-70,NaN,-70,-74,-70,-50,-40,-68,-61,-52,-65,-70,-64,-75,-86,NaN,NaN,-76,NaN,NaN,2
-70,NaN,NaN,-74,-69,-50,-39,NaN,-60,-52,-65,-70,-64,-76,NaN,NaN,NaN,-76,NaN,NaN,2
-69,NaN,-71,-75,-68,-50,-39,-68,-59,-53,-64,-69,-63,-76,-86,NaN,NaN,-77,NaN,NaN,2
-71,-76,-72,-74,-65,-56,-37,-65,-70,-33,-51,-69,-63,-72,-86,NaN,NaN,-77,NaN,NaN,3
-72,NaN,-72,NaN,-64,-57,-32,-73,-70,-31,-51,NaN,-68,-72,NaN,NaN,NaN,NaN,NaN,NaN,3
-73,NaN,-67,NaN,-65,-56,-33,-65,-70,-32,-53,NaN,-63,-72,NaN,NaN,NaN,NaN,-88,NaN,3
-72,NaN,-70,NaN,-65,-55,-32,-71,-73,-32,-51,-71,-63,-72,NaN,NaN,NaN,NaN,-88,NaN,3
-74,NaN,-70,-75,-64,-56,-33,-62,-73,-32,-51,-71,-60,-71,-82,NaN,NaN,NaN,NaN,NaN,3
-72,NaN,-74,-74,-64,-56,-32,-66,-73,-32,-51,-72,-62,-71,-82,NaN,NaN,-78,NaN,NaN,3
-72,-77,-73,-74,-65,-56,-33,-66,-73,-32,-54,-70,-62,-71,-84,NaN,NaN,-78,NaN,NaN,3
-74,-80,-73,-74,-60,-57,-32,-67,NaN,-32,-51,-72,-65,-71,-84,NaN,NaN,-80,NaN,NaN,3
-74,-77,NaN,-79,-60,-58,-32,-64,-73,-32,-51,-72,-64,-71,-83,NaN,NaN,-78,NaN,-89,3
-73,-77,-72,-77,NaN,-57,-33,-59,-73,-31,-51,-73,-60,-76,-82,NaN,NaN,-78,NaN,-89,3
-73,-80,-72,-78,-68,-55,-32,-59,NaN,-31,-52,-73,-60,-71,-83,NaN,NaN,NaN,NaN,NaN,3
-72,-80,-71,-78,-69,-57,-32,-62,NaN,-31,-51,-79,-61,-70,-82,NaN,NaN,-80,NaN,NaN,3
-72,-78,-72,-76,-65,-54,-32,-62,NaN,-32,-51,-71,-61,-69,-82,NaN,-71,-80,NaN,NaN,3
-72,-77,-69,-79,-64,-55,-32,-62,-69,-32,-51,-71,-65,-71,-83,NaN,-76,-79,NaN,NaN,3
-73,-80,-72,-81,-66,-55,-32,-63,-69,-32,-51,-69,-62,-72,-84,NaN,-77,-81,NaN,NaN,3
-74,-76,-70,-76,-66,-55,-32,-59,NaN,-31,-51,-69,-61,-72,-84,NaN,-77,-81,NaN,NaN,3
-74,-79,-71,-78,-66,-56,-32,-64,-71,-31,-51,-71,-62,-71,-83,NaN,NaN,NaN,NaN,-88,3
-75,-78,-72,-77,-60,-56,-32,-65,-71,-32,-51,-70,-63,-72,-83,NaN,NaN,-79,NaN,-88,3
-75,-77,-74,-77,-65,-56,-32,-65,-71,-30,-51,-72,-63,-72,-83,NaN,NaN,-79,NaN,NaN,3
-74,-77,-72,-77,-67,-56,-32,NaN,-71,-32,-50,-73,-62,NaN,-83,NaN,NaN,-78,NaN,NaN,3
-73,-76,-72,NaN,-63,-55,-32,-65,-71,-31,-51,-72,-63,-72,-81,NaN,NaN,-81,NaN,NaN,3
-74,-76,-70,NaN,-63,-57,-32,-66,-73,-32,-51,-72,-64,-83,-81,NaN,-73,-81,NaN,-89,3
-73,-77,-71,NaN,-63,-59,-32,-65,-72,-31,-51,-73,-61,-72,NaN,NaN,-73,-78,NaN,-89,3
-74,-77,-70,NaN,-66,-56,-32,-63,-74,-32,-51,-76,-59,-72,-83,NaN,-76,-78,NaN,NaN,3
-75,-77,-71,NaN,-63,-55,-32,-63,-75,-32,-51,-71,-62,-78,-83,NaN,-76,-78,NaN,NaN,3
-74,-77,-76,NaN,-64,-56,-31,-61,-75,-32,-52,-71,-62,-72,NaN,NaN,NaN,-78,NaN,NaN,3
-74,-78,-71,NaN,-63,-56,-32,-65,NaN,-31,-51,NaN,-61,-78,-84,NaN,NaN,-79,NaN,NaN,3
-75,-78,-71,NaN,-63,-56,-32,-65,-75,-32,-51,NaN,-60,-72,-84,NaN,NaN,-79,NaN,NaN,3
-74,-77,-69,-79,-63,-56,-32,-64,-73,-32,-51,-72,-66,-72,-83,NaN,-77,NaN,NaN,NaN,3
-73,-78,-69,-79,-65,-57,-32,-62,-74,-32,-51,-72,-60,-71,-85,NaN,-74,-78,NaN,NaN,3
-73,-78,NaN,-76,-66,-55,-32,-66,-74,-32,-51,-71,-61,-71,-83,NaN,-74,-78,NaN,-88,3
-73,-78,-71,-76,-66,-85,-32,-68,NaN,-32,-51,-72,-60,-71,-83,NaN,-74,NaN,NaN,-88,3
-73,-83,-72,-76,-65,-55,-32,-65,-74,-32,-51,-71,-62,-71,-84,NaN,-74,NaN,NaN,NaN,3
-72,-83,-71,-76,-64,-56,-32,-60,-74,-32,-51,-71,-62,-72,-84,NaN,NaN,NaN,NaN,NaN,3
-72,NaN,-71,NaN,-64,-55,-32,-64,NaN,-32,-51,NaN,-64,-72,NaN,NaN,NaN,NaN,NaN,NaN,3
-73,-78,-73,NaN,-65,-55,-31,-65,NaN,-28,-53,-74,-64,-72,NaN,NaN,-72,NaN,NaN,NaN,3
-73,-78,-72,NaN,-63,-56,-32,-65,-73,-32,-51,-74,-63,-73,-83,NaN,-76,NaN,NaN,NaN,3
-72,-79,-71,-77,-64,-56,-32,NaN,-74,-31,-51,-69,-64,-72,-83,NaN,-76,NaN,NaN,NaN,3
-73,-79,-73,-77,-64,-55,-32,-64,-72,-31,-51,-71,-64,-72,NaN,NaN,-78,-78,NaN,NaN,3
-72,-78,-73,-73,-63,-56,-32,-69,-74,-30,-51,-71,-66,-72,-84,NaN,-78,-81,NaN,-87,3
-74,-79,-70,-76,-65,-56,-32,-65,-74,-32,-52,-70,-65,-72,-84,NaN,-77,-77,NaN,-87,3
-73,-85,-70,-76,-62,-56,-32,-65,NaN,-30,-53,-70,-63,-72,-83,NaN,-77,-77,NaN,NaN,3
-72,-80,-68,-75,-63,-56,-32,-65,-71,-31,-52,-78,-64,-72,-83,NaN,NaN,-77,NaN,NaN,3
-74,-79,-68,-75,-62,-56,-32,-64,-71,-31,-51,-73,-66,-72,-83,-87,NaN,-77,NaN,NaN,3
-73,-80,-71,-75,-64,-56,-31,-65,NaN,-32,-51,-72,-65,-71,-83,-87,NaN,-77,NaN,NaN,3
-73,-78,-71,-91,-65,-55,-32,-64,-72,-32,-52,-72,-63,-71,-84,NaN,-76,NaN,NaN,NaN,3
-74,-79,NaN,-91,-58,-56,-32,-64,-70,-32,-54,-65,-64,-72,-83,NaN,-76,-77,NaN,NaN,3
-73,-78,-71,NaN,-66,-56,-32,-65,-70,-32,-51,-72,-63,-72,-82,NaN,-76,-78,NaN,NaN,3
-73,-80,-72,-76,-66,-57,-32,-65,NaN,-32,-51,-70,-63,NaN,-82,NaN,-76,-77,NaN,NaN,3
-73,-78,-72,-76,-65,-57,-32,-65,NaN,-32,-51,-70,-63,NaN,-83,NaN,-76,-78,NaN,NaN,3
-72,-78,-70,NaN,-65,-56,-32,-65,NaN,-29,-51,-70,-66,-72,-84,-88,-78,-77,NaN,NaN,3
-72,-76,-73,NaN,-63,-55,-32,-64,NaN,-32,-52,-70,-64,-72,-84,-88,-73,-77,NaN,-87,3
-72,-76,-72,-75,-65,-54,-32,-65,-74,-32,-52,-70,-67,-72,NaN,NaN,-73,-77,NaN,-87,3
-73,NaN,-70,-75,-65,-55,-32,-65,-74,-32,-54,-72,-63,-76,-83,NaN,NaN,-77,NaN,NaN,3
-73,NaN,-70,NaN,-57,-54,-32,-65,-73,-32,-51,-66,-64,-72,-83,NaN,NaN,NaN,NaN,NaN,3
-72,NaN,-70,NaN,-65,-55,-32,-67,-73,-32,-51,-70,-65,-72,-84,NaN,-77,NaN,NaN,NaN,3
-73,NaN,-71,-76,-65,-55,-32,-64,NaN,-32,-52,-71,-66,-72,-84,NaN,-77,-77,NaN,NaN,3
-73,-80,-71,-76,-65,-56,-32,-64,-73,-32,-51,-72,-63,-72,-84,NaN,NaN,-78,NaN,NaN,3
-73,-80,-71,NaN,-65,-55,-32,-65,-72,-32,-51,-67,-66,NaN,NaN,NaN,-76,-78,NaN,NaN,3
-73,NaN,-72,-77,-64,-56,-32,-65,-77,-32,-51,-70,-63,NaN,NaN,NaN,-77,-77,NaN,NaN,3
-72,NaN,-71,-77,-64,-55,-32,NaN,-72,-32,-51,-72,-63,-72,NaN,NaN,-77,-77,NaN,NaN,3
-72,-79,-71,-77,NaN,-58,-32,-68,-72,-32,-51,-72,-63,-72,NaN,-87,NaN,NaN,NaN,NaN,3
-73,-79,-71,-77,-65,-56,-32,-65,-71,-32,-52,-72,-62,-71,-83,-87,-77,-78,NaN,NaN,3
-73,NaN,-71,-76,-68,-57,-32,-64,-71,-32,-51,-72,-62,-71,-83,NaN,-77,-85,NaN,NaN,3
-73,-79,-72,-77,-68,-56,-32,-64,-71,-32,-52,-73,-62,-71,-83,NaN,-77,-77,NaN,NaN,3
-72,-79,-69,-78,-64,-57,-33,-64,-71,-32,-51,-72,-62,-71,-83,NaN,-77,-77,NaN,NaN,3
-72,-78,-71,-78,-63,-58,-32,-63,-71,-32,-53,-72,-65,-71,-85,NaN,NaN,-77,NaN,NaN,3
-72,-78,-70,-77,-63,-57,-32,-65,-71,-32,-51,-67,-66,-72,-84,NaN,-75,-79,NaN,NaN,3
-72,-79,-70,-77,-66,-56,-32,-65,-71,-32,-51,-73,-66,-71,-82,NaN,-75,-78,NaN,NaN,3
-71,-80,-70,NaN,-66,-56,-30,-66,-71,-32,-51,-73,-62,-71,-83,NaN,-76,-78,NaN,NaN,3
-72,-80,-70,NaN,NaN,-57,-32,-64,-71,-32,-51,-72,-61,-70,-83,NaN,-76,NaN,NaN,NaN,3
-73,-78,-69,-76,-63,-56,-31,-64,-71,-32,-52,-73,-60,-71,-82,NaN,-77,-78,NaN,NaN,3
-72,-78,-70,-76,-65,-57,-32,-67,-71,-32,-54,-73,-62,-72,-82,NaN,-77,-77,NaN,NaN,3
-72,NaN,-70,NaN,-65,-58,-32,-65,NaN,-32,-51,-73,-62,-72,NaN,NaN,-76,-77,NaN,NaN,3
-72,-80,-70,NaN,-60,-56,-32,-64,-71,-32,-53,NaN,-60,-72,NaN,NaN,-76,NaN,NaN,NaN,3
-72,-80,-73,NaN,-65,-55,-32,-64,-71,-32,-52,-72,-62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-73,NaN,-73,-75,-63,-56,-31,-66,-74,-32,-52,-72,-60,-71,-83,NaN,NaN,-77,NaN,NaN,3
-72,-78,-69,-75,-62,-55,-32,-66,-74,-32,-52,NaN,-61,-71,-85,NaN,-79,-77,NaN,NaN,3
-72,-78,-70,-75,-64,-58,-32,-64,-79,-32,-52,-72,-61,-72,-84,NaN,-75,-78,NaN,NaN,3
-72,-79,-70,-73,-64,-56,-32,-66,-75,-64,-52,-73,-62,-73,-83,NaN,-75,-78,NaN,NaN,3
-68,-80,-71,-76,-63,-58,-32,-56,-73,-40,-57,-82,-60,-72,-91,NaN,-82,-80,NaN,NaN,4
-69,-80,-72,NaN,-63,-53,-39,-56,-67,-38,-64,-82,-62,-69,-91,NaN,-77,-74,NaN,NaN,4
-68,NaN,-71,NaN,-70,-54,-34,-56,-68,-39,-63,NaN,-64,-68,-92,NaN,-77,-77,NaN,NaN,4
-68,-79,-70,NaN,-71,-57,-36,-55,-71,-32,-59,-65,-62,-68,-92,NaN,-77,-77,NaN,NaN,4
-67,-79,-70,-70,-61,-53,-35,-55,-71,-36,-56,-65,-59,NaN,NaN,-90,-77,NaN,NaN,NaN,4
-68,NaN,NaN,-71,-66,-54,-34,NaN,-72,-35,-60,-66,-60,-69,NaN,-90,-80,NaN,-88,NaN,4
-67,NaN,NaN,-71,-71,-54,-34,-56,-72,-34,-60,-67,-58,-69,NaN,NaN,-80,NaN,-89,NaN,4
-67,NaN,NaN,NaN,-64,-54,-35,-56,-75,-35,-59,-66,-60,-69,NaN,NaN,NaN,-78,-89,NaN,4
-68,-83,-69,NaN,-72,-53,-35,-60,-70,-34,-57,-66,-59,-69,-89,NaN,NaN,-78,NaN,NaN,4
-68,-79,-72,NaN,-63,-53,-33,-56,-69,-36,-56,-65,-64,-69,-90,NaN,NaN,-78,NaN,NaN,4
-68,-79,-69,-70,-71,-53,-35,-56,-69,-34,-58,-65,-58,-69,-90,NaN,NaN,-78,NaN,NaN,4
-67,NaN,-70,-70,-60,-52,-34,-60,-70,-34,-57,-81,-60,-68,-91,-89,-75,-78,NaN,NaN,4
-68,NaN,-70,-70,-60,-53,-34,-56,-70,-34,-57,-81,-58,-68,-90,-89,-75,-78,NaN,NaN,4
-67,NaN,-70,-70,-63,-53,-34,-56,-68,-34,-57,-66,-60,-68,-90,NaN,NaN,-79,NaN,NaN,4
-68,NaN,-69,-70,-71,-51,-35,-56,-68,-36,-56,-67,-62,-68,-90,NaN,-74,-79,NaN,NaN,4
-69,-78,-70,-71,-69,-50,-34,-56,NaN,-35,-57,-65,-63,-68,-90,NaN,-74,-78,-88,NaN,4
-69,-79,-72,-70,-65,-51,-32,-57,-70,-35,-58,-65,-62,-68,NaN,NaN,-76,-77,-88,NaN,4
-68,-79,-71,-70,-66,-51,-32,-57,-71,-36,-58,-66,-59,-67,-90,NaN,-76,-77,NaN,NaN,4
-69,-78,-72,-69,-70,-57,-33,-58,-71,-37,-60,-70,-59,-68,-90,NaN,-76,-77,NaN,NaN,4
-68,-78,-72,-69,-64,-54,-36,-57,-68,-37,-58,-68,-59,-68,-91,NaN,-77,-77,NaN,-90,4
-69,NaN,-72,-70,-65,-53,-36,-57,-68,-35,-59,-66,-60,NaN,-88,NaN,-77,-77,-77,-90,4
-69,-77,-71,-69,-64,-54,-35,-57,NaN,-36,-59,-66,-68,-67,-91,NaN,-77,-78,-77,NaN,4
-69,-80,-72,-71,-65,-53,-36,-56,-73,-36,-59,-66,-60,-65,-89,NaN,-77,-78,NaN,NaN,4
-69,-80,-72,-70,-66,-52,-36,-60,-73,-37,-58,-66,-65,-67,-88,-87,-73,-77,NaN,NaN,4
-69,NaN,-74,-71,-64,-52,-36,-60,-73,-34,-60,-75,-59,-67,-92,-87,-73,-77,NaN,-88,4
-69,NaN,-71,-71,-69,-53,-35,-60,-73,-41,-60,-75,-60,-68,-92,NaN,-76,-77,NaN,-88,4
-68,-78,-72,-71,-64,-53,-35,-57,-91,-36,-59,-66,-60,-69,-91,NaN,-75,-76,NaN,NaN,4
-69,-78,-68,-68,-68,-53,-35,-60,-71,-35,-57,-66,-59,-68,-91,NaN,-73,-76,NaN,NaN,4
-69,NaN,-76,-70,-66,-51,-34,-60,-71,-38,-58,-65,-67,-68,NaN,NaN,-73,-76,NaN,NaN,4
-69,-79,-72,-70,-65,-50,-34,-57,-68,-37,-59,-66,-59,-68,NaN,NaN,NaN,NaN,NaN,NaN,4
-70,-80,-72,-70,-67,-50,-35,-57,-68,-73,-58,-66,-68,-68,-92,NaN,NaN,NaN,NaN,NaN,4
-69,-80,-71,-70,-66,-55,-35,-58,-70,-38,-58,-65,-59,-68,-92,NaN,-79,-79,NaN,NaN,4
-69,-78,-70,-69,-64,-48,-34,-57,-70,-38,-60,-65,-59,-68,NaN,NaN,-79,-78,NaN,NaN,4
-69,-78,-70,-70,-63,-50,-32,-56,-70,-37,-60,-65,-68,-67,NaN,NaN,-74,-78,NaN,NaN,4
-69,NaN,-69,-69,-65,-51,-34,-57,-69,-35,-60,NaN,-59,-68,NaN,NaN,-74,-77,NaN,NaN,4
-69,-80,-70,-69,-65,-52,-34,-56,-69,-35,-57,-66,-60,-68,NaN,NaN,-82,-77,NaN,NaN,4
-69,-80,-71,-71,-64,-55,-32,-57,-70,-35,-60,-75,-60,-67,NaN,NaN,-82,NaN,NaN,NaN,4
-69,-78,-70,-69,-67,-52,-33,-57,-70,-35,-58,-75,-60,-68,NaN,NaN,-80,-76,NaN,NaN,4
-68,-78,-70,-70,-66,-52,-34,-56,-68,-37,-58,-65,-70,-68,NaN,NaN,-80,-78,NaN,NaN,4
-68,NaN,-72,-70,-66,-51,-34,-56,-69,-37,-58,-75,-69,-68,-90,NaN,NaN,-77,NaN,NaN,4
-68,-80,-72,-69,-68,-55,-34,NaN,-69,-35,-60,-65,-63,-67,-90,NaN,NaN,-77,NaN,NaN,4
-68,-79,NaN,-71,-65,-55,-34,-58,-68,-36,-55,-65,-60,-67,-91,NaN,-80,-77,NaN,-89,4
-69,-78,-72,-90,-69,-51,-33,-57,-71,-38,-58,-66,-60,-67,-91,NaN,-78,-77,NaN,-89,4
-67,-80,-71,-90,-69,-52,-35,-56,-69,-35,-55,-66,-66,-67,NaN,NaN,-78,-78,NaN,NaN,4
-67,-80,-73,-69,-63,-51,-35,-56,-69,-33,-55,-65,-61,-68,-90,NaN,-76,-78,NaN,NaN,4
-67,NaN,-73,-69,-63,-52,-33,-56,NaN,-33,-54,-77,-61,-68,-90,-89,-76,NaN,NaN,NaN,4
-68,NaN,-73,-68,-63,-53,-35,-56,-70,-35,-55,-66,-60,-67,-92,-89,NaN,-80,NaN,NaN,4
-68,NaN,-74,-68,-66,-51,-35,-56,-70,-35,-57,-74,-60,-68,-92,NaN,NaN,-80,-87,NaN,4
-67,NaN,-72,-69,-65,-57,-33,-56,NaN,-35,-56,-68,-60,-68,NaN,NaN,NaN,NaN,-87,NaN,4
-67,NaN,-72,-69,-60,-51,-34,NaN,-70,-35,-55,-68,-60,-68,NaN,NaN,NaN,-77,NaN,NaN,4
-70,NaN,-70,-68,-65,-52,-34,NaN,-70,-36,-60,NaN,-59,-68,NaN,NaN,-80,-77,NaN,NaN,4
-70,-80,-70,-68,-70,-52,-34,NaN,NaN,-37,-59,-65,-60,-69,NaN,NaN,-80,NaN,NaN,NaN,4
-70,-80,-71,-70,-65,-51,-34,NaN,NaN,-36,-59,-67,-60,-69,NaN,NaN,NaN,-79,NaN,NaN,4
-70,NaN,-68,-70,-67,-51,-34,-59,-66,-36,-59,-66,-60,-69,-91,NaN,NaN,-79,NaN,NaN,4
-70,NaN,-68,-70,-65,-53,-35,-57,-69,-37,-60,-66,-61,-69,-91,NaN,NaN,NaN,NaN,NaN,4
-69,-80,NaN,-68,-70,-53,-34,-56,-68,-38,-58,-67,-62,-69,-91,NaN,NaN,NaN,NaN,NaN,4
-70,-80,-73,-70,-66,-51,-34,-56,-72,-36,-59,-82,-62,-69,-91,NaN,NaN,-76,NaN,NaN,4
-69,NaN,-73,-68,-65,-54,-35,-59,-70,-36,-59,-82,-60,NaN,NaN,NaN,NaN,-76,NaN,NaN,4
-69,-81,-67,-68,-65,-54,-35,-56,-70,-37,-60,-65,-62,-69,NaN,-89,NaN,-77,NaN,NaN,4
-69,-79,-67,-68,-65,-52,-32,-56,-71,-36,-62,-66,-60,-68,-91,-89,NaN,-77,NaN,NaN,4
-69,-91,-71,-69,-67,-56,-35,-55,-66,-37,-61,-74,-69,-68,-91,-89,NaN,-78,NaN,NaN,4
-69,-91,-71,-69,-65,-54,-35,-57,-67,-37,-59,-68,-61,-68,-90,-88,-78,-78,NaN,NaN,4
-70,-78,-71,-68,-67,-53,-35,-59,-76,-37,-61,-67,-60,-69,-90,-88,-80,-77,NaN,NaN,4
-69,-78,-71,-72,-67,-59,-35,-56,-76,-37,-58,-69,-60,-69,NaN,NaN,-80,-75,NaN,NaN,4
-69,NaN,-69,-68,-67,-57,-35,-58,-67,-36,-59,-68,-60,-69,NaN,NaN,-80,-77,NaN,NaN,4
-69,-81,-71,-68,-67,-54,-32,-57,-66,-37,-58,-74,-69,-69,NaN,NaN,-80,-77,NaN,NaN,4
-70,-81,-71,-68,-64,-55,-34,-60,-76,-36,-57,-69,-60,-69,NaN,NaN,NaN,NaN,NaN,NaN,4
-70,NaN,-71,NaN,-65,-53,-36,-56,-65,-38,-61,-69,-60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-70,-84,-69,-68,-66,-54,-33,-56,-65,-36,-61,-74,-60,-68,NaN,NaN,NaN,-78,NaN,NaN,4
-69,-84,-70,-68,-79,-52,-35,-56,-65,-36,-59,-74,-60,-90,NaN,NaN,NaN,-78,NaN,NaN,4
-70,-79,-89,NaN,-68,-54,-35,-58,NaN,-36,-60,-74,-61,-68,-90,NaN,-80,-76,NaN,NaN,4
-70,-81,-69,-69,-66,-54,-35,-58,NaN,-37,-60,-74,-62,-68,-90,NaN,-74,-76,NaN,NaN,4
-70,-81,-69,-69,-64,-53,-35,-58,-66,-36,-59,-68,-60,-68,NaN,-92,-74,-78,NaN,NaN,4
-70,NaN,-75,-69,-67,-53,-35,-57,-66,-36,-57,-68,-60,-68,-91,-92,NaN,-78,NaN,NaN,4
-70,-80,-70,-68,-70,-53,-35,-59,-66,-36,-58,-75,-60,-68,-90,NaN,-75,-78,NaN,NaN,4
-69,-80,-68,-69,-69,-53,-35,-57,-66,-36,-57,-68,-61,-68,-89,NaN,-89,-78,NaN,NaN,4
-70,-79,-68,-69,-66,-53,-35,-56,-65,-36,-56,-71,-60,-68,-89,NaN,-74,-78,NaN,NaN,4
-72,-80,-68,-87,-67,-54,-35,-56,-65,-36,-57,-68,-68,-69,NaN,NaN,-74,-78,NaN,NaN,4
-71,-80,-68,-70,-65,-53,-35,-58,-67,-35,-57,-68,-59,-69,-90,NaN,NaN,-76,NaN,NaN,4
-71,-81,-69,-70,-64,-53,-35,-56,-67,-35,-59,-63,-58,-68,-91,NaN,NaN,-78,NaN,NaN,4
-67,-81,-66,-75,-64,NaN,-34,-60,-67,-42,-48,-72,-53,-69,-91,NaN,NaN,-79,NaN,NaN,5
-67,-73,-63,-75,-68,NaN,-38,-57,-60,-73,-46,-70,-67,-67,-88,NaN,-72,NaN,NaN,-87,5
-67,-75,-65,-76,-67,-50,-34,-56,-59,-39,-46,-76,-56,-69,-90,NaN,-73,-77,NaN,-87,5
-67,-76,-63,-76,-64,-51,-33,-56,-59,-39,-46,-72,-57,-67,-90,NaN,-73,-77,NaN,NaN,5
-68,-75,-63,-74,-60,-50,-32,-57,-59,-38,-48,-71,-57,-67,-88,NaN,NaN,-77,NaN,NaN,5
-68,-75,-63,-74,-62,-50,-33,-56,-59,-38,-46,-70,-57,-67,-89,NaN,-72,-77,NaN,NaN,5
-68,-75,-64,-72,-66,-50,-33,-56,-59,-40,-46,-70,-56,-68,-89,-89,-72,-82,-79,NaN,5
-68,-75,-69,-73,-67,-50,-33,-57,-59,-39,-48,-70,-57,-67,-90,-89,NaN,-82,-79,NaN,5
-67,-77,-63,-74,-60,-51,-34,-57,-59,-40,-45,-71,-55,-67,-87,NaN,NaN,-77,NaN,NaN,5
-68,-73,-64,-74,-62,-50,-33,-57,-59,-38,-46,-71,-56,-68,-87,NaN,NaN,-77,NaN,NaN,5
-68,-75,-63,-73,-63,-50,-33,-57,-59,-40,-46,-72,-56,-67,NaN,NaN,NaN,-76,-80,NaN,5
-68,-74,-63,-73,-60,-51,-33,-56,-59,-39,-47,-71,-57,-67,-88,NaN,NaN,-76,-80,NaN,5
-68,-74,-69,-74,-67,-48,-33,-56,-59,-39,-46,-72,-57,-67,-88,NaN,-73,NaN,-79,NaN,5
-68,-73,-64,-74,-62,-50,-33,-57,-59,-38,-48,-70,-55,-67,NaN,NaN,-73,-78,-79,NaN,5
-68,-73,-64,-86,-54,-50,-33,-57,-59,-40,-46,-70,-56,-68,-91,NaN,-72,-79,-79,NaN,5
-68,NaN,-63,-86,-63,-50,-33,-57,-67,-38,-46,-71,-55,-68,-91,-88,-72,-76,-79,NaN,5
-68,-75,-58,NaN,-62,NaN,-57,-90,-59,-38,-48,-72,-56,-68,NaN,-88,-72,-76,-80,NaN,5
-68,-75,-89,NaN,-64,-49,-33,-55,-59,-40,-46,-73,-56,-68,-89,NaN,NaN,NaN,-80,NaN,5
-67,-76,-61,NaN,-64,-48,-33,-56,-59,-40,-46,-73,-55,-68,-88,-88,-72,NaN,-78,NaN,5
-67,-76,-64,-72,-63,-49,-34,-59,-59,-40,-46,-71,-56,-68,-88,-83,-72,NaN,-79,NaN,5
-68,-75,-90,-74,-64,-49,-32,-57,NaN,-40,-46,-71,-56,-67,NaN,-83,NaN,-78,-80,NaN,5
-67,-76,-64,-74,-53,-48,-33,-55,-60,-40,-46,-72,-57,-68,-89,NaN,NaN,-83,-81,NaN,5
-68,-76,-65,-74,-61,-49,-33,-57,-60,-39,-46,-70,-57,-68,-88,NaN,NaN,-83,-80,NaN,5
-67,-74,-64,-74,-54,-49,-33,-58,-49,-38,-46,-75,-56,-68,-88,NaN,-74,-79,-80,NaN,5
-66,-74,-65,NaN,-62,-48,-33,-57,-49,-71,-46,-70,-55,-68,-88,NaN,-71,-79,-80,NaN,5
-67,-74,-70,NaN,-54,-49,-33,-57,NaN,-38,-46,-71,-55,-67,-88,NaN,-72,-79,-80,NaN,5
-67,-74,-70,-69,-63,-48,-33,-57,-59,-38,-46,-70,-56,-67,-88,NaN,-72,-78,-82,NaN,5
-67,NaN,-63,-69,-52,-48,-33,NaN,-89,-40,-48,-71,-56,-67,-88,-87,-73,-79,-79,NaN,5
-67,-73,-63,-69,-51,-49,-33,-59,-59,-38,-46,-72,-56,-71,-89,-86,-73,-79,-80,NaN,5
-67,-75,-64,-68,-62,-49,-32,-60,-59,-39,-46,-72,-55,-67,-89,-86,NaN,NaN,-80,NaN,5
-70,-75,-64,-87,-62,-55,-34,-60,-65,-38,-46,-72,-57,-67,NaN,NaN,NaN,NaN,NaN,NaN,5
-67,-75,-62,-76,NaN,-55,-33,-58,-60,-39,-48,-73,-56,-67,NaN,NaN,-86,NaN,NaN,NaN,5
-67,-73,-63,-80,-59,-49,-33,-56,-60,-40,-48,-70,-56,-67,-89,NaN,-83,NaN,NaN,NaN,5
-67,-74,-63,-80,-59,-49,-33,-58,-61,-39,-46,-74,-55,-67,-89,NaN,-83,NaN,NaN,NaN,5
-67,-70,-63,NaN,-60,-54,-33,-56,-58,-39,-46,-71,-55,-69,NaN,NaN,-84,-78,NaN,NaN,5
