06:18:d6:c2:98:24(inonet),04:18:d6:c1:98:24(inonet),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),18:28:61:9e:ab:5c(MMD),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),4c:5e:0c:71:aa:15(RFKON2014-Mesh),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),e8:37:7a:6c:7f:55(PYR),dc:02:8e:c2:23:52(ILKSEM),04:bf:6d:d8:e8:a4(Evosoft),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),64:66:b3:d0:4a:8d(DLINK_D04A8D),e4:8d:8c:20:4d:c1(UPLAT),00:0f:f7:2e:0a:d0(ESOGU-WIFI),18:28:61:58:78:6a(Dlink_DAP-1360),4c:5e:0c:23:44:33(RFKON2014-Mesh),00:26:5a:52:0b:8c(RFKON_115),c4:6e:1f:58:40:d2(DLink_D01),18:28:61:13:0d:9d(EROGLU),REF_POINT
-73,-55,-58,-37,-76,-69,-40,-55,-64,-59,-62,-57,-67,-79,NaN,-82,-88,-86,-74,-82,NaN,-88,1
-72,-52,NaN,-34,-74,-68,-39,-53,-65,-69,-66,-66,-67,NaN,NaN,NaN,-86,NaN,-74,-85,NaN,-88,1
-73,-53,-58,-37,-75,-70,-41,-54,-65,-59,-66,-58,-67,-79,NaN,NaN,-86,NaN,-74,-85,NaN,NaN,1
-72,-53,-59,-34,-77,-70,-39,-54,-64,-59,-73,-58,-67,-79,-85,-81,-84,NaN,-74,-86,NaN,NaN,1
-73,-54,-57,-37,-74,-71,-39,-53,-63,-59,-62,-57,-67,-79,-85,-81,-84,NaN,NaN,-86,NaN,NaN,1
-57,-56,-57,-37,-74,-69,-40,-52,-64,-66,-77,-58,-67,-79,NaN,NaN,NaN,NaN,NaN,-86,NaN,NaN,1
-72,-53,-57,-37,-75,-70,-39,-53,-63,-66,-65,-58,NaN,NaN,NaN,-84,-85,NaN,NaN,-86,NaN,NaN,1
-72,-53,-57,-37,-75,-71,-40,-53,-62,-58,-64,-57,NaN,-79,NaN,-84,-85,NaN,NaN,-86,NaN,NaN,1
-73,-56,-57,-37,-76,-71,-39,-53,-65,-58,-64,-58,NaN,-79,-88,-82,-85,NaN,NaN,NaN,NaN,NaN,1
-73,-53,-57,-38,-75,-70,-39,-53,-65,-58,NaN,-66,-67,NaN,-88,-82,-85,NaN,-73,-87,NaN,NaN,1
-73,-56,-57,-35,-75,-70,-40,-53,-63,-65,-65,-57,-70,-79,NaN,-80,-84,NaN,-73,-87,NaN,NaN,1
-73,-56,-57,-37,-77,-71,-40,-53,-63,-58,-74,-67,-67,-79,-87,-80,-85,-85,NaN,-87,NaN,NaN,1
-60,-54,-57,-38,-73,-70,-40,-53,-61,-58,-66,-58,-67,-79,-87,-82,-87,-85,-77,-87,NaN,NaN,1
-73,-55,-58,-37,-73,-67,-45,-54,-63,-55,-66,-65,NaN,-79,NaN,-81,-86,NaN,-77,NaN,NaN,NaN,1
-72,-52,-58,-36,NaN,-67,-41,-56,-65,-59,-66,-58,-65,-79,NaN,-82,-86,NaN,-72,-85,NaN,NaN,1
-72,-55,-58,-37,-77,-68,-41,-55,-64,-60,NaN,-66,-65,-79,NaN,-82,-86,NaN,-72,-85,NaN,NaN,1
-71,-56,-57,-37,-74,-70,-41,-55,-65,-65,-75,-58,-66,NaN,NaN,-81,NaN,NaN,NaN,NaN,NaN,NaN,1
-72,-53,-57,-36,-74,-70,-40,-55,-66,-59,-68,-57,-68,NaN,NaN,-81,-86,NaN,NaN,NaN,NaN,NaN,1
-72,-55,-57,-37,-77,NaN,-40,-54,-65,-59,-68,-58,-68,NaN,NaN,-81,-86,NaN,NaN,NaN,NaN,NaN,1
-72,-53,-57,-35,-73,-75,-40,-54,-65,-59,NaN,-59,NaN,NaN,NaN,-79,-85,NaN,-76,-82,-85,-89,1
-58,-52,-57,-37,-75,-70,-40,-64,-67,-60,-79,-58,-67,-78,NaN,-85,-85,NaN,-77,-82,-85,-89,1
-73,-53,-58,-37,-77,-72,-35,-56,-65,-59,-79,-67,-67,-79,-86,-85,-85,NaN,-77,NaN,NaN,NaN,1
-72,-54,-57,-37,-74,-70,-35,-55,-64,-56,-75,-57,NaN,-79,-86,-82,-85,NaN,NaN,NaN,NaN,NaN,1
-72,-52,-56,-37,-76,-71,-41,-55,-65,-59,-66,-58,-67,-80,NaN,-80,-87,NaN,NaN,NaN,-86,NaN,1
-71,-53,-57,-37,-76,-72,-39,-55,-65,-58,-66,-66,-67,-80,NaN,-80,-84,NaN,NaN,NaN,-86,NaN,1
-72,-53,-57,-38,-74,-70,-40,-56,-65,-59,-76,-58,-68,NaN,NaN,-82,-84,NaN,NaN,NaN,NaN,NaN,1
-72,-56,-57,-37,-73,-70,-40,-60,-66,-59,-68,-58,-67,NaN,NaN,-82,NaN,NaN,NaN,-87,NaN,NaN,1
-72,-53,-58,-37,-73,-70,-41,-56,-65,-58,-68,-57,-68,NaN,NaN,-81,NaN,NaN,NaN,-87,NaN,NaN,1
-71,-53,-58,-37,NaN,-70,-39,-56,-65,-58,-65,-57,-68,-80,NaN,-81,NaN,NaN,NaN,NaN,NaN,NaN,1
-71,-55,-57,-35,-73,-71,-40,-55,-65,-66,-65,-66,-67,-80,NaN,-83,-85,NaN,NaN,-85,NaN,NaN,1
-61,-56,-58,-37,-73,-71,-40,-55,-65,-59,-65,-59,-67,-80,-86,-85,-89,-85,NaN,-85,NaN,-89,1
-72,-54,-57,-37,-74,-67,-39,-55,-65,-58,-75,-58,-67,-79,-86,-85,-89,-85,NaN,NaN,NaN,-89,1
-72,-53,-58,-36,-74,-71,-40,-55,-65,-66,-65,-58,-67,-80,-86,NaN,NaN,NaN,-79,-86,NaN,NaN,1
-72,-54,-57,-37,NaN,-70,-39,-56,-65,-59,-65,-58,-68,-80,-86,-83,-83,NaN,-79,-86,NaN,NaN,1
-72,-53,-58,-37,NaN,-70,-40,-55,-64,-59,-65,-57,-68,-80,NaN,-83,-83,NaN,NaN,NaN,NaN,NaN,1
-72,-55,-59,-37,-71,-71,-40,-54,-64,-56,-75,-57,-67,-80,NaN,NaN,-88,NaN,-77,NaN,NaN,NaN,1
-71,-54,-57,-37,-71,-72,-40,-55,-65,-59,-65,-57,-67,-80,NaN,NaN,-88,-86,-76,NaN,NaN,NaN,1
-71,-54,-58,-37,-71,-72,-40,-54,-65,-59,-77,-58,-68,-79,NaN,NaN,-86,-86,-76,NaN,NaN,NaN,1
-71,-54,-58,-37,-71,-71,-41,-54,-66,-58,-66,-57,-67,-79,NaN,-80,-89,NaN,-77,-86,NaN,NaN,1
-71,-53,-58,-37,-71,-70,-40,-55,-66,-65,-66,-58,-67,-80,NaN,-82,-89,NaN,-74,-85,NaN,NaN,1
-72,-53,-58,-37,-71,-68,-39,-55,-65,-59,-66,-66,-67,-80,NaN,-80,NaN,NaN,-74,-85,-88,NaN,1
-71,-56,-58,-36,-71,-68,-40,-54,-66,-58,-66,-58,-67,-80,-87,-79,-86,NaN,-69,-87,-89,NaN,1
-71,-54,-58,-37,-72,-70,-73,-79,-64,-58,-66,-58,NaN,-80,-86,-82,-86,NaN,-74,-87,-89,NaN,1
-72,-57,-57,-37,-72,-69,-40,-55,-65,-59,-75,-57,-67,-79,-87,-81,-84,NaN,-74,-86,-87,NaN,1
-66,-59,-64,-26,-68,-71,-39,-56,-58,-54,-78,-53,-67,-77,-92,-81,-86,NaN,-74,-84,-87,NaN,2
-67,-58,-64,-27,-70,-72,-41,-51,-60,-54,-77,-50,NaN,-75,-88,-81,NaN,-87,NaN,-85,NaN,NaN,2
-67,-56,-64,-70,-67,-69,-38,-54,-60,-68,-77,-51,-71,-75,-88,-79,-87,-87,-73,-77,NaN,NaN,2
-67,-54,-66,-27,-69,-69,-38,-51,-60,-61,-75,-57,-73,-76,NaN,-78,-87,NaN,-74,-77,-91,NaN,2
-68,-56,-65,-27,-69,-73,-37,-53,-60,-61,-76,-50,-72,-76,NaN,-79,-89,NaN,-74,-76,-91,-86,2
-67,-55,-65,-27,-68,-71,-38,-52,-59,-59,-70,-56,-73,-75,-82,-79,-89,-90,-76,-76,NaN,-86,2
-67,-57,-66,-28,-68,-68,-37,-54,-61,-60,-74,-50,-72,-77,-82,NaN,NaN,-89,-79,NaN,NaN,NaN,2
-66,-57,-66,-31,-69,-68,-37,-55,-56,-60,-71,-51,-72,-77,-91,-78,-88,-89,-79,-86,NaN,NaN,2
-67,-56,-65,-27,-71,-70,-79,-53,-56,-65,-71,-51,-65,-76,-91,-78,-86,NaN,-75,-80,-90,NaN,2
-66,-59,-65,-27,-69,-71,-38,-54,-56,-66,-75,-51,-73,-76,NaN,-78,-88,NaN,-75,-80,-90,NaN,2
-65,-59,-64,-28,-67,-71,-37,-52,-56,-60,-72,-51,-72,-77,-92,-78,-88,NaN,-75,-86,NaN,-87,2
-66,-58,-63,-25,-69,-70,-38,-53,-56,-66,-72,-50,-72,-76,-92,-78,-88,NaN,-75,-85,NaN,-87,2
-66,-59,-63,-27,-68,-70,-38,-54,-56,-60,-74,-51,-72,-76,NaN,-78,-88,NaN,-75,-87,NaN,NaN,2
-67,-59,-66,-28,-68,-69,-37,-52,-56,-59,-73,-51,-72,-77,NaN,-78,-86,NaN,-74,-87,NaN,NaN,2
-67,-58,-66,-30,-67,-70,-37,-51,-57,-59,-71,-51,-72,-76,NaN,-78,-88,NaN,-75,NaN,NaN,NaN,2
-66,-58,-65,-27,-67,-69,-37,-53,-59,-59,-69,-52,-73,-76,NaN,NaN,-87,NaN,-73,-85,NaN,NaN,2
-67,-58,-65,-87,-67,-69,-37,-54,-58,-58,-73,-51,-73,-77,NaN,-78,-89,-88,-73,-77,NaN,NaN,2
-66,-58,-66,-28,-67,-69,-38,-53,-58,-68,-73,-51,-72,-77,NaN,-78,-89,-88,-74,-77,NaN,-85,2
-65,-58,-64,-31,-68,-70,-37,-54,-56,-56,-74,-57,-72,-77,NaN,-78,-88,NaN,-74,-87,NaN,-85,2
-65,-58,-67,-27,-68,-71,-37,-53,-58,-64,-76,-51,-73,-78,-91,-78,-88,NaN,-78,-86,NaN,NaN,2
-67,-59,-64,-27,-68,-71,-38,-55,-58,-58,-76,-57,-73,-77,-91,-77,-85,NaN,-78,-86,NaN,NaN,2
-66,-57,-67,-27,-67,NaN,-38,-54,-58,-58,-76,-57,NaN,-77,-91,-77,-85,-85,-77,-87,-91,NaN,2
-67,-58,-65,-27,-67,-71,-37,-54,-58,-59,-73,-51,-72,-77,NaN,NaN,NaN,-85,-77,-87,-91,-86,2
-67,-60,-65,-26,-68,-71,-37,-53,-57,-60,-73,-51,-72,-77,NaN,-79,-87,NaN,-75,-86,-90,-85,2
-66,-57,-66,-27,-69,-71,-38,-53,-58,-58,-72,-51,-72,-78,-92,-78,-80,-89,-75,-85,-90,-86,2
-66,-57,-65,-27,-68,-70,-38,-54,-58,-59,-75,-51,NaN,-78,-92,-78,-86,-89,-75,-88,-90,-86,2
-66,-57,-66,-27,-68,-71,-37,-54,-58,-64,-72,-51,-72,-77,-92,-78,-87,-88,-74,-86,-91,NaN,2
-67,-59,-66,-28,-69,-70,-38,-54,-58,-59,-73,-50,-72,-77,NaN,-80,-87,-88,-73,-86,-91,NaN,2
-68,-57,-64,-27,-69,-70,-37,-53,-56,-59,-77,-51,-72,-77,NaN,-79,-81,NaN,-75,NaN,NaN,NaN,2
-66,-59,-66,-26,-68,-69,-37,-55,-56,-63,-77,-51,-69,-77,NaN,-78,-81,NaN,-75,-86,-92,NaN,2
-67,-59,-66,-30,-69,-70,-37,-54,-56,-60,-74,-51,-76,-77,NaN,-84,NaN,-88,-74,-86,-87,NaN,2
-67,-60,-63,-27,-70,-68,-38,-54,-56,-64,-76,-50,-72,-77,NaN,-77,NaN,-88,-74,NaN,-89,NaN,2
-67,-61,-66,-27,-70,-69,-38,-55,-56,-67,-74,-51,-73,-76,NaN,-80,NaN,NaN,-74,NaN,-90,NaN,2
-68,-59,-66,-27,-68,-70,-37,-53,-57,-60,-73,-50,-72,-78,NaN,-79,NaN,NaN,-74,-87,-87,NaN,2
-67,-61,-66,-28,-69,-69,-37,-52,-57,-60,-73,-51,-72,-72,NaN,-78,-86,NaN,-74,-86,-89,NaN,2
-66,-61,-67,-27,-69,-69,-40,-54,-56,-60,-74,-51,-73,-77,NaN,-79,-86,NaN,-78,-86,-89,NaN,2
-67,-60,-66,-28,-68,-70,-37,-53,-56,-60,-72,-51,-73,-76,NaN,-79,-86,NaN,-74,-87,NaN,NaN,2
-67,-61,-67,-28,-68,-70,-37,-56,-56,-59,-72,-51,-72,-77,NaN,-79,-90,NaN,-71,-87,NaN,NaN,2
-67,-60,-67,-27,-68,-70,-79,-56,-56,-59,-72,-50,-72,-77,NaN,-80,-90,NaN,-76,NaN,NaN,NaN,2
-67,-60,-63,-27,-69,-69,-37,-57,-57,-62,-81,-50,-73,-77,-91,-79,-84,-88,-73,-87,NaN,NaN,2
-66,-59,-65,-27,-68,-69,-37,-58,-59,-60,-81,-50,-72,-77,-92,-80,-88,-88,-73,-87,NaN,NaN,2
-67,-60,-64,-27,-69,-70,-37,-53,-57,-60,-78,-51,-72,-77,-92,-80,-86,NaN,-75,-87,NaN,NaN,2
-66,-59,-64,-27,-69,-72,-37,-57,-57,-61,-73,-51,-72,-76,NaN,-79,-89,NaN,-75,-87,NaN,NaN,2
-65,-59,-64,-27,-69,-67,-37,-55,-57,-59,-73,-50,-73,-78,NaN,-81,-89,NaN,-73,-87,-91,NaN,2
-67,-59,-64,-27,-68,-70,-37,-53,-57,-60,-74,-51,-74,-78,NaN,-79,NaN,NaN,-73,-88,-91,NaN,2
-67,-57,-65,-88,-68,-71,-37,-55,-57,-61,-75,-50,-72,NaN,NaN,-79,NaN,NaN,NaN,-88,NaN,NaN,2
-67,-58,-66,-27,-68,-70,-37,-55,-57,-67,-77,-50,-66,-77,NaN,NaN,NaN,NaN,-72,-85,NaN,-87,2
-66,-59,-65,-28,-68,-71,-37,-53,-57,-59,-73,-51,-73,-77,-90,-79,-86,NaN,-73,-85,-93,-90,2
-66,-59,-65,-28,-68,-69,-37,-53,-57,-62,-72,-58,-70,NaN,-90,-79,-85,NaN,-73,-86,-93,-90,2
-66,-59,-65,-27,-69,-71,-37,-53,-58,-68,-72,-56,-72,NaN,NaN,-80,-85,NaN,NaN,-86,-91,NaN,2
-66,-62,-65,-28,-69,-71,-37,-53,-57,-57,-72,-50,-72,NaN,NaN,-79,NaN,-87,NaN,-86,-91,NaN,2
-66,-60,-66,-27,-69,-71,-38,-52,-57,-60,NaN,-50,-72,-77,NaN,-80,-85,-87,-75,-86,NaN,NaN,2
-67,-63,-65,-31,-69,-71,-37,-53,-58,-60,-72,-58,-73,-77,-90,-80,-85,NaN,-74,-87,NaN,NaN,2
-66,-59,-66,-26,-69,-70,-37,-52,-57,-60,-71,-51,-73,-77,-91,-78,-85,NaN,-75,-87,NaN,NaN,2
-66,-59,-64,-42,-69,-72,-37,-52,-59,-67,-72,-57,-73,-77,-82,-78,-86,-89,-75,-87,NaN,NaN,2
-67,-60,-72,-29,-68,-71,-37,-50,-57,-61,-72,-51,-74,-76,-82,-78,-86,-89,-72,-82,NaN,NaN,2
-67,-59,-63,-27,-68,-69,-38,-53,-56,-61,-73,-57,-74,-76,-91,-80,-87,-89,-72,-86,NaN,-87,2
-66,-59,-64,-27,-68,-71,-37,-53,-56,-60,-73,-51,-72,-76,-91,-79,-85,-89,-72,-87,-91,-88,2
-67,-59,-63,-76,-69,-71,-37,-53,-57,-69,-74,-51,-73,NaN,NaN,-78,-84,NaN,-71,-80,-91,-88,2
-67,-63,-65,-29,-68,-70,-37,-53,-57,-60,-74,-57,-73,-76,-91,-78,-87,-87,-73,-89,NaN,-87,2
-66,-57,-64,-27,-67,-67,-36,-52,-57,-60,-74,-51,-73,-76,-91,-80,-84,-87,-72,-89,NaN,-87,2
-67,-58,-66,-28,-68,-71,-37,-51,-57,-62,-74,-51,-72,-77,NaN,-80,-84,NaN,-74,-78,NaN,-87,2
-66,-58,-65,-28,-68,-69,-38,-53,-58,-59,-74,-51,-72,-76,NaN,NaN,NaN,NaN,-75,-78,NaN,-87,2
-67,-61,-65,-27,-68,-70,-37,-52,-57,-60,-73,-51,-72,-76,-91,-78,-86,-87,-76,-87,NaN,NaN,2
-67,-60,-65,-27,-90,-70,-38,-52,-57,-60,-73,-51,-72,-77,-92,-78,-84,-87,-76,-87,NaN,NaN,2
-67,-58,-65,-28,-68,-72,-38,-54,-57,-60,-76,-51,-72,-77,-91,-78,-89,NaN,NaN,-82,NaN,NaN,2
