06:18:d6:c2:98:24(inonet),04:18:d6:c1:98:24(inonet),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),18:28:61:9e:ab:5c(MMD),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),4c:5e:0c:71:aa:15(RFKON2014-Mesh),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),e8:37:7a:6c:7f:55(PYR),dc:02:8e:c2:23:52(ILKSEM),04:bf:6d:d8:e8:a4(Evosoft),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),64:66:b3:d0:4a:8d(DLINK_D04A8D),e4:8d:8c:20:4d:c1(UPLAT),00:0f:f7:2e:0a:d0(ESOGU-WIFI),18:28:61:58:78:6a(Dlink_DAP-1360),4c:5e:0c:23:44:33(RFKON2014-Mesh),00:26:5a:52:0b:8c(RFKON_115),c4:6e:1f:58:40:d2(DLink_D01),18:28:61:13:0d:9d(EROGLU),REF_POINT
-69,-55,-61,-47,NaN,-76,-33,-54,-58,-62,-71,-60,-75,-74,-86,-85,-87,NaN,-74,-87,NaN,NaN,3
-69,-55,-60,-47,-70,-69,-33,-53,-58,-64,-71,-59,-75,-74,-86,-84,-85,NaN,NaN,-90,NaN,NaN,3
-69,-55,-60,-47,-69,-69,-34,-53,-58,-62,-71,-61,-70,-73,-82,-84,-84,NaN,NaN,-89,-91,NaN,3
-67,-55,-60,-48,-70,-68,-33,-53,-58,-67,-71,-63,-75,-74,-84,-83,-85,NaN,NaN,-87,-91,NaN,3
-69,-55,-62,-48,-69,-67,-33,-53,-59,-63,-71,-64,-75,-74,-84,-84,-87,NaN,NaN,-87,NaN,NaN,3
-69,-55,-61,-49,-70,-65,-33,-53,-59,-63,-71,-61,-75,-74,-85,-84,-87,NaN,-86,NaN,NaN,NaN,3
-69,-55,-60,-48,-69,-68,-33,-54,-59,-66,-71,-60,-75,-73,-85,-84,-84,NaN,-82,NaN,-89,NaN,3
-69,-55,-60,-47,-69,-68,-33,-53,-59,-62,-71,-61,-75,-75,-85,-82,-85,NaN,-82,NaN,-90,NaN,3
-69,-55,-60,-47,-69,-68,-34,-53,-58,-60,-69,-63,-75,-74,-85,-85,-85,NaN,-83,-87,-91,NaN,3
-69,-54,-61,-47,-69,-69,-33,-53,-59,-67,-71,-60,-75,-71,-84,-86,-85,NaN,-83,-89,-91,-90,3
-69,-55,-60,-48,-69,-69,-34,-53,-58,-61,-71,-64,-75,-71,-84,-83,-86,NaN,NaN,-89,-91,-90,3
-69,-55,-61,-47,-68,NaN,-33,-53,-58,-68,-71,-61,NaN,-75,-78,-83,-85,NaN,-81,-89,NaN,NaN,3
-69,-55,-61,-47,-71,NaN,-34,-53,-59,-59,-69,-63,NaN,-75,-84,-82,-86,NaN,-83,-89,NaN,NaN,3
-69,-59,-60,-48,-69,-68,-33,-55,-58,-67,-70,-61,-80,-74,-84,-81,-86,NaN,-83,NaN,-72,NaN,3
-69,-55,-61,-48,-69,-68,-33,-53,-58,-73,-71,-64,-80,-74,-84,-82,-84,NaN,-74,-90,-90,NaN,3
-69,-59,-60,-48,-69,-67,-34,-53,-59,-61,-71,-64,-75,-73,-84,-82,-85,NaN,-74,-88,-90,NaN,3
-70,-55,-62,-48,-70,-67,-34,-53,-59,-62,-75,-60,-75,-73,-84,-83,-88,-89,-74,-88,NaN,NaN,3
-69,-55,-61,-48,-70,-68,-34,-54,-59,-67,-76,-62,-75,-74,NaN,-83,-88,-89,NaN,-88,NaN,NaN,3
-69,-55,-60,-48,-69,-68,-34,-54,-58,-56,-71,-63,-75,-73,NaN,-83,NaN,NaN,-73,NaN,NaN,NaN,3
-69,-55,-60,-48,-68,-68,-34,-54,-58,-62,-71,-64,-76,-73,-84,-81,NaN,NaN,-73,NaN,-89,NaN,3
-69,-55,-60,-48,-68,-68,-33,-54,-58,-59,-71,-64,-70,-74,-85,-82,-87,NaN,-73,-89,-89,NaN,3
-69,-60,-60,-48,-69,-68,-34,-53,-59,-67,-70,-64,-70,-74,-85,-83,-85,NaN,-73,-89,NaN,NaN,3
-69,-55,-60,-48,-69,-68,-33,-53,-58,-62,-70,-60,-75,-74,-85,-82,-88,NaN,-74,-87,NaN,NaN,3
-69,-55,-60,-48,-68,-65,-34,-54,-59,-66,-70,-60,-75,-74,-85,-82,-82,-91,-73,-89,NaN,NaN,3
-69,-59,-60,-48,-68,-65,-33,-53,-58,-68,-68,-90,-70,-74,-86,-82,-85,-91,-70,-89,NaN,NaN,3
-69,-55,-61,-48,-69,NaN,-33,-53,-59,-62,-72,-61,-70,-74,-86,-83,-85,NaN,-70,-86,-85,NaN,3
-69,-56,-61,-48,-70,-67,-33,-52,-58,-68,-71,-61,-75,-74,-82,-83,-85,NaN,-82,-89,-85,NaN,3
-69,-61,-60,-47,-69,-65,-33,-53,-59,-67,-70,-63,-71,-74,-84,-83,-85,NaN,-81,-89,NaN,NaN,3
-69,-56,-61,-48,-69,-68,-33,-54,-58,-62,-71,-60,-75,-74,-84,-83,-86,NaN,-81,NaN,NaN,NaN,3
-69,-55,-61,-47,-69,-68,-33,-53,-58,-64,-76,-64,-75,-74,-84,-83,-84,NaN,-80,NaN,-91,NaN,3
-70,-55,-60,-48,-70,-68,-33,-53,-59,-62,-76,-63,-76,-70,-86,-84,-84,NaN,-80,NaN,-91,NaN,3
-69,-60,-60,-48,-69,-67,-33,-54,-59,-68,-76,-63,-76,-70,-84,-80,-84,NaN,NaN,-88,NaN,NaN,3
-69,-56,-61,-48,-69,-69,-33,-53,-59,-62,-70,-61,-75,NaN,-84,-80,-84,NaN,-86,-88,NaN,NaN,3
-69,-60,-61,-45,NaN,-68,-34,-53,-57,-66,-71,-62,-76,-73,NaN,-82,-84,NaN,-84,NaN,-90,NaN,3
-69,-56,-60,-50,-69,-68,-33,-53,-58,-61,-71,-60,-76,-73,-85,-84,NaN,NaN,-83,-88,-90,NaN,3
-69,-56,-61,-48,-69,-68,-33,-51,-59,-62,-75,-60,-76,-74,-83,-82,-84,NaN,-82,-86,NaN,NaN,3
-69,-59,-61,-47,-69,-66,-34,-52,-59,-67,-71,-63,-79,-74,-85,-82,-84,NaN,-85,-88,NaN,-90,3
-68,-56,-61,-48,-70,-67,-34,-52,-58,-62,-71,-61,-75,-73,-84,-83,-88,NaN,-84,-90,NaN,-90,3
-69,-60,-61,-48,-69,-69,-34,-53,-58,-61,-71,-64,-76,-73,-81,-83,-87,NaN,-84,-90,-88,NaN,3
-69,-57,-61,-49,-70,-67,-33,-53,-58,-69,-70,-61,-75,NaN,-84,-83,-85,NaN,NaN,NaN,-91,-90,3
-69,-55,-60,-48,-69,-68,-33,-53,-59,-67,-71,-60,-76,NaN,-87,-84,-88,NaN,NaN,NaN,-91,-89,3
-69,-57,-60,-48,-69,-67,-34,-53,-59,-62,-71,-60,-75,-69,-85,-84,-87,NaN,NaN,-90,NaN,-89,3
-69,-56,-62,-49,-69,-68,-34,-51,-59,-67,-70,-60,-71,-73,-85,-82,-87,NaN,NaN,-88,-89,NaN,3
-69,-59,-60,-48,-69,-68,-33,-52,-59,-62,-70,-62,-70,-73,-85,-82,-87,NaN,NaN,-88,-89,NaN,3
-69,-55,-61,-48,-69,-68,-34,-53,-59,-62,-71,-61,-75,-73,-84,-82,-87,NaN,-82,-88,NaN,NaN,3
-63,-55,-61,-48,-70,-68,-34,-53,-59,-61,-75,-64,-76,-80,-85,-84,-87,-92,-74,-89,NaN,NaN,3
-68,-56,-61,-48,-68,-66,-33,-53,-59,-62,-71,-64,-75,-71,-84,-82,-85,-92,-74,-89,NaN,NaN,3
-68,-55,-61,-48,-69,-67,-34,-53,-58,-68,-71,-64,-75,-71,-84,-82,-85,NaN,NaN,-87,NaN,NaN,3
-68,-55,-61,-88,-69,-67,-34,-53,-58,-62,-71,-63,NaN,NaN,NaN,NaN,-85,NaN,-76,-87,NaN,NaN,3
-68,-59,-60,-47,-69,-68,-33,-54,-58,-62,-70,-60,-69,-72,-85,NaN,-86,NaN,-73,NaN,-90,NaN,3
-68,-58,-60,-48,-69,-68,-33,-52,-58,-62,-70,-61,-76,-74,-84,-84,NaN,NaN,-84,-86,-89,NaN,3
-68,-55,-60,-47,-70,-68,-83,-53,-57,-63,-70,-62,-69,-73,-87,-78,NaN,NaN,-84,-87,-88,NaN,3
-68,-62,-61,-48,-68,-68,-34,-52,-58,-62,-70,-61,-75,-73,-84,-78,NaN,NaN,NaN,-87,-88,NaN,3
-68,-56,-61,-48,-69,-67,-34,-53,-58,-67,-70,-65,-70,-73,-84,NaN,-85,NaN,-76,-87,-89,NaN,3
-68,-58,-59,-49,-69,-68,-33,-52,-58,-62,-70,-61,-76,-67,-85,NaN,-86,NaN,-76,-85,-88,NaN,3
-68,-58,-61,-48,-70,-68,-33,-53,-57,-62,-70,-61,-75,-73,-77,-83,-87,NaN,NaN,-85,-87,NaN,3
-68,-60,-60,-48,-71,-67,-33,-51,-58,-62,-71,-61,-68,-73,-83,-82,-85,NaN,NaN,-89,-89,NaN,3
-68,-59,-59,-48,-70,-77,-33,-52,-59,-62,-71,-64,-76,-73,-84,-82,-85,NaN,-74,-89,-89,NaN,3
-68,-56,-59,-48,-70,-68,-33,-52,-58,-64,-71,-64,-76,-73,-85,-80,-86,NaN,-74,-88,NaN,NaN,3
-69,-56,-60,-48,-69,-68,-33,-52,-58,-63,-70,-61,-75,-72,-83,-82,-85,NaN,-75,-88,NaN,NaN,3
-68,-55,-61,-48,-70,-69,-33,-53,-58,-64,-70,-60,-75,-74,-85,-83,-85,NaN,-75,-89,-89,NaN,3
-69,-57,-59,-47,-69,-68,-33,-54,-58,-61,-72,-61,-75,-74,-85,-83,-88,-87,-75,-89,-89,NaN,3
-70,-57,-60,-48,-69,-68,-33,-53,-58,-63,-71,-60,-75,-75,-85,-83,-88,-87,-75,-87,NaN,-88,3
-70,-57,-60,-48,-70,-68,-34,-53,-58,-64,-71,-63,-75,-74,-83,-83,-86,NaN,-74,-87,NaN,-88,3
-69,-56,-61,-48,-70,-68,-34,-88,-58,-64,-75,-65,-75,-74,-86,-81,-88,NaN,-74,-88,NaN,NaN,3
-69,-57,-61,-48,-71,-67,-33,-53,-57,-66,-70,-64,-75,-73,-84,-81,-88,NaN,-76,-88,-90,NaN,3
-69,-59,-61,-50,-70,-68,-34,-54,-57,-64,-70,-64,-75,-73,-84,-83,-88,NaN,-76,-89,-90,NaN,3
-69,-60,-60,-48,-69,-68,-34,-54,-57,-63,-77,-64,-75,-73,-84,-83,-85,NaN,-68,-88,-89,NaN,3
-69,-56,-61,-48,-71,-68,-33,-54,-57,-66,-71,-62,-75,-73,-84,-83,-85,NaN,-68,-88,-89,NaN,3
-68,-55,-60,-49,-70,-68,-33,-53,-57,-63,-70,-60,-72,-74,-85,-81,-85,NaN,NaN,-88,-89,NaN,3
-69,-56,-60,-50,-71,-66,-73,-52,-57,-63,-70,-60,-76,-74,-84,-81,-89,NaN,-76,-88,NaN,NaN,3
-69,-55,-60,-48,-71,-67,-34,-53,-57,-66,-70,-61,-75,-74,-84,-82,-88,NaN,-76,-88,NaN,NaN,3
-69,-57,-61,-48,-71,-67,-74,-53,-57,-64,-77,-61,-75,-73,-84,-82,-88,NaN,NaN,NaN,NaN,NaN,3
-69,-55,-59,-49,-70,-68,-33,-54,-57,-64,-70,-63,-76,-73,-85,NaN,NaN,NaN,-72,NaN,-91,NaN,3
-69,-56,-61,-49,-71,-68,-34,-53,-57,-66,-70,-65,-75,-73,-84,-82,-87,NaN,-75,-87,-91,NaN,3
-64,-57,-60,-41,-68,-67,-34,-54,-63,-58,-64,-54,-64,-78,-83,-82,-87,NaN,-80,-88,NaN,NaN,4
-66,-55,-60,-34,-70,-67,-30,-55,-63,-60,-65,-55,-65,-78,NaN,-82,NaN,NaN,-79,NaN,NaN,NaN,4
-67,-57,-64,-34,-71,-66,-33,-55,-64,-63,-65,-55,-65,-79,NaN,-82,-88,NaN,-79,NaN,NaN,NaN,4
-67,-54,-62,-34,-71,-68,-33,-55,-65,-62,-65,-54,-65,-79,NaN,NaN,-88,NaN,-75,-86,NaN,NaN,4
-67,-53,-63,-34,-69,-66,-33,-55,-66,-62,-65,-54,-65,NaN,NaN,-82,-85,NaN,-79,-86,NaN,NaN,4
-66,-56,-63,-34,-68,-67,-34,-55,-65,-57,-65,-54,-63,NaN,NaN,-84,-85,NaN,-76,-86,NaN,NaN,4
-67,-54,NaN,-35,-68,-70,-33,-55,-66,-62,-66,-54,-65,-77,NaN,-84,NaN,NaN,-76,-86,NaN,NaN,4
-66,-55,-64,-34,-68,-67,-34,-55,-66,-69,-65,-54,-65,-77,NaN,-83,-88,NaN,-81,-85,NaN,NaN,4
-66,-55,-59,-34,-69,-68,-34,-53,-62,-61,-64,-55,-65,NaN,-90,-83,-85,NaN,-81,-86,NaN,NaN,4
-67,-54,-64,-35,-68,-65,-33,-53,-65,-61,-65,-54,-65,NaN,-90,-85,-85,NaN,NaN,-86,-89,NaN,4
-67,-54,-64,-35,-69,-68,-34,-55,-63,-61,-65,-54,-65,-78,-90,-84,-88,NaN,NaN,-86,-91,NaN,4
-67,-55,-63,-34,-67,-66,-33,-54,-66,-62,-66,-55,-64,-77,NaN,-81,-87,NaN,-77,-89,-91,NaN,4
-67,-54,-64,-34,-69,-67,-33,-56,-70,-69,-66,-55,-65,-76,NaN,-81,-87,-89,-82,-89,NaN,NaN,4
-67,-58,-63,-34,-69,-69,-33,-55,-65,-63,-65,-54,-65,-77,NaN,NaN,NaN,-89,-80,NaN,-90,NaN,4
-62,-54,-63,-35,-69,-67,-37,-56,-66,-63,-65,-54,-64,-78,NaN,-84,-89,NaN,-80,-86,-90,NaN,4
-67,-54,-62,-34,-68,-68,-33,-55,-66,-63,-65,-54,-65,-78,-87,-82,-89,NaN,-80,-86,-90,NaN,4
-67,-54,-63,-34,-68,-68,-34,-55,-66,-63,-65,-54,-64,-78,-77,-83,NaN,NaN,-75,-86,-90,NaN,4
-58,-54,-62,-34,-69,-66,-34,-54,-65,-63,-65,-54,-64,-78,-77,-83,-89,NaN,-80,-86,-90,NaN,4
-67,-55,-62,-34,-68,-67,-33,-54,-66,-63,-65,-55,NaN,-78,NaN,-83,-87,NaN,-80,-86,-90,NaN,4
-67,-54,-63,-35,-69,-67,-34,-54,-66,-66,-65,-54,-66,-78,NaN,-83,-87,-89,NaN,NaN,-90,NaN,4
-67,-55,-63,-34,-69,-67,-34,-55,-63,-63,-65,-55,-65,-77,NaN,-80,-85,-89,-78,-85,NaN,NaN,4
-67,-54,-62,-35,-68,-67,-33,-55,-67,-63,-65,-54,-65,-77,NaN,-80,-84,NaN,-84,-85,-90,NaN,4
-67,-54,-62,-34,-68,-68,-31,-55,-66,-63,-64,-55,-65,-78,NaN,NaN,-89,NaN,-80,NaN,-90,NaN,4
-67,-54,-62,-34,-69,-68,-34,-54,-65,-59,-64,-54,-64,-78,NaN,-83,-87,NaN,-80,-86,NaN,NaN,4
-67,-54,-63,-34,-69,-67,-34,-54,-66,-66,-65,-55,-67,-78,NaN,-84,-87,NaN,-79,-86,-90,NaN,4
-66,-54,-61,-34,-68,-68,-34,-55,-66,-66,-65,-55,-65,-77,NaN,-84,-87,NaN,-79,-85,-90,NaN,4
-66,-56,-63,-34,-68,-68,-33,-53,-65,-66,-65,-55,-65,-77,NaN,-83,-90,NaN,NaN,-84,-91,NaN,4
-67,-55,-58,-34,-70,-68,-33,-53,-66,-63,-65,-54,-65,-77,NaN,-82,-90,NaN,-75,-84,-90,NaN,4
-66,-55,-63,-34,-68,-68,-33,-55,-67,-64,-65,-54,-64,-77,-91,-82,NaN,NaN,-78,-85,-90,NaN,4
-67,-55,-61,-34,-68,-69,-34,-54,-66,-64,-65,-54,-64,-78,-91,NaN,-84,NaN,-78,-85,-90,NaN,4
-66,-55,-62,-34,-69,-67,-33,-55,-66,-64,-65,-54,-65,-77,-89,-82,-84,NaN,NaN,-86,-89,NaN,4
-64,-54,-62,-35,-69,-67,-33,-54,-66,-67,-65,-54,-64,-77,-89,-81,-89,NaN,NaN,-84,-86,NaN,4
-66,-59,-63,-35,-69,-67,-34,-54,-66,-65,-64,-54,-68,NaN,-89,-80,-83,NaN,-80,-87,-90,NaN,4
-66,-55,-59,-34,-69,-67,-33,-53,-66,-64,-65,-54,-65,-75,-89,-82,-84,NaN,-80,-85,-90,NaN,4
-66,-55,-62,-34,-69,-68,-33,-56,-65,-63,-65,-54,-64,-77,NaN,-82,-87,NaN,-79,-85,NaN,NaN,4
-67,-59,-63,-35,-69,-66,-33,-54,-66,-63,-65,-54,-64,-77,NaN,NaN,-91,NaN,-79,-85,-90,NaN,4
-66,-59,-62,-35,-70,-69,-34,-54,-65,-64,-64,-55,-64,-77,NaN,-80,-86,NaN,-78,-85,-89,NaN,4
-66,-56,-63,-34,-68,-67,-33,-55,-65,-63,-65,-54,-66,-77,NaN,-80,-86,-91,-79,NaN,-89,NaN,4
-67,-55,-63,-35,-68,-67,-33,-55,-65,-63,-65,-54,-65,-81,NaN,-80,NaN,-91,-74,-86,-89,NaN,4
-66,-55,-63,-34,-68,-67,-34,-55,-66,-62,-65,-54,-65,-77,NaN,-80,-88,NaN,-80,-86,-91,NaN,4
-67,-54,-64,-34,-67,-68,-33,-54,-65,-63,-65,-54,-65,-77,-92,NaN,-88,NaN,-79,NaN,-91,NaN,4
-67,-55,-63,-34,-68,-68,-31,-56,-61,-63,-65,-55,-65,-78,-92,-81,-86,NaN,-79,-85,-91,NaN,4
-67,-55,-63,-34,-68,-67,-34,-54,-65,-63,-65,-55,-65,-78,NaN,-80,-88,NaN,-80,-76,-91,NaN,4
-67,-55,-62,-34,-69,-70,-34,-55,-66,-68,-65,-54,-65,-78,NaN,-81,-86,NaN,-80,-76,-91,NaN,4
-66,-54,-63,-34,-68,-70,-34,-55,-63,-63,-65,-54,-65,-79,NaN,-81,-86,NaN,NaN,NaN,-91,NaN,4
-67,-54,-63,-34,-69,-67,-34,-54,-66,-62,-65,-54,-65,-78,NaN,NaN,-87,NaN,NaN,NaN,-91,NaN,4
-67,-55,-60,-34,-68,-67,-33,-56,-66,-62,-65,-54,-65,-78,NaN,-81,-89,NaN,NaN,-83,NaN,NaN,4
-67,-55,-63,-34,-68,-68,-33,-56,-65,-62,-65,-55,-65,-78,NaN,-83,-86,NaN,-81,-83,-90,NaN,4
-66,-55,-63,-34,-69,-67,-32,-55,-67,-58,-65,-54,-65,-79,NaN,-80,-87,NaN,-82,NaN,-86,NaN,4
-66,-54,-63,-34,-68,-66,-34,-56,-66,-69,-65,-55,-65,-80,NaN,-80,-87,NaN,-81,-88,-86,NaN,4
-67,-54,-64,-35,-69,-69,-34,-55,-66,-68,-65,-55,-65,-81,NaN,-83,-84,NaN,-81,-86,NaN,NaN,4
-58,-54,-63,-34,-68,-68,-34,-54,-62,-62,-65,-55,-64,-78,NaN,-83,-84,NaN,NaN,-84,-90,NaN,4
-66,-55,-63,-34,-68,-68,-34,-54,-65,-63,-66,-54,-64,-78,NaN,NaN,NaN,NaN,NaN,-84,-90,NaN,4
-67,-56,-64,-35,-69,-68,-34,-54,-65,-62,-65,-54,-65,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-68,-54,-64,-34,-69,-69,-33,-56,NaN,-68,-64,-54,-65,-82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-67,-53,-67,-35,-90,-67,-34,-53,-65,-57,-64,-54,-65,-77,-91,-78,-88,NaN,NaN,NaN,-91,NaN,4
-67,-53,-66,-34,-68,-68,-33,-55,-64,-60,-64,-54,-61,-77,-91,-78,-85,NaN,-76,-86,-90,NaN,4
-67,-53,-66,-34,-70,-68,-33,-55,-63,-62,-64,-54,-61,NaN,NaN,NaN,-87,NaN,-81,-86,-90,NaN,4
-59,-52,-63,-35,-70,NaN,-34,-55,-65,-62,-65,-54,-65,-77,NaN,NaN,-87,NaN,-81,-82,-81,NaN,4
-67,-57,-63,-35,-68,-68,-33,-55,-64,-61,-65,-54,-65,-77,NaN,NaN,-89,NaN,-85,-82,-81,NaN,4
-67,-53,-63,-34,-68,-68,-33,-55,-64,-62,-64,-55,-69,-77,NaN,NaN,-89,NaN,-85,-84,NaN,NaN,4
-67,-53,-62,-34,-69,-67,-34,-54,-65,-68,-64,-55,-64,-77,NaN,NaN,NaN,NaN,NaN,-84,NaN,NaN,4
-67,-52,-63,-34,-69,-67,-33,-55,-62,-62,-63,-55,-64,-78,NaN,-80,-85,NaN,-79,-85,NaN,NaN,4
-67,-52,-63,-35,-70,-67,-33,-55,-63,-62,-65,-54,-60,-77,NaN,-80,-87,NaN,-79,-83,NaN,NaN,4
-67,-53,-63,-34,-69,-70,-33,-57,-66,-62,-64,-55,-65,-77,NaN,-79,-86,NaN,NaN,-77,NaN,NaN,4
-66,-52,-63,-34,-70,-68,-33,-55,-61,-62,-64,-53,-65,-78,NaN,-82,-88,NaN,-80,-77,NaN,-91,4
-66,-52,-63,-35,-70,-69,-34,-54,-63,-63,-64,-54,-65,-79,NaN,-82,-84,NaN,-80,NaN,-90,-91,4
-65,-53,NaN,-34,-70,-69,-33,-56,-65,-62,-64,-54,-65,-77,NaN,NaN,-84,NaN,-81,-85,-90,NaN,4
-65,-55,NaN,-34,-69,NaN,-31,-56,-65,-61,-64,-55,-65,-77,NaN,-79,-88,NaN,-81,-83,-90,NaN,4
-66,-56,-62,-34,-68,-67,-33,-55,-64,-60,-64,-54,-65,-78,NaN,-79,-85,NaN,-80,-81,-89,NaN,4
-66,-55,-63,-34,-70,-67,-33,-55,-63,-61,-65,-54,-65,-78,NaN,-83,-86,NaN,-80,-81,-91,NaN,4
-66,-54,-63,-34,-70,-68,-33,-58,-63,-62,-64,-54,-65,NaN,NaN,-83,-86,NaN,NaN,-86,-91,-90,4
-66,-53,-62,-34,-69,-67,-33,-56,-63,-61,-64,-53,-65,NaN,NaN,NaN,NaN,NaN,NaN,-86,-91,-90,4
-65,-56,-62,-35,-89,-68,-33,-59,-64,-61,-64,-55,-65,NaN,NaN,-81,-86,NaN,-80,NaN,-91,NaN,4
-66,-55,-61,-34,-70,-70,-31,-59,-63,-63,-64,-55,NaN,NaN,NaN,-81,-85,NaN,-80,-79,NaN,-90,4
-66,-56,-59,-34,-68,-67,-33,-57,-65,-68,-64,-55,NaN,NaN,NaN,-78,-85,-89,-80,-79,NaN,-90,4
-66,-56,-63,-34,-68,-67,-37,-57,-64,-62,-65,-54,-65,-77,-89,-80,-83,-89,-81,-84,NaN,NaN,4
-66,-57,-63,-34,-69,-67,-32,-57,-66,-62,-64,-54,-65,-77,-89,-81,-83,NaN,-81,-84,-91,NaN,4
-66,-56,-60,-35,-69,-68,-34,-57,-63,-63,-64,-55,-65,-77,-91,-81,-85,-91,-81,-86,-91,NaN,4
-66,-54,-58,-35,-69,-68,-34,-57,-64,-62,-64,-54,-65,-77,-91,-82,-86,-91,-81,-87,-91,NaN,4
-72,-64,-58,-44,-70,-68,-49,-54,-61,-57,-72,-53,-65,-80,-88,-83,-85,NaN,-82,-87,-85,-89,5
-74,-59,-63,-49,-76,-64,-40,-54,-65,-53,-87,-47,NaN,-80,-87,-83,NaN,NaN,-75,NaN,-85,NaN,5
-74,-61,-57,-50,-76,-65,-40,-53,-64,-69,-69,-47,NaN,NaN,-87,-83,-85,NaN,-75,-80,NaN,NaN,5
-73,-60,-59,-49,-71,-64,-39,-52,-63,-54,-75,-48,-73,NaN,NaN,-85,-80,NaN,NaN,-75,-88,-88,5
-72,-61,-59,-47,-72,-63,-40,-51,-62,-54,-69,-48,-67,-75,NaN,-85,-82,NaN,NaN,-75,-88,-87,5
-71,-61,-58,-48,-72,-63,-40,-50,-63,-53,-69,-47,-67,-74,NaN,NaN,-82,-84,-82,NaN,-88,-87,5
-71,-59,-59,-49,-72,-62,-40,-51,-62,-52,NaN,-47,-66,-75,NaN,NaN,-84,-84,-77,NaN,-88,NaN,5
-72,-60,-59,-49,-72,-50,-41,-51,-62,-54,-69,-47,-67,-74,-86,NaN,-84,-84,-77,-79,NaN,NaN,5
-71,-60,-56,-49,NaN,-62,-41,-51,-63,-54,-69,-47,-73,-74,-86,NaN,-82,NaN,NaN,-79,NaN,NaN,5
-71,-60,-59,-51,-71,-63,-40,-51,-63,-54,-69,-47,-67,NaN,NaN,NaN,-85,NaN,NaN,-79,NaN,NaN,5
-72,-60,-58,-46,-72,-63,-40,-51,-62,-53,-74,-47,-67,NaN,-88,-85,-82,-85,NaN,-79,NaN,NaN,5
-73,-59,-60,-48,-72,-63,-41,-51,-61,-54,-69,-47,-66,-71,-87,-85,-81,-85,-78,-80,-87,NaN,5
-72,-59,-59,-49,-67,-63,-40,-50,-60,-54,-69,-47,-67,-74,-87,NaN,-86,NaN,-78,-80,-87,NaN,5
-64,-59,-65,-49,-71,-63,-39,-51,-60,-64,-69,-47,-68,-74,NaN,-88,-83,-85,-79,-79,NaN,NaN,5
-72,-59,-58,-49,-72,-63,-40,-51,-60,-65,-88,-47,-68,-75,NaN,-88,-81,-85,-79,-79,NaN,NaN,5
-71,-60,-57,-50,-72,-63,-41,-51,-60,-55,-68,-47,-59,-75,-86,NaN,-82,NaN,NaN,-79,-88,NaN,5
-72,-60,-59,-49,-73,-63,-40,-51,-61,-64,-69,-47,-67,-72,-87,-83,-81,NaN,-77,-79,-87,NaN,5
-72,-59,-59,-50,-71,-63,-39,-51,-61,-54,-69,-46,-57,-72,-87,-84,-85,NaN,-77,-78,-87,-87,5
-73,-59,-58,-49,-71,-64,-39,-76,-61,-54,-69,-47,-66,-76,-87,-84,-86,-84,-76,-79,-88,-87,5
-73,-60,-58,-51,-72,-62,-41,-51,-60,-53,-69,-48,-67,-75,-87,-83,-82,-84,-76,-79,-88,NaN,5
-69,-60,-59,-63,-72,-62,-38,-84,-62,-64,-70,-47,-74,-74,-87,-84,-82,-84,-76,-80,NaN,-87,5
-72,-58,-60,-50,-71,-62,-38,-51,-61,-54,-72,-47,-67,-74,-87,-84,-86,-84,-76,-81,NaN,-87,5
-71,-60,-56,-50,-71,-71,-39,-51,-60,-56,-72,-50,-67,-76,NaN,-79,-81,NaN,-76,-81,NaN,NaN,5
-78,-60,-60,-49,-70,-64,-40,-51,-58,-53,-70,-50,-67,-76,-86,-79,-82,NaN,-76,-81,NaN,NaN,5
-74,-59,-58,-56,-69,-64,-40,-50,-59,-54,-67,-49,-63,-76,-85,NaN,-86,NaN,-78,-79,NaN,NaN,5
-74,-59,-61,-49,-73,-64,-40,-53,-58,-55,-72,-47,-67,NaN,-85,-79,-83,NaN,-78,-79,NaN,NaN,5
-72,-63,-57,-50,-68,-64,-41,-53,-58,-54,-66,-48,-64,NaN,NaN,-79,-84,NaN,NaN,NaN,-87,NaN,5
-75,-62,-57,-51,-69,NaN,-41,-51,-60,-54,-70,-48,-63,NaN,NaN,NaN,-84,-84,NaN,-80,-87,NaN,5
-73,-59,-59,-51,-69,-64,-39,-50,-58,-54,-69,-46,-67,-74,NaN,NaN,-83,-84,NaN,-79,-88,NaN,5
-73,-62,-57,-49,-69,-63,-39,-51,-57,-54,-69,-46,-67,-74,NaN,NaN,-83,NaN,-78,-79,-88,NaN,5
-73,-58,-58,-56,-68,-63,-42,-51,-58,-55,-69,-47,-68,-74,-88,NaN,-82,NaN,-78,-80,NaN,NaN,5
-72,-59,-57,-50,-68,-62,-38,NaN,-61,-50,-69,-47,-67,-75,-88,NaN,-82,-83,-70,-80,NaN,NaN,5
-74,-58,-56,-50,-69,-64,-41,-52,-66,-55,-81,-46,-68,-75,-87,-86,-87,-86,-70,-73,NaN,NaN,5
