X,Y,Z
-11.3702774,-1.542655945,-26.19667053
-11.01646423,-2.269546509,-26.46903992
-11.19327545,-1.72442627,-26.46923065
-10.66246033,-1.633636475,-26.92337036
-10.75134277,-1.63344574,-27.19573975
-11.01665497,-1.088134766,-26.83258057
-11.45858765,-1.360694885,-26.65081024
-11.28177643,-1.542655945,-26.7414093
-11.28196716,-1.0883255,-26.56002045
-11.28196716,-1.451675415,-26.65100098
-10.92815399,-1.63344574,-26.37844086
-11.10496521,-1.36088562,-26.65081024
-11.28196716,-1.45186615,-27.46810913
-11.28177643,-1.178924561,-27.10494995
-11.6355896,-1.269714355,-26.83238983
-11.98921204,-1.360694885,-26.83238983
-11.19327545,-1.542655945,-26.83258057
-11.19346619,-1.0883255,-27.01416016
-11.63578033,-1.63344574,-27.01416016
-11.90090179,-1.815406799,-26.10588074
-11.37008667,-1.997177124,-25.37918091
-11.54727936,-2.269355774,-25.92430115
-11.37046814,-2.178375244,-25.92411041
-11.72428131,-2.178565979,-25.92430115
-11.81316376,-2.451316833,-25.4699707
-11.10534668,-2.905075073,-25.37918091
-11.45858765,-2.269165039,-25.47016144
-11.45877838,-1.724235535,-25.19760132
-11.2821579,-1.36126709,-25.56095123
-11.63578033,-1.36126709,-26.01509094
-11.72389984,-1.633636475,-25.5607605
-11.54727936,-1.996986389,-25.56095123
-11.3702774,-2.360336304,-25.4699707
-11.28196716,-2.087585449,-25.10662079
-11.3702774,-1.724235535,-25.10662079
-11.45877838,-1.360694885,-25.28820038
-11.63578033,-1.179115295,-25.37918091
-11.19346619,-1.63344574,-25.56095123
-11.01665497,-1.361076355,-24.8342514
-11.54727936,-1.815406799,-25.47035217
-11.90071106,-1.906196594,-24.92523193
-11.98921204,-2.087776184,-25.10662079
-11.45877838,-1.63344574,-25.92391968
-11.54708862,-1.81502533,-25.65155029
-11.45896912,-1.54246521,-25.74291229
-11.2821579,-1.906005859,-26.10588074
-11.45915985,-1.906005859,-26.01509094
-11.98959351,-1.542655945,-25.6521225
-11.6355896,-1.45186615,-25.92449188
-11.6355896,-1.633636475,-25.56095123
-11.45877838,-1.724235535,-25.47035217
-11.01646423,-1.54246521,-25.65174103
-11.28196716,-1.542655945,-25.37937164
-11.72428131,-2.087585449,-25.6521225
-11.37065887,-1.542655945,-25.28839111
-11.72409058,-2.087776184,-25.74234009
-11.90090179,-1.72442627,-25.74272156
-11.72389984,-1.54246521,-25.37956238
-11.54727936,-1.542655945,-25.56114197
-8.0078125,-5.266181946,-23.1086731
-7.565498352,-5.447952271,-23.56262207
-7.742500305,-6.08367157,-22.92709351
-8.0078125,-5.810920715,-22.92709351
-7.919311523,-5.629341125,-23.1086731
-7.742500305,-5.992881775,-22.83630371
-7.653999329,-5.72013092,-22.92709351
-7.919311523,-5.538551331,-22.74551392
-8.096313477,-5.72013092,-23.01769257
-8.096313477,-5.356781006,-23.29025269
-7.74230957,-4.993431091,-23.38104248
-7.299804688,-5.72013092,-23.92597198
-7.388305664,-5.62953186,-23.10886383
-8.0078125,-5.62953186,-22.47314453
-8.361816406,-5.447761536,-23.0178833
-8.361816406,-5.175010681,-23.0178833
-7.74230957,-5.447761536,-23.1086731
-8.0078125,-5.62953186,-22.65453339
-8.096313477,-5.538742065,-22.382164
-7.830810547,-6.174461365,-22.83630371
-8.0078125,-5.810920715,-22.74551392
-8.538818359,-5.901901245,-22.47314453
-8.538818359,-5.266181946,-23.1086731
-7.74230957,-5.175392151,-23.01769257
-7.830810547,-5.447952271,-23.10848236
-7.74230957,-5.356781006,-23.1086731
-7.830810547,-5.901901245,-22.92709351
-8.27331543,-5.538551331,-22.65472412
-7.830810547,-5.901901245,-22.56393433
-7.653808594,-5.901901245,-22.29137421
-7.653808594,-5.175392151,-21.7464447
-7.653808594,-5.175201416,-22.56374359
-7.919311523,-5.538551331,-23.29025269
-7.830810547,-5.175010681,-23.29025269
-7.830810547,-4.993621826,-23.19946289
-7.742500305,-5.266181946,-23.0178833
-8.096504211,-5.356781006,-22.74551392
-8.0078125,-5.265991211,-22.65472412
-7.74230957,-5.265800476,-23.0178833
-7.74230957,-5.629341125,-22.92709351
-14.46685791,-0.997344971,-28.46679688
-14.64385986,-0.724784851,-28.64837646
-14.55535889,-0.724784851,-28.73916626
-14.02435303,-0.634185791,-28.73916626
-14.64385986,0.183113098,-28.73916626
-14.55535889,-0.271026611,-28.0128479
-14.28985596,-0.180046082,-28.0128479
-14.73236084,0.001533508,-28.64837646
-14.37835693,-0.543395996,-28.19442749
-14.64385986,-0.543205261,-28.55758667
-14.46685791,-0.452415466,-28.46679688
-14.37835693,-0.906745911,-28.37600708
-14.46685791,-1.179115295,-27.92205811
-14.28985596,-1.178924561,-28.46679688
-14.20135498,-0.724975586,-28.82995605
-13.7588501,-0.906555176,-29.01191711
-14.112854,-0.997344971,-28.37619781
-14.37835693,-0.906555176,-28.19442749
-14.73236084,0.001533508,-28.1036377
-14.64385986,-0.452606201,-28.73916626
-14.73236084,-1.36088562,-28.92074585
-14.73236084,-0.99772644,-28.64837646
-14.55535889,-0.452606201,-28.37600708
-14.73236084,-0.180236816,-28.19442749
-14.46685791,-1.0883255,-28.28521729
-14.73236084,-1.0883255,-28.55758667
-14.90936279,-0.361816406,-28.19442749
-14.55535889,-0.270835876,-27.74047852
-14.28985596,-0.634185791,-28.46679688
-14.55535889,-0.816146851,-29.01153564
-14.82086182,-0.906745911,-28.55758667
-14.90936279,-0.452606201,-28.64837646
-14.55535889,-0.089447021,-28.37600708
-14.73236084,0.001533508,-28.0128479
-14.90936279,-0.361625671,-28.28521729
-14.82086182,-0.724975586,-28.73916626
-15.35186768,-0.906745911,-28.82995605
-15.08636475,-0.180046082,-28.73916626
-14.64385986,-0.452415466,-28.55758667
-15.08636475,-0.452415466,-28.37600708
-10.22033691,-3.903953552,-24.83444214
-9.777832031,-4.085533142,-24.38011169
-10.83984375,-4.176322937,-24.65248108
-10.6628418,-4.085533142,-24.37973022
-10.6628418,-4.267112732,-24.19815063
-10.83984375,-4.085533142,-24.28913116
-10.75134277,-3.813163757,-24.10736084
-10.48583984,-4.085533142,-23.83499146
-10.13183594,-4.357902527,-24.28894043
-10.22014618,-4.085533142,-24.74308014
-9.866333008,-3.813163757,-24.56150055
-10.39733887,-3.631584167,-24.56150055
-10.04333496,-3.722373962,-24.9250412
-10.13183594,-4.085533142,-25.10681152
-9.689331055,-3.994743347,-24.92523193
-10.22033691,-4.267112732,-24.65229034
-10.22033691,-4.448692322,-24.83406067
-10.48583984,-4.267112732,-24.74327087
-10.13183594,-4.176322937,-24.74327087
-10.6628418,-3.994743347,-25.19721985
-10.39733887,-4.176322937,-24.83386993
-9.423828125,-4.176322937,-24.19834137
-9.954833984,-4.085533142,-24.10755157
-9.866333008,-4.357902527,-24.56150055
-10.04333496,-4.176322937,-24.83406067
-10.22033691,-3.994743347,-24.92465973
-10.30883789,-4.176322937,-24.65229034
-10.39733887,-4.357902527,-24.74308014
-10.22033691,-4.176322937,-25.01602173
-9.866333008,-3.994743347,-24.74346161
-10.30883789,-3.722373962,-24.19815063
-9.866333008,-3.631584167,-24.19815063
-10.13183594,-3.903953552,-24.83386993
-10.13183594,-3.903953552,-25.28839111
-9.866333008,-4.085723877,-24.92485046
-9.954833984,-3.994934082,-25.01602173
-10.04333496,-3.903953552,-25.10681152
-10.57415009,-4.176322937,-24.28913116
-10.48583984,-4.630271912,-24.37992096
-10.75115204,-4.176322937,-24.83406067
-7.034301758,3.180130005,-28.1036377
-7.299804688,2.72618103,-28.19442749
-6.680488586,2.544219971,-28.55758667
-6.680488586,2.271850586,-28.28521729
-6.680679321,2.6352005,-28.0128479
-6.32686615,2.271469116,-28.55758667
-6.503868103,2.362640381,-28.64837646
-6.769180298,2.6352005,-27.83126831
-6.946182251,2.6352005,-28.1036377
-6.85749054,2.81678009,-28.1036377
-7.299804688,2.362831116,-27.92205811
-7.034301758,2.81716156,-28.1036377
-6.85749054,3.18032074,-28.0128479
-7.299804688,3.08934021,-27.74047852
-7.123184204,2.453430176,-27.92205811
-7.122993469,2.362449646,-28.19442749
-6.59236908,2.544410706,-28.82995605
-7.034683228,2.6352005,-28.19442749
-6.769371033,2.90776062,-27.92205811
-7.299804688,2.99874115,-27.74047852
-6.85749054,2.90776062,-28.1036377
-6.415367126,2.635009766,-28.1036377
-6.238365173,2.725990295,-28.1036377
-6.503677368,2.544029236,-28.19442749
-7.122993469,1.999099731,-28.19442749
-6.769180298,2.180870056,-28.28521729
-7.123374939,2.544219971,-28.46679688
-6.945991516,2.90776062,-28.64837646
-7.299804688,2.544410706,-28.55758667
-7.388305664,2.362449646,-27.92205811
-7.476806641,2.725799561,-27.83126831
-7.211494446,2.180870056,-28.46679688
-7.122993469,2.453239441,-29.01172638
