04:18:d6:c1:98:24_inonet,e8:37:7a:6c:7f:55_PYR,18:28:61:1c:0b:69_EVOSOFT,18:28:61:9e:ab:5c_MMD,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:67:ab:cf_evarobot,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,00:26:5a:52:0b:8c_RFKON_115,REF_POINT
-57,-50,-53,NaN,-34,-25,-45,-61,-66,-66,-58,-78,NaN,NaN,-66,-74,NaN,NaN,NaN,3
-57,-56,-54,NaN,-34,-23,-44,-60,-61,-66,-58,-78,-70,-81,-65,-74,NaN,NaN,NaN,3
-59,-52,-52,NaN,-34,-18,-45,-60,-62,NaN,-57,-78,-71,-81,-65,NaN,-80,NaN,NaN,3
-58,-52,-53,NaN,-34,-24,-45,-67,-61,-65,-59,-75,-70,-81,-65,NaN,-80,NaN,NaN,3
-62,-56,-53,NaN,-35,-19,-45,-62,-62,-65,-57,-75,-72,-81,-64,-75,-80,NaN,NaN,3
-65,-56,-53,NaN,-35,-19,-45,-62,-62,-65,-57,-75,-72,-81,-64,-75,-80,NaN,NaN,3
-60,-52,-52,NaN,-34,-19,-45,-60,-61,-65,-58,-75,-72,NaN,-64,-75,-80,NaN,NaN,3
-54,-52,-53,NaN,-34,-19,-49,-61,-63,-66,-58,-74,-72,NaN,-64,-75,NaN,NaN,NaN,3
-59,-56,-53,NaN,-34,-23,-44,-60,-62,-66,-62,-74,NaN,NaN,NaN,-75,NaN,-76,NaN,3
-57,-52,-52,NaN,-34,-34,-44,-60,-62,-66,-60,-74,NaN,NaN,-65,NaN,NaN,-76,NaN,3
-58,-49,-52,NaN,-34,-20,-44,-59,-62,-66,-60,-74,NaN,NaN,-65,NaN,NaN,-76,NaN,3
-58,-50,-53,NaN,-27,-19,-45,-60,-60,NaN,-58,NaN,NaN,NaN,-72,-75,NaN,-76,NaN,3
-58,-57,-52,NaN,-26,-19,-45,-64,-61,NaN,-59,NaN,NaN,NaN,-67,-75,NaN,NaN,NaN,3
-60,-56,-57,NaN,-25,-19,-46,-64,-60,NaN,-59,NaN,NaN,NaN,-67,-75,NaN,NaN,NaN,3
-57,-52,-54,-72,-27,-25,-46,-61,-59,-66,-60,NaN,-78,NaN,-67,NaN,NaN,-79,NaN,3
-58,-57,-54,-72,-26,-20,-51,-61,-60,-66,-56,-75,-78,NaN,-65,NaN,NaN,-79,NaN,3
-61,-56,-53,-75,-34,-19,-53,-60,-62,-66,-59,-75,-78,NaN,-65,-75,NaN,-79,NaN,3
-59,-52,-54,-75,-34,-18,-53,-60,-61,-66,-58,-75,-76,NaN,-66,-75,NaN,-79,NaN,3
-57,-56,-52,-75,-34,-18,-53,-60,-64,NaN,-59,-75,-79,NaN,-66,-75,NaN,NaN,NaN,3
-61,-57,-52,-75,-34,-18,-53,-60,-64,NaN,-59,-75,-79,NaN,-66,-75,NaN,NaN,NaN,3
-57,-50,-53,-75,-27,-19,-50,-63,-71,-66,-58,-75,-79,NaN,-66,-75,NaN,NaN,NaN,3
-57,-51,-52,NaN,-34,-18,-49,-60,-63,-66,-58,-79,-79,-82,-67,NaN,NaN,NaN,NaN,3
-61,-53,-54,-74,-34,-19,-53,-59,-60,-66,-61,-79,NaN,-82,-65,NaN,NaN,NaN,NaN,3
-60,-56,-55,-74,-35,-18,-48,-59,-65,-66,-59,-79,NaN,-82,-66,NaN,NaN,NaN,NaN,3
-60,-51,-54,-74,-34,-18,-51,-59,-63,NaN,-57,-74,NaN,NaN,-67,NaN,NaN,NaN,NaN,3
-60,-50,-54,NaN,-35,-24,-43,-59,-60,-72,-60,-74,NaN,NaN,-66,NaN,NaN,NaN,NaN,3
-58,-56,-53,NaN,-34,-18,-47,-59,-60,-65,-60,-74,NaN,NaN,-66,NaN,NaN,NaN,NaN,3
-56,-57,-52,NaN,-34,-24,-46,-64,-60,-65,-60,NaN,NaN,NaN,-72,NaN,NaN,NaN,NaN,3
-62,-51,-52,NaN,-34,-20,-46,-63,-60,-65,-60,NaN,NaN,NaN,-72,NaN,NaN,NaN,NaN,3
-59,-52,-54,NaN,-34,-20,-46,-63,-60,-65,-58,NaN,NaN,NaN,-72,NaN,NaN,NaN,NaN,3
-59,-51,-51,-76,-35,-19,-50,-62,-62,NaN,-58,NaN,NaN,NaN,-67,NaN,NaN,NaN,NaN,3
-58,-51,-51,-76,-35,-20,-49,-60,-61,-65,-58,NaN,NaN,NaN,-66,NaN,NaN,NaN,NaN,3
-59,-52,-51,-76,-35,-19,-46,-59,-64,-65,-59,NaN,NaN,NaN,-66,-75,NaN,NaN,NaN,3
-59,-58,-57,-76,-35,-19,-46,-59,-64,-65,-59,NaN,NaN,NaN,-66,-75,NaN,NaN,NaN,3
-57,-57,-51,-76,-38,-25,-46,-59,-63,-65,-58,NaN,NaN,NaN,-65,-75,NaN,NaN,NaN,3
-55,-55,-51,NaN,-27,-19,-46,-61,-60,-65,-58,NaN,NaN,NaN,-65,-75,NaN,NaN,NaN,3
-59,-51,-53,NaN,-34,-21,-52,-59,-60,NaN,-58,NaN,NaN,NaN,-65,-75,NaN,NaN,NaN,3
-58,-50,-53,NaN,-27,-36,-46,-61,-61,NaN,-58,NaN,NaN,NaN,-65,NaN,NaN,NaN,NaN,3
-58,-56,-55,NaN,-27,-34,-46,-59,-70,NaN,-58,NaN,NaN,NaN,-65,NaN,NaN,NaN,NaN,3
-56,-52,-54,NaN,-21,-20,-46,-64,-62,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,3
-58,-56,-52,NaN,-26,-21,-51,-64,-62,NaN,-59,-73,-77,NaN,NaN,NaN,NaN,NaN,NaN,3
-57,-56,-53,NaN,-26,-21,-51,-64,-65,NaN,-59,-73,-78,NaN,NaN,NaN,NaN,NaN,NaN,3
-59,-56,-54,NaN,-34,-20,-48,-67,-61,NaN,-56,-73,-78,NaN,-68,NaN,NaN,NaN,NaN,3
-55,-53,-52,-74,-21,-19,-51,-63,-64,NaN,-57,-73,-77,NaN,-65,-78,NaN,NaN,NaN,3
-59,-53,-54,-81,-34,-35,-47,-60,-60,NaN,-56,-72,-77,NaN,-66,-75,NaN,NaN,NaN,3
-58,-56,-51,-81,-34,-34,-47,-60,-63,NaN,-58,-75,-77,NaN,-73,-75,NaN,NaN,NaN,3
-59,-51,-51,-75,-27,-18,-46,-60,-62,NaN,-58,-74,-80,NaN,-73,-75,NaN,NaN,NaN,3
-60,-57,-54,-75,-27,-19,-46,-59,-62,NaN,-58,-74,-80,NaN,-73,-75,NaN,NaN,NaN,3
-58,-53,-52,-76,-35,-18,-44,-60,-64,NaN,-58,-74,-80,NaN,-73,NaN,NaN,NaN,NaN,3
-62,-53,-52,-76,-35,-18,-44,-60,-64,NaN,-58,-74,-80,NaN,-73,NaN,NaN,NaN,NaN,3
-58,-57,-52,-76,-35,-19,-51,-61,-62,NaN,-58,-72,-80,NaN,-65,-78,NaN,NaN,NaN,3
-57,-51,-53,-76,-34,-19,-45,-61,-60,NaN,-59,-72,-79,NaN,-66,-78,NaN,NaN,NaN,3
-57,-49,-52,-74,-27,-35,-46,-60,-61,-65,-58,-73,-79,NaN,-67,-78,NaN,NaN,NaN,3
-57,-57,-51,-74,-27,-19,-51,-60,-65,-65,-59,-73,-79,NaN,-66,-77,NaN,NaN,NaN,3
-59,-50,-52,-74,-27,-20,-47,-60,-62,-65,-58,-73,-79,NaN,-66,-77,NaN,NaN,NaN,3
-61,-51,-52,-74,-27,-19,-47,-59,-65,-65,-58,-73,-75,-85,-67,-77,NaN,NaN,NaN,3
-61,-56,-54,NaN,-27,-19,-47,-64,-62,NaN,-59,-73,-75,-85,-64,-77,NaN,NaN,NaN,3
-59,-51,-52,NaN,-27,-25,-51,-65,-62,NaN,-59,-72,-77,-85,-64,-77,NaN,NaN,NaN,3
-58,-51,-51,-79,-27,-20,-49,-60,-62,NaN,-59,-72,-77,-85,-64,-77,NaN,NaN,NaN,3
-57,-51,-52,-76,-27,-24,-46,-61,-62,NaN,-58,-72,-77,NaN,-64,-77,NaN,NaN,NaN,3
-60,-57,-56,-76,-27,-19,-48,-61,-71,NaN,-58,-72,-77,NaN,NaN,-77,NaN,NaN,NaN,3
-57,-54,-52,-75,-27,-20,-46,-59,-71,NaN,-66,NaN,-77,NaN,NaN,-77,NaN,NaN,NaN,3
-60,-56,-53,-75,-27,-24,-46,-60,-62,NaN,-59,-77,NaN,NaN,-67,-78,NaN,NaN,NaN,3
-58,-51,-52,-75,-34,-19,-47,-60,-60,NaN,-66,-77,NaN,NaN,-67,-76,NaN,NaN,NaN,3
-55,-52,-53,-75,-34,-19,-52,-60,-60,NaN,-57,-76,-79,NaN,-68,-76,NaN,NaN,NaN,3
-60,-49,-52,NaN,-34,-25,-49,-61,-64,NaN,-64,-76,-79,NaN,-67,-76,NaN,NaN,NaN,3
-65,-59,-52,NaN,-34,-25,-49,-61,-64,NaN,-64,-76,-79,NaN,-67,-76,NaN,NaN,NaN,3
-57,-51,-52,NaN,-27,-19,-50,-60,-66,NaN,-59,-76,-79,NaN,-67,-73,NaN,-75,NaN,3
-59,-52,-52,NaN,-34,-20,-50,-60,-71,NaN,-59,NaN,NaN,NaN,-67,-75,NaN,-75,NaN,3
-54,-65,-47,-65,-25,-19,-49,-59,-63,-78,-60,-75,-76,NaN,NaN,-75,NaN,NaN,-80,4
-56,-64,-50,-67,-25,-18,-51,-60,-62,NaN,-60,NaN,-76,NaN,NaN,-72,NaN,-70,NaN,4
-60,-64,-50,-77,-25,-18,-51,-60,-62,NaN,-60,NaN,-76,NaN,NaN,-72,NaN,-70,NaN,4
-58,-62,-50,-73,-18,-16,-50,-59,-62,NaN,-56,NaN,-76,NaN,-61,-72,NaN,-70,NaN,4
-58,-63,-59,-74,-20,-15,-50,-59,-63,NaN,-56,NaN,-76,NaN,-62,-72,NaN,-70,NaN,4
-59,-68,-47,-66,-20,-17,-50,-59,-64,NaN,-56,NaN,NaN,-79,-62,-77,NaN,-69,NaN,4
-57,-70,-46,-75,-26,-17,-50,-62,-65,-72,-56,NaN,NaN,-79,-65,-77,NaN,-69,NaN,4
-56,-67,-46,-72,-20,-18,-50,-57,-66,-72,-56,-78,NaN,-79,-65,-77,NaN,-69,NaN,4
-58,-69,-48,-66,-26,-19,-50,-57,-66,-72,-55,-78,NaN,-79,-65,-77,NaN,-69,NaN,4
-58,-65,-46,-71,-19,-17,-50,-57,-61,-72,-56,-78,NaN,NaN,-62,NaN,NaN,-69,NaN,4
-57,-64,-47,-65,-19,-18,-49,-60,-64,NaN,-60,-78,NaN,NaN,-63,NaN,NaN,NaN,NaN,4
-58,-65,-45,-65,-19,-18,-50,-60,-63,NaN,-57,NaN,NaN,NaN,-64,NaN,NaN,NaN,NaN,4
-60,-70,-46,-65,-19,-17,-52,-61,-64,NaN,-56,-78,NaN,NaN,-64,NaN,NaN,NaN,NaN,4
-59,-65,-47,-67,-19,-18,-51,-61,-60,NaN,-57,-78,NaN,NaN,-64,NaN,NaN,NaN,NaN,4
-60,-63,-47,-64,-18,-18,-55,-66,-61,-66,-55,-78,NaN,NaN,-62,NaN,NaN,NaN,NaN,4
-63,-67,-48,-72,-39,-19,-51,-59,-61,-66,-56,-78,NaN,NaN,-62,NaN,NaN,NaN,NaN,4
-58,-67,-49,-72,-18,-17,-51,-60,-62,-66,-57,NaN,-74,NaN,-69,NaN,NaN,NaN,NaN,4
-58,-65,-45,-76,-20,-20,-51,-60,-63,-66,-57,NaN,-74,NaN,-69,NaN,NaN,NaN,NaN,4
-60,-65,-45,-76,-20,-20,-51,-60,-63,-66,-57,NaN,-74,NaN,-69,NaN,NaN,NaN,NaN,4
-58,-64,-45,-71,-18,-17,-52,-60,-63,NaN,-59,NaN,-71,NaN,-64,NaN,NaN,NaN,-84,4
-59,-69,-47,-71,-18,-18,-50,-59,-63,NaN,-60,NaN,-70,NaN,-63,NaN,NaN,NaN,-84,4
-60,-63,-45,-63,-19,-18,-53,-61,-61,NaN,-57,NaN,-70,NaN,-62,NaN,NaN,NaN,-84,4
-60,-64,-46,-66,-19,-18,-52,-61,-62,-66,-56,-83,-70,-79,-64,NaN,NaN,NaN,-84,4
-59,-62,-47,-66,-19,-18,-52,-61,-61,-67,-59,-83,-70,-79,-64,NaN,NaN,NaN,NaN,4
-58,-63,-45,-73,-18,-23,-54,-61,-60,-65,-56,-83,-74,-79,-63,NaN,NaN,NaN,NaN,4
-57,-63,-45,-72,-19,-15,-50,-59,-60,-64,-60,-83,-74,-79,-64,NaN,NaN,-78,NaN,4
-57,-63,-48,-72,-18,-18,-50,-59,-59,-64,-55,NaN,-74,-79,-61,NaN,NaN,-78,NaN,4
-56,-63,-47,-72,-22,-18,-50,-59,-66,-64,-55,NaN,-74,-79,-63,NaN,NaN,-78,NaN,4
-60,-63,-47,-72,-18,-18,-50,-62,-63,-64,-55,NaN,-72,NaN,-63,NaN,NaN,-78,NaN,4
-68,-69,-48,NaN,-19,-15,-53,-62,-62,NaN,-55,NaN,-72,NaN,-63,NaN,-80,NaN,NaN,4
-59,-69,-45,NaN,-20,-19,-53,-62,-62,NaN,-57,NaN,-72,NaN,-69,NaN,-80,NaN,NaN,4
-59,-69,-46,NaN,-20,-18,-53,-63,-62,NaN,-56,NaN,-72,NaN,-64,NaN,-80,NaN,NaN,4
-59,-68,-46,NaN,-26,-19,-53,-63,-62,NaN,-58,NaN,NaN,NaN,-69,NaN,-80,NaN,NaN,4
-59,-68,-46,NaN,-19,-18,-52,-61,-61,-66,-58,NaN,-71,NaN,-62,NaN,NaN,NaN,NaN,4
-61,-63,-45,NaN,-39,-18,-51,-61,-63,-66,-58,-79,-71,NaN,-69,NaN,NaN,NaN,NaN,4
-62,-64,-46,-74,-19,-16,-54,-61,-61,-66,-64,-79,-70,-78,-69,NaN,NaN,NaN,NaN,4
-59,-64,-44,-68,-19,-24,-52,-60,-61,-71,-56,-79,-71,-78,-69,NaN,NaN,NaN,NaN,4
-61,-69,-44,-68,-19,-24,-52,-60,-61,-71,-56,-79,-71,-78,-69,NaN,NaN,NaN,NaN,4
-61,-64,-45,-74,-20,-20,-53,-61,-61,-71,-56,-79,-71,-79,-63,NaN,NaN,NaN,NaN,4
-60,-64,-48,-74,-19,-18,-53,-60,-63,-66,-60,NaN,-71,-79,-61,NaN,NaN,NaN,NaN,4
-66,-65,-45,-74,-18,-17,-52,-60,-62,-66,-60,NaN,-71,-79,-67,NaN,NaN,NaN,NaN,4
-60,-65,-47,-74,-26,-18,-51,-60,-61,-67,-61,NaN,-71,-79,-67,NaN,NaN,NaN,NaN,4
-65,-65,-48,-74,-24,-23,-52,-60,-64,-67,-61,NaN,-71,NaN,-64,NaN,NaN,NaN,-85,4
-61,-65,-45,NaN,-19,-18,-52,-60,-63,-67,-61,NaN,NaN,NaN,-62,NaN,NaN,NaN,-85,4
-61,NaN,-45,NaN,-19,-20,-51,-61,-61,-67,-56,NaN,NaN,NaN,-62,NaN,NaN,NaN,-85,4
-61,NaN,-45,NaN,-20,-18,-55,-61,-61,NaN,-56,-78,NaN,NaN,-62,NaN,NaN,NaN,-85,4
-61,NaN,-47,NaN,-16,-18,-52,-60,-60,NaN,-56,-78,NaN,NaN,-62,NaN,NaN,NaN,-85,4
-61,NaN,-46,NaN,-20,-17,-54,-60,-62,-71,-57,-78,NaN,NaN,-71,NaN,NaN,NaN,-85,4
-63,-69,-45,NaN,-22,-18,-51,-60,-60,-71,-57,-78,NaN,NaN,-71,NaN,NaN,NaN,-85,4
-61,-64,-45,NaN,-25,-18,-51,-63,-60,-70,-57,NaN,NaN,NaN,-66,NaN,NaN,NaN,-85,4
-61,-68,-45,-72,-20,-18,-53,-60,-60,-70,-58,NaN,NaN,NaN,-64,NaN,NaN,NaN,-85,4
-61,-69,-49,-72,-18,-19,-53,-60,-63,-70,-57,-79,-81,NaN,-66,NaN,NaN,NaN,NaN,4
-61,-69,-51,-72,-19,-18,-53,-60,-65,-70,-57,-79,-81,NaN,-70,NaN,NaN,NaN,-83,4
-61,-69,-44,-73,-18,-18,-51,-60,-65,-67,-57,-79,-73,NaN,-64,NaN,NaN,NaN,-83,4
-61,-69,-56,-73,-18,-18,-51,-60,-65,-67,-57,-79,-73,NaN,-64,NaN,NaN,NaN,-83,4
-61,-64,-47,-74,-19,-17,-53,-61,-65,-67,-57,-79,-73,NaN,-64,NaN,NaN,NaN,-83,4
-62,-69,-45,-68,-40,-18,-53,-60,-75,-67,-57,NaN,-73,NaN,-67,NaN,NaN,NaN,-83,4
-60,-68,-44,-75,-20,-19,-52,-60,-60,-66,-56,NaN,-73,NaN,-63,NaN,NaN,NaN,NaN,4
-61,-67,-45,-76,-19,-17,-52,-61,-61,-66,-55,NaN,-73,NaN,-62,NaN,NaN,NaN,NaN,4
-62,-69,-48,-75,-18,-18,-54,-61,-62,-70,-56,NaN,-73,NaN,-63,NaN,NaN,NaN,NaN,4
-62,-63,-45,-74,-40,-18,-53,-60,-63,-70,-55,NaN,NaN,NaN,-63,NaN,NaN,NaN,NaN,4
-63,-71,-45,-75,-18,-24,-50,-60,-62,-71,-55,NaN,NaN,NaN,-63,NaN,-79,NaN,-82,4
-62,-65,-46,-75,-24,-19,-52,-60,-62,-66,-55,NaN,NaN,NaN,-63,NaN,-85,NaN,-82,4
-61,-65,-45,-75,-19,-18,-50,-60,-62,-69,-59,NaN,NaN,NaN,-67,NaN,-85,NaN,-82,4
-61,-63,-46,-75,-26,-18,-54,-59,-62,-69,-56,NaN,NaN,NaN,-67,NaN,-85,NaN,-82,4
-63,-65,-47,-66,-20,-20,-53,-60,-61,-69,-56,-78,NaN,NaN,-63,NaN,-79,NaN,NaN,4
-62,-63,-48,-67,-19,-18,-53,-60,-62,-69,-56,-78,NaN,NaN,-63,NaN,-79,NaN,NaN,4
-63,-62,-45,-74,-20,-18,-50,-60,-62,-70,-55,-78,-76,NaN,-66,NaN,-79,-77,NaN,4
-63,-64,-48,-73,-18,-18,-53,-60,-60,-70,-56,-78,-76,NaN,-62,NaN,-79,-76,NaN,4
-58,-64,-46,-72,-19,-18,-49,-60,-60,-70,-56,NaN,-76,NaN,-62,NaN,NaN,-76,NaN,4
-62,-64,-45,-67,-19,-18,-49,-60,-60,-70,-56,NaN,-76,NaN,-62,NaN,NaN,-76,NaN,4
-63,-64,-56,-67,-19,-18,-49,-60,-60,-70,-56,NaN,-76,NaN,-62,NaN,NaN,-76,NaN,4
-63,-68,-46,-66,-19,-23,-50,-60,-60,NaN,-59,NaN,NaN,NaN,-69,NaN,NaN,-76,NaN,4
-62,-69,-46,-69,-19,-18,-53,-60,-62,NaN,-57,NaN,NaN,NaN,-64,NaN,NaN,NaN,NaN,4
-61,-64,-46,-73,-19,-17,-53,-60,-62,-67,-56,NaN,-72,NaN,-64,NaN,NaN,NaN,NaN,4
-61,-68,-45,-73,-25,-17,-52,-61,-62,-67,-56,NaN,-72,-77,-63,NaN,NaN,NaN,NaN,4
-62,-66,-48,-74,-24,-16,-52,-60,-62,-66,-60,NaN,-72,-77,-66,NaN,NaN,NaN,NaN,4
-62,-69,-46,-73,-18,-15,-53,-61,-62,-70,-60,NaN,NaN,-77,-71,NaN,NaN,NaN,NaN,4
-62,-62,-48,-68,-25,-18,-53,-61,-75,-72,-56,-78,-71,-76,-71,NaN,NaN,NaN,NaN,4
-60,-66,-48,-68,-20,-27,-53,-61,-62,-71,-56,-80,-71,-76,-63,NaN,NaN,NaN,NaN,4
-53,-56,-52,-73,-36,-26,-45,-57,-62,-70,-61,-75,-75,-76,-62,-83,NaN,-75,-78,5
-51,-52,-50,-61,-38,-26,-45,-61,-61,NaN,-56,-73,NaN,NaN,-63,NaN,NaN,-75,-78,5
-56,-53,-51,-61,-38,-26,-45,-58,-61,NaN,-54,-73,NaN,NaN,-63,NaN,NaN,-75,-78,5
-56,-53,-54,-61,-36,-35,-45,-56,-61,NaN,-55,-73,NaN,NaN,-63,NaN,NaN,-75,-78,5
-55,-58,-53,-61,-43,-27,-45,-60,-62,-67,-55,-73,-67,NaN,-61,NaN,NaN,NaN,NaN,5
-55,-57,-53,NaN,-39,-26,-43,-60,-63,-73,-57,-67,-67,NaN,-64,NaN,NaN,NaN,NaN,5
-52,-54,-50,NaN,-41,-35,-43,-57,-63,-73,-55,-67,-67,NaN,-64,NaN,NaN,NaN,NaN,5
-51,-53,-52,NaN,-38,-27,-44,-57,-63,-73,-57,-75,-67,NaN,-59,NaN,NaN,NaN,NaN,5
-54,-53,-52,NaN,-38,-27,-44,-57,-63,-73,-57,-75,-67,NaN,-59,NaN,NaN,NaN,NaN,5
-53,-56,-53,NaN,-37,-34,-44,-60,-71,-73,-54,-68,NaN,NaN,-59,NaN,NaN,NaN,NaN,5
-54,-57,-53,-65,-40,-27,-43,-59,-65,NaN,-57,-68,NaN,NaN,-59,NaN,NaN,NaN,NaN,5
-51,-54,-54,-63,-41,-27,-44,-56,-73,NaN,-55,-68,NaN,NaN,-63,NaN,NaN,NaN,NaN,5
-52,-55,-52,-62,-42,-27,-43,-60,-69,NaN,-59,-71,NaN,NaN,-63,NaN,NaN,NaN,NaN,5
-52,-52,-55,-59,-34,-35,-50,-58,-65,NaN,-57,-71,-69,-80,-63,NaN,-85,NaN,NaN,5
-53,-55,-54,-60,-34,-26,-44,-58,-65,NaN,-56,-71,-70,-80,-63,NaN,-85,-79,NaN,5
-52,-57,-49,-62,-36,-27,-44,-57,-65,NaN,-56,-71,-69,-80,-62,NaN,-85,-79,NaN,5
-54,-52,-52,-65,-44,-27,-44,-59,-65,-74,-56,NaN,-73,-80,-61,NaN,-84,-79,NaN,5
-54,-55,-51,-64,-41,-39,-43,-60,-78,-74,-56,-73,-74,NaN,-61,-75,-84,-79,NaN,5
-54,-53,-53,-64,-41,-27,-44,-60,-62,-74,-56,-73,-70,NaN,-62,-75,-84,-74,NaN,5
-53,-56,-55,-60,-43,-26,-45,-58,-70,-74,-56,-73,-67,NaN,-62,-75,-84,-74,NaN,5
-53,-55,-53,-61,-42,-34,-50,-60,-74,NaN,-56,-68,-72,NaN,-62,-75,NaN,-73,NaN,5
-53,-56,-55,-64,-42,-26,-44,-60,-63,NaN,-56,-68,-73,NaN,-69,NaN,NaN,-74,NaN,5
-56,-55,-54,-61,-42,-34,-45,-62,-73,NaN,-54,-68,-73,NaN,-69,NaN,NaN,-74,-85,5
-52,-54,-53,-61,-41,-34,-44,-60,-64,NaN,-56,-68,-67,NaN,-69,NaN,NaN,-74,-84,5
-52,-54,-56,-61,-41,-34,-44,-60,-64,NaN,-56,-68,-67,NaN,-69,NaN,NaN,-74,-84,5
-55,-57,-51,-61,-42,-34,-50,-60,-63,NaN,-55,-67,-67,NaN,-61,NaN,-84,-74,-84,5
-54,-52,-53,-63,-40,-34,-45,-60,-65,NaN,-55,-67,-68,NaN,-62,NaN,-84,-72,-84,5
-54,-60,-53,-60,-39,-27,-45,-61,-64,-73,-56,-67,-68,NaN,-61,NaN,-84,-72,-84,5
-54,-56,-56,-61,-40,-27,-44,-60,-64,-66,-56,-69,-70,NaN,-60,NaN,-84,-74,NaN,5
-54,-53,-52,-59,-48,-27,-44,-60,-64,-68,-54,-69,-70,NaN,-60,-75,NaN,-74,NaN,5
-54,-57,-51,-64,-45,-27,-45,-60,-67,-68,-56,-69,-67,NaN,-62,-74,NaN,-74,NaN,5
-55,-56,-53,-60,-44,-34,-46,-63,-66,-68,-56,-68,-74,NaN,-63,-74,NaN,-74,NaN,5
-53,-57,-53,-65,-36,-26,-47,-58,-70,-68,-56,-68,-75,NaN,-63,-74,NaN,-74,NaN,5
-52,-57,-51,-64,-47,-36,-52,-64,-66,NaN,-56,-68,-67,NaN,-63,-74,NaN,-79,NaN,5
-54,-54,-50,-59,-35,-27,-46,-59,-65,NaN,-57,NaN,-70,NaN,-62,-75,NaN,-79,NaN,5
-54,-54,-53,-64,-43,-27,-48,-61,-66,-72,-54,NaN,-70,NaN,-61,-75,NaN,-73,NaN,5
-54,-54,-52,-58,-45,-27,-48,-58,-71,-72,-56,-69,-70,NaN,-61,-74,-85,-73,NaN,5
-53,-57,-51,-58,-40,-34,-47,-59,-71,-70,-56,-69,-70,NaN,-61,-74,-85,-73,NaN,5
-54,-54,-52,-63,-44,-27,-47,-59,-72,-70,-55,-69,-75,NaN,-61,-74,-85,-73,NaN,5
-54,-54,-52,-63,-44,-27,-47,-59,-72,-70,-55,-69,-75,NaN,-61,-74,-85,-73,NaN,5
-54,-57,-50,-64,-40,-34,-46,-59,-72,-70,-57,NaN,-70,-81,-63,-74,NaN,-78,NaN,5
-55,-57,-53,-65,-41,-34,-50,-63,-72,NaN,-57,NaN,-76,-80,-66,-74,NaN,-78,-86,5
-54,-54,-52,-65,-40,-27,-46,-61,-67,NaN,-56,NaN,-76,-80,-66,-74,NaN,-73,-86,5
-52,-56,-52,-64,-40,-34,-45,-60,-75,NaN,-59,NaN,-71,-80,-63,NaN,NaN,-73,-88,5
-54,-53,-53,-59,-40,-34,-45,-56,-70,NaN,-58,NaN,-73,NaN,-62,NaN,NaN,-71,-88,5
-54,-57,-55,-64,-40,-35,-46,-58,-64,NaN,-58,-81,-73,NaN,-62,NaN,NaN,-72,-88,5
-53,-55,-52,-65,-41,-34,-49,-59,-61,-67,-57,-66,-73,NaN,-63,-73,NaN,-72,-88,5
-54,-57,-54,-65,-39,-35,-45,-59,-66,-67,-57,-66,-73,NaN,-63,-73,NaN,-72,NaN,5
-55,-55,-55,-65,-42,-34,-45,-64,-70,-68,-57,-66,NaN,NaN,-61,-73,NaN,-72,NaN,5
-54,-53,-49,-61,-42,-26,-47,-60,-72,-68,-54,-66,NaN,NaN,-66,-73,NaN,NaN,NaN,5
-55,-56,-48,-61,-43,-34,-46,-63,-74,-68,-55,NaN,NaN,NaN,-66,NaN,NaN,NaN,NaN,5
-51,-56,-54,-65,-39,-36,-50,-63,-70,-74,-55,-71,NaN,NaN,-63,-75,NaN,NaN,NaN,5
-51,-52,-53,-65,-41,-35,-43,-63,-64,-67,-55,-71,NaN,NaN,-66,-75,NaN,NaN,NaN,5
-52,-53,-49,-65,-41,-36,-49,-57,-64,-67,-57,-71,NaN,NaN,-61,-75,NaN,NaN,NaN,5
-54,-57,-56,-65,-41,-36,-49,-57,-64,-67,-57,-71,NaN,NaN,-61,-75,NaN,NaN,NaN,5
-52,-56,-53,-65,-42,-36,-49,-57,-64,-67,-56,-71,-75,NaN,-61,-75,NaN,NaN,NaN,5
-51,-55,-51,-63,-44,-36,-49,-57,-75,-67,-56,NaN,-75,NaN,-61,-79,NaN,NaN,NaN,5
-55,-52,-49,-65,-41,-35,-49,-57,-62,-67,-54,-79,-75,NaN,-61,-79,NaN,NaN,NaN,5
-54,-56,-52,-65,-41,-35,-49,-55,-62,-67,-55,-68,-75,NaN,-61,-79,NaN,NaN,NaN,5
-54,-52,-52,-60,-41,-36,-49,-55,-62,-67,-59,-72,NaN,NaN,-63,-79,NaN,NaN,NaN,5
-52,-56,-55,-63,-41,-35,-45,-61,-62,-67,-59,-72,NaN,NaN,-63,NaN,NaN,NaN,NaN,5
