04:18:d6:c1:98:24_inonet,e8:37:7a:6c:7f:55_PYR,18:28:61:1c:0b:69_EVOSOFT,18:28:61:9e:ab:5c_MMD,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:67:ab:cf_evarobot,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,00:26:5a:52:0b:8c_RFKON_115,REF_POINT
-52,-58,-57,NaN,-26,-23,-51,-53,-67,-67,-60,-74,-73,NaN,-71,NaN,NaN,NaN,NaN,1
-55,-61,-55,NaN,-26,-35,-56,-54,-64,-65,-67,-74,-77,NaN,-71,NaN,NaN,NaN,NaN,1
-55,-61,-54,NaN,-36,-20,-50,-55,-64,-65,-67,-74,-77,NaN,-71,NaN,NaN,NaN,NaN,1
-52,-61,-59,NaN,-35,-22,-51,-55,-72,-65,-59,-74,-77,NaN,-71,NaN,NaN,NaN,NaN,1
-52,-63,-55,-77,-27,-27,-51,-55,-65,-68,-63,-74,-77,-78,-67,-74,NaN,NaN,NaN,1
-52,-62,-57,-77,-23,-27,-52,-54,-63,-65,-59,-74,-71,-78,-67,-74,NaN,-71,NaN,1
-54,-65,-56,-77,-34,-26,-54,-54,-63,-65,-59,-86,-71,-78,-64,-74,NaN,-71,NaN,1
-53,-57,-55,-72,-27,-27,-50,-55,-62,-74,-60,-84,-76,-80,-66,-74,NaN,-71,-86,1
-55,-62,-55,-75,-34,-34,-50,-53,-64,-67,-62,-78,-75,-80,-64,NaN,-79,-71,-86,1
-56,-62,-55,-75,-34,-34,-50,-53,-64,-67,-62,-78,-75,-80,-64,NaN,-79,-71,-86,1
-51,-62,-55,-75,-36,-26,-52,-54,-64,-65,-62,-78,-75,-80,-67,NaN,-79,NaN,-86,1
-52,-69,-55,-75,-36,-20,-55,-53,-66,-65,-62,-72,-75,-80,-67,NaN,-79,-71,-86,1
-54,-66,-56,-75,-27,-18,-55,-55,-61,-65,-62,-72,-75,NaN,-67,NaN,-79,-71,NaN,1
-52,-68,-55,NaN,-34,-19,-50,-50,-61,-65,-60,-72,NaN,NaN,-67,NaN,NaN,-71,NaN,1
-52,-68,-55,NaN,-27,-34,-52,-54,-65,NaN,-60,-72,NaN,NaN,-68,NaN,NaN,-71,NaN,1
-52,-59,-56,NaN,-35,-26,-52,-53,-59,-64,-62,NaN,NaN,NaN,-68,NaN,NaN,NaN,NaN,1
-50,-59,-56,NaN,-35,-26,-53,-51,-59,-64,-62,NaN,NaN,NaN,-68,NaN,NaN,NaN,NaN,1
-54,-58,-58,NaN,-34,-34,-50,-52,-60,-64,-61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-53,-62,-58,NaN,-42,-27,-49,-54,-60,NaN,-60,-74,NaN,-76,NaN,-74,NaN,NaN,NaN,1
-53,-65,-64,NaN,-27,-27,-49,-54,-62,-66,-60,-74,NaN,-76,-65,-73,NaN,NaN,NaN,1
-53,-66,-68,-74,-35,-27,-51,-54,-62,-72,-60,-80,-78,-76,-65,-73,-81,NaN,NaN,1
-52,-58,-59,-74,-34,-35,-51,-53,-62,-72,-60,-78,-79,-76,-65,-73,-81,NaN,NaN,1
-52,-69,-59,-79,-27,-26,-50,-53,-61,-72,-62,-78,-77,NaN,NaN,-74,-81,NaN,NaN,1
-52,-60,-60,-79,-22,-27,-51,-51,-61,-65,-70,-78,-77,NaN,-64,-75,-81,NaN,NaN,1
-56,-60,-60,-79,-22,-27,-51,-51,-61,-65,-70,-78,-77,NaN,-64,-75,-81,NaN,NaN,1
-53,-62,-57,-79,-26,-26,-51,-54,-62,-72,-62,-78,-81,NaN,-64,-75,NaN,NaN,NaN,1
-53,-62,-68,-77,-34,-27,-50,-54,-63,-65,-64,-78,-81,-77,-65,-75,NaN,NaN,NaN,1
-53,-61,-59,-69,-26,-34,-51,-54,-62,-65,-63,-78,-81,-77,-66,-75,NaN,NaN,NaN,1
-53,-65,-60,-76,-20,-36,-51,-54,-63,-66,-66,NaN,NaN,-77,-66,NaN,NaN,NaN,NaN,1
-54,-66,-68,-76,-21,-35,-51,-54,-62,-66,-65,NaN,-80,-78,-64,NaN,NaN,NaN,NaN,1
-54,-62,-57,-65,-25,-27,-50,-52,-62,-66,-73,-75,-80,-78,-64,NaN,NaN,NaN,NaN,1
-54,-62,-63,-65,-26,-26,-50,-53,-63,-65,-63,-73,-80,-77,-64,NaN,NaN,-74,NaN,1
-54,-58,-60,-65,-17,-26,-49,-54,-63,-65,-63,-74,-80,-77,-64,NaN,NaN,-74,NaN,1
-55,-65,-59,-65,-25,-26,-54,-53,-63,-65,-62,-73,NaN,-77,-63,NaN,NaN,-74,NaN,1
-55,-68,-59,-75,-25,-22,-56,-54,-63,-65,-62,-73,-74,-77,-63,NaN,NaN,-74,NaN,1
-55,-56,-59,-67,-21,-21,-56,-53,-62,-65,-62,-88,-73,NaN,-63,NaN,NaN,NaN,NaN,1
-54,-64,-60,-76,-26,-22,-50,-55,-72,-66,-61,-84,-73,-77,-68,NaN,NaN,-74,NaN,1
-51,-63,-56,-76,-36,-19,-50,-56,-64,-63,-63,-84,-69,-79,-65,NaN,NaN,-74,NaN,1
-56,-69,-54,-74,-11,-34,-53,-55,-59,-61,-58,-72,NaN,-89,NaN,NaN,NaN,-75,NaN,2
-57,-74,-51,-75,-13,-36,-51,-55,-61,-66,-60,-72,NaN,-89,NaN,-74,NaN,-75,NaN,2
-58,-63,-47,-69,-15,-34,-51,-56,-61,-72,-62,-72,NaN,-89,NaN,-75,NaN,-78,-89,2
-55,-65,-51,-68,-15,-34,-54,-55,-63,-66,-60,-72,NaN,-89,NaN,-75,NaN,-76,-89,2
-57,-65,-50,-68,-13,-35,-52,-55,-56,-69,-61,-71,NaN,-85,-67,-74,NaN,-80,-89,2
-57,-62,-50,-72,-13,-26,-52,-56,-59,-69,-63,-71,NaN,-85,-68,-79,-86,-72,-89,2
-55,-63,-49,-66,-12,-26,-50,-55,-57,-66,-62,-68,-67,-83,-71,-79,-86,-73,NaN,2
-54,-62,-52,-66,-11,-27,-50,-55,-58,-64,-63,-71,-67,-83,-68,-79,-86,-73,NaN,2
-55,-63,-49,-65,-12,-27,-51,-55,-58,-63,-67,-71,-68,-83,-68,-79,-86,-73,NaN,2
-56,-63,-55,-65,-12,-27,-51,-55,-58,-63,-67,-71,-68,-83,-68,-79,-86,-73,NaN,2
-55,-69,-55,-65,-13,-34,-52,-55,-58,-64,-62,-69,-68,-82,-67,NaN,NaN,-77,NaN,2
-55,-69,-55,-72,-12,-27,-52,-55,-57,-66,-63,-69,-68,-85,-66,NaN,NaN,-77,NaN,2
-54,-70,-52,-72,-11,-23,-51,-55,-57,-63,-65,-76,-73,-86,-71,NaN,NaN,-77,NaN,2
-54,-66,-53,-74,-12,-26,-51,-54,-58,-63,-63,-77,-73,-86,-71,-79,NaN,-77,NaN,2
-55,-65,-52,-69,-13,-26,-53,-55,-57,-63,-62,-77,-73,-86,-71,-79,NaN,NaN,NaN,2
-55,-74,-52,-69,-11,-27,-54,-55,-58,-61,-63,-72,-69,-86,-67,-79,NaN,NaN,NaN,2
-56,-62,-52,-69,-12,-27,-54,-54,-58,-66,-63,-72,-65,NaN,-67,-73,NaN,-75,NaN,2
-54,-64,-50,-70,-12,-27,-51,-55,-57,-66,-63,-78,-73,NaN,-67,-74,NaN,-75,NaN,2
-55,-69,-50,-70,-11,-27,-51,-54,-57,-65,-63,-78,-73,NaN,-67,-73,NaN,-78,NaN,2
-54,-69,-50,-70,-12,-27,-51,-54,-57,-65,-63,-78,-75,NaN,-70,-73,NaN,-78,NaN,2
-55,-73,-51,-68,-12,-27,-51,-55,-57,-63,-64,-72,-69,NaN,-67,-73,NaN,-78,NaN,2
-54,-65,-50,-68,-12,-27,-52,-55,-58,-63,-63,-72,-69,NaN,-67,-73,NaN,-78,NaN,2
-54,-63,-51,-74,-12,-26,-51,-54,-58,-63,-63,-72,-69,NaN,-67,NaN,NaN,NaN,-82,2
-57,-63,-50,-69,-12,-27,-51,-55,-57,-63,-63,-72,-84,NaN,-65,-79,NaN,NaN,-82,2
-54,-64,-50,-74,-12,-27,-51,-55,-57,NaN,-64,NaN,-73,NaN,-66,-72,NaN,NaN,-82,2
-61,-69,-57,-74,-12,-27,-51,-55,-57,NaN,-64,NaN,-73,NaN,-66,-72,NaN,NaN,-82,2
-55,-64,-52,-69,-12,-27,-50,-55,-58,-63,-72,NaN,-69,NaN,-67,-72,NaN,NaN,-82,2
