X,Y,Z,REF_POINT
-5.759999752,-16.02000046,-16.37999916,1
-6.299999714,-17.27999878,-15.47999954,1
-6.059999943,-17.10000038,-15.29999924,1
-5.759999752,-17.15999985,-15.65999985,1
-5.699999809,-17.27999878,-15.65999985,1
-6.059999943,-17.21999931,-15.89999962,1
-6.239999771,-17.39999962,-15.77999973,1
-5.879999638,-16.61999893,-15.8399992,1
-5.879999638,-16.73999977,-15.96000004,1
-5.519999981,-16.97999954,-15.71999931,1
-6.059999943,-17.45999908,-15.77999973,1
-6,-17.03999901,-15.8399992,1
-5.879999638,-16.55999947,-15.77999973,1
-5.819999695,-16.19999886,-15.89999962,1
-5.819999695,-16.26000023,-16.07999992,1
-6.119999886,-16.37999916,-15.96000004,1
-5.759999752,-16.73999977,-16.13999939,1
-5.519999981,-16.92000008,-16.02000046,1
-5.819999695,-16.97999954,-15.47999954,1
-6.059999943,-17.27999878,-15.47999954,1
-5.940000057,-17.45999908,-15.71999931,1
-6.179999828,-17.34000015,-15.59999943,1
-5.879999638,-17.27999878,-15.59999943,1
-6.179999828,-17.15999985,-15.96000004,1
-6.659999847,-17.15999985,-15.71999931,1
-6.659999847,-17.34000015,-14.81999969,1
-6.059999943,-17.27999878,-15.42000008,1
-5.940000057,-16.79999924,-15.89999962,1
-6.659999847,-16.97999954,-16.19999886,1
-6,-16.92000008,-15.96000004,1
-5.940000057,-16.97999954,-15.59999943,1
-6.119999886,-16.5,-15.29999924,1
-6,-17.27999878,-15.11999989,1
-6.059999943,-16.92000008,-15.71999931,1
-5.940000057,-16.68000031,-15.53999996,1
-6.179999828,-16.92000008,-14.88000011,1
-6.599999905,-16.92000008,-15.59999943,1
-6.599999905,-17.39999962,-16.02000046,1
-6,-17.57999992,-16.07999992,1
-5.460000038,-17.10000038,-15.77999973,1
-5.460000038,-18.47999954,-15.47999954,2
-5.699999809,-19.5,-16.07999992,2
-5.819999695,-19.43999863,-15.35999966,2
-5.519999981,-19.07999992,-15.29999924,2
-5.519999981,-19.43999863,-16.02000046,2
-6,-20.03999901,-16.07999992,2
-5.940000057,-20.21999931,-15.8399992,2
-5.940000057,-19.26000023,-15.71999931,2
-5.460000038,-18.05999947,-15.77999973,2
-5.159999847,-18.05999947,-15.96000004,2
-5.639999866,-18.47999954,-15.59999943,2
-5.639999866,-18.89999962,-15.71999931,2
-5.940000057,-19.07999992,-15.29999924,2
-5.460000038,-19.26000023,-15.42000008,2
-5.21999979,-18.89999962,-16.02000046,2
-5.639999866,-19.31999969,-16.02000046,2
-5.759999752,-19.02000046,-15.47999954,2
-4.679999828,-18,-15.89999962,2
-4.319999695,-16.97999954,-16.79999924,2
-4.619999886,-16.55999947,-16.68000031,2
-5.279999733,-18.53999901,-16.26000023,2
-5.159999847,-18.95999908,-15.77999973,2
-5.460000038,-18.89999962,-15.42000008,2
-6.239999771,-19.26000023,-15.77999973,2
-5.699999809,-19.13999939,-15.8399992,2
-5.460000038,-18.53999901,-15.89999962,2
-5.519999981,-18.84000015,-16.02000046,2
-5.460000038,-18.65999985,-15.53999996,2
-4.980000019,-18.29999924,-15.89999962,2
-5.460000038,-19.02000046,-15.59999943,2
-5.699999809,-19.61999893,-15.35999966,2
-5.940000057,-19.37999916,-16.61999893,2
-6.480000019,-19.5,-16.02000046,2
-6.420000076,-19.31999969,-15.8399992,2
-5.339999676,-19.55999947,-15.89999962,2
-5.339999676,-19.02000046,-15.8399992,2
-5.21999979,-18.47999954,-15.96000004,2
-5.099999905,-17.63999939,-16.19999886,2
-5.159999847,-18.47999954,-15.8399992,2
-5.639999866,-19.26000023,-15.89999962,2
-11.63999939,-16.5,-20.81999969,3
-11.63999939,-17.39999962,-20.81999969,3
-11.57999992,-17.94000053,-21.18000031,3
-11.15999985,-16.79999924,-21.05999947,3
-11.75999928,-17.27999878,-20.63999939,3
-11.03999996,-16.13999939,-21.42000008,3
-11.5199995,-16.79999924,-21.95999908,3
-11.88000011,-17.39999962,-21.71999931,3
-12.05999947,-17.45999908,-20.76000023,3
-12.17999935,-17.76000023,-21,3
-11.75999928,-17.57999992,-20.93999863,3
-11.93999958,-17.81999969,-21,3
-11.81999969,-18,-20.57999992,3
-11.81999969,-17.69999886,-20.87999916,3
-12,-17.39999962,-20.93999863,3
-11.93999958,-17.52000046,-20.93999863,3
-11.27999973,-17.27999878,-21.29999924,3
-11.34000015,-16.13999939,-21.60000038,3
-11.63999939,-17.03999901,-21.18000031,3
-11.63999939,-17.81999969,-20.81999969,3
-11.5199995,-17.76000023,-21,3
-11.5199995,-17.87999916,-20.81999969,3
-11.88000011,-17.57999992,-21.23999977,3
-11.75999928,-17.21999931,-21,3
-11.5199995,-17.21999931,-20.76000023,3
-11.75999928,-17.21999931,-20.76000023,3
-11.46000004,-16.61999893,-20.69999886,3
-11.63999939,-17.52000046,-20.76000023,3
-11.63999939,-17.87999916,-20.45999908,3
-11.81999969,-17.63999939,-21.18000031,3
-11.5199995,-16.97999954,-21.18000031,3
-11.93999958,-16.44000053,-21.05999947,3
-12,-16.73999977,-21.29999924,3
-12.23999977,-16.97999954,-21.18000031,3
-11.88000011,-17.57999992,-20.87999916,3
-11.27999973,-17.52000046,-20.87999916,3
-11.21999931,-17.45999908,-20.52000046,3
-11.88000011,-17.76000023,-20.81999969,3
-11.75999928,-18.53999901,-20.93999863,3
-11.21999931,-17.57999992,-20.63999939,3
-0.599999964,-15.53999996,-22.55999947,4
-0.539999962,-16.5,-21.65999985,4
-0.599999964,-16.37999916,-21.77999878,4
-0.239999995,-16.37999916,-22.37999916,4
0.059999999,-16.31999969,-21.95999908,4
-0.599999964,-16.02000046,-21.95999908,4
-0.119999997,-16.07999992,-22.02000046,4
-0.299999982,-17.21999931,-22.43999863,4
-0.419999987,-16.5,-22.13999939,4
-0.719999969,-17.15999985,-22.19999886,4
-1.319999933,-17.52000046,-21.71999931,4
-0.959999979,-16.73999977,-21.3599987,4
-1.199999928,-16.8599987,-21.29999924,4
-1.379999995,-16.44000053,-21.29999924,4
-1.139999986,-16.61999893,-22.07999992,4
-0.719999969,-17.15999985,-22.26000023,4
-0.659999967,-16.8599987,-21.77999878,4
-0.419999987,-16.31999969,-22.07999992,4
-0.659999967,-16.37999916,-21.77999878,4
-0.479999989,-16.73999977,-21.71999931,4
-0.599999964,-16.5,-22.13999939,4
-0.839999974,-16.5,-22.13999939,4
-0.539999962,-16.37999916,-21.95999908,4
-0.419999987,-16.79999924,-21.84000015,4
-0.599999964,-16.44000053,-21.77999878,4
-0.719999969,-16.44000053,-21.77999878,4
-0.059999999,-16.44000053,-21.89999962,4
-0.299999982,-16.5,-22.13999939,4
-0.839999974,-17.10000038,-22.43999863,4
-0.359999985,-16.73999977,-22.13999939,4
-0.539999962,-16.97999954,-21.84000015,4
-0.779999971,-17.27999878,-21.47999954,4
-0.539999962,-17.45999908,-21.84000015,4
-0.359999985,-17.10000038,-21.95999908,4
-0.599999964,-17.34000015,-21.89999962,4
-0.719999969,-17.76000023,-21.77999878,4
-0.899999976,-17.34000015,-21.60000038,4
-0.539999962,-16.97999954,-21.65999985,4
-0.599999964,-16.37999916,-21.89999962,4
-0.239999995,-15.35999966,-22.5,4
-4.559999943,-12.42000008,-29.09999847,5
-5.099999905,-13.5,-27.53999901,5
-5.279999733,-13.61999989,-27.84000015,5
-5.21999979,-13.55999947,-27.89999962,5
