4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,04:18:d6:c1:98:24_inonet,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,18:28:61:9e:ab:5c_MMD,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:23:44:33_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,18:28:61:58:78:6a_Dlink_DAP-1360,18:28:61:13:0d:9d_EROGLU,4c:5e:0c:67:ab:cf_evarobot,18:28:61:1c:0b:69_EVOSOFT,00:66:4b:1f:08:23_TeknoTAM,1c:87:2c:7e:23:9c_EROGLU-PRI,1c:87:2c:7e:23:9d_EROGLU-PUB,4e:0b:3a:ce:61:92_coskun,e4:8d:8c:95:5c:60_evarobot,4c:5e:0c:69:1c:51_evarobot,4c:5e:0c:69:1c:4b_evarobot,4c:5e:0c:70:53:6e_evarobot,4c:5e:0c:6f:20:2e_evarobot,REF_POINT
-19,-16,-44,-51,-58,-55,-56,-74,-62,-63,-83,-70,-72,-68,-78,-67,NaN,-86,NaN,-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-19,-13,-45,-59,-64,-55,-56,-74,-62,-63,-83,-72,-72,-66,-78,-67,NaN,-86,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-24,-14,-42,-52,-64,-55,-56,-74,-61,-63,-83,-73,-72,-66,-78,-67,NaN,-86,NaN,-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-24,-14,-43,-52,-58,-61,-56,-77,-61,-61,-83,-74,-72,-65,-78,-67,-84,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-18,-14,-44,-54,-56,-59,-56,-72,-62,-59,-83,-74,-76,-65,-78,-66,-84,NaN,NaN,-50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-24,-14,-43,-54,-58,-56,-57,-72,-62,-64,NaN,-74,-76,-65,-78,-67,-84,NaN,NaN,-50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-20,-14,-43,-59,-56,-56,-56,-72,-62,-64,NaN,-74,-71,-71,-78,-67,-84,NaN,NaN,-51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-35,-26,-45,-62,-51,-55,-61,-69,-68,-59,NaN,-76,-78,-58,NaN,NaN,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-37,-45,-57,-55,-58,-57,-67,-60,-59,NaN,-76,-78,-57,NaN,NaN,-88,NaN,NaN,-44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-37,-18,-44,-58,-51,-52,-59,-65,-67,-64,NaN,-76,NaN,-57,-79,-65,-88,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-37,-38,-47,-56,-53,-54,-58,-65,-62,-65,NaN,-76,-86,-60,-79,-71,-88,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-25,-45,-58,-53,-53,-57,-66,-62,-71,NaN,-76,-86,-60,-79,-71,-88,NaN,NaN,-44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-38,-18,-45,-55,-53,-55,-59,-66,-61,-71,NaN,NaN,-79,-56,-79,-71,-88,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-36,-18,-45,-55,-52,-57,-60,-66,-63,-59,NaN,-71,-79,-59,-79,-69,NaN,NaN,NaN,-50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-18,-44,-55,-51,-53,-58,-66,-66,-63,NaN,-71,-79,-56,-79,-69,NaN,NaN,NaN,-51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-36,-26,-45,-62,-53,-52,-59,-67,-59,-63,NaN,-75,-79,-57,-79,-69,-88,NaN,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-36,-25,-46,-57,-52,-56,-66,-67,-64,-63,NaN,-74,-79,-58,-79,-70,-88,NaN,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-26,-35,-45,-58,-50,-54,-59,-69,-57,-63,NaN,-85,-77,-58,NaN,-63,-88,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-25,-44,-60,-52,-59,-67,-69,-60,-65,NaN,-75,-77,-58,-76,-70,-88,NaN,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-33,-34,-45,-59,-50,-60,-57,-66,-60,-62,NaN,-75,-77,-56,-77,-70,-88,NaN,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-35,-45,-56,-50,-56,-64,-72,-59,-60,-86,-75,-77,-56,-77,-70,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-25,-43,-48,-59,-50,-54,-62,-72,-57,-60,-86,-74,-77,-59,-77,-70,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-33,-35,-45,-62,-50,-58,-64,-64,-57,-69,-86,-74,NaN,-60,-77,-69,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-25,-35,-44,-60,-50,-53,-63,-64,-57,-62,-86,-74,NaN,-56,-77,-69,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-33,-36,-43,-53,-54,-61,-61,-64,-70,-60,-86,-79,-75,-56,-78,-69,NaN,NaN,NaN,-44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-25,-35,-44,-58,-50,-54,-61,-64,-58,-61,-87,-79,-75,-55,-76,-69,NaN,NaN,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-26,-35,-45,-58,-49,-54,-60,-68,-58,-61,-87,-79,-75,-56,-76,-69,NaN,-84,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-26,-33,-45,-54,-50,-58,-58,-68,-58,-59,-87,-79,-75,-57,-76,-69,NaN,-84,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-33,-36,-44,-61,-50,-55,-58,-68,-56,-59,-87,-83,-75,-56,-76,-69,NaN,-84,NaN,-51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-33,-35,-45,-61,-51,-54,-58,-69,-57,-59,-87,-83,NaN,-60,-76,NaN,NaN,-84,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-26,-33,-44,-61,-51,-55,-62,-69,-57,-64,NaN,-83,NaN,-57,NaN,NaN,NaN,-84,NaN,-42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-33,-35,-45,-63,-50,-53,-60,-69,-57,-64,NaN,-78,NaN,-57,NaN,NaN,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-33,-26,-46,-57,-50,-53,-60,-69,-57,-64,NaN,-78,NaN,-59,NaN,NaN,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-33,-33,-48,-59,-50,-54,-59,-64,-56,-61,NaN,-78,NaN,-57,NaN,NaN,NaN,NaN,NaN,-43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-33,-25,-47,-59,-50,-56,-59,-64,-58,-60,NaN,-78,NaN,-57,NaN,NaN,NaN,NaN,NaN,-43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-47,-64,-50,-58,-60,-65,-56,-60,NaN,-76,NaN,-57,NaN,-65,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-25,-46,-64,-52,-57,-58,-65,-57,-64,NaN,-76,-81,-56,NaN,-65,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-33,-26,-47,-58,-51,-55,-59,-65,-56,-64,NaN,-79,-81,-57,NaN,-65,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-33,-47,-58,-51,-52,-58,-64,-58,-64,NaN,-79,-81,-57,NaN,-65,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-34,-47,-54,-51,-53,-60,-64,-63,-64,NaN,-79,-81,-57,NaN,-65,NaN,NaN,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-47,-54,-52,-53,-61,-66,-57,-64,NaN,-79,-81,-59,NaN,NaN,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-47,-54,-52,-54,-59,-66,-57,NaN,NaN,-75,NaN,-56,NaN,-66,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-33,-26,-46,-60,-52,-53,-61,-65,-56,-62,NaN,-76,NaN,-59,NaN,-67,NaN,NaN,NaN,-44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-46,-56,-53,-53,-60,-65,-70,-62,NaN,-76,NaN,-59,-78,-67,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-33,-26,-45,-61,-51,-61,-60,-65,-57,-60,NaN,-76,NaN,-56,-78,-67,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-46,-61,-51,-59,-60,-65,-57,-60,NaN,-76,NaN,-57,-78,-67,NaN,NaN,NaN,-51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-26,-47,-55,-51,-55,-60,-65,-56,-60,NaN,-76,NaN,-57,-78,-67,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-25,-46,-55,-50,-54,-60,NaN,-56,-60,NaN,NaN,NaN,-57,-78,NaN,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-26,-46,-62,-50,-53,-60,NaN,-56,-62,NaN,NaN,NaN,-56,NaN,NaN,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-33,-46,-57,-53,-53,-60,NaN,-56,-62,NaN,NaN,NaN,-57,NaN,NaN,NaN,NaN,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-33,-47,-55,-50,-53,-59,-65,-56,-60,NaN,NaN,NaN,-56,NaN,NaN,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-36,-26,-46,-55,-51,-54,-60,-65,-57,-60,NaN,NaN,NaN,-56,NaN,NaN,NaN,NaN,NaN,-43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-47,-54,-51,-59,-60,-67,-59,-61,NaN,NaN,NaN,-58,NaN,NaN,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-46,-58,-53,-54,-60,-67,-55,-59,NaN,NaN,NaN,-56,NaN,NaN,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-26,-26,-46,-59,-52,-54,-60,-67,-56,-60,NaN,-76,NaN,-56,NaN,NaN,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-24,-47,-59,-51,-53,-61,-67,-56,-60,NaN,-76,NaN,-57,-77,NaN,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-24,-48,-53,-52,-57,-60,-67,-65,-61,NaN,-78,NaN,-56,-77,NaN,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-46,-54,-52,-53,-59,-67,-56,-60,NaN,-78,NaN,-56,-77,-66,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-25,-46,-57,-51,-54,-60,-67,-57,-62,NaN,-78,NaN,-56,-77,-66,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-46,-54,-53,-57,-59,-67,-57,-62,NaN,-77,NaN,-58,-77,-66,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-46,-55,-52,-54,-60,-67,-56,-62,NaN,-77,NaN,-56,NaN,-66,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-26,-46,-60,-53,-56,-59,-67,-56,-62,NaN,-77,NaN,-57,-81,-66,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-33,-47,-55,-53,-55,-62,-66,-56,-62,NaN,-77,NaN,-57,-81,-66,NaN,NaN,NaN,-43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-24,-46,-57,-53,-55,-59,-66,-56,-62,NaN,-80,NaN,-56,-81,-66,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-24,-46,-57,-53,-53,-62,-66,-56,-61,NaN,-80,NaN,-56,-81,NaN,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-26,-45,-58,-53,-55,-60,-68,-58,-61,NaN,-80,NaN,-57,-81,NaN,NaN,NaN,NaN,-44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-44,-58,-53,-58,-61,-68,-58,-68,NaN,-73,NaN,-57,-79,NaN,NaN,NaN,NaN,-51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-26,-45,-58,-50,-53,-59,-68,-57,-68,NaN,-73,NaN,-56,-79,-66,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-46,-58,-50,-57,-58,-68,-56,-68,NaN,-73,NaN,-56,-79,-67,NaN,NaN,NaN,-56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-46,-58,-51,-54,-59,-68,-58,-67,NaN,-73,NaN,-56,-79,-67,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-33,-47,-58,-50,-59,-60,-68,-56,-67,NaN,-72,NaN,-56,-79,-67,NaN,NaN,NaN,-51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-34,-46,-58,-51,-54,-60,-68,-57,-67,NaN,-78,NaN,-56,NaN,-67,NaN,NaN,NaN,-44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-26,-45,-58,-50,-54,-61,NaN,-56,-67,NaN,-78,NaN,-56,NaN,-67,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-45,-58,-50,-52,-61,NaN,-57,-67,NaN,-78,NaN,-57,NaN,-67,NaN,NaN,NaN,-44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-34,-44,-54,-50,-54,-61,-65,-56,NaN,NaN,-78,NaN,-57,NaN,NaN,NaN,NaN,NaN,-43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-44,-54,-52,-54,-60,-66,-56,NaN,NaN,-78,NaN,-57,NaN,NaN,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-34,-45,-54,-53,-53,-60,-66,-57,NaN,NaN,NaN,NaN,-56,NaN,NaN,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-36,-33,-45,-62,-50,-54,-60,-66,-57,NaN,NaN,NaN,NaN,-56,NaN,NaN,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-33,-45,-55,-53,-59,-60,-66,-57,NaN,NaN,NaN,NaN,-56,NaN,NaN,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-46,-59,-53,-57,-60,-66,-57,NaN,NaN,NaN,NaN,-57,NaN,NaN,NaN,NaN,NaN,-51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-44,-54,-50,-53,-60,NaN,-56,-67,NaN,NaN,NaN,-56,NaN,NaN,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-25,-45,-61,-50,-53,-61,-67,-56,-67,NaN,NaN,NaN,-56,NaN,-66,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-45,-59,-50,-54,-60,-67,-56,-66,NaN,NaN,NaN,-56,NaN,-65,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-33,-45,-57,-53,-54,-60,-67,-56,-66,NaN,NaN,NaN,-57,NaN,-67,NaN,NaN,NaN,-44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-35,-33,-46,-63,-52,-54,-60,-67,-56,-61,NaN,NaN,NaN,-57,NaN,-67,NaN,NaN,NaN,-51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-26,-45,-63,-50,-54,-63,-67,-55,-68,NaN,NaN,NaN,-58,NaN,-67,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-34,-33,-45,-58,-50,-53,-60,-67,-56,-68,NaN,NaN,NaN,-57,NaN,-67,NaN,NaN,NaN,-43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
-17,-33,-46,-54,-59,-53,-46,NaN,-58,-59,NaN,NaN,-68,-63,NaN,-61,NaN,NaN,NaN,-50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-17,-41,-47,-56,-60,-51,-47,NaN,-63,NaN,NaN,NaN,-69,-62,NaN,NaN,NaN,NaN,NaN,-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-16,-41,-46,-53,-63,-48,-46,NaN,-71,NaN,NaN,-71,-69,-59,NaN,NaN,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-15,-36,-46,-57,-57,-48,-47,NaN,-61,NaN,NaN,-71,-69,-61,NaN,NaN,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-15,-26,-43,-56,-58,-50,-47,NaN,-59,NaN,-78,-72,-69,-62,NaN,NaN,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-17,-26,-46,-56,-58,-49,-47,NaN,-61,-71,-75,-72,-69,-62,NaN,-65,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-16,-25,-42,-54,-58,-51,-47,NaN,-66,-71,-75,-73,NaN,-61,NaN,-65,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-15,-33,-44,-62,-59,-49,-47,NaN,-61,-71,-77,-73,-68,-61,NaN,-60,NaN,NaN,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-15,-26,-42,-62,-59,-51,-47,NaN,-61,-65,-77,-73,-68,-62,NaN,-61,NaN,NaN,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-15,-26,-42,-55,-57,-50,-47,-74,-61,-64,-77,-73,-69,-66,NaN,-61,NaN,NaN,NaN,-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-16,-37,-43,-59,-61,-52,-47,-70,-59,-64,-78,-76,-69,-62,NaN,-61,NaN,NaN,NaN,-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-17,-37,-43,-56,-60,-49,-47,-74,-60,-66,-78,-74,-69,-69,-78,-62,NaN,NaN,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-15,-37,-42,-61,-59,-50,-47,-74,-60,-66,-83,-74,-69,-64,-78,-68,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-15,-39,-44,-61,-59,-50,-46,-74,-64,-66,-83,-72,-69,-66,-78,-62,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-21,-39,-42,-65,-57,-50,-48,-74,-59,-65,-83,-72,NaN,-66,-78,-62,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-22,-39,-42,-60,-56,-51,-47,-74,-64,-65,-83,-72,-68,-66,-78,-62,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-16,-26,-43,-55,-56,-51,-46,NaN,-60,-65,-83,-75,-69,-62,NaN,-63,NaN,NaN,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-16,-39,-44,-53,-57,-51,-47,NaN,-61,-68,NaN,-60,-72,-66,-81,-63,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-15,-39,-44,-56,-55,-49,-46,NaN,-63,-68,NaN,-60,-72,-66,-81,-61,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-16,-39,-44,-58,-57,-50,-47,NaN,-60,-67,NaN,-62,-72,-62,-81,-62,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-17,-39,-44,-56,-56,-52,-47,-72,-62,-68,-74,-61,-69,-63,-81,-62,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-15,-33,-44,-56,-56,-50,-45,-72,-62,-68,-74,-61,-69,-63,-81,-62,NaN,NaN,NaN,-53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-15,-33,-43,-60,-56,-51,-47,-72,-62,-68,-74,-61,-69,-64,NaN,-62,NaN,NaN,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-16,-33,-43,-57,-56,-50,-47,-72,-61,-68,-74,-61,-69,-63,NaN,-62,NaN,NaN,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-16,-34,-45,-57,-56,-49,-46,-72,-61,-68,-74,-61,-69,-63,NaN,-62,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-16,-34,-44,-57,-59,-50,-47,NaN,-62,NaN,NaN,-60,NaN,-61,NaN,-63,NaN,NaN,NaN,-52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-17,-33,-44,-57,-52,-52,-47,NaN,-62,NaN,-74,-65,NaN,-61,NaN,-63,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-14,-33,-53,-58,-59,-49,-48,NaN,-62,NaN,-74,-65,NaN,-61,NaN,-61,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-17,-33,-44,-54,-59,-51,-47,NaN,-59,NaN,-74,-65,NaN,-71,NaN,-66,NaN,NaN,NaN,-45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-17,-26,-43,-54,-59,-49,-46,NaN,-59,NaN,-74,-65,NaN,-71,NaN,-66,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-15,-33,-45,-54,-66,-51,-47,NaN,-62,NaN,-74,-60,NaN,-62,NaN,-61,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-18,-33,-45,-53,-57,-50,-47,NaN,-60,NaN,NaN,-60,NaN,-62,NaN,-61,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-14,-33,-49,-56,-53,-48,-48,NaN,-60,NaN,NaN,-64,NaN,-62,NaN,-61,NaN,NaN,NaN,-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-20,-33,-42,-56,-53,-50,-46,NaN,-64,NaN,NaN,-63,NaN,-62,NaN,-62,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-16,-33,-44,-56,-54,-48,-47,NaN,-61,-68,NaN,-61,NaN,-62,NaN,-61,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-16,-33,-45,-59,-56,-50,-47,NaN,-60,-72,NaN,-65,-67,-64,NaN,-62,NaN,NaN,NaN,-47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-18,-33,-45,-59,-56,-50,-47,NaN,-61,-72,NaN,-65,-67,-64,NaN,-63,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-22,-33,-46,-58,-54,-50,-47,NaN,-62,-69,NaN,-64,-67,-64,NaN,-62,NaN,NaN,NaN,-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-18,-39,-45,-54,-53,-50,-46,NaN,-62,-65,NaN,-63,-67,-71,NaN,-62,NaN,NaN,NaN,-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-22,-39,-44,-56,-62,-54,-47,NaN,-61,-69,NaN,-63,-67,-71,NaN,-62,NaN,NaN,NaN,-48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-17,-39,-44,-60,-55,-51,-45,NaN,-59,-69,NaN,-63,-68,-62,NaN,-61,NaN,NaN,NaN,-52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
