4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,04:18:d6:c1:98:24_inonet,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,18:28:61:9e:ab:5c_MMD,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:23:44:33_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,18:28:61:58:78:6a_Dlink_DAP-1360,18:28:61:13:0d:9d_EROGLU,4c:5e:0c:67:ab:cf_evarobot,18:28:61:1c:0b:69_EVOSOFT,00:66:4b:1f:08:23_TeknoTAM,1c:87:2c:7e:23:9c_EROGLU-PRI,1c:87:2c:7e:23:9d_EROGLU-PUB,4e:0b:3a:ce:61:92_coskun,e4:8d:8c:95:5c:60_evarobot,4c:5e:0c:69:1c:51_evarobot,4c:5e:0c:69:1c:4b_evarobot,4c:5e:0c:70:53:6e_evarobot,4c:5e:0c:6f:20:2e_evarobot,REF_POINT
-35,-35,-53,-59,-59,-58,-59,-70,-62,-60,-79,-75,-77,-72,-85,-67,-78,-79,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-39,-35,-54,-59,-60,-57,-60,-70,-64,-60,-80,-74,-82,-72,-85,-67,-78,-79,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-50,-59,-58,-55,-60,-70,-62,-60,-80,-74,-82,-70,-85,-67,-78,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-35,-52,-59,-60,-56,-58,-76,-62,-59,-78,-74,-77,-70,-85,-67,-78,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-52,-59,-61,-56,-59,-69,-62,-59,-76,-74,-77,-71,-85,-67,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-26,-53,-59,-62,-60,-59,-71,-63,-59,-76,-74,-77,-71,-85,-67,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-53,-59,-59,-56,-58,-76,-65,-59,-79,NaN,-77,-71,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-34,-55,-60,-59,-57,-60,-76,-61,-59,-78,NaN,-77,-71,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-52,-58,-59,-56,-59,-76,-62,-60,-79,-78,-77,-71,-85,-68,NaN,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-35,-52,-60,-62,-62,-59,-71,-62,-59,-82,-78,-74,-71,-85,-68,-76,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-52,-64,-59,-56,-59,-72,-62,-59,-82,-78,-78,-69,-85,-66,-76,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-33,-51,-60,-58,-55,-59,-72,-63,-60,-82,-78,-78,-72,-85,-66,-76,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-35,-54,-69,-56,-59,-60,-71,-63,-60,-79,-78,-78,-72,-85,-66,-76,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-38,-24,-53,-65,-59,-56,-61,-74,-63,-60,-80,-78,-78,-73,-84,-66,-77,NaN,-82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-34,-51,-61,-59,-57,-59,-74,-64,-60,-80,-78,-78,-71,-84,-66,-77,NaN,-82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-38,-35,-52,-64,-59,-58,-59,-74,-64,-64,-80,-78,-73,-71,-84,-66,-77,NaN,-82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-26,-53,-59,-62,-56,-58,-71,-64,-59,-81,-78,-73,-71,-84,-66,-77,NaN,-82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-35,-53,-63,-60,-55,-61,-71,-64,-59,-82,-77,-85,-77,-84,-66,-77,-80,-82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-51,-59,-57,-61,-59,-71,-63,-64,-82,-77,-85,-73,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-51,-59,-57,-60,-59,-73,-62,-60,-79,-77,-85,-73,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-38,-35,-51,-58,-62,-57,-61,-73,-64,-60,-81,-78,-85,-75,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-38,-35,-52,-59,-59,-57,-60,-73,-64,-60,-81,-78,-74,-75,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
