04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,00:26:5a:52:0b:8c_RFKON_115,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,REF_POINT
-59,-27,-33,-58,-44,-56,-49,-52,-63,-67,NaN,-58,-80,-66,NaN,NaN,-83,NaN,-75,3
-58,-27,-33,-66,-44,-56,-48,-51,NaN,-67,-65,-82,NaN,-64,NaN,NaN,NaN,NaN,NaN,3
-60,-27,-33,NaN,-46,-56,-48,-53,-61,-68,-66,-59,NaN,-63,-72,-82,-81,NaN,-78,3
-60,-58,NaN,-57,-43,-56,-48,-52,-62,-61,-64,NaN,NaN,NaN,-72,-79,NaN,NaN,NaN,3
-56,-31,-33,-62,-45,-55,-53,-53,-61,-66,-63,-61,NaN,-66,NaN,-82,NaN,NaN,NaN,3
-57,-27,-33,-61,NaN,-55,-50,-54,-59,-67,-64,NaN,NaN,-64,-75,NaN,NaN,NaN,-73,3
-59,-27,-33,-58,-46,-57,-52,-51,-61,-68,-66,NaN,-75,-64,NaN,NaN,NaN,NaN,-77,3
-58,-27,-32,-59,-44,-60,NaN,-53,-61,-67,-66,-66,-74,NaN,-74,NaN,NaN,NaN,NaN,3
-58,-27,-33,-57,NaN,-59,-50,-58,-62,-67,-66,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,3
-56,-28,-33,-58,-46,-61,-48,NaN,-61,-68,-62,-60,-73,NaN,NaN,NaN,NaN,NaN,NaN,3
-59,-30,-33,-56,-48,-55,-51,-52,-64,-64,-64,NaN,NaN,NaN,NaN,NaN,-83,-83,NaN,3
-57,-29,-34,-55,-46,-56,-49,-50,-60,-66,-65,-63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-58,-29,-33,NaN,-47,-57,-49,-55,-65,-66,-63,-60,NaN,-65,NaN,NaN,NaN,NaN,NaN,3
-59,-30,-34,-56,-46,-56,-49,-50,-59,-66,-60,NaN,-80,NaN,NaN,NaN,NaN,-87,NaN,3
-61,-29,-33,-55,-47,-57,-51,-50,-62,-66,NaN,NaN,NaN,-63,NaN,NaN,NaN,NaN,NaN,3
-61,-29,-34,-56,-46,-56,-50,-50,-62,-66,-63,NaN,NaN,-64,NaN,NaN,-84,NaN,NaN,3
-57,-64,-33,-56,-45,-57,-52,-50,-63,-63,-63,NaN,NaN,-64,NaN,NaN,NaN,NaN,NaN,3
-58,-29,-33,-65,-45,-57,-49,-50,NaN,-67,-62,-61,-72,NaN,-73,NaN,NaN,NaN,NaN,3
-64,-29,-33,-56,-46,-58,-47,-50,-63,-69,NaN,NaN,-75,-65,-75,NaN,NaN,NaN,NaN,3
-65,-25,-33,-56,-45,-56,-63,-51,-60,-67,-63,NaN,-74,-66,-75,NaN,NaN,NaN,NaN,3
-63,-29,-33,-57,-43,-57,-46,-50,-60,-66,-62,-62,-73,-64,-75,NaN,NaN,NaN,NaN,3
-63,-29,-33,-57,-44,-57,-47,-50,-59,-61,-63,-60,NaN,-64,-73,NaN,NaN,NaN,NaN,3
-63,-29,-33,-57,-47,-57,-47,-50,-61,-67,-62,-60,NaN,-64,-74,NaN,NaN,NaN,NaN,3
-65,-29,-33,-57,-46,-57,-47,-50,-62,-67,-63,-62,NaN,-64,-73,NaN,NaN,NaN,NaN,3
-62,-29,-33,-57,-46,-57,-47,-52,-61,-67,-62,-60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-62,-32,-33,-57,-44,-57,-48,-51,NaN,-67,NaN,NaN,NaN,-66,NaN,NaN,NaN,NaN,NaN,3
-63,-29,-32,-57,-46,-57,-48,-49,-61,-67,-63,NaN,-75,-66,NaN,NaN,NaN,NaN,NaN,3
-59,-29,-32,-57,-44,-57,-49,NaN,-63,-67,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-66,-29,-33,-64,-46,-58,-50,-49,-63,-66,-64,-63,-83,-63,-72,NaN,NaN,-83,NaN,3
-63,-29,-32,-57,-44,-58,-50,-50,-61,-66,-63,-65,-75,NaN,-74,NaN,NaN,NaN,NaN,3
-63,-29,-32,-57,-46,-57,-51,-50,-60,-66,-70,-60,-77,NaN,NaN,NaN,NaN,NaN,NaN,3
-59,-59,-31,-56,-46,-58,NaN,-50,NaN,-67,NaN,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,3
-63,-29,-32,-56,-46,-58,-49,-51,-63,-67,-65,NaN,NaN,NaN,-75,NaN,NaN,NaN,NaN,3
-63,-29,-33,NaN,-44,-57,-50,-49,-61,-64,-64,-58,NaN,-63,NaN,NaN,NaN,NaN,NaN,3
-60,-29,-34,-56,-44,-59,-48,-51,-63,-61,NaN,-60,-77,-64,-74,NaN,NaN,NaN,NaN,3
-61,NaN,-32,-65,-46,-58,NaN,-50,-62,-65,-63,-59,-74,NaN,NaN,NaN,NaN,NaN,NaN,3
-62,-29,-33,-57,-46,-57,-47,-50,-62,-67,-62,-55,NaN,-65,NaN,NaN,-86,NaN,NaN,3
-61,-29,-33,-57,-46,-59,-49,-50,-63,-67,-62,-59,-76,NaN,-75,NaN,NaN,NaN,NaN,3
-60,-29,-33,-58,-46,-58,-51,-51,-67,-67,-62,-60,-76,NaN,NaN,NaN,NaN,NaN,NaN,3
-62,-29,-33,-57,-46,-57,-50,-51,-66,-67,-62,-59,-76,-65,-73,NaN,NaN,NaN,NaN,3
-63,-30,-33,NaN,-46,-58,NaN,-50,NaN,-61,-62,-60,-76,NaN,NaN,NaN,NaN,NaN,NaN,3
-60,NaN,-33,-57,-44,-58,-50,-50,-67,-68,-63,-60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-64,-30,-33,-56,-46,-56,-49,-56,-62,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-63,NaN,-33,-56,-46,-53,-51,-50,-63,-68,-60,-59,NaN,NaN,NaN,NaN,-82,NaN,NaN,3
-64,-29,-32,-57,-46,-55,-57,-50,-62,-68,-62,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,3
-64,-29,-33,-57,-46,-58,-51,NaN,-60,-67,-63,NaN,NaN,-64,NaN,NaN,NaN,NaN,NaN,3
-62,-30,-33,-57,NaN,-57,-50,NaN,-63,-68,-63,-59,-82,-65,NaN,NaN,-84,NaN,NaN,3
-63,-27,-71,-57,-44,-56,-48,-50,-60,-68,-62,-61,NaN,-65,-75,NaN,NaN,NaN,NaN,3
-63,-29,-33,NaN,-46,-58,-49,-49,NaN,-66,-63,NaN,-82,-65,NaN,NaN,NaN,NaN,NaN,3
-62,-29,-34,-58,-45,-56,-50,-50,-62,-68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-62,-29,-33,NaN,-47,-57,-49,-50,-61,-67,-63,NaN,NaN,-64,NaN,NaN,NaN,NaN,NaN,3
-62,-29,-33,-57,-44,-57,-49,-50,NaN,-67,-63,-59,NaN,-64,-74,NaN,NaN,NaN,NaN,3
-62,-29,-33,-58,-46,-58,-50,-50,NaN,-68,-84,-60,NaN,-64,NaN,NaN,NaN,-83,NaN,3
-59,-29,-33,-58,NaN,-60,-56,-51,NaN,-67,-68,NaN,NaN,-64,-77,NaN,NaN,NaN,NaN,3
-60,-32,-34,-57,NaN,-59,-58,NaN,-60,-67,-63,NaN,NaN,-64,-73,NaN,NaN,NaN,NaN,3
-60,-29,-33,-55,-46,-59,NaN,-49,-62,-67,-61,-59,NaN,-64,-74,NaN,NaN,NaN,NaN,3
-63,-30,-32,-57,-44,-59,-59,-50,-60,-68,-63,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,3
-62,-29,-33,-58,-47,-56,-48,-50,-67,-68,-62,-59,-81,NaN,NaN,NaN,NaN,-82,NaN,3
-66,-29,-33,-57,-46,-56,-47,-51,-73,-69,-63,-58,-81,-64,NaN,NaN,NaN,NaN,NaN,3
-64,-29,-34,-58,-46,-56,-47,-50,-62,-67,NaN,NaN,NaN,-63,NaN,NaN,NaN,NaN,NaN,3
-63,-29,-33,-57,-45,-56,-46,-50,-75,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-63,-29,-34,-58,-46,-55,-47,-51,NaN,-68,-64,NaN,NaN,NaN,-74,NaN,NaN,NaN,NaN,3
-56,-29,-33,-58,-46,-57,-48,-50,-63,-68,-63,NaN,NaN,-64,-75,NaN,NaN,NaN,NaN,3
-63,-28,-33,-57,-44,NaN,-49,-51,-63,-69,-63,NaN,NaN,-64,-74,NaN,NaN,-83,NaN,3
-63,NaN,-34,-58,-48,-56,-51,-50,-63,-68,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-60,-29,-34,NaN,-44,-55,-62,NaN,NaN,-68,-63,-59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-60,-28,-34,-58,-45,-55,-51,-51,-60,-70,-64,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,3
-54,-33,-35,-53,-47,-54,-43,-49,-68,-64,-63,-59,NaN,NaN,-79,-80,-75,NaN,-73,4
-53,-29,-36,-52,-51,-55,-46,-61,-68,-68,-67,-54,NaN,NaN,-72,NaN,NaN,NaN,NaN,4
-58,-35,-32,-51,-45,-57,-43,-51,-66,-64,-70,-59,-73,-66,NaN,NaN,NaN,-84,NaN,4
-52,-28,-33,-50,-47,-54,-42,-47,-69,-67,-64,-58,-74,-66,-78,-83,NaN,NaN,-76,4
-54,-30,-30,-51,-50,-55,-44,-49,-68,-67,-63,-59,-72,-64,-75,NaN,-68,NaN,-75,4
-55,-30,-30,-50,-50,-55,-42,-46,NaN,-67,-67,-56,NaN,-66,NaN,NaN,-76,NaN,-72,4
-53,-30,-34,-51,-50,-55,-43,-47,-70,-67,-65,-57,NaN,-65,-73,NaN,NaN,NaN,-77,4
-55,-29,NaN,-51,-52,-56,-42,-46,-67,-68,-65,-56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-55,-30,-31,-51,-51,-57,-43,-46,-69,-68,NaN,-56,-77,NaN,NaN,NaN,NaN,NaN,NaN,4
-57,NaN,-31,-48,-50,-57,-43,-47,-70,-67,-64,NaN,NaN,NaN,-74,NaN,-66,NaN,NaN,4
-55,-29,-34,-51,-50,-56,-43,-46,-68,-67,-64,-58,NaN,-65,NaN,NaN,NaN,-90,NaN,4
-53,-30,-31,-51,-51,-56,-43,-46,-66,-67,-64,-56,-73,-65,NaN,NaN,NaN,NaN,NaN,4
-52,-29,-66,NaN,-51,-54,-43,-47,-69,-67,-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-53,-29,-34,-52,-49,-56,-43,-46,-67,-68,-64,NaN,NaN,-65,-74,NaN,NaN,NaN,NaN,4
-54,-29,-31,-51,-51,-56,-43,-46,NaN,-60,-63,-56,NaN,-65,-74,NaN,NaN,NaN,NaN,4
-52,-30,-30,-50,-50,-56,-43,NaN,-67,-69,-65,NaN,-79,NaN,-73,NaN,NaN,NaN,NaN,4
-53,-29,-31,-51,-50,-54,-43,-46,NaN,-68,NaN,-56,-74,NaN,NaN,NaN,-77,NaN,-71,4
-52,-29,-30,-51,-51,-56,-44,-47,-65,-69,-65,-57,-73,-65,-73,NaN,NaN,NaN,NaN,4
-54,-30,-31,-51,-50,-56,-43,-47,-65,-69,NaN,-57,-72,-65,NaN,NaN,NaN,NaN,-69,4
-56,-30,NaN,-51,-48,-56,-43,-47,-65,-67,NaN,-55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-54,-29,NaN,-51,-50,-56,-43,-57,-65,-67,NaN,-57,-79,NaN,NaN,NaN,-76,NaN,NaN,4
-52,-30,-31,-51,-51,-57,-43,-47,-65,-66,NaN,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,4
-52,-29,-31,-51,-51,-56,-43,-47,-65,-67,-64,-57,-73,-65,-74,NaN,-76,NaN,NaN,4
-52,-29,-31,NaN,-51,-56,-43,-47,NaN,-67,NaN,-56,NaN,-73,NaN,NaN,NaN,NaN,-69,4
-53,-29,NaN,-51,NaN,-55,-43,-47,-65,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-54,-28,-31,-50,-48,-56,-43,-56,-64,-68,-65,-57,-73,-64,-73,NaN,NaN,NaN,NaN,4
-53,-29,-31,-51,-51,-57,-43,-55,-64,-67,-65,-57,NaN,-65,-73,NaN,NaN,NaN,NaN,4
-53,-27,-31,-51,-49,-56,-43,-46,-65,-66,-65,-57,NaN,-65,-73,NaN,NaN,NaN,NaN,4
-56,-30,-31,-51,-50,-56,-43,-48,-65,-67,-65,-55,-73,-64,-74,NaN,NaN,NaN,NaN,4
-53,-29,-30,-51,-50,-57,-45,-46,-72,-61,NaN,-57,NaN,-73,NaN,NaN,NaN,NaN,NaN,4
-52,-28,-30,-51,-50,-56,-43,-57,-71,-67,NaN,NaN,-78,-65,NaN,NaN,NaN,NaN,NaN,4
-56,-28,-31,-54,-51,-57,-43,-57,-65,-68,-65,-57,NaN,-65,-73,-82,NaN,-88,NaN,4
-53,-30,-30,-52,-53,-56,NaN,-46,-66,-68,NaN,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,4
-53,-28,-30,-51,-51,-57,-42,-46,-66,-60,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-54,-30,-31,-54,-51,-56,-43,-47,NaN,-59,-65,-56,NaN,NaN,-72,-85,NaN,NaN,-77,4
-50,-29,-31,-50,-50,-55,-43,-51,-65,-68,-65,-57,-78,-65,-73,-82,NaN,NaN,NaN,4
-54,-30,-31,NaN,-49,-56,-43,NaN,-71,-68,-67,-56,NaN,NaN,NaN,NaN,NaN,NaN,-71,4
-50,-30,-64,-51,-51,-56,-43,-46,-73,-67,NaN,-57,-70,-64,NaN,NaN,-77,NaN,NaN,4
-50,-30,-31,-51,-50,-54,-42,-46,-66,-68,NaN,-57,-72,NaN,NaN,NaN,-77,NaN,-70,4
-53,-30,-31,-50,-51,-50,-45,-47,-64,-67,NaN,-58,NaN,-65,-70,NaN,NaN,-88,-68,4
-53,-29,-30,-54,-50,-56,-43,-46,-69,-67,NaN,-57,-79,NaN,NaN,-84,-77,NaN,NaN,4
-52,-29,-31,-51,-50,-56,-42,-56,-66,-68,-62,-58,-73,-66,-75,NaN,NaN,NaN,NaN,4
-51,-30,-31,-51,-51,-56,-42,-47,NaN,-68,NaN,-57,-81,-72,-73,NaN,NaN,NaN,NaN,4
-53,-29,-31,-51,-52,-56,-43,-58,-66,-69,-68,NaN,-74,-65,NaN,NaN,NaN,NaN,NaN,4
-53,-30,-30,-51,-50,-56,-43,-58,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-54,-29,-31,-53,-51,-57,-43,-46,NaN,-68,-65,-57,NaN,NaN,-73,-80,-82,NaN,-70,4
-54,-29,-31,-50,-51,-53,-43,-51,-66,-69,NaN,-57,-73,-72,NaN,NaN,-75,NaN,NaN,4
-55,-30,-31,-51,-51,-56,-43,-49,-73,-69,-66,-56,-80,-65,NaN,NaN,NaN,NaN,NaN,4
-53,-30,-31,-55,-48,-56,NaN,-54,NaN,-65,-66,NaN,-74,NaN,-74,NaN,NaN,NaN,NaN,4
-54,-30,-29,-50,-51,-56,-43,-45,-67,-67,-66,-57,NaN,NaN,NaN,NaN,NaN,NaN,-73,4
-54,-30,-31,-51,-51,-56,-43,-47,-66,-67,-66,-57,-73,-65,-72,-82,NaN,NaN,NaN,4
-55,-30,-31,-51,-51,-57,-43,-55,NaN,-58,-67,-57,NaN,NaN,NaN,NaN,NaN,NaN,-69,4
-55,-30,-31,-50,-51,-56,-43,-57,-69,-66,NaN,-56,-72,-72,NaN,NaN,NaN,NaN,-71,4
-54,-30,-31,-51,-51,-56,-42,-46,-68,-67,-68,-57,NaN,-71,-73,NaN,NaN,NaN,NaN,4
-55,-30,-30,-51,-51,-56,-43,-59,-69,-66,NaN,NaN,-80,-65,NaN,NaN,NaN,NaN,NaN,4
-55,-29,-31,NaN,NaN,-56,-43,-57,-69,-66,-68,-58,NaN,-71,NaN,NaN,NaN,NaN,NaN,4
-55,-31,-31,-51,-49,-56,-43,-46,-67,-65,NaN,-57,NaN,-65,-72,-86,NaN,NaN,-76,4
-52,-30,-31,-51,-51,-56,-43,-56,-66,-67,NaN,NaN,NaN,NaN,NaN,NaN,-78,NaN,NaN,4
-54,-34,-31,-51,-52,-57,-43,-45,NaN,-66,NaN,NaN,NaN,-65,-73,NaN,-76,NaN,-73,4
-53,-30,-31,-54,-52,NaN,NaN,-46,NaN,-67,NaN,NaN,NaN,NaN,-73,-81,NaN,NaN,NaN,4
-54,-30,-30,-54,-51,-56,-46,-45,-69,-66,NaN,-57,-75,-64,NaN,NaN,-78,NaN,-72,4
-53,-30,-31,NaN,-51,-56,-43,-45,-66,-67,NaN,-57,-72,-65,-73,NaN,-76,NaN,-73,4
-56,-29,-31,-51,-51,-56,-44,-45,-66,-61,-67,-58,-73,NaN,NaN,-80,NaN,NaN,-70,4
-55,-29,-34,-51,-51,-57,-43,-45,NaN,-67,-68,-57,NaN,-72,NaN,NaN,-77,NaN,NaN,4
-55,-29,NaN,-51,-51,-56,-44,-59,-67,-67,-69,NaN,-79,-65,NaN,NaN,-77,NaN,-72,4
-54,-30,NaN,-51,-49,-56,-44,-45,-67,-67,NaN,-56,-79,-71,-73,NaN,NaN,NaN,NaN,4
-55,-30,-31,-51,-50,-57,-43,-46,-68,-66,-69,-56,-73,-65,-73,NaN,-77,NaN,NaN,4
-55,-30,-31,-54,-48,-56,NaN,-59,-66,-68,NaN,-56,NaN,-72,NaN,-84,-78,NaN,NaN,4
-54,-33,-31,-51,-52,-57,-44,-45,-67,-66,-67,-57,-72,-64,-69,NaN,NaN,NaN,NaN,4
-54,-30,-34,-51,-50,-56,-47,-58,-65,-67,-68,NaN,NaN,NaN,-72,NaN,-78,NaN,NaN,4
-56,-30,-35,-50,-48,-47,-43,-86,-64,-67,-68,-57,-74,-65,NaN,NaN,NaN,-86,NaN,4
-55,-30,-32,-51,-51,-56,-44,-46,-64,-67,NaN,-56,NaN,NaN,-73,NaN,NaN,NaN,-76,4
-56,-29,-31,-51,-51,-54,-44,-45,NaN,-66,-68,-56,-76,-65,NaN,NaN,NaN,NaN,NaN,4
-55,-30,-32,-50,-51,-55,-48,-46,-66,-67,-68,NaN,NaN,-65,-74,NaN,NaN,NaN,NaN,4
-55,-30,-31,-50,-51,-58,-44,-55,-65,-66,NaN,-56,NaN,-65,-73,NaN,NaN,NaN,NaN,4
-58,-30,-31,-50,-51,-58,-44,-46,-65,-67,-67,-57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-57,-30,-31,-50,-52,-58,-45,-45,NaN,-67,-66,NaN,NaN,NaN,NaN,-81,-78,NaN,NaN,4
-55,-30,-31,-51,-51,-57,-45,-45,-64,-67,-67,-58,NaN,NaN,-73,NaN,-77,NaN,NaN,4
-60,-30,-31,-51,-51,-53,NaN,-46,-68,-67,NaN,-56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-54,-31,-31,-51,-51,-57,-44,-51,-70,-66,NaN,-57,NaN,-65,-73,NaN,NaN,NaN,NaN,4
-63,-32,-39,-53,-46,-48,-48,-48,-60,-64,-64,-62,-75,-67,NaN,NaN,-71,NaN,-69,5
-61,-32,-39,-52,-46,-53,-47,-45,-65,-64,-63,-63,NaN,-70,NaN,NaN,NaN,NaN,NaN,5
-60,-31,-38,NaN,-46,-53,NaN,-46,-66,-64,-64,-63,NaN,-70,-67,-77,-73,NaN,-71,5
-61,-31,-38,-53,-46,-52,-85,-46,-65,-64,NaN,-62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-60,-32,-38,-53,-46,-53,NaN,-45,NaN,-64,NaN,-69,NaN,NaN,NaN,NaN,-75,NaN,NaN,5
-59,-33,-39,NaN,-47,-54,-45,-48,-65,-66,-75,NaN,NaN,-68,-69,NaN,NaN,NaN,NaN,5
-54,-32,-38,-51,-45,-53,-49,-83,-66,-65,-65,-62,NaN,-71,-68,NaN,-73,NaN,-70,5
-61,-32,-37,-54,NaN,-52,-69,-53,-67,-65,-67,-60,NaN,-69,-70,NaN,NaN,NaN,NaN,5
-60,-32,-37,-51,-44,-51,-46,-51,-66,-64,-67,NaN,NaN,-70,NaN,NaN,NaN,NaN,NaN,5
-59,-32,-38,-53,-87,-52,NaN,-52,-68,-64,NaN,-61,-73,NaN,-68,NaN,NaN,NaN,NaN,5
-59,-32,-38,-52,-46,-53,-46,-45,-66,-64,NaN,NaN,NaN,-70,NaN,-80,-73,NaN,NaN,5
-60,-31,-38,-54,-44,-52,-46,-46,-68,-64,NaN,NaN,NaN,-71,NaN,-79,-75,NaN,NaN,5
-59,-32,-38,-52,-44,-53,NaN,-45,NaN,-65,NaN,-63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-59,-32,-38,-52,-46,-53,-46,-51,-67,-53,-66,-88,NaN,-71,-73,NaN,NaN,NaN,NaN,5
-60,-32,-38,-52,-47,-53,-45,-45,-66,-65,-64,-63,-67,-66,-67,NaN,-68,NaN,NaN,5
-61,-31,-38,-51,-47,-52,-47,NaN,-68,-64,-65,-62,-68,-70,-67,NaN,-74,NaN,NaN,5
-59,-32,-38,-52,-45,-53,-46,-46,-66,-64,-65,-61,NaN,-69,-67,-78,-82,NaN,NaN,5
-65,-31,-39,-54,-46,-52,-46,-50,-65,-65,-66,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,5
-59,-32,-37,NaN,-46,-53,-51,-45,NaN,-65,NaN,NaN,NaN,-70,NaN,NaN,-75,NaN,NaN,5
-59,NaN,-38,-52,-45,-47,-46,-45,-66,-66,-67,NaN,-69,-71,-67,NaN,NaN,NaN,NaN,5
-60,-32,-38,-52,-46,-52,-49,-45,NaN,-65,NaN,-62,-77,-70,NaN,-78,-74,NaN,NaN,5
-59,NaN,-38,-52,-46,-52,-48,-45,-66,-67,NaN,-63,NaN,-69,NaN,NaN,NaN,NaN,-75,5
-59,-31,-38,-53,NaN,-52,-57,-48,-66,-66,NaN,-64,-73,-69,NaN,-80,-74,NaN,NaN,5
-58,-29,-38,-51,NaN,-52,-48,-50,-67,-64,-66,-65,-77,-68,NaN,NaN,NaN,NaN,-78,5
-58,-31,-38,-52,-46,-57,-49,-45,-65,-65,-68,-62,NaN,-69,NaN,NaN,NaN,NaN,NaN,5
-60,-32,-37,-52,-46,-52,-49,-45,-65,-65,-62,-63,NaN,-69,NaN,-79,-73,NaN,NaN,5
-62,-31,-38,-52,-46,-52,-48,-45,-61,-65,-66,-64,-71,NaN,-67,NaN,-74,NaN,NaN,5
-62,-32,-39,-52,-45,-51,-48,-45,-64,-67,-65,NaN,NaN,-71,-74,NaN,-73,NaN,NaN,5
-60,-87,-39,-55,-46,-51,-52,-44,-59,-63,-60,NaN,NaN,-69,-68,NaN,-75,NaN,NaN,5
-60,-31,-39,-51,-46,-52,-52,-45,-67,-65,-67,-58,-69,-69,-68,NaN,-74,NaN,NaN,5
-60,-31,-38,-53,-46,-52,-47,-42,NaN,-64,NaN,-63,-71,NaN,-68,NaN,-76,NaN,NaN,5
-60,-33,-38,-70,-46,-52,-47,-45,-66,-64,-67,-62,NaN,-69,NaN,NaN,NaN,NaN,NaN,5
-60,-32,-39,-52,-46,-52,-48,-47,-65,-65,NaN,NaN,-77,-69,NaN,NaN,NaN,NaN,NaN,5
-58,-31,-38,-52,-46,-51,-48,-45,-64,-56,-66,-61,-75,-69,-73,NaN,NaN,NaN,-78,5
-59,-31,-38,-52,-46,-52,-48,-85,-64,-64,-65,NaN,-75,-69,-68,NaN,-74,NaN,-76,5
-61,-32,-71,-52,-46,-52,NaN,-45,-66,-64,-64,NaN,NaN,-69,-67,-76,NaN,NaN,-71,5
-60,-31,-39,-51,-46,-52,-52,-45,-63,-65,-66,NaN,NaN,-69,-65,NaN,NaN,NaN,NaN,5
-60,-31,-38,-58,-43,-52,-49,NaN,NaN,-64,-66,NaN,-76,NaN,-72,NaN,NaN,NaN,-81,5
-60,-32,-38,-52,-45,-52,-47,-51,-64,-64,NaN,NaN,NaN,-70,-69,-79,NaN,NaN,-69,5
-61,-31,-39,-53,-46,-52,NaN,-45,-67,-64,NaN,NaN,NaN,NaN,NaN,NaN,-72,NaN,NaN,5
-59,-31,-38,-53,-47,-44,-47,-45,-63,-64,-65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-62,-32,-38,-54,-43,-51,-48,-46,-64,-64,NaN,NaN,NaN,-70,-74,NaN,NaN,NaN,-79,5
-59,-32,-38,-53,-45,-52,NaN,-46,-64,-64,NaN,NaN,NaN,-66,NaN,NaN,-75,NaN,-77,5
-59,-31,-38,-53,-46,-51,-48,-45,-78,-64,-66,NaN,NaN,-69,-70,NaN,-75,NaN,NaN,5
-60,-32,-39,-53,-45,-52,-53,-45,-64,-65,-65,NaN,-78,-70,NaN,NaN,-74,NaN,NaN,5
-59,-31,-39,-53,-45,-50,-49,-50,-66,-65,NaN,NaN,NaN,-69,NaN,NaN,NaN,NaN,NaN,5
-63,-31,-38,-53,-45,-51,-49,-45,-64,-59,NaN,-61,NaN,-70,-68,NaN,-74,NaN,-70,5
-60,-31,-38,-52,-46,-51,-48,-45,-64,-64,NaN,-63,-68,-68,-67,-78,NaN,-85,-74,5
-60,-31,-38,-53,-46,-52,-49,-45,-66,-64,-65,-61,-68,NaN,-65,NaN,-74,NaN,-71,5
-60,-31,-38,-53,-45,-52,NaN,-44,NaN,-64,NaN,-60,-70,-69,NaN,NaN,NaN,NaN,NaN,5
-59,-31,-38,-54,-45,-51,-48,-46,-64,-64,NaN,-62,-68,NaN,-68,NaN,NaN,NaN,-67,5
-61,-31,-39,-53,-45,-52,-49,-45,-66,-64,NaN,-75,-69,-69,NaN,NaN,NaN,NaN,-71,5
-60,-32,-39,-53,-43,-52,-48,-45,-64,-64,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-71,5
-62,-31,-39,-53,-43,-52,-51,-45,-65,-64,-66,-61,-69,NaN,NaN,NaN,-74,NaN,NaN,5
-60,-31,-38,-53,-45,-51,-48,NaN,-65,-64,NaN,-61,-68,-68,-73,NaN,-74,NaN,NaN,5
-60,-32,-38,-52,-46,-52,-48,-46,-64,-64,NaN,-60,-67,-69,-68,NaN,NaN,NaN,-69,5
-60,-31,-39,-53,-45,-52,-48,-45,-65,-64,-63,NaN,NaN,-70,NaN,NaN,NaN,NaN,NaN,5
-60,-32,-38,NaN,-45,-52,-48,-44,NaN,-63,NaN,NaN,NaN,NaN,NaN,-78,NaN,NaN,-67,5
-60,-32,-38,-53,-45,-52,-49,-51,-66,-64,-65,-60,-78,-70,NaN,NaN,NaN,NaN,-68,5
-58,-31,-39,-52,NaN,-52,-48,-51,-65,-63,-66,NaN,NaN,-70,-68,NaN,-74,NaN,-66,5
-60,-32,-38,-52,-46,-52,-47,-45,-63,-63,-65,NaN,NaN,NaN,NaN,-78,NaN,NaN,NaN,5
