04:18:d6:c1:98:24_inonet,06:18:d6:c2:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:67:ab:cf_evarobot,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,64:66:b3:d0:4a:8d_Cisco_KRD,18:28:61:13:0d:9d_EROGLU,REF_POINT
-61,-67,-46,-64,-29,-68,-63,-64,-58,-53,-72,NaN,-73,-82,NaN,-70,-81,NaN,NaN,NaN,1
-62,-67,-47,-65,-30,-64,-64,-63,-58,-52,-68,NaN,-78,-81,NaN,-53,-81,-86,-91,-88,1
-61,-68,-46,-64,-29,-65,-64,-73,-58,-56,-70,-73,-79,-81,NaN,-69,-80,-86,-91,-88,1
-61,-69,-47,-66,-64,-64,-63,-64,-60,-56,-69,-73,-79,-79,NaN,-69,-80,-85,NaN,NaN,1
-60,-69,-47,-66,-29,-64,-63,-63,-58,-52,-70,NaN,-79,-81,NaN,-70,NaN,-85,NaN,NaN,1
-58,-69,-47,-65,-29,-67,-62,-63,-57,-53,-71,-73,-80,-82,-77,-70,-80,NaN,NaN,NaN,1
-59,-67,-48,-64,-33,-67,-63,-63,-57,-54,-71,-73,-80,-82,-77,NaN,-80,NaN,NaN,NaN,1
-62,-68,-48,-65,-29,-66,-60,NaN,-57,-54,-73,-74,-81,-78,-79,-73,-81,-87,-83,NaN,1
-60,-68,-46,-65,-29,-65,-72,-65,-57,-53,-74,-74,-81,-80,-79,-69,-81,-87,-83,NaN,1
-61,-70,-48,-65,-29,-63,-64,-65,-58,-58,-71,-73,-81,-80,NaN,-69,-79,NaN,-88,NaN,1
-60,-63,-47,-67,-28,-67,-66,-63,-57,-58,-71,-71,-78,NaN,NaN,-71,-79,NaN,-88,NaN,1
-61,-68,-50,-66,-29,-66,-66,-65,-58,-51,-71,-71,-78,NaN,NaN,-69,NaN,-86,-89,NaN,1
-63,-68,-49,-62,-30,-66,-67,-64,-60,-54,-71,NaN,-78,NaN,NaN,-69,NaN,-86,-89,NaN,1
-60,-66,-51,-64,-29,-64,-67,-63,-58,-54,-71,-73,-78,-82,-83,-71,-81,-87,NaN,-87,1
-61,-68,-49,-65,-29,-64,-64,-63,-58,-56,-71,-73,NaN,-83,-80,-70,-81,-86,NaN,-87,1
-58,-68,-50,-64,-29,-63,-67,-67,-58,-55,-71,-72,-76,-83,-80,-69,NaN,-81,NaN,NaN,1
-61,-69,-50,-65,-29,-64,-64,-73,-59,-56,-71,-72,-77,-83,NaN,-67,-81,-88,NaN,NaN,1
-59,-69,-49,-66,-29,-64,-64,-73,-59,-57,-70,-72,-75,-83,NaN,-70,-81,-88,NaN,NaN,1
-60,-68,-49,-59,-29,-66,-64,-63,-58,-56,-70,NaN,-75,NaN,-80,-68,-80,NaN,-88,NaN,1
-60,-67,-49,-67,-29,-64,-65,-64,-60,-57,-74,-77,NaN,-84,-80,-69,-80,NaN,-88,NaN,1
-62,-67,-50,-65,-29,-63,-66,-65,-58,-58,-69,-74,-74,-83,-82,-70,NaN,-87,NaN,NaN,1
-59,-67,-49,-61,-29,-65,-65,-69,-58,-59,-71,-74,-74,-81,-82,-70,NaN,-87,NaN,NaN,1
-59,-68,-50,-65,-29,-63,-64,-66,-81,-60,-72,-78,-71,-81,-81,-70,NaN,-85,NaN,NaN,1
-60,-68,-50,-66,-30,-64,-63,-69,-59,-54,-72,-78,-71,-83,-81,-70,NaN,-86,NaN,NaN,1
-61,-67,-50,-59,-65,-62,-68,-69,-60,-57,-71,-79,-75,-83,-81,-69,NaN,-86,NaN,NaN,1
-61,-69,-49,-64,-29,-65,-65,-68,-60,-55,-71,-74,-72,NaN,-81,-69,-82,NaN,NaN,NaN,1
-61,-67,-49,-65,-29,-64,-65,-67,-58,-55,-71,-75,-74,NaN,-81,NaN,-82,NaN,NaN,NaN,1
-60,-67,-50,-64,-29,-64,-65,-66,-58,-56,-71,-75,-78,-81,NaN,-70,-84,NaN,-88,NaN,1
-61,-69,-50,-64,-29,-64,-83,-66,-60,-51,NaN,NaN,-78,-81,NaN,-70,-84,NaN,-88,NaN,1
-60,-68,-50,-64,-29,-64,-64,-69,-61,-53,-73,-76,-74,-80,-82,-70,NaN,-86,-89,-90,1
-61,-67,-50,-64,-29,-65,-65,-64,-60,-55,-73,-73,-75,-80,-82,-69,NaN,-86,-89,-88,1
-65,-68,-51,-64,-30,-63,-66,-64,-60,-58,-73,-72,-74,-82,-81,-69,NaN,NaN,NaN,-88,1
-61,-67,-50,-64,-30,-65,-61,-68,-59,-53,-72,-72,-77,-85,-83,-70,-80,-87,-88,NaN,1
-60,-67,-50,-65,-29,-63,-64,-65,-60,-54,-72,NaN,-76,-82,-83,-69,-80,-87,-88,NaN,1
-61,-68,-50,-63,-28,-65,-65,-64,-58,-55,NaN,-74,-76,-84,-83,-70,-81,NaN,-88,NaN,1
-61,-67,-51,-63,-29,-64,-65,-65,-60,-55,NaN,-74,-75,-82,-84,-70,-81,-87,-88,NaN,1
-60,-67,-50,-64,-29,-63,-65,-66,-60,-55,-71,-73,-76,-82,-84,-69,-80,-87,-89,-90,1
-60,-67,-50,-63,-29,-63,-64,-69,-58,-54,-72,-73,-76,-83,NaN,-69,-82,-85,-87,-90,1
-61,-68,-51,-64,-33,NaN,-64,-69,-58,-54,-72,NaN,-78,-83,NaN,NaN,-82,-85,-87,NaN,1
-61,-65,-50,-64,-29,NaN,-65,-69,-59,-53,NaN,NaN,-77,NaN,NaN,-70,NaN,NaN,NaN,NaN,1
-58,-72,-38,-53,-35,-60,-64,-65,-71,-57,-76,-76,-72,-82,NaN,-85,-80,-87,-88,NaN,2
-59,-74,-42,-64,-43,-56,-67,-64,-67,-56,NaN,-74,-77,-80,-84,-69,-80,NaN,-89,NaN,2
-59,-76,-41,-65,-43,-59,-68,-65,-68,-56,-76,-72,-77,-80,-84,-69,-79,NaN,-86,NaN,2
-59,-74,-42,-65,-43,-61,-66,-64,-66,-55,-77,-72,-81,NaN,NaN,-70,-79,NaN,-86,NaN,2
-58,-64,-41,-65,-42,-58,-67,-66,-72,-54,-77,NaN,-79,-83,NaN,-71,NaN,NaN,NaN,NaN,2
-59,-74,-40,-65,-44,-58,-68,-65,-69,-56,-75,-72,-80,-83,-81,-71,NaN,NaN,NaN,NaN,2
-59,-75,-41,-65,-43,-61,-68,-68,-68,-54,-76,-71,-77,-83,-81,-70,-82,NaN,-89,NaN,2
-59,-74,-41,-64,-44,-58,-68,-67,-70,-54,-76,-71,-77,-83,NaN,-69,-82,NaN,-89,NaN,2
-59,-73,-42,-64,-43,-61,-68,-67,-70,-54,NaN,NaN,-79,-81,NaN,-69,NaN,-87,NaN,NaN,2
-58,-74,-40,-65,-47,-58,-67,-66,-69,-53,-75,-72,-80,-80,NaN,-70,-81,-87,NaN,NaN,2
-60,-73,-40,-67,-44,-61,-69,-66,-69,-86,-75,-73,-78,-80,-78,-70,-81,NaN,NaN,NaN,2
-60,-71,-41,-53,-43,-60,-66,NaN,-68,-55,NaN,-72,-79,-81,-78,NaN,-81,NaN,NaN,NaN,2
-58,-74,-41,-65,-42,-58,-66,-65,-68,-56,-73,-71,-79,-81,NaN,NaN,NaN,-86,NaN,NaN,2
-59,-64,-38,-67,-43,-59,-65,-86,-71,-58,-73,-71,-76,NaN,-79,NaN,-82,-86,NaN,NaN,2
-57,-74,-41,-67,-42,-60,-67,-66,-69,-55,NaN,-72,-76,NaN,-79,-70,-82,-86,NaN,NaN,2
-60,-70,-41,-68,-42,-60,-67,-65,-69,-55,NaN,-73,NaN,-81,NaN,-74,NaN,-88,NaN,NaN,2
-57,-70,-42,-67,-43,-59,-66,-64,-69,-54,-77,-71,-73,-81,NaN,-70,-81,-88,NaN,NaN,2
-57,-70,-41,-67,-43,-57,-67,-62,-68,-60,-77,-72,-73,-80,-80,-70,-81,NaN,NaN,NaN,2
-57,-72,-42,-68,-44,-61,-66,-65,-67,-54,-79,-72,-73,-80,-80,-69,-83,NaN,NaN,NaN,2
-58,-66,-40,-69,-43,-59,-67,-66,-67,-56,-76,-73,NaN,NaN,NaN,-74,-82,NaN,NaN,NaN,2
-56,-61,-40,-53,-45,-59,-66,-66,-68,-53,-76,-75,-76,NaN,NaN,-74,-82,NaN,NaN,NaN,2
-56,-66,-42,-64,-43,-61,-70,-66,-67,-53,NaN,-75,-75,NaN,NaN,-70,NaN,NaN,NaN,NaN,2
-57,-70,-42,-54,-44,-57,-68,-68,-67,-55,NaN,NaN,-77,NaN,-77,-70,-82,NaN,NaN,NaN,2
-58,-70,-42,-66,-43,-58,-69,-66,-67,-52,NaN,-73,-78,NaN,-77,-70,-82,NaN,NaN,NaN,2
-61,-70,-42,-67,-44,-61,-68,-65,-70,-55,NaN,-73,-78,NaN,NaN,-70,NaN,NaN,NaN,NaN,2
-56,-70,-43,-67,-45,-59,-66,-64,-70,-56,NaN,NaN,-75,NaN,NaN,-72,NaN,NaN,NaN,NaN,2
-57,-71,-43,-72,-45,-61,-67,-65,-69,-55,-78,NaN,-75,-80,NaN,-69,NaN,NaN,NaN,NaN,2
-57,-72,-41,-67,-43,-60,-67,-64,-69,-54,-78,NaN,-75,-80,-79,-70,-82,NaN,NaN,NaN,2
-61,-72,-42,-56,-43,-58,-68,-65,-68,-54,-81,NaN,-75,-79,-77,-70,-82,-88,NaN,NaN,2
-56,-72,-42,-56,-43,-58,-65,-65,-69,-58,-81,NaN,-74,-79,-77,-70,NaN,-88,-88,NaN,2
-61,-71,-42,-66,-43,-57,-68,-64,-68,-58,NaN,-74,-74,NaN,NaN,-70,NaN,NaN,-84,NaN,2
-56,-70,-36,-52,-42,-60,-67,-64,-68,-55,NaN,-75,-77,NaN,-79,NaN,-82,NaN,-84,NaN,2
-56,-73,-42,-65,-44,-57,-69,-64,-68,-52,NaN,-74,-79,-80,-79,-74,-82,NaN,NaN,-88,2
-60,-71,-43,-65,-43,-61,-66,-64,-76,-58,NaN,-74,-79,-80,NaN,-74,NaN,NaN,NaN,-88,2
-59,-71,-42,-65,-42,-58,-66,-66,-69,-54,NaN,NaN,NaN,NaN,-79,-70,NaN,NaN,NaN,NaN,2
-66,-72,-41,-66,-43,-59,-66,-67,-68,-57,-78,-75,-76,NaN,-80,-70,-81,NaN,NaN,NaN,2
-57,-72,-43,-66,-70,-59,-67,-65,-70,-55,-78,-74,-76,NaN,-78,-70,-81,NaN,NaN,NaN,2
-58,-72,-42,-66,-44,-58,-67,-68,-69,-52,-79,-75,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,2
-59,-66,-41,-65,-42,-57,-67,-65,-72,-54,-79,-75,NaN,NaN,-80,-70,NaN,NaN,NaN,NaN,2
-58,-70,-42,-65,-43,-59,-67,-66,-65,-55,-78,NaN,-74,NaN,-80,-70,NaN,NaN,NaN,NaN,2
-59,-62,-42,-67,-42,-55,-70,-67,-73,-55,-75,-74,-74,NaN,-80,-67,-83,NaN,NaN,NaN,2
-59,-70,-37,-65,-43,-59,-67,-66,-66,-53,-75,-76,-78,-80,-78,-70,-81,NaN,-86,NaN,2
-57,-70,-41,-66,-42,-56,-70,-65,-69,-54,-75,-72,-75,-80,-78,-70,-81,NaN,-86,NaN,2
-58,-63,-42,-66,-42,-57,-64,-65,-69,-57,NaN,-72,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-59,-71,-42,-55,-43,-59,-72,-65,-68,-57,NaN,-72,-78,-80,-78,NaN,NaN,-85,-89,NaN,2
-57,-63,-42,-65,-43,-58,-65,-63,-65,-58,NaN,-73,-81,-80,-78,NaN,-82,-85,-88,NaN,2
-59,-72,-42,-54,-43,-61,-65,-65,-72,-56,NaN,-73,-80,NaN,NaN,-70,-83,NaN,-88,NaN,2
-61,-70,-42,-63,-44,-59,-69,-65,-66,-57,-75,-72,-75,NaN,NaN,-70,-83,NaN,NaN,NaN,2
-59,-71,-42,-54,-43,-59,-68,-65,-66,-58,-75,-72,-75,NaN,NaN,-70,NaN,NaN,NaN,NaN,2
-58,-71,-41,-66,-43,-60,-70,-63,-73,-57,-76,NaN,-79,-80,NaN,-70,NaN,NaN,NaN,NaN,2
-61,-71,-42,-67,-44,-58,-65,-63,-73,-57,-76,-70,-80,-81,NaN,-70,NaN,NaN,NaN,NaN,2
-58,-71,-42,-66,-44,-55,-70,-63,-68,-65,NaN,-70,-78,-81,NaN,-70,-80,NaN,NaN,NaN,2
-58,-71,-42,-65,-44,-64,-65,-65,-68,-59,-77,-74,-78,-82,NaN,-70,-80,NaN,-88,NaN,2
-58,-70,-41,-65,-43,-59,-90,-64,-72,-55,-77,-72,-75,-82,NaN,-70,-81,NaN,-88,NaN,2
-59,-70,-40,-65,-42,-59,-64,-62,-71,-58,NaN,-72,-75,-82,-63,-73,-81,NaN,-85,NaN,2
-61,-71,-39,-66,-37,-60,-68,-63,-74,-56,NaN,-71,-71,-80,-83,-75,-78,-86,-85,NaN,2
-58,-70,-40,-66,-43,-58,-67,-63,-67,-56,NaN,-72,-74,-80,-83,-70,-78,-86,NaN,NaN,2
-57,-70,-40,-54,-43,-60,-64,-63,-64,-55,-76,-72,-73,NaN,-83,-71,NaN,-85,NaN,NaN,2
-58,-70,-39,-66,-42,-60,-68,-63,-66,-58,-76,-72,-74,NaN,NaN,-71,-81,-85,-88,NaN,2
-58,-70,-77,-65,-42,-59,-68,-63,-67,-58,-76,-73,-74,-81,-79,-70,-80,-86,-88,NaN,2
-58,-72,-41,-55,-43,-60,-66,-63,-67,-57,-76,-73,-73,-82,-79,-70,-79,-86,NaN,NaN,2
-58,-72,-42,-65,-43,-58,-67,-65,-66,-57,NaN,NaN,-73,-82,-79,-73,-79,-85,-88,NaN,2
-59,-63,-42,-65,-43,-61,-67,-66,-67,-57,NaN,NaN,NaN,-81,-79,-73,-79,-85,-88,NaN,2
-59,-71,-41,-65,-43,-61,-69,-67,-68,-57,NaN,NaN,-72,-80,NaN,-70,-79,NaN,NaN,NaN,2
-57,-71,-40,-65,-43,-59,-70,-67,-67,-57,NaN,-72,-72,-80,-81,-70,NaN,NaN,NaN,NaN,2
-58,-71,-42,-50,-43,-58,-66,-64,-68,-56,-80,-72,-72,NaN,-78,-69,-80,NaN,NaN,NaN,2
-57,-71,-42,-65,-43,-59,-66,-63,-68,-57,-75,-72,NaN,-81,-79,-69,-80,NaN,NaN,NaN,2
-59,-70,-41,-64,-43,-59,-68,-64,-68,-56,-78,-71,-74,-80,-77,NaN,NaN,NaN,NaN,NaN,2
-58,-71,-42,-65,-43,-59,-66,-64,-68,-55,-78,-70,-75,-80,-77,-69,NaN,NaN,NaN,NaN,2
-57,-71,-42,-65,-42,-57,-66,-65,-66,-59,-76,-71,-75,-81,NaN,-70,NaN,NaN,NaN,NaN,2
-57,-71,-41,-62,-43,-57,-65,-65,-66,-58,-76,-72,NaN,-81,NaN,-69,NaN,-86,-88,NaN,2
-58,-71,-42,-53,-42,-59,-67,-64,NaN,-57,NaN,-72,-75,-81,NaN,-69,-80,-86,-88,NaN,2
-56,-70,-40,-53,-45,-59,-66,-65,-71,-58,-78,-73,-78,-83,-80,NaN,-80,-86,NaN,-88,2
