04:18:d6:c1:98:24_inonet,06:18:d6:c2:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:67:ab:cf_evarobot,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,64:66:b3:d0:4a:8d_Cisco_KRD,18:28:61:13:0d:9d_EROGLU,REF_POINT
-58,-71,-40,-64,-39,-65,-64,-58,-64,-47,-76,-72,-74,NaN,NaN,-69,-81,-85,-84,NaN,3
-61,-71,-40,-67,-41,-63,-63,-58,-64,-46,-76,-72,-74,NaN,NaN,-70,NaN,-85,NaN,NaN,3
-59,-63,-41,-65,-39,-64,-63,-55,-63,-47,NaN,-72,-72,NaN,NaN,-70,NaN,-84,-83,NaN,3
-58,-66,-41,-65,-41,-65,-70,-59,-64,-47,-76,NaN,-72,NaN,-78,-69,-80,-84,-83,NaN,3
-58,-72,-41,-66,-40,-62,-62,-60,-64,-47,-76,NaN,NaN,-81,-78,-70,-81,-84,-83,-90,3
-57,-71,-43,-70,-41,-60,-62,-61,-65,-47,NaN,-75,-78,-79,NaN,-69,-81,-83,-83,-90,3
-58,-70,-45,-67,-41,-62,-60,-60,-65,-47,-77,-72,-78,-79,NaN,-69,NaN,-83,-83,NaN,3
-58,-72,-43,-64,-40,-62,-88,-64,-65,NaN,-76,-73,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-57,-70,-44,-68,-41,-63,-88,-60,-63,-48,-76,-73,-81,-83,-79,-70,NaN,-84,NaN,NaN,3
-57,-71,-42,-68,-44,-57,-61,-60,-79,-48,-76,NaN,-79,-83,-80,-73,NaN,-79,NaN,NaN,3
-60,-71,-42,-56,-43,-62,-62,-63,-64,-48,-76,NaN,-73,NaN,-80,-69,-81,-84,-83,NaN,3
-58,-72,-43,-66,-41,-60,-61,-63,-64,-47,-74,-73,-78,NaN,NaN,-69,-81,-84,-82,NaN,3
-59,-71,-42,-64,-43,-65,-63,-64,-66,-48,-75,-75,-71,NaN,NaN,-70,-81,NaN,-82,NaN,3
-59,-71,-42,-64,-43,-71,-63,-63,-65,-48,-76,-73,-74,-81,-80,-69,-78,-84,-82,NaN,3
-57,-71,-39,-65,-44,-69,-67,-64,-64,-47,-76,-75,-72,-84,-81,-70,-82,-84,-82,NaN,3
-59,-72,-40,-68,-44,-64,-64,-64,-65,-47,-78,-74,-72,-83,-78,-70,-82,-84,NaN,NaN,3
-59,-72,-39,-68,-43,-64,-64,-64,-67,NaN,-78,-71,-70,-81,-78,-67,-81,-84,-81,NaN,3
-61,-71,-40,NaN,-43,-64,NaN,-64,-66,-47,-76,-71,-70,-81,-79,-67,-81,-85,-81,NaN,3
-58,-71,-40,-68,-44,-68,-60,-64,-66,-47,-76,NaN,-70,NaN,-79,NaN,NaN,-85,NaN,NaN,3
-59,-70,-41,-68,-44,-68,-63,-67,NaN,NaN,NaN,NaN,-69,NaN,NaN,NaN,-80,NaN,NaN,NaN,3
-58,-72,-40,-66,-44,-63,-63,-67,-65,-47,NaN,NaN,-74,NaN,NaN,NaN,-80,NaN,NaN,NaN,3
-59,-72,-40,-66,-42,-66,-59,-65,-65,-47,-75,-76,-71,-84,NaN,-69,NaN,NaN,-82,NaN,3
-58,-71,-41,-66,-45,-66,-59,-64,-65,-48,-76,-76,-72,-79,NaN,-69,-82,NaN,-82,NaN,3
-60,-72,-40,-68,-44,-67,-61,-59,-65,-48,-77,NaN,-72,-84,NaN,NaN,-82,NaN,NaN,NaN,3
-58,-71,-41,-68,-44,-64,-61,-59,-63,-54,-77,-78,-73,-84,-78,-69,-82,NaN,-80,NaN,3
-58,-72,-38,-61,-43,-62,-63,-58,-63,-47,-77,-73,-78,NaN,-78,-69,NaN,NaN,-80,NaN,3
-59,-72,-85,-65,-42,-66,-62,-61,-65,-49,NaN,-72,-76,-83,NaN,-70,-81,NaN,-84,NaN,3
-59,-71,-40,-64,-42,-66,-62,-58,-64,-48,NaN,-68,-76,-80,NaN,-70,-81,-84,-84,NaN,3
-59,-71,-40,-64,-41,-66,-62,-58,-64,-48,-76,-71,NaN,-80,NaN,NaN,-82,-84,NaN,NaN,3
-61,-71,-41,-65,-43,-65,-68,-59,NaN,-48,-76,-71,NaN,-82,-81,-75,-82,NaN,NaN,NaN,3
-58,-72,-41,-63,-42,-65,-62,-61,NaN,-47,-76,NaN,NaN,-82,-81,-71,NaN,NaN,NaN,NaN,3
-58,-72,-40,-65,-43,NaN,-62,-61,-64,-49,-76,NaN,-75,NaN,NaN,-70,NaN,NaN,NaN,NaN,3
-61,-62,-41,-65,-41,-64,-59,NaN,-64,-49,-76,-72,-75,-82,-81,-70,NaN,-86,NaN,NaN,3
-58,-72,-41,-65,-41,-70,-69,-59,-64,-49,NaN,-72,NaN,-82,-80,-70,NaN,-86,NaN,-88,3
-59,-72,-39,-65,-39,-65,-60,-59,-64,-49,NaN,-72,-75,NaN,-79,NaN,NaN,-84,-83,-88,3
-59,-72,-40,-66,-43,-65,-61,-59,-67,-48,-76,NaN,-75,-80,-79,-70,-82,-84,-84,NaN,3
-58,-71,-41,-66,-40,-69,-61,-59,-63,-54,-76,-72,-76,-80,-79,-74,-81,-85,-84,NaN,3
-58,-72,-83,NaN,-48,-68,-64,-59,-64,-54,-76,-71,-76,NaN,-79,-74,-81,-84,NaN,NaN,3
-59,-65,-40,-66,-41,-68,-69,-59,-63,NaN,-76,-71,-76,NaN,-79,-70,NaN,-84,-82,NaN,3
-60,-71,-42,-66,-47,NaN,-89,-58,-64,-48,NaN,NaN,-73,-80,-79,-74,-83,-83,-82,NaN,3
-62,-72,-41,-57,-42,-68,-62,-59,-64,-48,-71,-72,-74,-80,NaN,-70,-81,-86,-82,NaN,3
-60,-71,-41,-65,-40,-69,-64,-59,-65,-48,-71,-72,-74,NaN,NaN,-74,-81,-86,-82,NaN,3
-58,-64,-42,-66,-42,-68,-61,NaN,-63,-47,NaN,-74,NaN,-82,NaN,-70,-81,NaN,-82,NaN,3
-59,-71,-41,-64,-41,-65,-71,-58,-64,-48,NaN,-72,NaN,-82,NaN,-70,NaN,-86,-82,NaN,3
-58,-70,-41,-61,-41,-65,-63,-58,-67,-49,NaN,-72,NaN,NaN,NaN,NaN,NaN,-86,NaN,NaN,3
-58,-70,-41,-64,-41,-70,-64,-58,-66,-48,-76,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,3
-60,-70,-41,-66,-41,-70,-64,-59,-64,-49,-76,-73,-72,NaN,-80,NaN,NaN,NaN,NaN,NaN,3
-59,-70,-39,-65,-42,NaN,-64,-57,-63,-54,NaN,-70,-72,-81,-79,NaN,-81,NaN,-82,NaN,3
-59,-70,-41,-65,-41,-67,-72,-59,-63,-49,-77,-70,-74,-83,-79,-71,-84,-84,-83,NaN,3
-58,-70,-40,-65,-41,-68,-73,-58,-64,-49,-77,-72,-74,-80,-79,-71,-84,-85,-83,NaN,3
-59,-65,-41,-66,-43,-68,-73,-58,-64,-48,NaN,-72,-74,-80,-79,-71,NaN,-85,-83,NaN,3
-51,-65,-33,-55,-35,-63,-59,-65,-74,-50,-79,-67,-71,NaN,NaN,NaN,NaN,-85,-85,NaN,4
-58,-66,-32,-59,-36,-62,-59,-73,-66,-51,-79,NaN,-68,-85,NaN,NaN,NaN,NaN,-80,NaN,4
-48,-66,-31,-58,-37,-57,-64,-69,-76,-50,NaN,-70,-66,-83,NaN,NaN,NaN,NaN,-80,NaN,4
-60,-65,-32,-59,-37,-59,-63,-69,-75,-51,NaN,-77,-66,-83,-80,-82,NaN,NaN,-80,NaN,4
-61,-65,-32,-61,-37,-58,-63,-70,-72,-51,NaN,-75,-68,-83,-80,-75,NaN,NaN,-80,NaN,4
-50,-65,-32,-56,-38,-58,-63,-68,-70,-50,NaN,-75,-68,-83,NaN,-76,NaN,NaN,-80,NaN,4
-58,-64,-32,-61,-37,-56,-63,-68,-69,-51,NaN,NaN,-66,NaN,NaN,-76,NaN,NaN,NaN,NaN,4
-59,-63,-32,-66,-37,-56,-65,-65,-68,-50,NaN,-73,-66,NaN,-79,NaN,NaN,NaN,-80,NaN,4
-60,-65,-32,-50,NaN,-58,-65,-65,-68,-53,NaN,-73,NaN,NaN,-79,-71,NaN,-90,-80,NaN,4
-59,-64,-32,-46,-37,-56,-63,-66,NaN,-50,NaN,NaN,NaN,NaN,NaN,-71,-79,-90,NaN,NaN,4
-60,-64,-32,-60,-37,-57,-64,-65,-69,-50,-75,-74,-70,NaN,-78,-75,-79,NaN,NaN,NaN,4
-58,-65,-32,-61,-37,-56,-65,-64,-72,-48,-75,-74,-69,NaN,-78,-76,-80,NaN,-80,NaN,4
-59,-65,-32,-61,-80,-58,-65,-65,-68,-48,-75,NaN,-69,NaN,-78,-82,-80,NaN,-80,NaN,4
-58,-65,-32,-60,-37,-56,-63,-67,-68,NaN,-80,-73,-69,NaN,-78,-76,-80,NaN,NaN,NaN,4
-56,-65,-32,-39,-37,-56,-65,-67,NaN,-48,-80,-72,-69,NaN,-78,-75,-80,-90,-81,NaN,4
-57,-65,-31,-60,-37,-58,-65,-66,-77,-48,NaN,-75,-68,-85,-78,-75,-80,-90,-81,NaN,4
-60,-65,-32,-63,-37,-59,NaN,-65,-72,-48,NaN,-75,-68,-85,-78,NaN,-80,NaN,-74,-87,4
-58,-65,-32,-60,-37,-58,-62,-68,-67,-49,NaN,-75,-68,NaN,-78,-76,NaN,NaN,-74,-87,4
-57,-65,-31,-61,-37,-56,-62,-68,-73,-48,-78,NaN,-68,NaN,NaN,-76,NaN,NaN,NaN,NaN,4
-58,-65,-34,-60,-36,-57,-63,-67,-73,-88,-78,-72,NaN,-85,NaN,-76,NaN,NaN,NaN,NaN,4
-58,-66,-32,-60,-37,-56,-63,-67,-74,-49,NaN,-72,NaN,-85,-77,-77,NaN,NaN,NaN,NaN,4
-58,-65,-32,-47,-37,-57,-66,-65,-72,-52,NaN,-73,NaN,NaN,-77,-77,NaN,NaN,NaN,-91,4
-58,-65,-32,-60,-38,-57,-63,-65,-69,-49,NaN,-76,-68,NaN,NaN,NaN,-81,NaN,NaN,-91,4
-59,-64,-32,-60,-80,-55,-63,-68,-78,-53,NaN,-76,-70,NaN,NaN,-76,-81,NaN,NaN,NaN,4
-57,-68,-30,-61,-37,-55,-62,-67,-78,-51,-74,-78,-67,-86,NaN,-76,NaN,NaN,NaN,NaN,4
-58,-64,-32,-60,-40,-57,-62,-67,NaN,-49,-74,-78,-67,-86,-73,NaN,NaN,NaN,NaN,NaN,4
-58,-64,-32,-56,-40,-55,-66,-66,-70,-49,NaN,-75,-70,NaN,-74,NaN,NaN,NaN,-80,NaN,4
-57,-65,-30,-59,-37,-55,-64,-66,-71,-50,NaN,-76,-70,NaN,-75,-77,NaN,NaN,-80,NaN,4
-59,-65,-32,-61,-37,-55,-63,NaN,-68,-50,NaN,-75,-67,NaN,-75,-75,NaN,NaN,NaN,NaN,4
-59,-63,-31,-62,-37,-58,-64,NaN,-70,-50,-81,-75,-71,NaN,NaN,-75,NaN,NaN,NaN,NaN,4
-59,-65,-32,-59,-37,-58,-63,-66,-75,-50,-81,-75,-71,NaN,-75,NaN,-77,NaN,-80,NaN,4
-59,-65,-32,-61,-37,-55,-63,-67,-75,-50,-79,-75,NaN,NaN,-73,-75,-81,NaN,-80,NaN,4
-59,-65,-34,-60,-38,-58,-63,-68,NaN,-75,-79,NaN,NaN,NaN,-73,-75,-81,NaN,NaN,NaN,4
-60,-66,-32,-48,-37,-55,-63,-73,NaN,-75,NaN,-76,-68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-58,-66,-32,-60,-38,-57,-64,-75,NaN,-49,-75,-72,-68,NaN,NaN,-76,NaN,NaN,-80,NaN,4
-58,-64,-32,-46,-37,-57,-64,-69,NaN,-49,-73,-73,NaN,-84,-74,-75,NaN,NaN,-81,NaN,4
-57,-65,-32,-48,-37,-56,-65,-65,NaN,-49,-73,-73,-67,-84,-73,-75,-82,NaN,-72,NaN,4
-59,-65,-32,-60,-37,-55,-64,-67,-68,-50,NaN,-75,-67,-76,-73,NaN,-82,NaN,-81,-86,4
-59,-65,-31,-47,-37,-55,-64,-67,-69,-50,NaN,-75,-67,-76,NaN,NaN,NaN,NaN,-81,-86,4
-60,-65,-31,-60,-80,-56,-64,-67,-69,-52,NaN,-73,-65,NaN,NaN,-75,NaN,-90,NaN,NaN,4
-59,-66,-31,-60,-80,-57,-64,NaN,-71,-52,NaN,-72,-65,-83,NaN,-75,NaN,-90,NaN,NaN,4
-58,-65,-32,-59,-37,-56,-64,NaN,-72,NaN,-80,-72,NaN,-83,-74,-75,NaN,NaN,NaN,NaN,4
-59,-65,-31,-58,-36,-57,-64,-67,-72,-55,-79,NaN,NaN,NaN,-74,-75,NaN,NaN,NaN,NaN,4
-58,-66,-32,-59,-37,-55,-64,-69,-69,-53,-79,-72,-66,NaN,-74,-78,-82,NaN,NaN,NaN,4
-58,-65,-32,-58,-37,-54,-64,-68,-69,-53,NaN,-72,-66,NaN,-74,-78,-82,NaN,NaN,NaN,4
-57,-67,-32,-59,-36,-58,-63,-69,-69,-50,NaN,NaN,NaN,NaN,-74,NaN,NaN,NaN,-80,NaN,4
-57,-66,-32,-60,-37,-56,-64,-69,-70,-50,NaN,-73,-67,-86,NaN,-76,NaN,NaN,-77,-85,4
-57,-66,-32,-48,-37,-57,-65,-67,-68,-51,NaN,-73,-68,-86,-74,-76,NaN,NaN,-81,-85,4
-57,-66,-31,-60,-39,-56,-64,-68,-70,-51,NaN,-73,-68,-86,-74,-75,NaN,NaN,-81,NaN,4
-56,-67,-32,-57,-36,-56,-66,-67,-68,-50,NaN,-72,-66,NaN,-74,-77,NaN,NaN,-81,NaN,4
-56,-66,-32,-60,-87,-58,-66,-67,-70,-49,NaN,-72,-66,NaN,NaN,-78,-84,NaN,-81,NaN,4
-57,-66,-31,-59,-37,-56,NaN,-65,-70,-50,NaN,NaN,-69,NaN,NaN,-76,-82,NaN,NaN,NaN,4
-56,-65,-32,-47,-37,-57,-63,-67,-73,-51,NaN,NaN,-69,NaN,NaN,-76,-82,NaN,-79,NaN,4
-57,-65,-30,-60,-38,-55,-63,-68,-71,-49,NaN,-72,-69,NaN,NaN,-78,-82,NaN,-81,NaN,4
-58,-66,-32,-59,-38,-59,-64,-68,-75,-51,NaN,-72,-68,NaN,NaN,-78,NaN,-87,-81,NaN,4
-57,-66,-32,-59,-38,-56,-63,-65,-75,-51,NaN,NaN,-68,NaN,NaN,NaN,NaN,-87,-80,NaN,4
-56,-66,-32,-55,-37,-57,-63,-69,-76,-51,-78,-70,-69,-86,-73,-76,-81,NaN,-80,NaN,4
-57,-66,-31,-60,-37,-58,-61,-65,-73,-50,-78,-71,-69,-86,-73,-75,-82,-87,NaN,NaN,4
-57,-65,-32,-54,-37,-57,-88,-71,-76,-50,NaN,-71,-67,-86,-77,-77,-82,-82,NaN,NaN,4
-57,-65,-31,-59,-37,-57,-63,-67,-71,-51,NaN,-71,-67,-86,-74,-77,-82,-87,-80,NaN,4
-57,-66,-32,-60,-37,-57,-64,-69,-74,-52,NaN,-72,-68,-85,-74,NaN,NaN,-89,-81,NaN,4
-57,-66,-31,-59,-38,-56,-64,-70,-76,-51,NaN,-72,-68,-85,NaN,-78,-84,-89,-80,NaN,4
-58,-66,-31,-55,-37,-58,-59,-72,-71,-50,NaN,NaN,NaN,NaN,NaN,-76,-84,NaN,-80,NaN,4
-58,-66,-32,-59,-76,-58,-64,-68,-71,-52,NaN,NaN,NaN,NaN,NaN,-76,NaN,NaN,-80,NaN,4
-59,-66,-32,-60,-37,-56,-64,-68,-72,-50,NaN,NaN,NaN,-84,NaN,NaN,NaN,NaN,-80,NaN,4
-58,-66,-32,-58,-38,-58,-64,-70,-72,-50,NaN,NaN,-70,-84,NaN,-76,NaN,NaN,NaN,NaN,4
-58,-66,-32,-59,-37,-58,-63,-70,-72,-51,NaN,NaN,-70,NaN,-71,-76,-81,NaN,NaN,NaN,4
-58,-66,-31,-56,-38,-55,-64,-68,-72,-50,NaN,NaN,-69,NaN,-71,-75,-81,NaN,NaN,NaN,4
-58,-65,-32,-59,-36,-56,-63,-70,-75,-51,NaN,-72,-70,NaN,-74,-75,-81,NaN,NaN,NaN,4
-58,-65,-32,-55,-36,-55,-63,-68,-72,-51,NaN,-72,-70,-84,-76,-76,NaN,NaN,NaN,NaN,4
-58,-66,-32,-59,-36,-55,-62,-70,-72,-51,-79,-72,NaN,-84,-76,-75,NaN,NaN,NaN,NaN,4
-57,-65,-31,-46,-37,-57,-63,-68,-72,-51,-79,NaN,-74,NaN,-71,-75,NaN,NaN,-77,NaN,4
-58,-66,-32,-55,-37,-57,-63,-68,-72,-52,-77,NaN,-68,NaN,-71,-73,NaN,NaN,-77,NaN,4
-58,-66,-32,-46,-37,-55,NaN,-68,-71,-52,-77,-71,-68,NaN,NaN,-73,-80,-78,-80,NaN,4
-57,-66,-32,-46,-37,-57,-63,-67,-71,-51,NaN,-71,-68,NaN,NaN,NaN,-81,-78,-80,NaN,4
-57,-65,-31,-59,-36,-56,-64,-69,-73,-50,NaN,-74,-68,-83,NaN,-76,-80,NaN,-81,NaN,4
-57,-65,-32,-58,-37,-56,-64,-65,-72,-88,NaN,-69,-69,-83,NaN,-76,-82,NaN,-81,NaN,4
-57,-65,-32,-60,-37,-58,-65,-64,-72,-52,NaN,-73,-65,NaN,NaN,NaN,-82,NaN,NaN,NaN,4
-57,-65,-32,-59,-37,-55,-63,-67,-70,-51,-81,-70,-67,NaN,NaN,-76,-81,NaN,-80,NaN,4
-59,-65,-31,-56,-86,-56,-63,-64,-71,-51,-81,-73,-67,-85,-77,-77,-81,NaN,-80,NaN,4
-57,-63,-37,-57,-34,-47,-64,-61,-69,-59,-79,-64,-73,-82,NaN,-72,-80,NaN,-86,-89,5
-60,-63,-44,-53,-37,-47,-93,NaN,-69,-54,-79,-63,-68,-82,NaN,-72,-80,-87,NaN,-89,5
-52,-63,-44,-56,-36,-48,-60,-56,-69,-53,NaN,-63,-68,NaN,NaN,-72,-75,-87,NaN,NaN,5
-59,-63,-43,-55,-38,-47,-60,-69,-68,-56,NaN,NaN,NaN,-80,-79,NaN,-74,NaN,NaN,NaN,5
-57,-63,-44,-52,-37,-48,-59,-69,-69,-57,NaN,NaN,-66,-79,-79,NaN,-74,NaN,NaN,NaN,5
-58,-65,-42,-54,-38,-47,-62,-57,-69,-55,NaN,NaN,-68,-68,NaN,-70,NaN,NaN,NaN,NaN,5
-53,-64,-45,-55,-37,-47,-60,-58,-70,-54,NaN,NaN,-68,-80,NaN,-70,NaN,-83,-86,NaN,5
-53,-64,-43,-55,-42,-47,-59,-56,-69,-54,-82,NaN,-68,-80,-78,-70,NaN,-83,-86,NaN,5
-59,-64,-43,-55,-38,-47,-59,-56,-71,-55,-81,-65,-63,NaN,-80,NaN,-74,NaN,-87,NaN,5
-52,-64,-48,-52,-37,-47,-57,-57,-71,-54,-81,-64,-65,-79,-85,NaN,-74,NaN,-87,NaN,5
-58,-63,-45,-56,-38,-47,-60,-57,-71,-55,-79,-64,-67,-79,-85,NaN,NaN,NaN,NaN,NaN,5
-51,-64,-43,-55,-37,-47,-58,-56,NaN,-55,-79,-66,-67,-80,NaN,NaN,NaN,NaN,NaN,NaN,5
-51,-63,-46,-55,-37,-47,-61,-56,NaN,-53,NaN,-66,-70,-80,-78,NaN,NaN,-85,-87,NaN,5
-53,-63,-46,-55,-74,-47,-58,-67,NaN,-52,NaN,NaN,-70,NaN,-79,NaN,NaN,-85,-87,NaN,5
-57,NaN,-46,-45,-37,-47,-58,-67,-72,-54,NaN,NaN,-65,-80,-79,-69,-75,NaN,-87,NaN,5
-52,-63,-45,-55,-37,-53,-60,NaN,-71,-54,NaN,-63,-65,-80,NaN,-76,-72,NaN,NaN,NaN,5
-52,-63,-45,-55,-37,-46,-59,-55,-70,-54,-80,-62,NaN,-80,NaN,-76,-75,-85,NaN,NaN,5
-58,-64,-87,-55,-38,-48,-59,-55,-70,-64,-80,-62,-72,-79,NaN,-75,-74,-85,NaN,-88,5
-57,-64,-48,-55,-38,-46,-59,-58,-71,-54,NaN,NaN,-70,-79,NaN,-74,-74,-85,NaN,-87,5
-51,-64,-44,-54,-36,-46,-59,-57,-69,-54,NaN,-63,-69,-80,NaN,-73,-75,-85,-86,-87,5
-52,-64,-46,-54,-38,-45,-58,-56,-71,-53,NaN,-63,-68,-80,-77,-73,-75,-85,-86,NaN,5
-51,-64,-45,-54,-38,-45,-58,-56,-71,-54,-84,NaN,-68,-79,-77,NaN,NaN,-86,NaN,NaN,5
-57,-64,-46,-54,-38,-46,-57,-56,-71,-54,-84,-63,-68,-79,NaN,-66,NaN,-87,NaN,NaN,5
-57,-64,-48,-55,-37,-47,-58,NaN,-70,-54,-87,-63,NaN,NaN,NaN,-70,NaN,-87,NaN,NaN,5
-60,-63,-45,-55,-37,-47,-59,-55,-77,-55,-87,NaN,NaN,-78,NaN,-70,NaN,NaN,NaN,NaN,5
-51,-63,-47,-55,-37,-47,-58,-56,-69,-53,NaN,NaN,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,5
-58,-62,-44,-55,-38,-47,-59,-56,-69,-53,NaN,NaN,-67,-79,NaN,-70,-72,NaN,NaN,NaN,5
-58,-63,-46,-55,-37,-46,-59,-56,-69,-52,NaN,NaN,-65,NaN,NaN,-70,-74,NaN,NaN,NaN,5
-58,-63,-45,-54,-37,-47,-59,-57,-68,-53,NaN,NaN,-65,NaN,NaN,-73,-74,-84,-87,-89,5
-58,-63,-46,-54,-38,-47,-58,-56,-68,-53,NaN,NaN,-67,-80,-77,-71,-74,-85,-87,-89,5
-57,-63,-45,-54,-37,-44,-59,-56,-72,-53,-79,-64,-67,-78,-77,-69,-74,-84,-87,-88,5
-52,-63,-44,-54,-38,-47,-59,-56,-72,-53,-80,-64,-64,-79,-78,-69,-74,-83,-87,-88,5
-53,-63,-45,-54,-38,-47,-57,-60,-69,-55,-80,-63,-64,-79,-78,NaN,NaN,-83,NaN,NaN,5
-52,-63,-39,-54,-38,-46,-60,-56,-71,-53,-78,-63,-67,-77,-78,-69,NaN,-83,NaN,NaN,5
-51,-63,-42,-54,-38,-46,-59,-55,-74,-53,-77,NaN,-67,-78,-78,-69,NaN,-83,-88,NaN,5
-52,-64,-43,-54,-38,-47,-61,-56,-69,-55,-77,NaN,NaN,-79,NaN,-71,-76,-83,-88,NaN,5
-58,-63,-43,-53,-38,-47,-60,-56,-69,-52,NaN,NaN,-68,-79,NaN,-74,-76,-83,NaN,NaN,5
-58,-64,-44,-50,-38,-48,-57,-55,-68,-53,NaN,NaN,-67,NaN,-78,-74,-80,-84,-87,-91,5
-60,-63,-44,-53,-39,-46,-59,-55,-72,-53,NaN,NaN,-67,NaN,-78,-72,-74,-83,-87,-91,5
-58,-63,-43,-54,-39,-46,-61,-55,-72,-53,-81,NaN,-67,NaN,NaN,-70,-74,-83,NaN,NaN,5
-58,-63,-42,-53,-37,-47,-60,-55,-70,-53,-81,NaN,-69,-78,NaN,-71,-77,-84,NaN,NaN,5
-60,-63,-85,-54,-38,-47,-59,-54,-70,-54,NaN,NaN,-68,-65,-80,-71,-77,-84,NaN,NaN,5
-59,-63,-42,-52,-38,-47,-60,-54,-68,-53,-78,-65,-66,-79,-85,-71,-76,-86,NaN,NaN,5
-52,-63,-45,-54,-38,-45,-59,-54,-71,-54,-78,-65,-64,-79,-81,-71,-76,-86,NaN,NaN,5
-60,-63,-43,-54,-40,-48,-56,-54,-71,-54,NaN,NaN,-64,-80,-81,-73,NaN,NaN,NaN,NaN,5
-60,-63,-44,-53,-39,-47,-58,-53,-70,-54,NaN,-65,NaN,-80,NaN,-73,-77,NaN,NaN,NaN,5
-58,-63,-43,-53,-38,-47,-58,-55,-70,-52,NaN,-65,-67,-79,-79,NaN,-77,-84,-88,NaN,5
-59,-64,-43,-53,-38,-47,-58,-55,-66,-70,NaN,-65,-68,-79,-79,NaN,-77,-84,-88,NaN,5
-60,-64,-41,-52,-38,-46,-58,-55,-66,-52,NaN,-65,-68,-78,-82,-71,-76,-83,NaN,NaN,5
-51,-64,-41,-53,-40,-47,-59,-54,-66,-54,NaN,-65,-68,-78,-82,-71,-76,-86,NaN,NaN,5
-60,-64,-44,-53,-38,-47,-59,-55,-67,-55,NaN,-62,-68,NaN,NaN,-71,-76,-86,NaN,NaN,5
-52,-64,-43,-54,-39,-47,-59,-55,-67,-46,NaN,-62,-66,NaN,NaN,-70,NaN,NaN,NaN,NaN,5
-52,-64,-42,-53,-38,-46,-59,-56,-68,-46,NaN,-65,-66,NaN,NaN,-70,-77,-84,NaN,NaN,5
-52,-63,-43,-54,-37,-47,-60,-55,-70,-46,NaN,-65,-67,NaN,NaN,-71,-77,-83,NaN,NaN,5
-58,-63,-42,-54,-37,-46,-82,-54,-69,-46,NaN,NaN,-68,-78,NaN,-70,NaN,-86,-88,-91,5
-58,-63,-43,-52,-37,-46,-58,-55,-72,-51,NaN,-66,-65,-78,NaN,-70,NaN,-86,-88,-91,5
-52,-63,-42,-54,-38,-46,-63,-55,-67,-46,-79,-66,-63,-78,NaN,-70,-75,-68,NaN,NaN,5
-51,-63,-43,-54,-38,-47,-62,-55,-67,-46,-79,NaN,-64,-80,-64,-73,-75,-68,NaN,NaN,5
-51,-63,-43,-52,-37,-47,-61,-56,-67,-47,NaN,-64,-65,-80,-78,-73,-74,NaN,NaN,NaN,5
-57,-63,-44,-54,-38,-46,-61,-55,-72,-47,NaN,-64,-68,-80,-78,NaN,-74,NaN,-86,NaN,5
-60,-63,-43,-54,-38,-47,-57,-55,-66,-46,NaN,NaN,-68,NaN,NaN,-70,-74,-83,-86,NaN,5
-59,-64,-43,-54,-38,-46,-57,-55,-66,-47,-77,NaN,-64,NaN,NaN,-71,-75,-83,NaN,NaN,5
-51,-64,-44,-53,-38,-45,-61,-67,-65,-46,-77,-64,-64,NaN,NaN,-73,-75,NaN,NaN,NaN,5
-58,-64,-44,-54,-38,-46,-61,-54,-70,-46,NaN,-64,-64,-68,NaN,-71,-75,NaN,NaN,NaN,5
-58,-64,-43,-54,-37,-46,-60,-53,-65,-46,NaN,-64,NaN,-79,NaN,-70,-75,NaN,NaN,NaN,5
-58,-64,-43,-54,-38,-46,-58,-53,-65,-51,NaN,-65,NaN,-79,NaN,-70,NaN,NaN,NaN,NaN,5
-57,-64,-44,-54,-37,-46,-57,-55,-66,-48,-77,-64,-65,-79,-80,-70,NaN,-79,NaN,NaN,5
-57,-71,-44,-54,-37,-45,-57,-55,-68,-47,-77,-64,-66,-80,-76,-70,NaN,-83,-87,NaN,5
-57,-64,-46,-54,-38,-46,-58,-56,-68,-47,NaN,-74,-68,-80,-76,-70,NaN,-83,-87,NaN,5
-57,-64,-44,-54,-37,-46,-56,-54,-66,-47,NaN,-74,-70,-80,NaN,-70,-75,NaN,-85,NaN,5
-58,-64,-45,-54,-38,-46,-57,-54,-66,-47,NaN,-63,-70,NaN,NaN,-70,-75,-84,-85,NaN,5
