04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,06:18:d6:c2:98:24_inonet,18:28:61:9e:ab:5c_MMD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:69:1c:51_evarobot,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:67:ab:cf_evarobot,e8:50:8b:6e:ec:95_Aksins,4c:5e:0c:69:1c:4b_evarobot,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:70:53:6e_evarobot,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:6f:20:2e_evarobot,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,00:66:4b:1f:08:23_TeknoTAM,18:28:61:58:78:6a_Dlink_DAP-1360,64:66:b3:d0:4a:8d_Cisco_KRD,00:26:5a:52:0b:8c_RFKON_115,18:28:61:13:0d:9d_EROGLU,1c:87:2c:7e:23:9d_EROGLU-PUB,1c:87:2c:7e:23:9c_EROGLU-PRI,66:9a:be:03:d1:e8_iPhone,08:62:66:03:0f:1a_My ASUS,REF_POINT
-50,-29,-40,NaN,-51,-60,-60,-52,-61,-65,NaN,NaN,NaN,-73,NaN,NaN,NaN,-65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-38,-37,-50,-60,-61,-53,-60,-66,NaN,-70,NaN,-69,-80,NaN,-76,NaN,-70,-78,-73,-70,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-29,-38,-37,-51,-56,-60,-53,-61,NaN,-67,NaN,-74,-72,NaN,NaN,NaN,NaN,-72,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-29,-36,-37,-50,NaN,-60,-53,-60,-67,NaN,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-56,-29,-40,NaN,-54,-60,-61,-51,-60,-66,-66,NaN,-74,-80,NaN,NaN,-75,NaN,-72,NaN,-79,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-30,-39,-39,-52,-60,-59,-52,-60,-65,-66,-75,NaN,-72,NaN,NaN,NaN,-69,-72,-75,NaN,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-30,-38,-38,-50,-61,-60,-52,-61,NaN,NaN,NaN,-73,-72,NaN,NaN,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-30,-38,-38,-51,-56,-61,-54,-60,-65,-66,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,-75,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-30,-38,-44,-52,-59,-60,-51,-60,NaN,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,-74,NaN,-70,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-30,-38,-43,-51,NaN,-60,NaN,-60,NaN,-67,-76,-73,-72,NaN,NaN,NaN,-66,-72,NaN,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-56,-29,-36,-38,-51,-61,-60,-52,-60,NaN,NaN,NaN,NaN,-71,NaN,NaN,-73,-65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-85,NaN,NaN,NaN,NaN,NaN,1
-51,NaN,-38,-38,-51,-60,-58,-54,-60,NaN,NaN,-71,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-29,-38,-38,-52,-59,-59,-52,-60,-64,NaN,NaN,NaN,-72,NaN,NaN,NaN,-65,-71,NaN,-79,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-30,-38,-37,-51,-60,-59,-54,-60,-65,-66,-71,-73,-72,-77,NaN,NaN,NaN,-71,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-33,-38,-38,-51,-60,-59,-52,-61,-65,NaN,-51,NaN,-71,NaN,NaN,NaN,NaN,-71,-74,NaN,NaN,-86,-85,NaN,NaN,NaN,-87,NaN,NaN,NaN,1
-50,-30,-39,-37,-52,-55,-59,-51,-60,-64,NaN,-70,NaN,-72,NaN,NaN,NaN,-65,-72,-73,NaN,NaN,-84,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-29,-38,-38,-52,-55,-59,-56,-55,-65,-66,-70,-72,-72,NaN,NaN,NaN,-66,NaN,-77,NaN,NaN,-86,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-38,-39,-55,-55,-60,-52,-61,-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-65,NaN,-75,NaN,-69,NaN,-86,-78,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-29,-38,-38,-52,-60,-59,-53,-61,-65,-66,-71,NaN,-73,NaN,NaN,NaN,NaN,NaN,-75,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-38,-38,-51,-60,-59,-53,-61,-65,NaN,-71,-72,-73,-77,NaN,NaN,NaN,NaN,NaN,-76,NaN,-87,NaN,NaN,NaN,-84,NaN,NaN,NaN,NaN,1
-48,-29,-39,-39,-51,-60,-59,-55,-60,-64,-66,NaN,-90,-72,-78,NaN,-75,-66,-75,-72,-77,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-38,-38,-49,-56,-59,-53,-60,-64,NaN,NaN,NaN,-73,NaN,NaN,NaN,-66,NaN,-74,-77,-69,NaN,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-29,-38,-38,-49,-55,-59,-53,-60,-65,-65,NaN,-72,-70,NaN,NaN,NaN,-65,-71,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-38,-39,-50,-61,-59,-53,-61,-65,-66,-70,-72,-72,-78,NaN,-75,-66,-71,NaN,-76,NaN,NaN,NaN,NaN,NaN,-82,NaN,NaN,NaN,NaN,1
-52,-29,-38,-39,-49,-60,-59,-52,-60,NaN,-65,-71,-72,-72,NaN,NaN,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,-81,NaN,NaN,NaN,NaN,1
-52,-29,-38,-39,-50,NaN,-60,-53,-60,-64,-66,-71,NaN,-72,NaN,NaN,-75,NaN,NaN,-72,-57,NaN,NaN,NaN,NaN,NaN,-79,NaN,NaN,NaN,NaN,1
-51,-29,-36,-39,-52,-60,-60,-56,-61,-65,-66,NaN,NaN,-70,NaN,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-29,-38,-40,-51,-55,-60,-54,-61,-64,NaN,-70,NaN,-77,-77,NaN,NaN,NaN,NaN,-75,NaN,NaN,-87,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-38,-39,-52,NaN,-60,-55,-60,-65,-67,NaN,NaN,-72,NaN,NaN,NaN,-66,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-38,-40,-51,-55,-62,-53,-60,-65,-66,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-33,-39,-40,-53,-56,-60,-55,-60,-65,-67,NaN,NaN,-74,NaN,NaN,-56,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-57,-33,-38,-39,-53,-61,-61,-53,-60,-65,-67,-70,-71,-74,-79,NaN,NaN,-64,NaN,NaN,-76,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-30,-38,-40,-54,-57,-60,-53,-60,-64,-67,NaN,-72,-73,NaN,NaN,NaN,-64,-72,-72,NaN,NaN,-85,NaN,NaN,-85,-80,NaN,NaN,NaN,NaN,1
