04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,06:18:d6:c2:98:24_inonet,18:28:61:9e:ab:5c_MMD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:69:1c:51_evarobot,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:67:ab:cf_evarobot,e8:50:8b:6e:ec:95_Aksins,4c:5e:0c:69:1c:4b_evarobot,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:70:53:6e_evarobot,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:6f:20:2e_evarobot,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,00:66:4b:1f:08:23_TeknoTAM,18:28:61:58:78:6a_Dlink_DAP-1360,64:66:b3:d0:4a:8d_Cisco_KRD,00:26:5a:52:0b:8c_RFKON_115,18:28:61:13:0d:9d_EROGLU,1c:87:2c:7e:23:9d_EROGLU-PUB,1c:87:2c:7e:23:9c_EROGLU-PRI,66:9a:be:03:d1:e8_iPhone,08:62:66:03:0f:1a_My ASUS,REF_POINT
-50,-47,-46,-32,-51,NaN,-56,-49,-68,-62,-66,-72,NaN,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-51,-28,-46,-32,-50,-57,-55,-49,-69,-63,NaN,NaN,NaN,-66,NaN,NaN,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-50,-30,-45,-32,-50,-52,-55,-49,-68,-63,NaN,NaN,NaN,-67,NaN,-88,NaN,-69,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-50,-30,-46,-33,-50,-56,-54,-50,-69,-63,-69,-70,NaN,-67,-72,NaN,NaN,-70,NaN,NaN,NaN,-78,NaN,NaN,-82,NaN,-78,NaN,NaN,NaN,NaN,7
-50,-30,-46,-32,-51,-56,-55,-49,-69,-62,-63,-71,NaN,-67,-72,-81,NaN,-63,NaN,-81,NaN,NaN,-82,NaN,-81,-69,NaN,NaN,-91,NaN,NaN,7
-50,-30,-46,-33,-51,-56,-56,-48,-69,-63,-63,-73,NaN,-66,-73,-74,NaN,-70,NaN,NaN,NaN,-73,-87,NaN,NaN,-85,NaN,NaN,-89,NaN,NaN,7
-50,-30,-46,-33,-51,-56,-55,-48,-69,-63,-63,-71,NaN,-70,NaN,-81,NaN,-70,NaN,-75,NaN,-74,NaN,NaN,-81,NaN,NaN,NaN,NaN,NaN,NaN,7
-50,-30,-45,-33,-51,-56,-55,-50,-70,-63,-64,-63,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-82,NaN,NaN,NaN,NaN,NaN,NaN,7
-50,-34,-46,-33,-52,-56,-55,-49,-68,-63,NaN,NaN,NaN,-66,NaN,-72,NaN,NaN,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-48,-31,-46,-32,-51,-56,-55,-48,-69,-63,-64,-71,NaN,-65,-76,-68,NaN,-69,NaN,-75,NaN,-73,-84,NaN,-82,NaN,NaN,NaN,NaN,NaN,NaN,7
-51,-31,-46,-32,NaN,-56,-54,-49,-69,-63,NaN,-70,NaN,-65,-74,-61,NaN,-70,NaN,-75,NaN,NaN,NaN,NaN,-81,NaN,NaN,NaN,NaN,NaN,NaN,7
-50,-30,-46,-32,-51,-56,-56,-49,-70,-63,NaN,-71,NaN,NaN,-88,-63,NaN,NaN,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-51,-30,-46,-33,-50,-56,-56,-49,-70,-64,-63,NaN,NaN,-66,-86,-71,NaN,-69,NaN,NaN,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-51,-30,-45,-33,-51,-56,-55,-49,-69,-63,-64,NaN,NaN,-67,NaN,-76,NaN,-69,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-50,-31,-45,-33,-52,-57,NaN,-49,-69,-63,-63,-76,NaN,-67,NaN,-82,NaN,-68,NaN,NaN,NaN,-74,-85,NaN,NaN,-85,-78,NaN,NaN,NaN,NaN,7
-54,-31,-45,-33,-51,-58,-56,-49,-70,-63,-63,-74,NaN,-68,NaN,-85,NaN,-69,NaN,-79,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-50,-31,-45,-33,-50,-57,-55,-58,-69,-63,-64,-75,NaN,-68,-68,-86,NaN,NaN,NaN,NaN,NaN,-75,NaN,NaN,NaN,-85,NaN,NaN,NaN,NaN,NaN,7
-51,-30,-45,-33,-50,-57,-55,-57,-69,NaN,-64,-74,NaN,-67,NaN,-85,NaN,-69,NaN,-73,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-51,-30,-45,-33,-51,-58,-55,-49,-57,-64,-66,NaN,NaN,-67,NaN,NaN,NaN,-69,NaN,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-51,-31,-45,-33,-51,-57,-56,-49,-69,-63,-62,-75,NaN,-68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-50,-31,-45,-33,-50,-57,-56,-49,-68,-63,-63,-76,NaN,-67,NaN,-90,NaN,-69,NaN,-74,NaN,-73,NaN,NaN,-81,NaN,-78,NaN,NaN,NaN,NaN,7
-51,-31,-45,-33,-51,-57,-55,-58,-69,-62,NaN,-71,NaN,-67,-73,NaN,NaN,-69,NaN,NaN,NaN,-73,NaN,NaN,-81,-87,NaN,NaN,NaN,NaN,NaN,7
-51,-30,-45,NaN,-51,-57,-56,-49,-68,NaN,-63,-71,NaN,-69,-74,NaN,NaN,-69,NaN,-73,NaN,NaN,NaN,-85,-81,-87,-72,-88,-89,NaN,NaN,7
-51,-31,-45,-33,-51,-57,-55,-49,-68,-62,NaN,-74,NaN,-68,NaN,-89,NaN,-69,NaN,-75,NaN,-75,-83,-86,NaN,-84,NaN,NaN,NaN,NaN,NaN,7
-51,-31,NaN,-36,-52,-56,-56,-48,-69,-62,NaN,NaN,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-50,-31,-46,-33,-52,-57,-55,-48,-69,-63,NaN,NaN,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-50,-30,-45,-32,-51,-57,-55,-48,-69,NaN,-64,-73,NaN,-66,NaN,-90,NaN,-68,NaN,-74,NaN,-73,NaN,-88,-81,NaN,NaN,NaN,NaN,NaN,NaN,7
-51,-28,-45,-33,-51,-57,-55,-49,-68,-63,-63,-74,NaN,-68,NaN,-85,NaN,-69,NaN,-73,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-52,-31,-46,-33,-52,-56,-55,-48,-68,-63,-64,-71,NaN,-67,-66,NaN,NaN,-68,NaN,NaN,NaN,-78,NaN,NaN,NaN,-86,NaN,NaN,NaN,NaN,NaN,7
-51,-30,-46,-33,-52,-57,-55,-49,-68,-62,-64,-74,NaN,-68,-66,-89,NaN,-69,NaN,NaN,NaN,NaN,-86,NaN,-82,NaN,-79,NaN,NaN,NaN,NaN,7
-51,-30,-46,-33,-51,-57,-56,-49,-69,-87,-64,NaN,NaN,-68,NaN,NaN,NaN,-70,NaN,-78,NaN,-77,NaN,-87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-51,-31,-46,-34,-52,NaN,-55,-49,-68,-62,-63,NaN,NaN,-67,NaN,NaN,NaN,-69,NaN,NaN,NaN,-73,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-51,-30,-46,-33,-50,-56,-55,-50,-68,-63,NaN,NaN,NaN,NaN,NaN,-89,NaN,NaN,NaN,NaN,NaN,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-51,-27,-46,-33,-51,-57,-55,-49,-58,-62,-64,NaN,NaN,-68,-71,NaN,NaN,NaN,NaN,-78,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-51,-31,-45,-33,-51,-57,-55,-49,-69,-63,-64,NaN,NaN,-68,-72,NaN,NaN,NaN,NaN,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-51,-30,-46,-33,-51,-57,NaN,-48,-68,-63,-64,NaN,NaN,-68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-51,-31,-46,-34,-51,-57,-56,-48,-68,-62,NaN,-73,NaN,-68,NaN,NaN,NaN,-65,NaN,-77,NaN,NaN,NaN,NaN,NaN,-63,NaN,NaN,NaN,NaN,NaN,7
-51,-31,-46,-33,-51,-57,-55,-49,-68,-62,-65,-72,NaN,-68,-73,-81,NaN,-70,NaN,NaN,NaN,NaN,-82,NaN,NaN,NaN,NaN,NaN,-88,NaN,NaN,7
-51,-30,-45,-33,-52,-57,-54,-48,-68,-63,-64,-73,NaN,-68,-72,-82,NaN,-69,NaN,NaN,NaN,-72,-85,NaN,-81,-86,-72,NaN,NaN,NaN,NaN,7
-51,-31,-45,-33,-53,-56,-55,-51,-68,-63,NaN,NaN,NaN,-67,NaN,NaN,NaN,-69,NaN,-74,NaN,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-51,-31,-44,-33,-52,-56,-55,-49,-68,-63,-64,-74,NaN,-67,-72,-86,NaN,-70,NaN,-74,NaN,-73,-85,NaN,NaN,-89,-79,-88,-89,NaN,NaN,7
-51,-29,-45,-33,-53,-57,-55,-48,-68,-63,NaN,-73,NaN,-68,NaN,NaN,NaN,-68,NaN,NaN,NaN,NaN,-83,NaN,NaN,NaN,-78,NaN,NaN,NaN,NaN,7
-51,-30,-45,-33,-54,-56,-56,-49,-69,-62,NaN,NaN,NaN,-69,NaN,NaN,NaN,-69,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
-52,-31,-45,-33,-54,-57,-55,-49,-69,-62,-58,-73,NaN,-68,-73,NaN,NaN,-68,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-89,NaN,NaN,NaN,7
-51,-31,-45,-33,-53,-57,-55,-49,-69,-63,-64,-72,NaN,-67,-74,-84,NaN,NaN,NaN,NaN,NaN,-71,-83,NaN,-81,NaN,NaN,NaN,NaN,NaN,NaN,7
-58,-31,-48,-38,-49,-53,-54,-48,-60,-67,-63,NaN,NaN,-65,-75,-65,NaN,-64,NaN,-79,NaN,-73,NaN,NaN,NaN,NaN,-78,NaN,NaN,NaN,NaN,8
-56,-28,-46,-42,-60,-56,-50,-48,-61,NaN,-64,NaN,NaN,-66,NaN,NaN,NaN,-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,8
-54,-29,-46,-39,-53,-57,-51,-49,-61,NaN,-64,-72,NaN,-66,-73,-85,NaN,-63,NaN,-71,NaN,NaN,NaN,NaN,-84,-81,NaN,NaN,NaN,NaN,NaN,8
-56,-28,-46,-39,-57,-58,-52,-49,-61,-74,-63,NaN,NaN,-66,-77,NaN,NaN,NaN,NaN,-70,NaN,-74,NaN,NaN,-85,-84,NaN,NaN,NaN,NaN,NaN,8
-55,-28,-44,-41,-55,NaN,-52,-48,-60,NaN,NaN,NaN,NaN,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-56,-29,-45,-39,-59,-57,-52,NaN,-61,NaN,NaN,-76,NaN,-60,-75,NaN,NaN,NaN,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-56,-28,-45,-39,-61,-56,-51,-54,-61,NaN,-63,-72,NaN,-65,NaN,-82,NaN,NaN,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,-84,NaN,NaN,NaN,NaN,8
-57,-28,-45,-38,-55,-57,-49,-49,-62,NaN,-63,-72,NaN,-65,-75,-63,NaN,-66,NaN,-70,NaN,NaN,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,8
-57,-28,-46,-39,-61,-56,NaN,-48,-61,-67,-63,-69,NaN,-65,NaN,-68,NaN,-66,NaN,NaN,NaN,-73,NaN,NaN,NaN,-81,NaN,NaN,NaN,NaN,NaN,8
-55,-28,-45,-39,-56,-56,-51,-49,-61,NaN,-64,-72,NaN,-66,-75,-81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-80,-80,NaN,NaN,NaN,NaN,NaN,8
-53,-27,-43,-41,-57,-57,NaN,-48,-61,-68,-63,NaN,NaN,-65,-73,NaN,NaN,NaN,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-61,-27,-89,-41,-57,-54,-51,NaN,-61,NaN,-62,NaN,NaN,-65,-77,NaN,NaN,NaN,NaN,-77,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-59,-26,-46,-40,-58,-56,-51,-53,-61,-70,-63,-74,NaN,-65,-76,-78,NaN,-65,NaN,NaN,NaN,-75,-89,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,8
-58,-27,-47,-41,-60,-57,-51,-48,-61,-67,-64,NaN,NaN,-64,-76,-79,NaN,-65,NaN,-76,NaN,-73,NaN,NaN,-80,-82,NaN,NaN,NaN,NaN,NaN,8
-55,-27,-46,-40,-64,-56,-51,-48,-61,-66,-63,NaN,NaN,-64,-76,NaN,NaN,-65,NaN,-75,NaN,-74,NaN,NaN,NaN,-81,NaN,NaN,NaN,NaN,NaN,8
-56,-27,-46,-41,-64,-57,-51,-48,-61,-67,-63,NaN,NaN,-64,NaN,NaN,NaN,NaN,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-55,-27,-46,-41,-57,-57,-51,-49,-61,NaN,NaN,-72,NaN,-64,-75,-74,NaN,-65,NaN,-74,NaN,-74,NaN,NaN,-83,-81,NaN,NaN,NaN,NaN,NaN,8
-55,-27,-46,-41,-61,-57,-51,-48,-61,-67,-62,NaN,NaN,-65,-76,-74,NaN,NaN,NaN,NaN,NaN,-75,NaN,NaN,-83,-80,NaN,NaN,NaN,NaN,NaN,8
-51,-27,-46,-40,-60,-56,-51,-49,-61,NaN,-63,-73,NaN,-66,-67,-80,NaN,-65,NaN,-69,NaN,-75,NaN,NaN,NaN,-67,NaN,NaN,NaN,NaN,NaN,8
-54,-29,-47,-41,-65,-56,-51,-49,-61,-66,-60,-72,NaN,-64,NaN,-84,NaN,-65,NaN,-69,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-55,-27,-44,-41,-56,-56,-51,-54,-61,-68,-63,NaN,NaN,-65,-76,-80,NaN,NaN,NaN,-70,NaN,-75,-90,NaN,NaN,-82,-82,NaN,NaN,NaN,NaN,8
-57,-28,-45,-41,-55,-56,-52,-48,-61,-69,-62,-73,NaN,-67,-75,-86,NaN,-65,NaN,NaN,NaN,NaN,-89,NaN,NaN,-79,NaN,NaN,NaN,NaN,NaN,8
-53,-27,-45,-41,-57,-56,-51,-48,-61,-68,-61,-72,NaN,-66,-78,-88,NaN,-65,NaN,-70,NaN,-74,NaN,NaN,NaN,-82,NaN,NaN,NaN,NaN,NaN,8
-55,NaN,-44,-40,-60,-57,-51,-48,-61,NaN,-63,NaN,NaN,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-56,-28,-45,-40,NaN,-57,-50,-48,-61,-67,-63,-72,NaN,-64,-74,-79,NaN,-64,NaN,-79,NaN,-73,NaN,NaN,-82,-81,NaN,NaN,NaN,NaN,NaN,8
-54,-27,-46,-41,-60,-56,-52,-48,-61,NaN,-63,-69,NaN,-65,-76,-82,NaN,-65,NaN,-75,NaN,-73,NaN,NaN,NaN,NaN,NaN,-93,NaN,NaN,NaN,8
-54,-26,-45,-41,-54,-57,-50,-52,-62,-67,-63,-71,NaN,-62,-75,-80,NaN,-66,NaN,-75,NaN,-72,NaN,NaN,-83,-67,-85,NaN,NaN,NaN,NaN,8
-54,-27,-48,-40,-60,-57,-52,-49,-61,-66,-62,NaN,NaN,-65,NaN,-79,NaN,-64,NaN,-76,NaN,-72,NaN,NaN,-85,-83,NaN,NaN,NaN,NaN,NaN,8
-55,-26,-44,-42,-55,-55,-49,-49,-61,NaN,NaN,NaN,NaN,-63,NaN,-82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-53,-27,-46,-41,-56,-60,-49,-49,-61,NaN,NaN,-71,NaN,-63,-75,-79,NaN,-65,NaN,NaN,NaN,NaN,NaN,NaN,-82,-79,NaN,NaN,NaN,NaN,NaN,8
-55,-29,-49,-42,-55,-60,-51,-50,-60,-64,-64,NaN,NaN,-64,-75,-83,NaN,-69,NaN,-72,NaN,-73,NaN,NaN,NaN,-77,-83,-90,NaN,NaN,NaN,8
-56,-27,-45,-41,-59,-57,-50,-48,-62,-67,NaN,NaN,NaN,-64,-74,-81,NaN,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,8
-54,-28,-45,-41,-55,-58,NaN,-48,-60,-66,-64,NaN,NaN,-64,-78,NaN,NaN,NaN,NaN,-71,NaN,NaN,NaN,NaN,-82,-80,-84,NaN,NaN,NaN,NaN,8
-53,-33,-45,-41,-58,-57,-54,-49,-60,NaN,-66,NaN,NaN,-64,NaN,NaN,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-54,-29,-46,-42,-56,-59,-53,-58,-60,-63,-63,NaN,NaN,-65,-76,NaN,NaN,-63,NaN,-77,NaN,-72,NaN,NaN,NaN,-79,NaN,NaN,NaN,NaN,NaN,8
-56,-29,-45,-43,-58,-56,-52,-50,-60,NaN,-65,NaN,NaN,-64,NaN,-90,NaN,NaN,NaN,-78,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-55,-29,-47,-41,-54,-56,-50,-47,-60,NaN,-65,NaN,NaN,-63,NaN,NaN,NaN,NaN,NaN,-77,NaN,-73,NaN,NaN,NaN,-77,NaN,NaN,-90,NaN,NaN,8
-58,-27,-46,-41,-63,-58,-53,-49,-62,-64,-65,-70,NaN,-65,-74,-84,NaN,-65,NaN,NaN,NaN,-73,NaN,NaN,-82,-81,NaN,NaN,NaN,NaN,NaN,8
-58,-28,-44,-41,-61,-62,-49,-49,-62,-66,-64,NaN,NaN,-65,-73,-87,NaN,-60,NaN,-77,NaN,-73,-86,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-55,-27,-45,-41,-64,-57,-50,-50,-62,-63,-62,-73,NaN,-64,-74,-87,NaN,-64,NaN,NaN,NaN,NaN,NaN,NaN,-83,-78,NaN,NaN,NaN,NaN,NaN,8
-54,-28,-45,-42,-62,-60,-50,-47,-62,-68,NaN,NaN,NaN,-60,-72,-83,NaN,-65,NaN,-76,NaN,-72,NaN,NaN,-83,-80,NaN,NaN,NaN,NaN,NaN,8
-53,-28,-45,-42,-59,-58,-53,-49,-62,-64,NaN,NaN,NaN,-63,-73,-83,NaN,-66,NaN,NaN,NaN,-73,NaN,NaN,NaN,-82,NaN,NaN,NaN,NaN,NaN,8
-54,-28,-45,-42,-66,-58,-51,-49,-61,-64,-61,NaN,NaN,-65,NaN,NaN,NaN,-65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-54,-28,-45,-41,-58,-58,-51,-88,-61,-66,NaN,NaN,NaN,-64,-72,-87,NaN,-65,NaN,-77,NaN,-77,-87,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-54,-29,-45,-42,-59,-58,-51,-48,-61,-67,-60,NaN,NaN,-66,-74,-79,NaN,-66,NaN,NaN,NaN,NaN,-84,NaN,NaN,-79,NaN,NaN,NaN,NaN,NaN,8
-54,-29,-46,-41,-59,-62,-53,-48,-62,NaN,-64,-69,NaN,-66,-75,-86,NaN,-66,NaN,-69,NaN,-73,NaN,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,8
-53,-28,-45,-42,-60,-58,-51,-49,-62,NaN,-64,NaN,NaN,-66,-74,-83,NaN,NaN,NaN,-68,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-51,-28,-46,-42,-60,-60,-51,-49,-62,NaN,-64,NaN,NaN,-66,NaN,-80,NaN,-66,NaN,NaN,NaN,-73,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,8
-54,-29,-45,-43,-57,-58,NaN,-52,-62,NaN,-66,NaN,NaN,-64,-75,-74,NaN,-66,NaN,-69,NaN,-74,NaN,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,8
-54,-28,-45,-42,-58,-58,-49,-48,-62,-63,-64,NaN,NaN,-65,NaN,NaN,NaN,NaN,NaN,-70,NaN,NaN,NaN,NaN,-82,-78,NaN,NaN,NaN,NaN,NaN,8
-57,-28,-45,-42,-61,-42,-51,-50,-63,NaN,-63,NaN,NaN,-66,NaN,-81,NaN,-66,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-57,-28,-45,-42,-60,-59,-50,-49,-62,NaN,-64,NaN,NaN,-66,NaN,-83,NaN,-66,NaN,-70,NaN,NaN,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,8
-54,-28,-46,-41,-61,-59,NaN,-49,-62,-66,-63,-75,NaN,-64,-75,-82,NaN,NaN,NaN,-70,NaN,-73,-88,NaN,-85,-80,NaN,NaN,NaN,NaN,NaN,8
-55,-29,-45,-42,-57,-60,-50,-48,-61,NaN,-64,-74,NaN,-63,-76,-83,NaN,-66,NaN,-68,NaN,-73,NaN,-86,-84,-81,NaN,NaN,-94,NaN,NaN,8
-55,-27,-45,-42,-57,-58,-50,-48,-61,NaN,-64,NaN,NaN,-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-55,-27,-46,-41,-56,-58,-51,-48,-61,NaN,-66,-73,NaN,-64,NaN,-81,NaN,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,8
-58,-28,-45,-41,-59,-59,-52,-48,-61,-70,-64,-74,NaN,-63,-76,NaN,NaN,-66,NaN,-76,NaN,-74,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,8
-57,-26,-45,-41,NaN,-59,-51,-51,-61,-69,-64,-76,NaN,-66,-75,-82,NaN,-65,NaN,-76,NaN,-73,-89,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,8
-55,-28,-45,-41,-59,-59,-51,-48,-61,NaN,-65,-74,NaN,-65,-75,-82,NaN,-65,NaN,NaN,NaN,NaN,-88,NaN,-84,-81,NaN,NaN,NaN,NaN,NaN,8
-55,-29,-45,-41,-60,-58,-51,-48,-62,-68,-64,-74,NaN,-64,-76,-84,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,NaN,-81,NaN,NaN,NaN,NaN,NaN,8
-56,-28,-44,-41,-62,-59,-51,-48,-61,-59,-63,NaN,NaN,-65,-77,-85,NaN,-66,NaN,-75,NaN,-73,NaN,NaN,NaN,-81,NaN,NaN,NaN,NaN,NaN,8
-55,-29,-45,-42,-68,-58,-51,-51,-62,-67,-63,-73,NaN,-65,-75,-83,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,-82,NaN,NaN,NaN,NaN,NaN,8
-55,-28,-45,-41,-60,-58,-51,-52,-63,NaN,-62,NaN,NaN,-65,NaN,-83,NaN,-66,NaN,-70,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-54,-29,NaN,-41,-61,NaN,-51,NaN,-62,NaN,-63,NaN,NaN,-65,NaN,NaN,NaN,-65,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-54,-28,-45,-41,-63,-58,-51,-52,-62,-68,-63,-73,NaN,-66,-75,-81,NaN,-65,NaN,-70,NaN,-73,-89,NaN,-82,-80,-84,NaN,NaN,NaN,NaN,8
-57,-28,-45,-42,-62,-54,-52,-48,-63,-67,-64,-71,NaN,-65,-73,-94,NaN,NaN,NaN,-70,NaN,-72,-89,-84,-83,NaN,NaN,NaN,NaN,NaN,NaN,8
-54,-28,NaN,-41,-63,-58,-51,-52,-63,NaN,-64,-72,NaN,-65,-75,-81,NaN,NaN,NaN,-70,NaN,-77,NaN,NaN,-81,-76,NaN,NaN,NaN,NaN,NaN,8
-54,-28,-46,-43,-60,-58,-51,-49,-62,-67,-64,NaN,NaN,-64,NaN,NaN,NaN,-65,NaN,-69,NaN,-73,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,8
-55,-27,-45,-40,-65,-57,-51,-47,-61,-64,-65,NaN,NaN,-63,NaN,-80,NaN,-65,NaN,-70,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-56,-28,-46,-42,-65,-58,-51,-48,-61,-65,-64,NaN,NaN,-67,-73,-79,NaN,NaN,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
-55,-28,-44,-41,-57,-59,-52,-49,-61,NaN,-64,NaN,NaN,-65,-73,-81,NaN,-65,NaN,-70,NaN,-72,NaN,NaN,-84,-82,NaN,NaN,NaN,NaN,NaN,8
-57,-28,-45,-40,-56,-60,-52,-48,-61,-65,-62,NaN,NaN,-64,-73,-79,NaN,-65,NaN,NaN,NaN,-73,NaN,NaN,NaN,-80,-81,NaN,NaN,NaN,NaN,8
-60,-28,-46,-39,-57,-59,-51,-47,-60,-66,-63,NaN,NaN,NaN,NaN,-81,NaN,-64,NaN,NaN,NaN,-72,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,8
-53,-29,-50,-40,-63,-58,-50,-46,-60,-63,-64,-72,NaN,-65,-74,-78,NaN,NaN,NaN,NaN,NaN,-73,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,8
-63,-29,-47,-38,-59,-60,-53,-48,-61,-63,-63,NaN,NaN,-66,-75,-88,NaN,-66,NaN,-71,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
