06:18:d6:c2:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,18:28:61:9e:ab:5c_MMD,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,c8:d7:19:bc:98:31_,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,REF_POINT
-69,-36,-38,-55,NaN,-64,-36,-55,NaN,-62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-69,-37,-37,-54,NaN,-64,-36,-55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-69,-36,-38,-57,NaN,-65,-37,-54,NaN,-67,NaN,-67,-59,-63,NaN,NaN,-74,NaN,NaN,1
-67,-37,-36,-54,NaN,-63,-36,-52,NaN,-64,-70,-67,-62,NaN,-72,NaN,-73,NaN,NaN,1
-68,-36,-37,-54,NaN,-68,NaN,-56,NaN,-62,NaN,NaN,-61,-63,NaN,NaN,NaN,NaN,NaN,1
-68,NaN,-38,-54,NaN,-65,-36,-53,NaN,-63,NaN,-67,-64,-64,NaN,NaN,NaN,NaN,NaN,1
-68,-36,-37,-53,-69,-65,-36,-56,NaN,NaN,NaN,NaN,-60,-65,NaN,NaN,NaN,NaN,NaN,1
-69,-37,-38,-56,NaN,-65,-36,-54,-73,-64,NaN,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-69,-36,-38,-54,-70,-64,-36,-51,NaN,-63,-70,-66,-60,-66,-71,NaN,NaN,NaN,-78,1
-69,-36,-37,-54,NaN,-63,-35,-53,-79,-64,-71,-67,-61,NaN,-75,NaN,NaN,NaN,NaN,1
-68,-37,-38,-54,NaN,-65,-36,-52,NaN,NaN,NaN,-67,-61,NaN,NaN,NaN,NaN,NaN,NaN,1
-69,NaN,-37,-56,-71,-64,-36,-53,NaN,-63,NaN,-67,-61,NaN,NaN,NaN,-76,NaN,NaN,1
-68,-37,-38,-55,-71,-65,-36,-53,-78,-66,NaN,-66,-61,NaN,NaN,NaN,NaN,-79,-77,1
-68,-36,-36,-58,-71,-63,-36,-51,NaN,-60,NaN,-66,-61,NaN,NaN,NaN,NaN,NaN,NaN,1
-69,-37,-38,-54,NaN,-65,-80,-51,NaN,NaN,NaN,NaN,NaN,-64,NaN,NaN,NaN,NaN,NaN,1
-68,-36,-37,-54,NaN,-65,-36,-52,-57,NaN,-69,-67,-61,-63,-72,-77,NaN,NaN,-77,1
-68,-36,-38,-54,-72,-64,-36,-53,NaN,-56,NaN,-67,-60,-64,NaN,NaN,NaN,NaN,-77,1
-69,-36,-38,-55,NaN,-58,-36,-60,-78,NaN,NaN,NaN,-61,-68,NaN,NaN,NaN,-79,NaN,1
-67,-37,-37,-55,NaN,-64,-38,-51,NaN,NaN,NaN,NaN,-59,-66,NaN,NaN,-72,NaN,NaN,1
-69,-38,-37,-57,NaN,-64,-36,-56,-80,-59,-70,NaN,-62,-64,NaN,NaN,NaN,NaN,NaN,1
-69,-37,-38,-54,-73,-64,-53,-55,NaN,-59,-71,-67,NaN,-64,-70,NaN,NaN,-80,-75,1
-69,-37,-36,-54,NaN,-66,-36,-54,NaN,-63,NaN,-67,-62,-64,-70,NaN,NaN,NaN,NaN,1
-69,-36,-38,-54,NaN,-64,-36,-53,-82,NaN,NaN,-67,-62,NaN,NaN,NaN,NaN,NaN,NaN,1
-69,-37,-38,-54,-73,-62,-37,-53,NaN,-57,NaN,NaN,-62,NaN,NaN,NaN,NaN,NaN,NaN,1
-69,-37,-38,-54,-71,NaN,-38,NaN,NaN,-61,NaN,-68,-62,-64,NaN,NaN,NaN,NaN,NaN,1
-68,-37,-38,-54,-71,-65,-37,-58,NaN,-57,NaN,NaN,-62,-64,-73,-75,-71,NaN,NaN,1
-68,-37,-38,-57,NaN,-63,-37,-54,NaN,-57,NaN,-66,NaN,NaN,-74,-76,NaN,NaN,NaN,1
-69,NaN,-38,-54,NaN,-62,-36,NaN,NaN,-58,NaN,-67,-61,NaN,NaN,NaN,NaN,NaN,NaN,1
-69,-36,-38,-53,NaN,-64,NaN,-60,-75,NaN,NaN,NaN,-61,-63,NaN,-74,NaN,NaN,-79,1
-69,-36,-38,-55,NaN,NaN,-36,-55,NaN,-59,NaN,-67,-62,-62,NaN,NaN,NaN,NaN,NaN,1
-68,-36,-38,-54,NaN,NaN,NaN,-52,NaN,-59,NaN,NaN,-60,-64,-78,NaN,NaN,NaN,NaN,1
-68,NaN,-36,-54,NaN,-64,NaN,-53,-81,-58,NaN,-76,NaN,-65,-75,NaN,-73,NaN,-77,1
-67,-36,-38,-54,-68,-63,-36,-52,NaN,NaN,NaN,-68,-61,-63,-71,-68,NaN,NaN,NaN,1
-68,-37,-37,-55,NaN,NaN,-37,-56,NaN,-63,NaN,-66,-61,-64,-73,NaN,-73,NaN,-78,1
-67,-56,-38,-59,-72,-63,-37,-54,-81,-62,-70,NaN,-62,-60,NaN,NaN,NaN,NaN,-78,1
-67,-37,-38,-54,NaN,-62,-37,-51,-79,NaN,NaN,-66,-61,NaN,-75,NaN,-73,NaN,NaN,1
-68,-37,-38,-54,NaN,-62,-37,-55,NaN,NaN,NaN,NaN,-61,-64,NaN,NaN,-72,NaN,NaN,1
-67,-37,-38,-58,NaN,-60,-37,-53,NaN,-62,NaN,NaN,-60,-64,-71,NaN,NaN,NaN,NaN,1
-67,NaN,-38,-55,NaN,-62,-37,-52,NaN,-64,NaN,NaN,NaN,NaN,NaN,-61,NaN,-78,NaN,1
-62,-41,-54,-50,-59,-56,-35,-43,NaN,-50,-63,-71,-57,-63,NaN,-68,NaN,NaN,NaN,2
-63,-33,-54,-49,-59,NaN,NaN,-43,NaN,-48,-61,-67,-60,NaN,NaN,-72,NaN,NaN,NaN,2
-63,-34,-55,-49,NaN,-52,-38,-47,NaN,-49,NaN,NaN,NaN,-64,-70,-72,NaN,NaN,NaN,2
-63,-33,-55,-50,-57,-52,-37,-42,NaN,-50,NaN,NaN,-56,-64,-71,NaN,NaN,NaN,NaN,2
-63,-32,-54,-49,NaN,-52,-37,-43,NaN,-48,NaN,NaN,-56,NaN,-69,NaN,NaN,NaN,NaN,2
-63,-33,-55,-52,-58,-53,-37,-43,NaN,NaN,-60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-63,-33,-55,-49,NaN,-52,-35,-42,NaN,-48,NaN,NaN,-55,NaN,NaN,NaN,NaN,NaN,NaN,2
-63,-33,-53,-49,-56,-52,-35,NaN,-83,-48,NaN,-69,-54,NaN,-71,NaN,NaN,-84,NaN,2
-63,-33,-55,-49,-57,-53,-35,-42,NaN,-49,NaN,-68,-60,-61,-73,NaN,NaN,NaN,NaN,2
-63,-32,-55,-49,-57,-51,-36,-42,NaN,-49,-61,-64,-55,NaN,-74,-73,-72,NaN,-68,2
-62,-33,-55,-51,-56,-51,-35,NaN,-75,-48,-61,-70,-54,-63,-71,-72,NaN,NaN,NaN,2
-62,-33,-55,-50,-58,-52,-36,-42,NaN,-49,NaN,-69,-55,-60,-72,NaN,NaN,NaN,NaN,2
-62,NaN,-56,-49,-56,-51,-36,-42,NaN,-48,-61,NaN,-55,NaN,NaN,NaN,NaN,NaN,NaN,2
-62,-33,-56,-50,NaN,-52,NaN,-42,NaN,-50,NaN,NaN,-56,NaN,NaN,NaN,NaN,NaN,NaN,2
-62,-33,-56,-49,-57,-51,-36,-43,NaN,NaN,NaN,-69,-59,NaN,NaN,-74,NaN,NaN,-68,2
-62,-33,-55,-49,-56,-51,-36,-43,NaN,-51,-61,-69,-56,NaN,-69,-69,NaN,NaN,NaN,2
-62,-33,-56,-50,-57,-51,-36,-42,NaN,-49,NaN,-70,-60,-63,NaN,-75,NaN,NaN,-66,2
-62,-33,-55,-51,-57,-53,-36,-43,-81,-50,NaN,-70,-55,-66,NaN,NaN,NaN,NaN,NaN,2
-61,-32,-56,-49,-57,-51,-36,NaN,NaN,-48,NaN,NaN,-55,-61,NaN,NaN,NaN,NaN,NaN,2
