06:18:d6:c2:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,18:28:61:9e:ab:5c_MMD,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,c8:d7:19:bc:98:31_,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,REF_POINT
-64,-31,-41,-48,NaN,-49,-40,-47,-78,-49,-68,NaN,-50,-60,-70,-72,NaN,-79,-71,3
-63,-30,-40,-48,NaN,-46,-41,-47,-79,-53,NaN,NaN,-50,-60,-72,NaN,NaN,NaN,NaN,3
-64,-31,-42,-48,-60,-48,-41,-44,NaN,-53,-69,NaN,-50,-60,-77,NaN,NaN,NaN,-70,3
-64,-30,-42,-48,-60,-47,-40,-47,-80,-51,NaN,-69,-50,-60,NaN,NaN,NaN,NaN,NaN,3
-56,-30,-42,-48,-60,-49,-40,-47,NaN,-52,NaN,-69,-50,NaN,-70,-71,NaN,-79,-71,3
-64,-31,-43,-48,-60,-49,-41,NaN,NaN,-45,NaN,NaN,NaN,-60,NaN,NaN,NaN,NaN,NaN,3
-64,-30,-42,-49,-61,-49,-41,-48,-80,-50,NaN,-69,-49,-59,NaN,-72,NaN,-78,NaN,3
-64,-71,-42,-54,-60,-46,-40,-48,NaN,-49,-68,NaN,-49,-62,NaN,-73,NaN,NaN,NaN,3
-64,-30,-40,-53,-60,-49,-40,-85,NaN,-50,-69,NaN,-50,-63,-70,-72,NaN,-78,-70,3
-54,-30,-41,-49,-59,-49,-41,-48,NaN,-53,-69,-70,-49,NaN,NaN,-73,NaN,-78,NaN,3
-64,-30,-42,-48,-59,-49,-41,NaN,-79,-50,NaN,NaN,-49,-61,NaN,NaN,NaN,-80,NaN,3
-57,-30,-41,-54,-58,-46,-41,-48,-81,-52,NaN,-69,-50,-60,-70,-72,NaN,NaN,NaN,3
-65,-31,-42,-49,-61,-49,-41,NaN,-76,-50,NaN,NaN,-50,NaN,NaN,NaN,NaN,NaN,NaN,3
-66,-30,-42,-54,-62,-49,-41,-48,-75,-53,-68,NaN,-50,-60,-70,NaN,NaN,NaN,NaN,3
-58,-31,-42,-55,-66,-49,-41,-48,-79,-45,NaN,NaN,-87,-70,NaN,-73,NaN,-79,NaN,3
-64,-29,-42,-54,-60,-47,-40,-50,NaN,-53,NaN,-69,-50,-68,NaN,-71,NaN,-80,NaN,3
-67,-31,-43,-48,-59,-47,-42,-55,NaN,-52,-69,-70,-49,-59,NaN,-67,NaN,NaN,NaN,3
-67,-29,-42,-50,-57,-51,-40,-47,-78,-59,-68,-70,-49,NaN,-73,-68,NaN,NaN,-71,3
-63,-81,-43,-53,-60,-49,-42,-49,-81,-48,NaN,-70,-48,-60,-71,-72,NaN,NaN,NaN,3
-66,-31,-41,-54,-59,-49,-40,-45,-79,-51,NaN,NaN,-50,-60,NaN,NaN,NaN,NaN,-69,3
-64,-31,-42,-54,-61,-49,-40,NaN,-79,-51,-69,NaN,-49,-60,-75,-69,NaN,NaN,NaN,3
-63,-31,-42,-48,-60,-48,-41,-49,-81,-44,NaN,-70,-49,NaN,-70,-71,NaN,NaN,NaN,3
-64,-30,-42,-50,-59,-49,-40,-48,-85,-49,-68,-70,-49,NaN,NaN,NaN,-80,-79,-70,3
-64,-31,-42,-55,-60,-48,-41,-50,NaN,-50,NaN,NaN,-49,-58,-73,NaN,NaN,NaN,-71,3
-64,-85,-41,-54,-60,-48,-41,-48,-80,-49,NaN,-70,NaN,NaN,-69,NaN,NaN,NaN,NaN,3
-64,-31,-43,-48,-59,-49,-41,-47,NaN,-52,NaN,-71,-49,-59,-73,-70,NaN,NaN,-72,3
-64,-31,-43,-48,-59,-48,-41,-48,NaN,-51,-68,-70,-49,-60,-69,NaN,-77,NaN,-79,3
-56,-31,-43,-48,-66,-47,-40,-48,NaN,-50,-68,-68,-49,-60,-71,-70,-78,NaN,-70,3
-64,-31,-41,-49,-59,-49,-41,-48,-79,-49,-68,NaN,-50,-60,-74,NaN,NaN,NaN,-72,3
-65,-31,-41,-49,-59,-45,-41,-68,NaN,-50,-68,NaN,-49,-55,-75,-70,NaN,NaN,NaN,3
-65,-31,-40,-54,-60,-49,NaN,-48,NaN,-45,NaN,NaN,-49,NaN,-69,-72,NaN,NaN,NaN,3
-64,-31,-41,-48,-62,-48,-40,-48,NaN,-50,-68,-71,-50,-65,NaN,-71,NaN,-78,NaN,3
-65,-31,-43,-48,NaN,-48,-39,-49,NaN,-52,NaN,NaN,NaN,-60,NaN,-71,NaN,-78,NaN,3
-64,-31,-42,-48,-64,-49,-40,-47,-77,-45,NaN,-71,-50,-59,-69,-77,NaN,NaN,NaN,3
-64,-31,-43,-48,NaN,-48,-41,-50,-80,-49,-67,-71,-50,NaN,NaN,-71,NaN,NaN,NaN,3
-65,-31,-42,-54,-63,-49,-40,-49,-81,-45,-69,-72,-50,-61,-75,-72,NaN,-78,-71,3
-64,-31,-41,-48,NaN,-48,-41,-49,NaN,-50,NaN,NaN,-50,NaN,-74,NaN,-79,-78,NaN,3
-63,-31,-41,-49,NaN,-49,-41,-48,-80,-50,-69,NaN,-50,-61,-70,NaN,NaN,-79,NaN,3
-65,NaN,-43,-48,-60,-47,-41,NaN,-80,-52,-68,NaN,-50,-59,-72,NaN,NaN,NaN,NaN,3
-64,-31,-43,-48,-60,-49,-41,-48,NaN,-52,-73,-70,-50,-65,NaN,-71,NaN,-78,NaN,3
-64,-31,-43,-48,-59,-49,-42,-48,NaN,-45,NaN,-71,-50,-60,-70,-70,NaN,NaN,NaN,3
-56,NaN,-41,-48,-59,-49,-40,-48,-79,-45,NaN,-71,-50,-60,NaN,-70,-77,-79,-71,3
-65,-31,-43,-48,-60,-49,-40,-49,NaN,-48,NaN,NaN,-49,-59,NaN,-71,NaN,NaN,-70,3
-66,-31,-41,-48,-59,-50,-41,-49,-81,-49,NaN,NaN,-49,-61,-70,-71,NaN,-79,-71,3
-66,-31,-42,-48,-59,-50,-41,-48,-80,-49,NaN,-78,-50,NaN,NaN,-70,NaN,-79,NaN,3
-67,-31,-42,-48,-60,-52,-41,-49,NaN,-49,NaN,-71,-50,-61,NaN,-71,NaN,NaN,NaN,3
-65,-31,-41,-47,-60,-48,-41,-49,NaN,-49,NaN,NaN,-49,-60,NaN,-70,NaN,NaN,NaN,3
-66,-31,-42,-48,NaN,-48,-41,-49,NaN,-45,NaN,NaN,-50,NaN,NaN,NaN,NaN,NaN,NaN,3
-53,-31,-42,-48,-59,NaN,-40,-48,NaN,-49,NaN,NaN,-50,-61,NaN,-70,NaN,NaN,NaN,3
-66,-31,-41,-47,-62,-49,-41,NaN,NaN,-50,-68,-71,-50,NaN,-73,NaN,NaN,NaN,-69,3
-64,-31,-41,-50,-60,-50,-42,-50,NaN,-44,NaN,-73,-49,-60,-74,NaN,NaN,-78,NaN,3
-64,-30,-41,-48,-60,-49,-41,-49,-79,-50,-69,-72,-50,-67,NaN,-70,NaN,-78,-80,3
-66,-31,-41,-49,-60,-47,-40,-48,-78,-46,NaN,NaN,-49,-60,-71,NaN,NaN,NaN,NaN,3
-66,-31,-41,-49,-70,-49,-41,-50,-78,-43,NaN,-72,-50,NaN,NaN,-69,NaN,NaN,NaN,3
-66,-34,-41,-48,NaN,-48,-40,-49,NaN,-49,NaN,NaN,-50,-60,NaN,NaN,-78,NaN,NaN,3
-65,-31,-41,-54,-60,-46,-40,NaN,-79,-44,NaN,-71,-49,-60,NaN,NaN,NaN,NaN,NaN,3
-66,-34,-40,-55,-60,-49,-40,-50,-78,-47,NaN,NaN,-47,-62,NaN,NaN,NaN,NaN,NaN,3
-64,-30,-55,-51,-66,-62,-41,-53,-79,-60,NaN,-71,-54,-61,-69,NaN,NaN,NaN,NaN,4
-63,-30,-49,-51,-69,-58,-42,-46,NaN,-57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-63,-33,-52,-51,-65,-59,-42,-86,NaN,-56,NaN,-73,-51,NaN,NaN,-74,NaN,-77,NaN,4
-68,-33,-50,-51,-64,-59,-41,-51,NaN,-58,NaN,-68,-51,NaN,NaN,-74,NaN,NaN,NaN,4
-69,-33,-51,-52,-67,-63,-40,-50,NaN,-52,-69,-74,NaN,NaN,NaN,NaN,NaN,-80,NaN,4
-68,-32,-51,-52,-68,NaN,-39,-52,-82,-52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-81,NaN,4
-68,-31,-48,-52,-69,-64,-39,-51,-82,-51,NaN,-74,-51,-60,NaN,-75,NaN,NaN,NaN,4
-69,-32,-51,-51,NaN,-63,-40,-51,-83,-56,NaN,NaN,NaN,-58,NaN,NaN,NaN,NaN,NaN,4
-69,-33,-51,-52,-67,-63,-39,-52,NaN,-56,NaN,-73,-50,-60,NaN,-76,NaN,NaN,NaN,4
-69,-32,-51,-57,NaN,-63,-40,-50,-81,-52,-71,NaN,NaN,NaN,-66,-75,NaN,NaN,-71,4
-61,-32,-49,-52,-66,-63,-40,-47,NaN,-52,NaN,NaN,-52,NaN,NaN,NaN,NaN,NaN,NaN,4
-68,-32,-51,-52,-70,-63,-39,-51,NaN,-52,NaN,NaN,-50,-58,NaN,NaN,NaN,NaN,NaN,4
-68,-32,-51,-52,-69,-64,-39,-50,-86,-56,NaN,NaN,NaN,-56,-67,NaN,NaN,NaN,-71,4
-68,-32,-49,-57,-64,-61,-39,NaN,NaN,-55,NaN,-73,-51,-59,-67,-76,-74,-81,NaN,4
-67,-32,-49,-52,-66,-63,-40,-54,NaN,-52,NaN,-74,-50,NaN,NaN,-76,NaN,-80,NaN,4
-69,-84,-49,-52,-65,-64,-40,NaN,NaN,-56,NaN,NaN,-49,-58,NaN,-77,NaN,NaN,NaN,4
-69,-32,-48,-53,-66,-61,-39,NaN,-81,-52,NaN,NaN,-50,NaN,NaN,NaN,NaN,NaN,NaN,4
-68,-31,-50,-56,NaN,-59,-39,-50,-83,-50,-71,NaN,-52,NaN,-64,NaN,NaN,NaN,NaN,4
-67,-32,-51,-52,-64,-63,-39,-51,NaN,-52,NaN,NaN,NaN,-59,NaN,NaN,NaN,NaN,NaN,4
-68,NaN,-51,-51,-77,-64,-39,-51,-84,-51,-70,-74,-51,-55,NaN,-78,NaN,NaN,NaN,4
-67,-32,-51,-52,-72,-53,-39,-51,-79,-52,NaN,-72,-56,NaN,-70,-78,-71,NaN,-76,4
-68,-32,-49,-52,-71,-64,-40,-51,-81,-56,NaN,-72,-49,-56,NaN,NaN,NaN,NaN,NaN,4
-68,-32,-51,-53,NaN,-61,-39,-50,NaN,-52,NaN,NaN,-50,-59,-63,NaN,NaN,NaN,NaN,4
-60,-32,-51,-52,-68,-59,-39,-52,NaN,-52,NaN,-74,-49,NaN,-66,-75,NaN,NaN,NaN,4
-62,-32,-51,-52,-66,-61,-39,NaN,NaN,-52,NaN,-75,-50,-58,NaN,NaN,NaN,NaN,NaN,4
-69,-32,-51,-53,-67,-64,-40,-51,-83,-51,NaN,NaN,-50,-57,NaN,NaN,NaN,NaN,NaN,4
-68,-32,-51,-52,-71,-64,-40,-52,-83,-56,NaN,-73,-52,-59,NaN,NaN,NaN,NaN,NaN,4
-69,-32,-51,-52,-68,-64,-40,-51,NaN,-52,NaN,NaN,-52,-58,NaN,NaN,NaN,NaN,NaN,4
-70,-32,-48,-51,-66,-63,-40,-51,NaN,-57,NaN,-75,-50,NaN,NaN,NaN,NaN,NaN,NaN,4
-70,-33,-51,-51,-67,NaN,-41,-52,NaN,-51,NaN,NaN,-51,NaN,NaN,NaN,NaN,NaN,NaN,4
-70,NaN,-51,-52,-69,-64,-41,-52,NaN,-52,NaN,-74,-49,-58,NaN,NaN,NaN,-81,NaN,4
-69,-32,-51,-52,-71,-63,-39,-52,-82,-51,NaN,NaN,-55,NaN,NaN,NaN,NaN,NaN,NaN,4
-69,-32,-49,-52,-68,-66,-80,-51,-83,-52,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-68,-33,-51,-52,-67,-65,-41,-51,NaN,-52,NaN,-74,-50,-59,NaN,-77,NaN,NaN,NaN,4
-69,-32,-50,-52,-68,-62,-40,-52,-80,-52,NaN,-75,-51,-55,NaN,-75,NaN,-80,NaN,4
-69,-32,-50,-56,NaN,-58,-41,-55,NaN,-53,NaN,NaN,-51,NaN,NaN,NaN,NaN,NaN,NaN,4
-69,NaN,-51,-51,NaN,NaN,-41,-52,-79,-57,NaN,NaN,-51,-56,NaN,-74,NaN,NaN,NaN,4
-62,-31,-49,-52,-69,-61,NaN,NaN,NaN,-57,NaN,-77,NaN,NaN,NaN,NaN,NaN,-81,NaN,4
-69,NaN,-51,-52,-69,-61,-40,-52,NaN,-52,NaN,NaN,-50,NaN,-69,NaN,NaN,NaN,NaN,4
-69,-32,-49,-52,-69,-60,-42,-52,-91,-53,NaN,NaN,-50,-57,NaN,NaN,NaN,NaN,NaN,4
-69,-32,-48,-52,-67,-61,-41,-53,-82,-52,NaN,NaN,-50,NaN,NaN,-75,NaN,NaN,NaN,4
-69,NaN,-51,-52,-69,-63,-40,NaN,-77,-57,NaN,NaN,-50,NaN,NaN,-76,NaN,NaN,NaN,4
-69,-32,-50,-56,-69,-66,-41,NaN,-81,-52,NaN,-75,-50,-57,NaN,-76,NaN,-81,NaN,4
-69,-32,-48,-52,-68,-62,-40,NaN,NaN,-53,NaN,NaN,NaN,NaN,NaN,-75,NaN,NaN,NaN,4
-68,-31,-50,-52,-67,-62,-39,-51,-76,-57,NaN,-74,-51,-57,NaN,-75,NaN,NaN,NaN,4
-62,-32,-50,-52,-69,-62,-41,NaN,NaN,-53,NaN,NaN,-50,-57,NaN,-76,NaN,-81,NaN,4
-68,NaN,-49,-52,-68,-64,-40,-85,NaN,-54,NaN,NaN,-51,-64,NaN,NaN,NaN,NaN,NaN,4
-67,-32,-51,-52,-68,-61,-45,-51,-82,-50,NaN,NaN,-50,NaN,NaN,NaN,NaN,NaN,NaN,4
-67,-32,-49,-52,-69,-62,-41,-52,-82,-53,-74,NaN,NaN,NaN,NaN,NaN,NaN,-81,NaN,4
-62,-32,-51,-52,-68,-62,-40,-52,-83,-53,NaN,-76,-50,NaN,NaN,-75,NaN,-81,NaN,4
-67,-86,-51,-52,-70,-57,-40,-51,-82,-53,NaN,-75,-50,NaN,NaN,NaN,NaN,-76,NaN,4
-68,-32,-51,-53,-68,-63,-40,-85,-82,-52,NaN,NaN,-50,-57,NaN,NaN,NaN,NaN,NaN,4
-68,-32,-51,-53,-68,-61,-40,-51,-74,-57,NaN,NaN,-50,NaN,NaN,-74,NaN,-82,NaN,4
-68,NaN,-51,-51,NaN,-63,-40,-52,-81,-53,NaN,NaN,-51,-57,NaN,NaN,NaN,NaN,NaN,4
-68,-32,-50,-52,-68,NaN,-39,NaN,-71,-58,NaN,NaN,-51,NaN,NaN,NaN,NaN,NaN,NaN,4
-68,-32,-50,-52,-68,-58,-40,-54,-78,-52,NaN,NaN,-50,-58,NaN,NaN,NaN,-81,NaN,4
-68,-32,-51,-51,-68,-62,-40,-52,NaN,-52,NaN,NaN,NaN,-58,NaN,-76,NaN,-81,NaN,4
-68,-32,-51,-52,-68,NaN,-40,-52,-81,-52,NaN,-75,NaN,-57,NaN,NaN,NaN,NaN,NaN,4
-67,-32,-51,-52,-70,NaN,-40,-50,NaN,-52,NaN,NaN,-51,-57,NaN,-75,NaN,NaN,NaN,4
-67,-33,-49,-52,-68,-63,-40,-51,-82,-57,NaN,-71,-51,NaN,NaN,-75,NaN,NaN,NaN,4
-68,-32,-51,-52,-69,-63,-40,-51,-82,-53,NaN,NaN,NaN,NaN,-68,-76,NaN,-81,NaN,4
-62,-32,-51,-51,-68,-56,-39,-52,-81,-53,NaN,NaN,-51,-56,NaN,-76,NaN,-81,NaN,4
-67,-32,-51,-51,NaN,-64,NaN,NaN,-82,-56,NaN,NaN,NaN,NaN,NaN,-75,NaN,NaN,NaN,4
-67,-34,-51,-51,-68,-58,-40,-50,-79,-52,NaN,NaN,NaN,-57,NaN,NaN,NaN,NaN,NaN,4
-67,-32,-49,-52,-68,-63,-40,-51,NaN,-53,NaN,-74,-51,-55,NaN,-75,NaN,NaN,NaN,4
-62,-32,-48,-52,-68,-65,-40,-51,-80,-52,NaN,NaN,-50,-57,NaN,NaN,NaN,NaN,NaN,4
-67,NaN,-51,-51,-63,-59,-40,-51,NaN,-52,NaN,-74,-50,NaN,NaN,NaN,NaN,NaN,NaN,4
-67,-32,-51,-56,-70,-59,-39,-50,-83,-53,NaN,-74,-52,-60,NaN,-77,NaN,NaN,NaN,4
-66,NaN,-50,-56,-64,-59,-41,-48,NaN,-52,NaN,-72,-51,NaN,NaN,-75,NaN,NaN,-71,4
-67,-84,-53,-56,-62,-62,-50,-48,-82,-53,NaN,NaN,NaN,NaN,NaN,-75,NaN,-82,NaN,4
-65,-33,-50,-54,-64,-58,-37,NaN,-79,-55,NaN,NaN,-51,NaN,-69,-74,NaN,NaN,-74,4
-65,NaN,-50,-54,NaN,-61,-40,-46,NaN,-53,-74,NaN,-52,-62,-67,NaN,NaN,-79,-72,4
-66,-34,-49,-54,NaN,NaN,-40,-45,NaN,-59,NaN,NaN,-52,NaN,NaN,NaN,NaN,NaN,-72,4
-66,-33,-50,-54,-63,-58,-39,-45,NaN,-53,NaN,-74,-53,-59,NaN,-78,NaN,NaN,-77,4
-65,-33,-47,-55,-63,-59,-41,-46,-73,-50,NaN,NaN,-52,NaN,NaN,NaN,NaN,NaN,NaN,4
-65,-35,-49,-59,-63,NaN,-40,-45,-80,-51,NaN,NaN,-53,-63,NaN,NaN,NaN,NaN,NaN,4
-65,-34,-49,-56,NaN,-60,-40,-46,-82,-61,NaN,-75,-52,NaN,-67,-73,NaN,-78,-72,4
-65,-85,-49,-54,-63,-63,-40,-45,NaN,-51,NaN,NaN,-53,-63,NaN,NaN,NaN,NaN,-72,4
-65,-33,-49,-55,-63,-59,-40,-46,-81,-55,-72,NaN,-53,-60,-62,-70,NaN,-71,NaN,4
-67,NaN,-49,-55,-64,-58,-41,NaN,-78,-60,NaN,NaN,-52,NaN,-66,-71,NaN,NaN,NaN,4
-60,-30,-54,-53,-56,-52,-39,-50,-78,-50,NaN,-75,-54,-63,NaN,-71,NaN,-83,NaN,5
-63,-31,-51,-51,-57,-53,-36,-55,-78,-50,NaN,NaN,-55,NaN,NaN,-73,-75,NaN,NaN,5
-56,-30,-50,-52,-56,-53,-36,-54,-79,-50,-67,-73,NaN,-68,NaN,NaN,NaN,NaN,NaN,5
-61,-31,-49,-53,-55,-53,-36,-55,-75,-49,NaN,NaN,-55,-68,NaN,-70,NaN,NaN,NaN,5
-62,-30,-47,-53,-56,-53,NaN,-53,-78,-50,NaN,NaN,-55,-67,NaN,NaN,NaN,NaN,NaN,5
-61,-31,-51,-60,-57,-54,-36,NaN,NaN,-50,NaN,NaN,-60,-65,NaN,NaN,NaN,NaN,NaN,5
-61,-31,-49,-60,-56,-57,-35,-53,-76,-52,NaN,NaN,-56,-67,NaN,NaN,NaN,NaN,NaN,5
-61,-31,-51,-53,-56,-54,-34,-54,NaN,-51,-68,NaN,-55,-67,NaN,-70,NaN,-82,NaN,5
-61,-31,-50,-52,-55,-54,-35,-53,-78,-49,-67,NaN,-55,NaN,-60,NaN,NaN,NaN,-74,5
-61,-31,-50,-53,-55,-53,-34,-54,-79,-50,NaN,-75,-55,NaN,-63,-71,NaN,NaN,NaN,5
-61,-31,-50,-52,-56,-54,-34,-51,-78,-51,-69,-76,-55,-68,-63,-71,NaN,-82,NaN,5
-61,-31,-50,-53,-56,-53,-34,-53,-77,-50,-67,NaN,-55,-67,-63,-71,NaN,-82,NaN,5
-61,-31,-50,-53,-54,-54,-34,-51,-79,-51,NaN,-75,-55,-67,-63,-71,NaN,NaN,NaN,5
-58,-30,-50,-52,-56,-53,-34,-54,-73,-49,-68,NaN,-55,-67,-63,-72,NaN,-80,NaN,5
-62,-31,-48,-53,-56,-54,-34,-53,-78,-51,-69,NaN,-55,-67,NaN,-70,NaN,NaN,-80,5
-61,-31,-47,-53,-57,-53,-33,NaN,NaN,-51,-67,NaN,-54,NaN,-59,-71,NaN,NaN,NaN,5
-61,-31,-47,-53,-56,-54,-33,-54,-77,-51,NaN,NaN,-57,-65,NaN,-70,NaN,NaN,NaN,5
-61,-31,-51,-53,-56,-52,-34,-53,-80,-50,NaN,-75,-56,NaN,-60,-71,NaN,NaN,NaN,5
-55,-31,-51,-53,-57,-54,-35,-53,-78,-51,NaN,-74,-60,NaN,NaN,-71,NaN,NaN,-74,5
-61,-31,-51,-53,-56,-53,-34,-53,-76,-50,NaN,-75,-56,-65,-63,-71,NaN,-81,NaN,5
-61,-31,-51,-52,-55,-54,-35,-53,NaN,-50,-67,-72,-55,-67,NaN,-70,-74,-82,NaN,5
-61,-30,-50,-52,-56,-54,-34,-54,-77,-51,NaN,-75,-56,NaN,-60,NaN,NaN,-83,-75,5
-61,-30,-50,-52,-56,-54,-34,-53,-78,-50,-67,-75,-55,NaN,-62,-70,NaN,NaN,NaN,5
-61,-30,-48,-53,-56,-54,-36,-54,NaN,-51,-69,NaN,-56,-67,NaN,-70,NaN,NaN,NaN,5
-61,-30,-51,-53,-56,-54,-35,-54,-78,-51,NaN,NaN,NaN,NaN,-61,NaN,NaN,NaN,NaN,5
-61,-30,-49,-61,NaN,-52,-35,-53,NaN,-51,-65,NaN,NaN,-66,-62,NaN,NaN,NaN,NaN,5
-61,-31,-49,-53,-56,-52,-36,-54,-80,-51,-66,NaN,-56,NaN,-63,NaN,NaN,NaN,NaN,5
-61,-30,-50,-54,-56,-56,-36,-53,NaN,-50,-66,NaN,NaN,-67,-63,NaN,NaN,NaN,NaN,5
-61,-31,-50,-53,-56,-54,-67,-54,-79,-51,-66,-76,-54,NaN,-61,-70,NaN,NaN,NaN,5
-61,-33,-50,-54,-56,-53,-36,-55,-78,-50,NaN,-75,-56,NaN,-57,-71,NaN,-83,NaN,5
-61,-31,-50,-53,-57,-53,-36,-55,-78,-50,-67,-75,-55,-67,-63,-71,NaN,-82,NaN,5
-61,-30,-49,-52,-55,-54,-35,-54,-78,-49,NaN,-75,-56,-66,-63,-73,NaN,-84,NaN,5
-62,-30,-50,-54,-56,-53,-35,-56,-79,-49,NaN,NaN,-55,NaN,-58,NaN,NaN,NaN,-75,5
-62,-30,-49,-53,-57,-54,-37,-55,-76,-51,NaN,NaN,-55,NaN,NaN,NaN,NaN,NaN,NaN,5
-62,-30,-50,-53,-56,-54,-36,NaN,-73,-50,NaN,NaN,-54,-68,-63,-71,-74,-73,NaN,5
-55,-29,-49,-53,-56,-54,-36,-57,-79,-51,NaN,-76,-56,NaN,-58,-71,NaN,NaN,NaN,5
-61,-30,-50,-52,-56,-54,-42,-55,NaN,-48,NaN,-76,-56,NaN,NaN,NaN,NaN,-82,NaN,5
-62,-30,-49,-55,-56,-52,-35,-54,-79,-51,NaN,-75,-56,-69,NaN,-68,NaN,-83,NaN,5
-62,-30,-50,-53,-56,-55,-83,-55,-79,-50,-69,-76,-55,NaN,-63,-70,NaN,-81,NaN,5
-62,-31,-50,-61,-57,-54,-36,-55,NaN,-50,NaN,NaN,NaN,-68,NaN,-70,NaN,NaN,NaN,5
-62,-32,-50,-56,-56,-54,-37,-54,NaN,-51,NaN,NaN,-56,-67,-63,NaN,NaN,-82,NaN,5
-62,-30,-49,-53,-56,-53,-35,-57,-80,-51,-70,-74,-55,-65,NaN,NaN,NaN,-83,NaN,5
-62,-30,-50,-52,-56,-52,-37,-55,NaN,-48,NaN,NaN,-55,NaN,-62,NaN,NaN,NaN,NaN,5
-63,-30,-49,-62,NaN,-54,-35,-55,NaN,-51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-63,-31,-51,-52,-56,-54,-35,NaN,NaN,-52,NaN,NaN,-55,-66,-60,NaN,NaN,NaN,NaN,5
-58,-32,-50,-53,-56,-52,-35,NaN,NaN,-50,NaN,NaN,-55,NaN,NaN,NaN,NaN,NaN,NaN,5
-62,-31,-50,-53,-56,-54,-34,-52,-79,-51,NaN,-75,-55,NaN,-63,NaN,NaN,NaN,NaN,5
-62,-31,-51,NaN,-56,-53,-35,-54,-72,-51,-67,-74,-56,-68,NaN,NaN,NaN,-83,NaN,5
-62,-31,-50,-54,-56,-54,-32,-53,-77,-53,NaN,-75,-55,NaN,-58,-70,NaN,-83,NaN,5
-62,-31,-51,-54,-55,-54,-34,-53,NaN,-51,-68,NaN,-54,-66,NaN,-69,NaN,NaN,NaN,5
-62,-32,-49,-53,-55,-53,-35,-53,NaN,-50,NaN,NaN,-55,NaN,-58,-69,NaN,NaN,NaN,5
-62,-31,-49,-53,-56,-54,-34,-52,NaN,-51,NaN,NaN,-55,NaN,-60,NaN,NaN,NaN,NaN,5
-63,-34,-50,-53,-57,-56,-34,NaN,NaN,-50,NaN,NaN,-55,NaN,-65,NaN,NaN,NaN,NaN,5
-64,-31,-48,-54,-55,-51,-35,-52,-78,-51,-67,NaN,-60,-65,-64,NaN,NaN,-83,NaN,5
-63,-31,-50,-53,-55,-54,-35,-54,-76,-53,NaN,-76,-56,-62,NaN,-69,NaN,NaN,NaN,5
-63,-32,-50,-54,-55,-56,-36,NaN,NaN,-52,NaN,-76,-55,NaN,-64,NaN,NaN,NaN,NaN,5
-62,-31,-50,-53,-55,-54,-33,-54,NaN,-52,NaN,NaN,-55,NaN,-61,-61,NaN,NaN,NaN,5
-59,-31,-50,-54,-55,-55,-34,-55,NaN,-54,NaN,-76,-53,-63,NaN,-69,NaN,NaN,NaN,5
-62,-31,-51,-54,-56,-55,-35,-54,NaN,-53,NaN,NaN,-55,-66,NaN,NaN,NaN,NaN,NaN,5
-63,-31,-48,-54,-56,-54,-35,-55,-79,-53,NaN,NaN,-55,NaN,-62,-70,NaN,NaN,NaN,5
-63,-30,-50,-54,-56,-54,-35,-53,NaN,-53,NaN,NaN,-55,-67,NaN,-70,NaN,NaN,NaN,5
-62,-33,-51,-54,-55,-54,-34,NaN,-72,-53,-67,NaN,-55,NaN,NaN,-68,NaN,NaN,NaN,5
-63,-31,-51,-54,-56,-54,-34,NaN,-78,-53,NaN,NaN,-55,NaN,-65,NaN,NaN,NaN,NaN,5
-63,-30,-48,-54,-57,-54,-34,-52,NaN,-53,NaN,-82,NaN,NaN,-62,NaN,NaN,NaN,NaN,5
-63,-31,-50,-54,-56,-53,-35,-54,NaN,-51,NaN,NaN,-55,NaN,-63,-70,NaN,NaN,NaN,5
-63,-31,-51,-55,-56,-53,-33,-50,-81,-53,NaN,NaN,-55,NaN,-58,-71,NaN,NaN,NaN,5
-63,-31,-51,-53,-57,-52,-34,-52,-79,-52,NaN,NaN,-68,-66,NaN,-71,NaN,NaN,NaN,5
-62,-30,-51,-54,-56,-53,-35,-52,-78,-55,NaN,NaN,-56,-62,-64,-73,NaN,-83,NaN,5
-62,-31,-49,-54,-60,-52,-34,NaN,NaN,-50,NaN,NaN,-53,NaN,NaN,-72,NaN,-83,NaN,5
-63,-31,-51,-53,-56,-53,-34,-50,-78,-52,NaN,NaN,-54,NaN,NaN,NaN,NaN,NaN,NaN,5
