04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:67:ab:cf_evarobot,64:66:b3:d0:4a:8d_Cisco_KRD,18:28:61:9e:ab:5c_MMD,18:28:61:13:0d:9d_EROGLU,18:28:61:58:78:6a_Dlink_DAP-1360,REF_POINT
-65,-35,-46,-46,-56,-51,-56,-61,-64,NaN,-68,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-61,-35,-46,-46,-53,-50,-57,NaN,-64,NaN,NaN,NaN,NaN,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,3
-66,-32,-47,-43,-53,-50,-56,NaN,-65,-66,NaN,NaN,-75,NaN,-81,NaN,-70,NaN,NaN,NaN,NaN,3
-60,-35,-48,-45,-57,-51,-54,-59,-63,-64,NaN,NaN,NaN,NaN,-70,NaN,-71,NaN,NaN,NaN,NaN,3
-65,-35,-46,-44,-58,-52,-55,-67,-63,NaN,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-67,-36,-45,-44,-53,NaN,-56,-65,-63,NaN,-68,-65,NaN,-72,NaN,NaN,-66,NaN,NaN,NaN,NaN,3
-66,-36,-47,-44,-57,-51,-55,-60,-65,-63,-69,NaN,-73,-71,NaN,NaN,NaN,NaN,-70,NaN,-82,3
-65,-35,-47,-46,-55,-51,-53,-63,-58,-63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-66,NaN,NaN,3
-65,-35,-48,-44,-56,-52,-42,-66,-63,-68,-68,-68,-74,-73,-69,NaN,NaN,NaN,-67,NaN,NaN,3
-66,-35,-47,-44,-53,-53,-56,-63,-65,-62,-66,-72,NaN,NaN,NaN,-82,-70,NaN,NaN,NaN,NaN,3
-64,-35,-44,-46,-53,-55,-56,-65,-63,-62,NaN,NaN,-72,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-61,-35,-47,-44,-53,-56,-53,NaN,-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-69,NaN,NaN,3
-65,-35,-46,-44,-51,-52,-54,-63,-64,-60,NaN,-65,NaN,-76,NaN,NaN,NaN,-84,-70,NaN,NaN,3
-62,-35,-46,-46,-51,NaN,-55,-66,-64,-59,NaN,NaN,-77,NaN,-68,NaN,-69,-83,-71,NaN,NaN,3
-61,-35,-47,-44,-53,-64,NaN,-63,-64,-60,-68,-66,-75,-74,NaN,-75,-71,-83,NaN,NaN,NaN,3
-63,-35,-46,-44,-52,-50,-55,-64,-64,NaN,NaN,NaN,NaN,NaN,-67,-67,NaN,NaN,NaN,NaN,NaN,3
-62,-35,-46,-44,-51,-51,-56,-63,-64,-60,NaN,-67,-79,-73,-68,NaN,-69,NaN,-66,NaN,NaN,3
-65,NaN,-49,-44,-55,-50,-55,NaN,-64,-60,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,-65,NaN,NaN,3
-61,-68,-48,-46,NaN,-51,-55,NaN,-64,-60,-70,-67,NaN,-71,NaN,NaN,NaN,NaN,-67,NaN,NaN,3
-62,-35,-46,-44,NaN,-51,-57,NaN,-64,-60,NaN,-68,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-62,-34,-46,-44,-54,-50,-56,-63,-64,-57,-69,-66,-72,-72,NaN,NaN,-70,-83,-65,NaN,NaN,3
-62,-35,-46,-47,-54,-49,-47,-64,-63,NaN,-68,-67,NaN,-71,NaN,NaN,-70,NaN,-68,NaN,NaN,3
-62,-35,-45,-44,-54,NaN,-56,-68,-63,-62,-68,NaN,-73,-70,-74,-81,NaN,NaN,-66,NaN,NaN,3
-63,-34,-46,-44,-57,-50,-56,-63,-63,-61,-72,-67,-72,-71,NaN,-81,-69,-82,-65,NaN,NaN,3
-61,-34,-46,-46,-52,-49,-56,-69,-65,-61,-67,-70,-81,NaN,-68,NaN,-69,NaN,-63,NaN,NaN,3
-63,-34,-45,-45,-54,NaN,-56,-68,-64,-61,-67,-68,NaN,-76,-69,NaN,NaN,-81,-64,NaN,NaN,3
-62,-34,-46,-44,-54,-51,-56,-64,-65,-59,NaN,-67,-78,-71,-68,-81,NaN,NaN,-63,NaN,NaN,3
-65,-34,-44,-45,-53,-50,-56,-64,-64,-58,-71,-70,NaN,-71,NaN,NaN,-70,-82,-63,NaN,NaN,3
-62,-35,-46,-46,-51,-51,-52,-62,-64,-58,-67,-69,NaN,-70,-68,NaN,NaN,NaN,-68,NaN,NaN,3
-63,-35,-47,-47,-53,-51,-53,-64,-63,NaN,NaN,-72,NaN,-70,-64,-81,NaN,NaN,NaN,NaN,NaN,3
-66,-34,-46,-45,-53,-50,-56,-70,-64,-59,-67,-67,NaN,-71,-73,-80,NaN,NaN,-66,NaN,NaN,3
-62,-33,-48,-45,-53,-49,-56,-63,-64,-59,-67,-68,-73,-71,-68,NaN,-70,-81,-68,NaN,-85,3
-66,-35,-46,-46,-56,-50,-46,-62,-64,-59,-66,NaN,NaN,NaN,-81,-80,-70,NaN,-69,NaN,NaN,3
-66,-34,-47,-45,-51,-51,-56,NaN,-58,-60,-67,-68,-73,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-62,-35,-47,-46,-52,-52,-45,-64,-64,-62,-66,NaN,-73,-71,-68,-79,-71,-80,-67,NaN,NaN,3
-63,-35,-45,-47,-52,-53,-56,-64,-58,NaN,NaN,-72,NaN,-71,-53,-79,-70,-81,-69,-83,NaN,3
-66,-35,-45,-44,NaN,-50,-45,-65,-64,-59,-64,-68,NaN,NaN,-69,NaN,-71,NaN,-69,NaN,NaN,3
-63,-35,-43,-46,-53,-52,-57,-63,-64,-58,-66,-69,NaN,NaN,NaN,-79,-71,-81,-72,NaN,NaN,3
-64,-34,-45,-44,-56,-52,-55,-66,-64,-57,-67,-71,NaN,NaN,-67,-82,-71,-81,NaN,-80,NaN,3
-66,-35,-45,-45,-58,-50,-55,-65,-64,-57,NaN,-69,-74,-70,-69,NaN,NaN,NaN,-69,NaN,-88,3
-62,-34,-45,-46,-89,-49,-55,-65,-64,-60,-67,-70,-73,-70,-69,NaN,-70,NaN,NaN,NaN,NaN,3
-66,-35,-45,-47,-54,-50,-56,-65,-64,-63,-68,-68,NaN,-71,-69,NaN,-70,NaN,NaN,NaN,NaN,3
-64,NaN,-47,-47,-67,-50,-59,-64,-64,NaN,NaN,-68,NaN,NaN,NaN,-85,-71,-81,NaN,-84,NaN,3
-61,-37,-45,-43,-57,-50,-57,-64,-56,-56,NaN,-63,-74,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-59,-38,-44,-47,-57,-50,-57,-63,-65,NaN,-68,-65,-75,-72,-68,-84,-71,NaN,-69,NaN,-86,3
-61,-39,-43,-43,-57,-53,-48,-63,-64,-60,NaN,-65,-74,NaN,-68,-86,NaN,NaN,NaN,-80,NaN,3
-61,-36,-46,-44,NaN,-49,-58,-63,-65,NaN,-68,NaN,-74,NaN,-67,NaN,NaN,NaN,-67,NaN,NaN,3
-65,-36,-44,-43,-57,-49,-56,-64,-65,-59,-69,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-60,-37,-43,-44,-81,-49,-54,-63,-65,-58,-69,-65,NaN,-70,NaN,NaN,-72,NaN,NaN,NaN,NaN,3
-61,-36,-46,-43,NaN,-49,-56,-62,-63,-62,-67,-63,NaN,-71,-67,-85,-74,-83,NaN,-85,NaN,3
-67,-35,-44,-46,-57,-51,-53,-63,-63,-59,-67,-67,NaN,-71,-69,NaN,-65,-67,-69,NaN,NaN,3
-66,NaN,-46,-45,-57,-50,-58,-67,-66,-57,NaN,-70,-82,NaN,-69,NaN,NaN,NaN,-65,NaN,NaN,3
-61,-35,-44,-43,-56,-48,-47,-63,-66,-62,NaN,-77,NaN,NaN,-67,-81,NaN,NaN,-64,NaN,NaN,3
-59,-35,-46,-45,-55,-49,-59,-63,-67,-59,NaN,-68,-82,NaN,-70,-80,-71,-83,-63,NaN,NaN,3
-64,-35,-45,-45,-54,-51,-58,-67,-66,-58,NaN,-68,NaN,NaN,NaN,NaN,NaN,NaN,-63,NaN,NaN,3
-61,-35,-45,-45,-56,-50,-57,-62,-65,-62,NaN,-68,NaN,-70,NaN,-82,NaN,NaN,-63,NaN,NaN,3
-61,-35,-43,-45,-55,-50,-58,-64,-65,-59,-67,-68,-74,-71,NaN,-80,NaN,NaN,NaN,NaN,NaN,3
-59,-34,-44,-43,-56,-49,-63,-64,-64,-58,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-62,NaN,-85,3
-61,-35,-44,-45,-55,-49,-48,-65,-64,-59,-67,NaN,-73,-70,-70,-81,-72,NaN,-76,NaN,-84,3
-61,-34,-44,-45,-56,-48,-54,-65,-66,-60,NaN,NaN,-72,-69,NaN,NaN,-73,NaN,NaN,-82,NaN,3
-66,-36,-44,-43,-55,-51,-62,-66,-65,-59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-82,NaN,NaN,NaN,3
-65,-35,-44,-45,-56,-49,-59,-64,-64,-59,NaN,-73,NaN,-70,NaN,-82,-74,NaN,-67,NaN,NaN,3
-65,-35,-45,-42,-56,-52,-60,-64,-65,-60,NaN,-71,-82,-70,-73,NaN,-72,NaN,-68,NaN,NaN,3
-60,-37,-45,-43,-50,-49,-58,NaN,-63,-58,NaN,-64,NaN,-75,-71,NaN,NaN,NaN,-65,NaN,NaN,3
-61,-80,-46,-45,-54,-48,-57,-62,-63,-58,NaN,-58,NaN,NaN,-72,NaN,-73,NaN,-76,NaN,NaN,3
-61,-37,-46,-44,-53,-47,-59,-66,-63,-57,NaN,NaN,-81,NaN,-72,-79,-73,NaN,-64,NaN,NaN,3
-60,-34,-46,-45,-53,-47,-57,-64,-63,-58,NaN,-67,-81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-61,-37,-47,-44,-53,-47,-58,NaN,-63,-59,NaN,-67,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
-61,-39,-48,-45,-52,-47,-58,NaN,-63,-58,NaN,-68,NaN,NaN,NaN,NaN,NaN,NaN,-65,NaN,NaN,3
-66,-37,-47,-43,-53,-47,-59,NaN,-63,-59,NaN,-67,-71,NaN,NaN,-78,-72,-81,-65,NaN,-85,3
-65,-37,-47,-43,-50,-47,-59,-66,-63,-60,NaN,-67,NaN,-73,NaN,NaN,-72,NaN,NaN,NaN,NaN,3
-51,-33,-38,-48,-56,-52,-55,-64,-68,-67,NaN,-68,-72,-72,NaN,NaN,NaN,NaN,-66,NaN,-89,4
-50,-76,-38,-46,-59,-49,-51,-68,-69,-66,NaN,-67,-76,NaN,-74,NaN,NaN,NaN,-63,NaN,NaN,4
-49,-34,-36,-46,-59,-49,-60,-64,-66,-66,NaN,-68,-76,NaN,NaN,NaN,NaN,NaN,-61,NaN,NaN,4
-49,-35,-37,-43,-60,NaN,-61,-66,-65,-58,NaN,-70,-74,NaN,-74,NaN,NaN,NaN,-62,NaN,NaN,4
-49,-35,-37,-45,-57,-49,-64,-70,-64,-61,NaN,-70,-72,NaN,NaN,-87,NaN,NaN,-61,NaN,NaN,4
-49,-74,-37,-44,-60,-49,NaN,-68,-64,-64,NaN,-67,NaN,-79,-74,NaN,-76,NaN,NaN,NaN,NaN,4
-48,-36,-37,-44,-55,-48,-63,-68,-64,-66,-66,-66,NaN,NaN,-80,-88,NaN,NaN,-63,NaN,NaN,4
-50,-33,-36,-46,-60,-49,-51,-67,-65,-64,-64,-67,NaN,-77,NaN,NaN,NaN,NaN,-61,NaN,NaN,4
-54,-36,-37,-45,NaN,-49,-62,-68,-65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-60,NaN,NaN,4
-55,-36,-36,-44,NaN,-49,-55,-65,-62,-61,NaN,-67,-72,NaN,NaN,NaN,NaN,NaN,-60,NaN,NaN,4
-49,-35,-37,-46,-58,-48,-62,-67,-65,NaN,NaN,NaN,-72,-77,NaN,NaN,-74,-82,-62,NaN,NaN,4
-55,NaN,-36,-46,NaN,-48,-63,-63,-66,-61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-56,-36,-36,-44,-60,-48,NaN,-65,-65,-62,NaN,-66,-74,NaN,NaN,NaN,NaN,NaN,-61,NaN,NaN,4
-56,-35,-36,-46,-60,-48,-63,-68,-65,-61,-66,NaN,NaN,NaN,NaN,-87,NaN,NaN,-62,NaN,NaN,4
-55,-35,-36,-44,NaN,-50,-63,NaN,-65,NaN,-66,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-55,-35,-36,-44,NaN,-49,-63,-68,-66,-62,-66,NaN,-74,NaN,NaN,NaN,-75,NaN,-61,-83,NaN,4
-56,-35,-37,-46,-59,-49,-63,-63,-66,-63,-66,-66,NaN,NaN,NaN,NaN,NaN,-82,NaN,NaN,NaN,4
-55,-36,-37,-46,-58,NaN,-63,NaN,-66,-66,-66,-67,NaN,NaN,-77,NaN,NaN,NaN,-61,NaN,NaN,4
-49,NaN,-37,-46,-60,-48,-62,-64,-66,-60,-67,-67,-72,-78,NaN,NaN,-67,NaN,-61,NaN,NaN,4
-55,-36,-36,-44,-60,-49,-62,-64,-65,-61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-62,NaN,NaN,4
-49,-36,-36,-46,-59,-48,-61,-67,-66,-59,-66,-67,-71,-75,-73,NaN,-74,-81,NaN,NaN,NaN,4
-54,-36,-35,-47,-58,NaN,-63,NaN,-54,-59,NaN,-66,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-49,-36,-36,-44,-60,-49,-63,-67,-66,-60,-66,NaN,-71,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-56,-35,-36,-46,-58,-48,-63,-65,-66,NaN,-66,-65,-71,NaN,NaN,NaN,NaN,NaN,-61,NaN,NaN,4
-48,-36,-36,-44,-63,-49,-62,NaN,-66,-61,-66,NaN,-72,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-54,NaN,-35,-44,-60,-50,-61,-65,-67,NaN,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-53,-70,-36,-44,NaN,-51,-60,NaN,-60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-49,-36,-37,-47,-60,-49,-62,-67,-66,-61,-66,-65,-71,NaN,NaN,NaN,-74,NaN,NaN,NaN,NaN,4
-54,-36,-36,-45,-61,NaN,-61,-64,-64,-60,-66,NaN,-71,-75,NaN,NaN,NaN,NaN,-62,NaN,NaN,4
-53,-36,-36,-44,-62,-49,-63,-63,-67,-60,NaN,-65,NaN,NaN,NaN,NaN,-74,NaN,-62,NaN,NaN,4
-49,-36,-36,-47,-61,-49,-60,-65,-65,-60,-66,-65,NaN,-76,NaN,NaN,-68,-80,-61,-86,NaN,4
-55,-36,-37,-45,-59,-49,-59,-65,-66,-59,NaN,NaN,NaN,-77,-72,NaN,-74,NaN,-61,NaN,NaN,4
-54,-36,-35,-46,-59,-50,NaN,-67,-67,-60,NaN,-73,-72,-77,-73,NaN,-74,NaN,NaN,NaN,NaN,4
-49,-36,-36,-46,-61,-48,-61,-65,-66,NaN,-66,-66,-75,-77,NaN,NaN,NaN,NaN,-61,NaN,NaN,4
-56,-36,-35,-47,NaN,-48,-57,-67,-66,-60,NaN,-68,NaN,NaN,NaN,NaN,-74,NaN,NaN,NaN,NaN,4
-50,-36,-36,-44,-60,-49,-52,-63,-66,-61,-66,-68,NaN,-77,-74,NaN,-75,NaN,-60,NaN,NaN,4
-54,-40,-38,-45,-59,-50,-59,-66,-65,-60,-71,-67,-74,NaN,NaN,NaN,NaN,NaN,-60,NaN,NaN,4
-49,-35,-36,-44,-60,-48,-61,NaN,-65,-60,-66,-67,NaN,NaN,-73,NaN,-67,NaN,-60,NaN,NaN,4
-54,-36,-36,-45,-59,-49,-59,-64,-60,-60,-66,-67,NaN,NaN,NaN,NaN,NaN,NaN,-61,NaN,-89,4
-56,-36,-36,-46,-60,-47,-59,-63,-65,NaN,NaN,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-55,NaN,-36,-47,NaN,-47,-60,-65,-60,NaN,NaN,-66,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-90,4
-55,-34,-36,-44,-60,-49,-61,-67,-64,NaN,NaN,-65,NaN,NaN,NaN,-86,NaN,-80,-63,NaN,NaN,4
-55,-35,-36,-46,NaN,-49,-60,-65,-65,-60,-71,-70,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-54,-31,-36,-45,NaN,-49,-59,NaN,-65,NaN,-66,-68,-71,NaN,NaN,-85,NaN,NaN,NaN,NaN,NaN,4
-49,NaN,-36,-46,NaN,-47,-55,-67,-66,NaN,-71,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-53,-35,-36,-43,-58,-48,-60,-68,-60,-63,-66,NaN,NaN,-77,-75,NaN,-74,-80,-63,NaN,NaN,4
-56,-35,-36,-44,-58,-49,-60,NaN,-66,-57,-67,-67,NaN,-77,-73,NaN,NaN,NaN,-61,NaN,NaN,4
-54,-35,-36,-43,-60,-50,-60,-66,-66,-60,-66,-69,-73,NaN,NaN,NaN,-75,NaN,-61,NaN,-87,4
-55,-36,-36,-43,-60,-49,-61,-70,-66,-58,-67,NaN,-74,-78,NaN,NaN,NaN,NaN,-61,NaN,NaN,4
-54,-35,-36,-44,-61,-48,-62,-65,-66,-59,-66,-67,NaN,NaN,NaN,-87,-74,NaN,-61,NaN,-89,4
-54,-35,-37,-43,-59,-49,-53,NaN,-67,-61,-66,-67,NaN,NaN,NaN,NaN,NaN,NaN,-60,NaN,NaN,4
-49,-35,-36,-44,-59,-49,-63,-66,-67,NaN,NaN,-66,-71,NaN,NaN,-85,NaN,NaN,NaN,NaN,NaN,4
-55,-36,-36,-43,-61,-48,-62,-68,-66,-62,NaN,-69,NaN,-77,NaN,NaN,-74,-80,-61,NaN,NaN,4
-48,-35,-37,-43,-59,-48,-61,-63,-65,-58,NaN,NaN,NaN,-78,NaN,-85,-74,NaN,-62,NaN,NaN,4
-50,-35,-36,-46,-57,-50,-51,-66,-66,-59,NaN,-66,-70,NaN,NaN,-84,NaN,NaN,-61,NaN,NaN,4
-54,-35,-36,-45,-58,-83,-55,-64,-67,NaN,-65,NaN,-71,NaN,NaN,NaN,NaN,NaN,-57,NaN,NaN,4
-49,-35,-36,-44,-57,-49,-54,-66,-66,NaN,NaN,NaN,NaN,-75,NaN,-68,NaN,NaN,NaN,NaN,NaN,4
-54,NaN,-36,-46,NaN,-51,-54,-66,-66,-58,NaN,-67,NaN,-76,NaN,NaN,-73,NaN,NaN,NaN,NaN,4
-54,-35,-35,-44,-63,-49,-52,-63,-67,-58,-64,-65,NaN,NaN,NaN,NaN,NaN,NaN,-63,NaN,NaN,4
-50,-35,-36,-44,NaN,-50,-57,NaN,-67,NaN,NaN,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-55,NaN,-36,-44,-58,-49,-50,-67,-66,NaN,-66,-66,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-50,-35,-37,-46,NaN,-49,-55,-66,-66,-59,NaN,-66,NaN,NaN,NaN,NaN,-74,NaN,-61,NaN,NaN,4
-49,-35,-36,-44,-59,-49,-55,-66,-60,-59,NaN,-66,NaN,NaN,-71,-86,-74,-77,-61,NaN,NaN,4
-55,-35,-36,-44,-58,-50,-59,-65,-65,-59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-60,NaN,NaN,4
-55,-35,-36,-44,-59,-49,-59,-67,-65,-59,-71,-70,NaN,-76,-70,-84,-72,NaN,-62,NaN,NaN,4
-54,-35,-36,-44,-59,-50,-59,-67,-65,NaN,-66,-65,NaN,NaN,-72,NaN,NaN,NaN,-62,NaN,NaN,4
-55,-35,-36,-44,NaN,-49,-60,NaN,-66,-59,-66,NaN,NaN,-74,NaN,NaN,-73,NaN,NaN,NaN,NaN,4
-56,-34,-36,-46,-58,-48,-60,NaN,-67,NaN,-66,NaN,NaN,NaN,NaN,NaN,-74,NaN,NaN,NaN,NaN,4
-49,-35,-36,-45,-59,-48,-56,-66,-67,NaN,-66,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-55,-35,-36,-43,-60,-48,-55,-66,-67,-60,-65,-67,NaN,-76,NaN,-84,NaN,-81,-60,NaN,NaN,4
-56,-35,-36,-46,-59,-48,-60,-64,-67,-61,-66,-67,NaN,NaN,NaN,NaN,-72,NaN,-62,NaN,NaN,4
-55,-35,-36,-44,-58,-48,-56,-66,-61,NaN,-66,-67,NaN,NaN,NaN,NaN,NaN,NaN,-60,NaN,NaN,4
-56,NaN,-36,-44,-58,-48,-60,-64,-67,-59,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-60,NaN,NaN,4
-54,-35,-89,-47,-58,-49,-59,-62,-67,-60,-71,-65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-89,4
-54,-35,-36,-43,-58,-49,-59,-63,-67,-60,-66,NaN,NaN,-79,-73,-80,-74,-82,NaN,-82,NaN,4
-54,-35,-36,-43,-62,-50,-55,-65,-68,-61,-66,-66,NaN,NaN,NaN,-85,-74,NaN,-62,NaN,NaN,4
-51,-35,-36,-46,-59,-49,-52,-63,-65,-59,-65,-66,NaN,NaN,-71,NaN,-74,-82,-61,NaN,NaN,4
-47,-36,-36,-45,-59,-48,-58,-63,-65,-59,NaN,-75,NaN,-75,NaN,NaN,-74,NaN,-63,NaN,NaN,4
-48,-36,-35,-45,-59,-50,-63,-66,-67,-62,-65,-69,NaN,-76,-71,-78,-73,NaN,NaN,NaN,NaN,4
-50,-35,-37,-46,-58,-50,-62,-64,-67,-62,-65,-67,-71,NaN,NaN,-82,NaN,-82,-62,NaN,NaN,4
-59,-32,-34,-42,-58,-51,-52,-64,-65,-51,-65,-67,NaN,-74,-70,-81,-66,NaN,-64,NaN,NaN,5
-59,-27,-37,-43,-53,-51,-51,-65,-67,-51,-62,-60,-71,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,5
-61,-49,-34,-41,-54,-54,-49,-64,-57,-49,-61,-58,-71,NaN,NaN,NaN,-78,NaN,NaN,NaN,NaN,5
-62,-31,-37,-42,NaN,NaN,-49,-64,-65,-49,NaN,-58,-70,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,5
-64,-30,-36,-41,-56,-57,-51,-66,-65,-50,NaN,-59,-71,NaN,-69,NaN,NaN,NaN,-65,NaN,NaN,5
-65,-29,-35,-42,-57,-55,-46,-64,-67,-50,-61,-58,NaN,-73,NaN,NaN,NaN,NaN,-65,NaN,NaN,5
-63,-27,-35,-43,-56,-58,-50,-69,-67,-51,NaN,-70,NaN,-71,NaN,-78,-76,NaN,NaN,NaN,NaN,5
-61,-30,-35,-43,NaN,-57,-50,-66,-66,-50,-60,-58,NaN,NaN,-69,-79,NaN,NaN,NaN,NaN,NaN,5
-63,-28,-37,-44,-61,-55,-48,-64,-66,-50,NaN,-58,-69,-78,-69,NaN,-75,NaN,NaN,NaN,NaN,5
-64,-30,-36,-43,-56,-54,-50,NaN,-67,-51,-61,NaN,NaN,NaN,-84,NaN,NaN,NaN,NaN,NaN,NaN,5
-60,-33,-35,-43,-89,-56,-46,-64,-58,-50,NaN,-57,NaN,-70,-70,NaN,NaN,NaN,NaN,NaN,NaN,5
-61,-30,-36,-43,-55,-59,-50,-66,-64,-50,-60,-57,-65,NaN,NaN,-78,NaN,NaN,NaN,NaN,-86,5
-63,-30,NaN,-43,-62,-54,-49,-63,-62,-51,-60,NaN,NaN,-70,NaN,-80,NaN,NaN,-68,NaN,NaN,5
-64,-30,-36,-42,-55,-54,-51,NaN,-64,NaN,NaN,-58,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-61,-29,-36,-39,-57,NaN,-54,-65,-66,-51,-60,NaN,NaN,-71,-69,NaN,NaN,-82,NaN,NaN,NaN,5
-62,-29,-36,-42,NaN,-56,-46,NaN,-65,-50,-61,-58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-64,-30,-36,-43,-56,NaN,-50,NaN,-65,-50,NaN,-58,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-62,-29,-36,-42,-54,-55,-50,-66,-63,-50,-62,-57,NaN,-71,NaN,-80,-74,NaN,NaN,NaN,NaN,5
-61,-29,-36,-43,-55,-54,-50,-63,-64,-50,-62,-57,NaN,NaN,NaN,NaN,NaN,-81,-64,NaN,-88,5
-62,-30,-36,-43,-55,-55,-50,-64,-65,-49,-62,-58,-71,NaN,-69,-79,NaN,NaN,NaN,NaN,NaN,5
-63,-29,-36,-43,-54,-54,-44,-64,-64,-50,NaN,-58,NaN,NaN,-66,-79,NaN,-81,-64,-80,NaN,5
-64,-30,-36,-40,-54,-56,-50,-64,-66,-50,-62,-58,-71,-71,-56,-73,NaN,NaN,-63,NaN,-88,5
-61,-29,-36,-43,-57,-54,-50,-65,-66,-50,-62,-68,-78,NaN,-70,-79,-75,-80,NaN,NaN,NaN,5
-64,-30,-36,-43,-56,-53,-46,-64,-66,-51,NaN,-58,-78,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-60,-30,-36,-41,-54,-55,-50,-64,-64,-51,-60,-59,NaN,-72,-70,-80,-75,-80,NaN,NaN,NaN,5
-64,-30,-36,-39,-54,-62,-50,-67,-64,-51,-60,-57,-72,NaN,NaN,NaN,NaN,NaN,-64,NaN,NaN,5
-65,-29,-36,-43,-55,-54,-50,-64,-64,-51,NaN,-59,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-65,-29,-36,-43,-55,-55,-46,-64,-64,-50,NaN,NaN,-77,-71,NaN,NaN,-77,-82,NaN,-79,NaN,5
-64,-28,-35,-43,-54,-56,-44,-64,-65,-51,NaN,-57,NaN,-71,NaN,-80,NaN,NaN,-65,NaN,NaN,5
-64,-33,-36,-43,-57,-56,-50,NaN,-64,-51,-62,NaN,NaN,NaN,NaN,NaN,NaN,-81,NaN,NaN,NaN,5
-61,-29,-35,-43,-54,-55,-50,-64,-65,-51,-62,NaN,-72,NaN,NaN,-79,NaN,NaN,-63,-81,NaN,5
-64,-29,-36,-43,-58,-55,-49,-65,-64,-51,-60,-58,NaN,-72,-74,-78,-76,-80,NaN,-77,NaN,5
-61,-28,-36,-43,-57,-56,-50,-66,-64,-49,-61,-59,NaN,-71,-74,-79,NaN,-79,-64,-80,NaN,5
-63,-29,-36,-43,-57,-54,-44,-65,-64,-51,-61,-59,-71,-72,NaN,-60,NaN,-81,NaN,NaN,NaN,5
-65,-29,-35,-43,-54,NaN,-50,-65,-64,-50,-61,-59,NaN,-72,-75,NaN,NaN,NaN,-63,NaN,NaN,5
