04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:67:ab:cf_evarobot,64:66:b3:d0:4a:8d_Cisco_KRD,18:28:61:9e:ab:5c_MMD,18:28:61:13:0d:9d_EROGLU,18:28:61:58:78:6a_Dlink_DAP-1360,REF_POINT
-55,-32,-39,-55,NaN,-48,-56,-68,-68,-70,NaN,-69,-76,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-55,-34,-41,-49,NaN,-48,-52,-63,-67,-67,NaN,-69,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-33,-42,-52,NaN,-48,-55,-64,-67,-67,-81,-68,-76,NaN,NaN,NaN,-76,-85,NaN,NaN,NaN,1
-55,-36,-43,-49,NaN,-47,-55,-68,-67,-64,-71,-65,NaN,NaN,-70,NaN,-78,-86,NaN,NaN,NaN,1
-55,-37,-37,-52,-58,NaN,-53,-66,-67,NaN,-67,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-54,-38,-38,-49,-56,-52,-50,NaN,-67,-64,NaN,-70,NaN,NaN,NaN,NaN,NaN,-82,NaN,NaN,NaN,1
-56,-35,-37,-52,NaN,-53,-55,-65,-67,-63,-70,-71,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-56,-37,-35,-50,-58,-53,-56,-65,-67,-64,NaN,NaN,NaN,-69,NaN,NaN,-77,NaN,NaN,NaN,NaN,1
-57,-36,-39,-53,-59,-51,-58,-61,-69,-65,-69,-73,-76,-71,-72,NaN,-78,NaN,NaN,NaN,NaN,1
-56,-36,-44,-53,-61,-48,-57,-67,-69,-65,NaN,-71,-74,NaN,NaN,NaN,NaN,NaN,-65,NaN,NaN,1
-53,-40,-41,-50,-61,NaN,-54,-65,-68,-67,-66,-69,NaN,-70,-73,NaN,NaN,NaN,-69,NaN,NaN,1
-53,-34,-40,-53,-62,-50,-57,-63,-65,-60,-70,NaN,-74,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,1
-53,-37,-38,-53,-57,-49,-53,-63,-67,-61,-74,NaN,NaN,NaN,-69,NaN,NaN,NaN,NaN,NaN,-86,1
-53,-35,-42,-53,-54,-48,-47,-65,-66,-57,-70,NaN,-72,NaN,NaN,NaN,NaN,-83,-66,NaN,-84,1
-54,-35,-41,-65,-54,-49,-46,-65,-70,-64,NaN,-69,-72,NaN,-70,NaN,NaN,NaN,-69,NaN,NaN,1
-54,-36,-43,-59,-56,-49,-53,NaN,-70,-66,-70,-69,-72,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-55,-36,-42,-61,NaN,-49,-55,NaN,-69,-66,NaN,-71,NaN,NaN,NaN,-80,NaN,-82,NaN,NaN,NaN,1
-56,-36,-42,-58,NaN,-49,-56,-64,-67,-65,-80,NaN,NaN,-71,-73,NaN,NaN,NaN,NaN,NaN,NaN,1
-57,-36,-43,-59,-58,-49,-54,-65,-67,-66,-81,-70,-74,-72,-66,NaN,-77,NaN,-70,NaN,NaN,1
-55,-35,-43,-54,-57,-48,-55,-64,-67,-66,-71,-69,-74,NaN,-70,-86,NaN,-84,-69,NaN,NaN,1
-54,-37,-42,-58,-59,-48,-52,-68,-65,-65,-70,-69,-70,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-36,-43,-47,NaN,-50,-53,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-53,-36,-42,-53,-58,-48,-53,-66,-67,-63,-69,-69,NaN,NaN,-73,NaN,-78,NaN,NaN,NaN,-82,1
-53,-35,-40,-53,-58,-48,-53,-66,-66,-65,-68,-70,NaN,-69,-73,NaN,NaN,-81,NaN,NaN,NaN,1
-52,-35,-40,-52,-59,-48,-53,-65,-66,-63,-69,-69,-73,-69,NaN,NaN,-78,-82,-67,NaN,-83,1
-53,-35,-41,-55,-59,-48,-53,-65,-65,-65,-65,-71,-75,-70,-70,NaN,-78,-82,NaN,NaN,NaN,1
-54,-35,-40,-55,-59,-52,-51,-67,-67,-65,-68,-70,-76,-71,NaN,NaN,-80,-82,-69,-91,-85,1
-52,-34,-42,-54,-59,-77,-51,-68,-68,-64,-68,-72,NaN,-71,-73,NaN,-79,-82,NaN,NaN,NaN,1
-55,-35,-43,-56,-59,-49,-54,NaN,-66,-66,-71,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-54,-34,-41,-55,-59,-48,-53,-66,-67,-65,-68,-71,NaN,-70,-71,NaN,NaN,NaN,-67,NaN,NaN,1
-53,-35,-41,-52,-55,-48,-53,-67,-68,-64,-69,-71,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-53,-35,-40,-53,NaN,-47,-52,-65,-67,-64,-69,-71,-73,NaN,NaN,NaN,-77,NaN,NaN,NaN,-83,1
-53,-35,-41,-55,-58,-51,-53,-64,-67,-65,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-53,-34,NaN,NaN,-89,-48,-53,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-35,-40,-55,NaN,-48,-45,-66,-67,-66,-69,-71,NaN,-70,NaN,NaN,-76,NaN,NaN,NaN,NaN,1
-51,-35,-41,-55,NaN,-49,-45,-66,-67,-62,-75,-71,-77,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-35,-40,-52,-58,-69,-46,NaN,-66,NaN,-68,-71,-73,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-53,-36,-41,-56,NaN,-49,-53,-68,-68,-65,NaN,NaN,-74,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-36,-42,NaN,NaN,-49,-54,-68,-68,-65,NaN,-71,-73,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,1
-53,-35,-42,-54,-57,-52,-52,-67,-59,-71,NaN,NaN,NaN,NaN,NaN,NaN,-78,-81,NaN,NaN,-83,1
-53,-35,-40,-54,-58,-50,-53,-67,-67,-66,-69,-71,-73,NaN,-72,-89,-78,NaN,NaN,NaN,NaN,1
-53,-36,-41,-52,-67,-48,-53,-64,-67,-65,-66,-70,-72,-70,-71,-88,-75,-81,NaN,NaN,NaN,1
-53,-34,-41,-52,-58,-50,-44,-64,-68,-64,-70,-78,NaN,NaN,NaN,-86,NaN,-79,-66,NaN,NaN,1
-51,-38,-33,-47,-57,-49,-64,-69,-72,-64,-70,-71,-75,-79,-78,NaN,-73,-80,-70,-91,-85,2
-52,-37,-37,-48,-58,-49,-52,-68,-74,-60,-68,-72,-73,NaN,NaN,NaN,-76,-79,-68,NaN,NaN,2
-48,-36,-29,-47,-56,-47,-59,-64,-71,-63,-69,-71,-76,-76,NaN,-70,NaN,NaN,NaN,NaN,NaN,2
-48,-83,-29,-44,-58,-67,-57,-64,-72,NaN,NaN,-71,-74,-75,-73,-84,-76,-77,NaN,NaN,NaN,2
-51,-37,-29,-47,-59,-48,-45,-66,-71,-59,-68,-70,NaN,-76,-76,NaN,NaN,-78,NaN,NaN,NaN,2
-53,-37,-29,-46,-57,NaN,-60,-67,-71,-60,-68,-70,-73,-76,NaN,NaN,NaN,NaN,-67,NaN,-82,2
-54,-38,-29,-45,-59,-49,-56,NaN,-72,-59,-66,-69,NaN,NaN,-75,NaN,NaN,NaN,-67,NaN,NaN,2
-55,-37,-29,-44,-57,-49,-57,-85,-70,-60,-68,-70,NaN,NaN,NaN,NaN,NaN,NaN,-67,NaN,NaN,2
-54,-37,-28,-47,NaN,-51,-60,-67,-70,-68,NaN,-71,-74,NaN,NaN,NaN,-77,NaN,NaN,NaN,-82,2
-49,-37,-29,-46,-56,-48,-60,-67,-71,-59,-69,-72,-74,NaN,-74,NaN,-76,NaN,-70,-83,NaN,2
-53,-38,-29,-44,-56,-49,-60,-68,-58,-60,-68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-70,NaN,NaN,2
-54,-37,-29,-46,-57,-48,-51,-68,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-78,NaN,NaN,NaN,2
-50,-37,-33,-47,-56,-48,-59,-66,-71,-60,-71,-71,NaN,NaN,NaN,NaN,NaN,NaN,-69,NaN,NaN,2
-52,-37,-29,-45,-56,-49,-57,-67,-72,-59,-69,NaN,-79,-75,NaN,-84,NaN,NaN,-75,NaN,NaN,2
-52,-42,-30,-44,-57,-48,-58,-70,-70,-66,-67,-69,-79,NaN,NaN,NaN,NaN,-74,NaN,NaN,NaN,2
-53,-36,-29,-45,NaN,-48,-59,-69,-68,-61,NaN,NaN,NaN,NaN,-75,-81,NaN,NaN,-68,-87,NaN,2
-48,-37,NaN,-45,-56,-48,-57,-67,-70,-61,NaN,-70,NaN,NaN,-76,NaN,NaN,NaN,-67,NaN,NaN,2
-53,-36,-29,-47,-56,-48,-57,-67,-69,-60,NaN,NaN,-82,NaN,-73,NaN,NaN,NaN,-67,NaN,NaN,2
-49,-37,-28,-47,-55,-48,-52,-67,-68,-64,-68,-73,-74,-77,NaN,NaN,NaN,NaN,-71,NaN,NaN,2
-54,-37,-29,-44,-58,-47,-60,-67,-70,-63,NaN,-74,-71,NaN,NaN,NaN,-77,NaN,-69,NaN,NaN,2
-53,-37,-29,-46,-56,-50,-60,-66,-58,-61,NaN,-71,-78,NaN,NaN,NaN,-77,-77,-70,NaN,NaN,2
-55,-37,-33,-45,-58,-49,-56,-66,-69,-58,-68,NaN,NaN,NaN,NaN,NaN,-78,NaN,-70,NaN,NaN,2
-52,-37,-29,-47,-59,NaN,-60,-67,-69,-60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-70,NaN,NaN,2
-53,-37,-28,-45,-59,-48,-52,-67,-68,-60,NaN,-74,-71,NaN,NaN,NaN,-75,-77,-69,NaN,NaN,2
-54,-37,-29,-44,-59,-49,-53,-67,-68,-60,NaN,-72,-72,NaN,NaN,NaN,-75,NaN,-69,NaN,-81,2
-53,-42,-29,-46,-56,-50,-59,-68,-68,-60,NaN,-70,NaN,NaN,-78,-85,-78,-77,-68,NaN,NaN,2
-50,-37,-29,-47,-57,-48,-62,-68,-68,-58,NaN,-76,NaN,-76,-76,NaN,-70,NaN,-66,NaN,NaN,2
-52,-36,-29,-44,-57,-48,NaN,-68,-70,-59,-67,NaN,NaN,NaN,-70,-84,NaN,NaN,-68,NaN,NaN,2
-54,-37,-29,-47,-58,-48,-61,NaN,-71,-58,NaN,NaN,-85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-48,-38,-29,-44,NaN,-52,-60,-67,-69,-61,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-52,-37,-29,-44,NaN,-49,-60,-69,-69,-58,-68,-70,NaN,-76,NaN,NaN,-75,NaN,NaN,NaN,NaN,2
-53,-37,-29,-47,-57,-49,-59,-69,-69,-59,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-54,-38,-29,-44,-58,-57,-58,-69,-69,-59,-68,-70,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-50,-38,-77,-44,-58,-48,-58,-68,-69,-60,-68,-71,NaN,-77,NaN,NaN,-74,NaN,NaN,NaN,NaN,2
-52,-37,-33,-45,-57,-48,-57,NaN,-69,-59,NaN,NaN,NaN,NaN,-73,NaN,-76,-79,NaN,NaN,NaN,2
-53,-37,-28,-44,-59,-47,-59,-69,-70,NaN,-68,NaN,-72,-77,-74,NaN,NaN,-78,NaN,NaN,NaN,2
-54,-37,-29,-45,-59,NaN,-59,-68,-70,NaN,NaN,NaN,-72,-77,NaN,-83,-68,-78,-66,NaN,NaN,2
-52,-38,-29,-47,-58,-49,-56,-66,-70,-58,-68,-70,-73,NaN,-75,-87,NaN,-78,-69,NaN,NaN,2
-55,-38,-29,-45,-59,-47,-62,-66,-70,-58,NaN,-70,-73,-76,-73,NaN,NaN,-69,-69,NaN,NaN,2
-54,-37,-28,-45,-59,-49,-60,-66,-70,-60,NaN,-70,-71,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-57,-37,-28,-45,-58,-48,-60,-68,-70,-59,NaN,-68,-82,NaN,NaN,NaN,NaN,-70,NaN,NaN,NaN,2
-53,-37,-29,-45,-57,-49,-60,-69,-70,-59,-67,NaN,NaN,NaN,NaN,-86,NaN,NaN,-66,NaN,NaN,2
-48,-37,-29,-45,-58,-50,-59,-67,-58,-59,NaN,-70,NaN,NaN,-74,NaN,NaN,-78,-68,-88,NaN,2
-53,-37,-29,-45,-58,-49,-57,NaN,-71,-62,-68,-71,NaN,NaN,-73,NaN,NaN,-79,-68,-88,NaN,2
-49,-37,-28,-46,-58,-50,-54,-66,-71,-59,NaN,NaN,-83,-75,NaN,NaN,-77,-79,-70,NaN,NaN,2
-52,-38,-29,-46,-56,-50,-60,-68,-71,-60,-68,-71,NaN,NaN,NaN,NaN,NaN,NaN,-69,NaN,-82,2
-56,-37,-29,-46,-87,-49,NaN,-68,-70,-59,-67,-69,NaN,-77,NaN,NaN,NaN,-78,NaN,NaN,NaN,2
-52,-37,-29,-45,-58,-50,-52,-67,-69,-58,-67,-72,-73,-79,-73,NaN,-75,NaN,NaN,NaN,-86,2
-49,-38,-29,-47,-57,-49,-51,-66,-71,-58,-68,-70,NaN,NaN,NaN,-72,-74,NaN,-69,NaN,NaN,2
-54,-38,-29,-44,-58,-48,-60,-76,-43,NaN,-68,NaN,NaN,NaN,NaN,-86,-74,NaN,NaN,NaN,NaN,2
-50,-38,-29,-48,-58,-48,-61,-69,-64,NaN,NaN,-72,-75,NaN,NaN,NaN,NaN,NaN,-70,NaN,NaN,2
-51,-37,-27,-45,-57,-48,-60,-66,-69,NaN,-67,-69,-74,-79,-75,-86,-75,-78,-69,NaN,NaN,2
-51,-37,-29,-45,-60,-48,-58,-69,-69,-62,-69,-70,NaN,-77,-75,-85,-74,-78,-69,NaN,NaN,2
-51,-38,-28,-49,-57,-51,-52,-67,-71,-59,NaN,NaN,NaN,-77,-74,NaN,NaN,NaN,-69,NaN,NaN,2
-52,-38,-29,-46,-60,-49,-52,-67,-56,-60,-69,-69,NaN,NaN,-76,-86,NaN,-78,-67,NaN,NaN,2
-53,-38,-29,-48,-56,-48,-59,-66,-69,-59,-69,-72,-85,-78,-72,NaN,NaN,-78,-69,NaN,NaN,2
-52,-38,-29,-46,-57,-48,-59,-68,-69,-57,-68,-73,-88,-77,-73,-86,-75,-78,NaN,NaN,NaN,2
-52,-37,-28,-44,-57,-48,-60,NaN,-70,-63,NaN,-72,NaN,-76,NaN,NaN,NaN,NaN,-69,NaN,NaN,2
-55,-38,-29,-44,-58,-48,-60,-68,-71,NaN,NaN,-72,NaN,NaN,NaN,-84,NaN,NaN,NaN,NaN,NaN,2
-53,-37,-29,-47,-58,-48,-60,-68,-70,-58,NaN,NaN,NaN,NaN,-74,NaN,NaN,-78,-66,NaN,NaN,2
-53,-37,-28,-45,-58,-48,-59,-69,-71,-58,NaN,NaN,NaN,-79,-74,NaN,NaN,NaN,-66,NaN,NaN,2
-53,-38,-29,-45,-58,-52,-59,-68,-71,-59,-68,-73,NaN,NaN,NaN,NaN,-77,-78,NaN,-88,NaN,2
-54,-37,-29,-46,-57,-49,-57,-69,-70,-58,-69,-69,NaN,-79,-73,-84,-70,NaN,-68,-89,NaN,2
-53,-37,-29,-47,-59,-49,-63,-69,-71,-58,NaN,-73,-83,NaN,NaN,NaN,NaN,NaN,-67,NaN,NaN,2
-50,-37,-29,-45,-58,-47,-58,NaN,-71,-58,-69,-72,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-50,-37,-29,-45,-59,-48,-57,-68,-70,-57,NaN,-73,-84,-77,-75,NaN,NaN,-77,-72,NaN,NaN,2
-50,-37,-28,-45,-57,-47,NaN,-69,-70,-58,NaN,-78,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
