4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,06:18:d6:c2:98:24_inonet,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,c0:4a:00:0f:03:51_BilTAY Teknoloji,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,REF_POINT
-31,-37,-54,-50,-67,-70,-71,-62,-78,-62,-60,-79,-70,NaN,NaN,-86,NaN,-77,1
-31,-38,-53,-50,-67,-70,-73,-62,-75,-62,-60,NaN,-70,NaN,NaN,-86,NaN,NaN,1
-31,-37,-53,-50,-67,NaN,-73,-62,-75,-59,-59,NaN,-68,-89,-79,NaN,NaN,-83,1
-31,-38,-54,-49,-67,-69,-70,-62,-73,-61,-59,-76,-68,-84,-79,-85,NaN,-80,1
-31,-37,-54,-50,-67,-69,-69,-62,-76,-70,-60,-79,-68,-88,-80,-85,NaN,-80,1
-30,-38,-53,-50,-67,-69,-72,-62,-76,-62,-61,-79,-69,-88,-80,NaN,NaN,NaN,1
-29,-38,-54,-49,-66,-69,-70,-62,-77,-62,-61,-80,-69,NaN,-77,-84,-86,-80,1
-31,-37,-54,-50,-67,-69,-70,-61,-74,-62,-60,-80,-69,-87,-77,-84,-86,-80,1
-30,-38,-54,-51,-67,-70,-69,-60,-74,-62,-61,-80,-71,-87,NaN,-84,NaN,NaN,1
-30,-37,-56,-51,-68,-70,-70,-60,-74,-63,-59,-81,-69,-84,NaN,-86,NaN,-79,1
-30,-37,-55,-50,-67,-70,-70,-59,-78,-62,-62,-81,-70,-87,NaN,-85,NaN,-79,1
-31,-38,-55,-50,-68,-70,-73,-59,-78,-62,-58,-78,-68,-82,NaN,-83,NaN,NaN,1
-30,-39,-54,-50,-68,-68,-71,-62,-75,-62,-60,-82,-68,-82,NaN,-83,NaN,NaN,1
-31,-36,-56,-50,-67,-74,-71,-61,-75,NaN,-59,-81,NaN,NaN,NaN,-85,NaN,NaN,1
-31,-37,-55,-51,-67,-74,-70,-61,-72,-62,-59,-81,-71,NaN,NaN,-85,NaN,NaN,1
-30,-37,-54,-50,-67,-70,-72,-59,-73,-63,-61,NaN,-69,NaN,NaN,-84,NaN,NaN,1
-30,-36,-54,-50,-67,-68,-70,-60,-73,-63,-59,NaN,-71,NaN,-77,-84,NaN,NaN,1
-31,-39,-54,-49,-67,-74,-69,-61,-70,-62,-59,NaN,-71,-87,-77,NaN,NaN,NaN,1
-30,-36,-57,-51,-67,-70,-69,-61,-76,-63,NaN,NaN,NaN,-89,-79,-86,NaN,-81,1
-30,-37,-55,-50,-67,-70,-69,-61,-76,-63,-62,-82,-70,-89,-79,-86,NaN,-81,1
-30,-36,-55,-51,-68,-70,-68,-61,-70,-63,-62,-82,-71,NaN,NaN,-86,NaN,NaN,1
-30,-36,-54,-50,-68,-70,-70,-61,-72,-62,-59,-79,-71,NaN,-76,-86,NaN,NaN,1
-30,-39,-55,-53,-66,-70,-74,-60,-72,-63,-59,-79,-69,-88,-76,-85,NaN,-78,1
-30,-44,-54,-49,-68,-70,-70,-61,-72,-62,-61,-79,-69,-88,NaN,-85,NaN,-75,1
-31,-37,-55,-49,-67,-70,-69,-62,-74,-63,-59,-80,-68,-86,-78,NaN,NaN,-75,1
-30,-36,-54,-50,-67,-71,-69,-61,-74,-63,-60,-80,-68,-86,-78,NaN,NaN,NaN,1
-30,-37,-54,-50,-68,-75,-69,-62,-74,-62,-60,NaN,-70,NaN,NaN,NaN,NaN,-79,1
-31,-36,-56,-49,-67,-75,-68,-62,-74,-62,-59,-79,-69,-87,NaN,NaN,NaN,-79,1
-30,-37,-55,-49,-67,-69,-76,-62,-72,-63,-60,-81,-69,-87,NaN,-85,NaN,-81,1
-31,-36,-54,-49,-68,-71,-70,-61,-74,-69,-59,-81,-69,-88,NaN,-85,NaN,-81,1
-31,-37,-55,-50,-67,-70,-70,-62,-74,-62,-61,NaN,-71,-88,NaN,-85,NaN,NaN,1
-30,-39,-53,-50,-68,-70,-70,-60,-74,-62,-59,NaN,-71,NaN,NaN,-86,NaN,NaN,1
-30,-38,-54,-50,-68,-70,-74,-61,-73,-62,-61,NaN,-70,-83,NaN,-84,NaN,-76,1
-30,-36,-53,-52,-68,-70,-77,-61,-73,-62,-59,NaN,-70,-83,NaN,-85,-87,-76,1
-40,-51,-54,-59,-73,-75,-64,-70,-73,-58,-68,-75,-78,NaN,-83,-85,-87,NaN,2
-33,-47,-52,-59,-62,-75,-70,-66,-68,-57,-67,-75,-78,NaN,-83,NaN,NaN,NaN,2
-32,-46,-55,-64,-74,NaN,-64,-68,-70,-57,-67,-76,NaN,-90,NaN,NaN,NaN,-82,2
-32,-49,-55,-56,-73,NaN,-64,-68,-67,-59,-66,-77,-88,-90,-78,NaN,NaN,-82,2
-33,-48,-55,-77,-73,-77,-65,-65,-67,-59,-68,-76,-88,NaN,-77,NaN,NaN,NaN,2
-33,-50,-55,-58,-62,-77,-65,-66,-67,-59,-66,-76,NaN,NaN,-77,NaN,NaN,NaN,2
-33,-49,-53,-57,-73,-78,-64,-67,-67,-70,-66,NaN,NaN,NaN,-80,-89,NaN,NaN,2
-34,-46,-55,-57,-72,-75,-63,-68,-69,-59,-70,NaN,NaN,-79,-84,-89,NaN,NaN,2
-33,-43,-55,-57,-72,-75,-64,-67,-67,-59,-65,-76,NaN,-79,-84,-87,NaN,-82,2
-33,-41,-55,-59,-73,NaN,-64,-68,-68,-60,-64,-76,-73,NaN,-84,-87,NaN,-82,2
-33,-42,-55,-57,-73,NaN,-63,-68,-67,-66,-64,-76,-73,NaN,-83,-90,NaN,NaN,2
-32,-42,-55,-57,-73,NaN,-64,-67,-68,-60,-64,-76,-73,NaN,-83,-90,NaN,NaN,2
-33,-41,-54,-56,-72,-77,-64,-67,-67,-60,-66,-76,-73,NaN,NaN,-89,NaN,NaN,2
-32,-43,-54,-56,-72,-80,-63,-68,-67,-59,-66,-76,-73,NaN,NaN,-89,NaN,NaN,2
-32,-45,-55,-57,-72,-80,-63,-68,-68,-62,-69,-76,-75,NaN,NaN,NaN,NaN,NaN,2
-32,-43,-54,-55,-71,NaN,-64,-67,-68,-66,-64,-76,-75,NaN,-77,NaN,NaN,NaN,2
-33,-42,-54,-56,-71,-78,-63,-68,-68,-66,-71,NaN,NaN,NaN,-77,-86,NaN,-74,2
-34,-43,-55,-57,-71,-78,-63,-69,-67,-58,-65,NaN,NaN,-88,NaN,-86,NaN,-75,2
-33,-43,-55,-57,-71,NaN,-62,-69,-67,-59,-67,-76,NaN,-90,-77,NaN,NaN,-75,2
-33,-45,-55,-58,-71,-75,-63,-68,-66,-63,-67,-76,NaN,-90,-77,NaN,NaN,NaN,2
-33,-40,-54,-58,-72,-75,-63,-69,-67,-63,-64,NaN,NaN,NaN,-76,NaN,NaN,NaN,2
-32,-40,-54,-54,-72,NaN,-63,-67,-67,-58,-64,NaN,-73,NaN,-76,NaN,NaN,-75,2
-32,-39,-54,-56,-72,-78,-64,-68,-68,-58,-67,-76,-73,NaN,NaN,NaN,NaN,-75,2
-32,-44,-55,-57,-71,-78,-63,-67,-67,-58,-66,-76,-71,NaN,NaN,NaN,NaN,-75,2
-33,-44,-54,-62,-72,-77,-63,-67,-67,-57,-65,-76,-71,NaN,NaN,NaN,NaN,-75,2
-33,-44,-55,-58,-71,-77,-62,-67,NaN,-57,-65,-76,-74,NaN,NaN,-91,NaN,-75,2
-33,-44,-55,-57,-72,-77,-64,-66,-66,-58,-66,-77,-74,NaN,-82,-89,NaN,-75,2
-33,-44,-55,-58,-73,-77,-66,-67,-67,-57,-65,-76,-73,NaN,-82,-89,NaN,-76,2
-33,-43,-55,-57,-73,-75,-62,-67,-66,-62,-66,-76,-73,NaN,-76,NaN,NaN,-76,2
NaN,-42,-55,-61,-73,-81,-67,-67,-66,-62,-65,NaN,NaN,NaN,-76,NaN,NaN,NaN,2
-34,-43,-56,-58,-74,-81,-63,-66,-67,NaN,-67,NaN,NaN,-90,-76,NaN,NaN,-79,2
-33,-45,-54,-57,-72,-76,-62,-66,-66,NaN,-67,-76,NaN,-90,NaN,NaN,NaN,-83,2
-33,-43,-54,-59,-72,-77,-63,-67,-68,NaN,-67,-76,NaN,NaN,NaN,NaN,-88,-80,2
-74,-46,-55,-57,-71,-77,-64,-68,-67,NaN,-66,NaN,NaN,NaN,NaN,NaN,-88,-80,2
-32,-42,-56,-56,-73,NaN,-64,-69,-67,-58,-66,-77,-73,-90,NaN,NaN,NaN,NaN,2
-33,-42,-55,-59,-73,-76,-65,-67,-67,-65,-65,-76,-73,-90,NaN,NaN,NaN,-78,2
-33,-45,-55,-56,-71,-76,-64,-67,-67,-65,-67,-76,-77,NaN,-81,-87,NaN,-78,2
-34,-47,-54,-56,-72,NaN,-66,-67,-69,-65,-72,NaN,-77,NaN,-81,-87,NaN,NaN,2
-34,-49,-54,-56,-72,NaN,-66,-75,-69,NaN,-67,-78,NaN,NaN,NaN,-87,NaN,NaN,2
-34,-45,-55,-56,-72,NaN,-73,-64,-67,-58,-67,-78,-75,NaN,NaN,NaN,NaN,NaN,2
-32,-48,-54,-54,-72,-80,-65,-66,-66,-57,-71,-78,-75,-88,NaN,NaN,NaN,-79,2
-33,-48,-55,-59,-73,-80,-67,-66,-73,-57,-71,-78,NaN,-88,NaN,NaN,NaN,-79,2
-35,-50,-54,-58,-73,-80,-66,-65,-73,-59,-67,NaN,-75,NaN,NaN,NaN,NaN,NaN,2
-35,-45,-54,-54,-72,-80,-67,-65,-68,-59,-67,NaN,-75,NaN,NaN,NaN,NaN,NaN,2
-37,-53,-54,-54,-72,NaN,-68,-66,-68,-57,-67,NaN,-77,NaN,-83,-88,NaN,-76,2
-36,-50,-56,-55,-72,NaN,-67,-67,-70,-58,-64,NaN,-77,NaN,-74,-88,NaN,-78,2
-36,-53,-58,-55,-70,-77,-67,-70,-68,-60,-64,-75,-76,NaN,-74,NaN,NaN,-78,2
-35,-54,-56,-59,-72,-77,-70,-67,-70,-59,-65,-75,-70,NaN,NaN,NaN,NaN,NaN,2
-47,-55,-54,-58,-73,-78,-65,-66,-70,-57,-67,-75,-71,NaN,NaN,NaN,NaN,NaN,2
-39,-53,-56,-56,-71,-78,-65,-66,NaN,-66,-66,NaN,-71,NaN,NaN,NaN,NaN,NaN,2
-43,-53,-56,-59,-73,NaN,-69,-68,-69,-66,-64,NaN,-72,NaN,NaN,NaN,NaN,-79,2
-44,-52,-57,-59,-75,NaN,-63,-68,-69,-59,-66,NaN,-76,NaN,NaN,NaN,NaN,-79,2
-41,-54,-55,-47,-71,NaN,-67,-67,-70,-50,-68,NaN,-76,NaN,NaN,NaN,NaN,NaN,2
-33,-54,-54,-61,-72,NaN,-67,-68,-70,-64,-66,-78,-74,NaN,NaN,NaN,NaN,NaN,2
-34,-51,-57,-54,-72,NaN,-73,-65,NaN,-59,-63,-78,-73,NaN,NaN,NaN,NaN,NaN,2
-33,-42,-55,-56,-72,NaN,-65,-68,-69,-59,-63,-78,-74,NaN,NaN,NaN,NaN,NaN,2
-32,-39,-56,-59,-73,-77,-65,-67,-69,-57,-67,-75,-71,-89,NaN,NaN,NaN,NaN,2
