4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,06:18:d6:c2:98:24_inonet,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,c0:4a:00:0f:03:51_BilTAY Teknoloji,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,REF_POINT
-37,-34,-58,-64,-70,-67,-67,-61,-65,-62,-67,NaN,-66,-85,NaN,-87,NaN,NaN,3
-36,-34,-58,-59,-71,-68,-70,-61,-65,-62,-67,-81,-67,NaN,NaN,NaN,NaN,NaN,3
-36,-34,-58,-59,-69,-67,-68,-63,-65,-63,-66,-81,-67,-87,-75,NaN,NaN,NaN,3
-36,-31,-58,-59,-72,-67,-68,-61,-65,-62,-67,NaN,-66,-87,-75,NaN,NaN,-78,3
-37,-34,-58,-59,-71,-67,-71,-62,-65,-60,-67,-81,-67,-84,NaN,NaN,NaN,-76,3
-38,-35,-61,-81,-71,-67,-70,-63,-67,-63,-67,-81,-68,-84,NaN,NaN,NaN,-79,3
-39,-35,-60,-60,-70,-67,-71,-62,-67,-63,-68,NaN,-68,-83,-75,NaN,NaN,-79,3
-38,-35,-63,-60,-71,NaN,-69,-62,-67,-63,-68,NaN,-68,-87,-74,-90,NaN,NaN,3
-37,-32,-57,-60,-73,-67,-68,-58,-66,-60,-68,NaN,-68,-84,-74,-90,NaN,NaN,3
-37,-35,-58,-64,-72,-67,-68,-59,-66,-62,NaN,NaN,NaN,-84,NaN,NaN,NaN,NaN,3
-37,-34,-59,-67,-72,-67,-68,-57,-66,-62,NaN,NaN,-67,NaN,NaN,NaN,NaN,NaN,3
-37,-34,-57,-62,-72,-67,-70,-50,-66,-62,-66,NaN,-67,NaN,-75,-90,NaN,NaN,3
-38,-34,-57,-64,-71,-68,-70,-62,-67,-64,-67,-85,-68,-89,-75,-88,NaN,NaN,3
-37,-32,-58,-63,-71,-68,-70,-62,-65,-63,-68,-85,-68,-89,-74,-88,NaN,NaN,3
-36,-34,-57,-66,-69,NaN,-69,-62,-65,-61,-70,NaN,NaN,NaN,-74,NaN,NaN,-78,3
-36,-34,-58,-67,-70,NaN,-71,-62,-65,-62,-67,-81,-67,-85,-74,NaN,NaN,-78,3
-36,-32,-60,-68,-70,-67,-72,-63,-66,-61,-67,-81,-67,-85,-74,-90,NaN,-78,3
-36,-34,-60,-62,-71,-64,-71,-62,-66,-61,-68,NaN,-66,-85,-74,-86,NaN,-78,3
-36,-34,-57,-62,-71,-67,-70,-62,-65,-62,-67,NaN,-67,-85,NaN,-86,NaN,NaN,3
-36,-34,-58,-61,-70,-66,-70,-62,-65,-62,-67,NaN,-66,NaN,NaN,NaN,NaN,-79,3
-36,-34,-59,-64,-69,-67,-72,-63,-66,-61,-68,NaN,-65,NaN,-72,NaN,NaN,-85,3
-36,-34,-58,-63,-68,-67,-70,-61,-66,-63,-68,NaN,-66,NaN,-74,NaN,NaN,-85,3
-36,-33,-56,-63,-70,-67,-71,-59,NaN,-59,-68,-80,-65,-86,-74,-90,NaN,NaN,3
-36,-33,-58,-58,-70,-67,-69,-60,NaN,-58,-68,-80,-67,-86,-74,-90,NaN,-79,3
-37,-34,-58,-57,-72,-67,-72,-59,-67,-61,-67,NaN,-67,NaN,-74,NaN,NaN,-79,3
-37,-34,-57,-62,-69,-64,-67,-58,-66,-61,-67,NaN,-67,NaN,-74,NaN,NaN,NaN,3
-38,-34,-58,-62,-68,-64,-66,-57,-67,-64,-67,NaN,NaN,-69,NaN,NaN,NaN,NaN,3
-36,-33,-57,-63,-68,-67,-67,-57,-67,-65,-67,NaN,-69,-87,-74,NaN,NaN,NaN,3
-37,-34,-57,-58,-68,-67,-68,-58,-67,-71,-68,NaN,-68,-87,-73,NaN,NaN,-80,3
-37,-68,-58,-55,-68,NaN,-68,-58,-67,-64,-68,-75,-68,NaN,-73,NaN,NaN,-80,3
-37,-34,-58,-58,-68,-66,-68,-59,-67,-63,-65,-75,NaN,NaN,NaN,NaN,NaN,NaN,3
-37,-34,-58,-84,-67,-66,-67,-58,-66,-63,-66,-79,-71,NaN,-73,NaN,NaN,-80,3
-37,-32,-57,-59,-68,NaN,-67,-48,-66,-65,-64,-79,-71,NaN,-73,NaN,NaN,-82,3
-37,-34,-55,-56,-70,-67,-67,-59,-65,-61,-65,NaN,-69,-83,NaN,NaN,NaN,-82,3
-36,-36,-58,-57,-66,-67,-65,-58,-64,-64,-63,NaN,-73,-80,NaN,NaN,NaN,NaN,3
-41,-35,-58,-63,-66,-67,-65,-57,-64,-63,-66,NaN,-71,-80,NaN,NaN,NaN,NaN,3
-70,-37,-61,-50,-69,-69,-71,-64,-77,-63,-60,-82,NaN,NaN,-71,NaN,NaN,NaN,4
-40,-41,-60,-51,-70,-70,-71,-63,-72,-63,-60,-82,NaN,NaN,NaN,NaN,-88,NaN,4
-44,-37,-62,-51,-69,-77,-74,-69,-72,-62,-60,NaN,NaN,NaN,NaN,NaN,-88,NaN,4
-47,-40,-60,-50,-67,-70,-71,-69,-76,-62,-64,-79,NaN,NaN,NaN,NaN,NaN,NaN,4
-47,-38,-60,-49,-68,-70,-73,-70,-76,-59,-64,-78,-76,NaN,NaN,NaN,NaN,NaN,4
-44,-38,-57,-53,-68,-71,-72,-66,-80,-63,-64,-77,-76,NaN,NaN,NaN,NaN,NaN,4
-46,-38,-59,-53,-67,-71,-73,-65,-77,-60,-65,-80,-76,NaN,-80,NaN,NaN,NaN,4
-45,-37,-60,-53,-69,NaN,-71,-69,-75,-61,-62,-80,-79,-90,-80,NaN,NaN,NaN,4
-46,-37,-58,-51,-70,-70,-72,-69,-66,-59,-63,NaN,-79,-90,NaN,NaN,NaN,NaN,4
-45,-38,-59,-52,-69,-70,-72,-72,-74,-59,-63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-47,-34,-60,-50,-70,NaN,-73,-68,-77,NaN,-64,-78,-76,NaN,-81,NaN,NaN,NaN,4
-45,-37,-59,-51,-69,-70,-75,-69,-77,-60,-61,-78,-76,NaN,-81,NaN,NaN,NaN,4
-45,-37,-58,-52,-69,-68,-74,-70,-76,-61,-64,NaN,-79,-82,NaN,NaN,NaN,NaN,4
-44,-38,-58,-51,-70,-70,-74,-68,-75,-61,-62,-76,-79,-82,-81,-86,NaN,-77,4
-44,-38,-57,-51,-70,-70,-74,-64,-75,-63,-66,-76,NaN,NaN,-81,-86,NaN,-77,4
-44,-37,-58,-52,-69,NaN,-79,-67,NaN,-63,-64,NaN,NaN,NaN,NaN,NaN,NaN,-76,4
-45,-37,-58,-52,-70,NaN,-79,-69,-77,-59,-63,NaN,NaN,-90,-79,NaN,NaN,-76,4
-46,-37,-59,-51,-69,NaN,NaN,-69,-77,-63,-63,NaN,NaN,-90,-79,NaN,NaN,NaN,4
-49,-39,-58,-63,-68,-71,-73,-66,NaN,-61,-63,-77,NaN,NaN,NaN,NaN,NaN,NaN,4
-44,-39,-59,-52,-70,-75,-76,-66,NaN,-64,-63,-77,NaN,NaN,NaN,NaN,NaN,NaN,4
-45,-40,-56,-52,-69,-70,-77,-66,-75,-64,-61,-77,NaN,NaN,NaN,NaN,NaN,NaN,4
-46,-39,-57,-51,-68,-68,-73,-66,-74,-65,-61,-77,-74,NaN,NaN,NaN,NaN,NaN,4
-46,-40,-58,-49,-69,-69,-73,-68,-73,-63,-63,-75,-74,NaN,-84,NaN,NaN,NaN,4
-46,-40,-60,-51,-68,-69,-75,-66,-73,-65,-63,-76,-70,NaN,-84,NaN,NaN,NaN,4
-46,-41,-58,-51,-70,-69,-72,-66,-79,-64,-62,-76,-72,NaN,-83,NaN,NaN,NaN,4
-44,-41,-58,-50,-69,NaN,-73,-67,-83,-64,-63,-76,-72,NaN,-84,NaN,NaN,NaN,4
-46,-40,-57,-49,-68,-66,-71,-67,-73,-63,-63,-76,-71,NaN,-84,NaN,-87,NaN,4
-44,-39,-59,-49,-68,-70,-71,-66,-73,-63,-63,NaN,-71,NaN,NaN,NaN,-87,NaN,4
-46,-40,-60,-49,-68,-70,-74,-67,-74,-63,-64,-77,-70,NaN,NaN,NaN,NaN,NaN,4
-45,-39,-63,-50,-67,NaN,-72,-68,-74,-65,-64,-76,-70,NaN,NaN,NaN,NaN,NaN,4
-43,-41,-60,-49,-66,NaN,-71,-64,-71,-63,-60,-76,NaN,NaN,NaN,NaN,NaN,NaN,4
-46,-40,-56,-50,-68,-73,-72,-66,-71,-63,-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-47,-40,-58,-48,-69,-74,-72,-65,-72,-62,-61,NaN,-69,NaN,-79,NaN,NaN,NaN,4
-43,-42,-60,-49,-66,-74,-73,-67,-74,-64,-63,-77,-69,NaN,-79,NaN,NaN,NaN,4
-46,-38,-61,-50,-67,NaN,-72,-67,-74,-62,-62,-77,NaN,NaN,NaN,NaN,NaN,NaN,4
-45,-40,-59,-50,-67,NaN,-72,NaN,NaN,-64,-62,-78,NaN,NaN,NaN,NaN,NaN,NaN,4
-47,-40,-60,-50,-67,-69,-72,-64,-73,-64,-63,-78,NaN,NaN,-83,NaN,NaN,NaN,4
-47,-40,-61,-50,-67,-69,NaN,-68,-73,-63,-63,-78,NaN,NaN,-81,NaN,NaN,NaN,4
-46,-40,-62,-50,-67,-69,-70,-68,-75,-64,-64,NaN,-73,NaN,-79,NaN,NaN,NaN,4
-80,-40,-63,-50,-66,-69,-71,-68,-76,-63,-63,-77,-73,NaN,-79,NaN,NaN,NaN,4
-80,-39,-59,-49,-67,-69,-73,-67,-74,-64,-62,-77,NaN,NaN,-79,NaN,NaN,NaN,4
-46,-39,-61,-50,-68,-69,-73,-68,-74,-63,-66,-77,-75,NaN,-79,NaN,NaN,NaN,4
-47,-39,-63,-50,-67,NaN,-73,-69,-76,-62,-63,NaN,-75,NaN,-79,NaN,NaN,NaN,4
-47,-39,-60,-50,-68,NaN,-74,-70,-75,-63,-63,-76,NaN,NaN,NaN,NaN,NaN,NaN,4
-47,NaN,-58,-49,-67,-70,-75,-68,-77,-63,-64,-76,NaN,NaN,NaN,NaN,NaN,NaN,4
-46,-40,-62,-49,-66,-70,-74,-67,-77,-64,-64,-76,NaN,NaN,-79,NaN,NaN,NaN,4
-46,-41,-65,-50,-67,-70,-73,-68,-75,-63,-63,NaN,NaN,NaN,-79,NaN,NaN,NaN,4
-47,-39,-63,-50,-67,-70,-70,-66,-74,-63,-62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
-43,-39,-63,-50,-68,NaN,-70,-71,-74,-63,-64,NaN,-72,NaN,-76,NaN,NaN,NaN,4
-43,-40,-64,-49,-67,NaN,-71,-67,NaN,-64,-62,-76,-72,NaN,-77,NaN,NaN,NaN,4
-48,-41,-62,-49,-68,NaN,-75,-67,NaN,-62,-63,-77,-71,NaN,-77,NaN,NaN,NaN,4
-43,-40,-56,-52,-68,-69,-71,-67,NaN,-62,-63,-77,-75,NaN,NaN,NaN,NaN,NaN,4
-46,-37,-63,-47,-68,-69,-67,-68,NaN,-60,-60,-76,-75,NaN,NaN,NaN,NaN,NaN,4
-45,-39,-63,-48,-68,-69,-72,-70,-78,-64,-63,-76,NaN,-88,NaN,-85,NaN,NaN,4
-47,-40,-61,-48,-68,-70,-74,-70,-76,-61,-64,NaN,-76,-88,-80,-85,-88,NaN,4
-41,-39,-66,NaN,-67,-71,-76,-68,-76,-62,-64,NaN,-75,NaN,-80,NaN,-88,NaN,4
-48,-36,-65,-50,-68,-71,-73,-70,-77,-60,-63,-78,-70,NaN,NaN,NaN,NaN,NaN,4
-48,-39,-60,-51,-69,NaN,-77,-72,-79,-60,-63,-78,-70,NaN,NaN,NaN,NaN,NaN,4
-46,-39,-61,-53,-67,NaN,-77,-66,-79,-59,-63,-76,NaN,NaN,NaN,NaN,NaN,NaN,4
-48,-39,-62,-47,-69,NaN,-76,-68,NaN,-61,-62,-75,NaN,NaN,NaN,NaN,NaN,NaN,4
-47,-39,-61,-48,-70,NaN,-77,-69,NaN,-59,-62,-75,-71,NaN,NaN,NaN,NaN,NaN,4
-48,-40,-62,-48,-68,-69,-76,-69,NaN,-60,-63,-76,-72,NaN,NaN,NaN,NaN,NaN,4
-48,-45,-65,-48,-69,-70,-75,-67,NaN,-60,-63,-77,-74,NaN,NaN,-84,NaN,NaN,4
-47,-41,-62,-49,-68,-70,-75,-68,-79,-62,-62,-77,-74,-92,NaN,-88,NaN,-78,4
-48,-41,-61,-49,-69,-72,-79,-66,-75,-60,-61,-77,-74,-92,NaN,-86,NaN,-78,4
-49,-40,-62,-49,-69,-72,-76,-66,-75,-60,-64,NaN,-73,NaN,NaN,-86,NaN,NaN,4
-47,-41,-60,-48,-68,-71,-77,-67,-76,NaN,-64,-78,-73,NaN,NaN,NaN,NaN,NaN,4
-48,-40,-63,-48,-69,-71,-75,-67,-80,NaN,-63,-77,NaN,NaN,NaN,NaN,NaN,NaN,4
-46,-40,-63,-48,-68,NaN,-75,-65,-78,NaN,-63,-78,NaN,NaN,NaN,NaN,NaN,NaN,4
-43,-40,-61,-49,-66,NaN,-73,-64,-78,-61,-62,-77,-72,NaN,-78,NaN,NaN,NaN,4
-48,-41,-62,-48,-67,NaN,-73,-65,NaN,-59,-61,-78,-72,NaN,-78,-88,NaN,-79,4
-46,-39,-59,-47,-68,-71,-74,-64,-76,-60,-61,-78,-72,NaN,-78,-88,NaN,-79,4
-47,-41,-60,-49,-67,-71,-75,-64,-76,-60,-64,NaN,NaN,NaN,-77,NaN,NaN,NaN,4
-46,-39,-59,-49,-68,-81,-75,-65,NaN,-60,-64,NaN,NaN,NaN,-77,NaN,NaN,NaN,4
-46,-40,-59,-55,-68,-81,-75,-62,NaN,-64,-64,NaN,NaN,NaN,NaN,NaN,NaN,-74,4
-44,-40,-62,-52,-68,-75,-75,-67,NaN,-60,-64,-78,NaN,NaN,NaN,NaN,NaN,-74,4
-46,-41,-63,-54,-68,-73,-78,-66,-77,-62,-64,-78,NaN,NaN,NaN,NaN,NaN,-76,4
-49,-40,-63,-53,-68,-73,-78,-65,-77,-61,-63,NaN,-73,NaN,NaN,NaN,NaN,-77,4
-48,-41,-62,-53,-68,-75,-77,-66,NaN,-62,-63,NaN,-73,NaN,NaN,-86,NaN,-77,4
-49,-37,-61,-54,-68,-75,-74,-67,-76,-62,-63,-77,NaN,NaN,NaN,-86,NaN,-76,4
-44,-41,-59,-53,-70,-65,-68,-68,-65,-63,-50,-73,-67,NaN,-83,NaN,NaN,-80,5
-44,-37,-55,-53,-70,NaN,-70,-66,-65,-57,-53,-72,-66,-91,-83,NaN,NaN,-80,5
-38,-35,-55,-56,-71,NaN,-69,-65,-63,-61,-52,-72,-66,-91,-78,NaN,NaN,-79,5
-39,-38,-55,-54,-71,NaN,-69,-64,-63,-61,-52,-72,NaN,NaN,-78,NaN,NaN,-79,5
-35,-39,-56,-53,-70,NaN,-69,-62,-63,-59,-52,NaN,-68,NaN,NaN,NaN,NaN,NaN,5
-37,-39,-55,-54,-71,NaN,-69,-63,-63,-60,-52,NaN,-67,NaN,NaN,NaN,NaN,NaN,5
-38,-41,-56,-54,-71,NaN,-69,-62,-63,-60,-54,NaN,-67,NaN,NaN,NaN,NaN,NaN,5
-37,-40,-56,-56,-71,-64,-70,-62,-63,-62,-54,NaN,-68,NaN,NaN,NaN,NaN,NaN,5
-37,-39,-56,-54,-69,-64,-81,-64,-63,-59,-52,NaN,-68,NaN,NaN,NaN,NaN,NaN,5
-37,-39,-57,-54,-69,-64,-81,-64,-63,-59,-54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
-38,-39,-59,-54,-70,-65,-74,-65,-63,-61,-52,NaN,-68,NaN,NaN,NaN,NaN,NaN,5
-38,-39,-56,-52,-69,-65,-70,-65,-61,-59,-52,NaN,-68,NaN,NaN,NaN,-87,NaN,5
-37,-39,-55,-54,-63,-71,-70,-63,-62,-59,-52,NaN,-67,NaN,-80,NaN,-87,NaN,5
-39,-39,-55,-55,-70,-65,-71,-65,-63,-59,-51,NaN,-66,NaN,-80,NaN,NaN,NaN,5
-37,-39,-55,-57,-70,-63,-70,-64,-62,-59,-53,NaN,-66,NaN,-80,NaN,NaN,NaN,5
-36,-39,-54,-57,-70,-66,-70,-64,-63,NaN,-53,-72,NaN,NaN,-80,NaN,NaN,-81,5
-37,-36,-56,-53,-69,-66,-70,-54,-63,-57,-53,-72,-67,NaN,-80,NaN,NaN,-81,5
-37,-37,-55,-53,-69,NaN,-67,-64,-66,-59,-51,-72,-67,NaN,-80,NaN,NaN,NaN,5
-43,-40,-58,-57,-70,NaN,-69,-65,-64,-59,-54,-72,NaN,NaN,NaN,NaN,NaN,NaN,5
-43,-39,-48,-53,-69,NaN,-69,-63,-62,-59,-50,NaN,NaN,NaN,NaN,NaN,-89,NaN,5
-36,-38,-55,-52,-69,-63,-68,-63,-65,-60,-50,-71,NaN,NaN,NaN,NaN,-89,NaN,5
-38,-39,-55,-53,-71,-64,-70,-63,-61,-61,-53,-71,NaN,NaN,NaN,NaN,NaN,NaN,5
-37,-39,-56,-55,-70,-65,-70,-64,-63,-59,-53,-72,NaN,NaN,-78,-88,NaN,NaN,5
-37,-39,-56,-56,-71,-65,-71,-64,-62,-59,-54,-72,NaN,NaN,-78,-88,NaN,NaN,5
-38,-39,-56,-55,-71,-65,-71,-63,-63,-59,-50,-74,NaN,NaN,NaN,NaN,NaN,NaN,5
-38,-39,-56,-55,-70,-65,-71,-64,-63,-60,-52,-74,NaN,NaN,NaN,NaN,NaN,-79,5
-36,-39,-54,-51,-68,NaN,-69,-63,-62,-58,-61,-71,-66,-87,NaN,NaN,NaN,-79,5
-37,-38,-55,-51,-69,-64,-69,-63,-61,-59,-50,-71,-66,-87,-67,NaN,NaN,-80,5
-39,-38,-58,-51,-69,-65,-69,-64,-63,-59,-46,-72,NaN,NaN,-67,NaN,NaN,-80,5
-42,-39,-55,-51,-69,-65,-70,-64,-62,-59,-51,-72,NaN,NaN,NaN,NaN,NaN,NaN,5
-36,-38,-54,-51,-69,-63,-70,-61,-61,-58,-52,NaN,NaN,NaN,-66,NaN,NaN,NaN,5
-37,-40,-57,-51,-70,-64,-69,-64,-63,-61,-51,NaN,NaN,NaN,-78,NaN,NaN,NaN,5
-37,-40,-55,-53,-70,-64,-70,-63,-61,-60,-51,-72,NaN,NaN,-78,NaN,NaN,NaN,5
-39,-41,-55,-53,-70,NaN,-70,-64,-66,-58,-51,-72,-67,-73,NaN,NaN,NaN,NaN,5
-37,-40,-55,-53,-69,-64,-71,-63,-66,-59,-52,-72,-67,-73,-79,NaN,NaN,NaN,5
-36,-38,-54,-54,-62,-64,-75,-62,NaN,-66,-51,-71,NaN,NaN,-79,NaN,NaN,NaN,5
-38,-41,-55,-55,-70,-64,-70,-63,-63,-62,-52,-71,NaN,NaN,NaN,NaN,NaN,NaN,5
-38,-39,-53,-55,-62,-65,-70,-63,-63,-60,-52,NaN,NaN,NaN,-77,NaN,NaN,NaN,5
-36,-38,-54,-52,-69,-62,NaN,-62,-62,-58,-52,-69,NaN,NaN,-77,NaN,NaN,NaN,5
-36,-39,-55,-52,-71,-63,-75,-64,-62,-58,-53,-72,NaN,NaN,-77,NaN,NaN,NaN,5
-38,-39,-55,-52,-70,-65,-69,-63,-62,-60,-52,-72,NaN,NaN,NaN,NaN,NaN,NaN,5
-38,-39,-55,-54,-59,-65,-68,-63,-61,-60,-51,NaN,NaN,NaN,-79,NaN,NaN,NaN,5
-43,-38,-55,-52,-69,-65,-72,-63,-61,NaN,-51,NaN,NaN,NaN,-79,NaN,NaN,NaN,5
-42,-39,-56,-54,-70,-64,-69,-65,-62,NaN,-51,NaN,NaN,NaN,-78,NaN,NaN,NaN,5
-42,-40,-55,-54,-68,-65,-70,-64,-65,-59,-51,-72,-67,-88,-78,-88,NaN,-79,5
-37,-38,-54,-54,-68,-64,-69,-64,-60,-59,-51,-72,-67,-88,NaN,-88,NaN,-79,5
-37,-64,-53,-52,-68,-64,-69,-64,-62,-58,-51,-72,NaN,NaN,-79,NaN,NaN,NaN,5
-36,-40,-55,-53,-68,NaN,-69,-65,-62,-59,-52,-73,NaN,NaN,-79,NaN,NaN,NaN,5
-37,-39,-56,-52,-64,-65,-67,-63,-61,-59,-52,-71,NaN,NaN,NaN,NaN,NaN,NaN,5
-35,-42,-55,-53,-69,-65,-69,-64,-60,-58,-51,-73,NaN,-84,NaN,-87,-88,-81,5
-36,-37,-54,-52,-67,NaN,-76,-63,-59,-57,-51,-73,NaN,-84,-76,-87,-88,-81,5
-36,-37,-55,-52,-68,-63,-67,-63,-60,-57,-51,-72,-66,NaN,-76,-87,NaN,NaN,5
-36,-37,-54,-52,-67,-62,-75,-62,-60,-59,-51,-72,-66,-85,NaN,-87,NaN,NaN,5
-36,-39,-54,-50,-67,-62,-74,-62,-60,-58,-51,NaN,NaN,-85,-76,NaN,NaN,NaN,5
-36,-38,-54,-55,-67,NaN,-66,-63,-61,-59,-52,NaN,NaN,NaN,-76,NaN,NaN,NaN,5
-37,-39,-53,-53,-62,-64,-66,-63,-61,-60,-52,NaN,-67,NaN,NaN,NaN,NaN,NaN,5
-37,-38,-56,-64,-67,-64,-68,-63,-61,-59,-51,-73,-68,NaN,NaN,-88,NaN,NaN,5
-38,-40,-58,-64,-67,-64,-68,-63,-61,-60,-54,-73,-68,NaN,NaN,-88,NaN,NaN,5
-37,-38,-54,-52,-67,-64,-68,-62,-59,-58,-51,-74,-67,NaN,NaN,NaN,NaN,NaN,5
-36,-38,-55,-52,-67,NaN,-68,-62,-59,-59,-51,-74,-66,NaN,NaN,NaN,NaN,-79,5
-37,-40,-57,-54,-67,-65,-73,-63,-60,-61,-52,NaN,-67,NaN,NaN,NaN,NaN,-79,5
-38,-38,-57,-52,-67,-65,-70,-64,-60,-59,-52,NaN,-67,NaN,-79,NaN,NaN,NaN,5
-36,-38,-53,-52,-65,-63,-80,-64,-59,-57,-52,-71,-67,NaN,-79,NaN,NaN,-79,5
-36,-38,-56,-51,-65,-64,-77,-66,-57,-58,-51,-71,-67,NaN,NaN,NaN,NaN,-79,5
-36,-40,-57,-51,-65,-63,-78,-66,-59,-58,-50,-72,-68,NaN,-80,NaN,NaN,NaN,5
-38,-39,-56,-52,-67,-65,-78,-65,-60,-59,-51,-73,-68,NaN,-79,NaN,NaN,NaN,5
-39,-38,-55,-50,-64,-65,-69,-65,-60,-57,-51,-73,NaN,NaN,-79,NaN,NaN,NaN,5
-36,-38,-56,-60,-67,-64,-67,-65,-62,-57,-51,NaN,-67,NaN,-80,NaN,NaN,NaN,5
-39,-40,-55,-63,-67,-64,-74,-72,-60,-59,-51,-72,-67,NaN,-79,-87,NaN,NaN,5
-36,-38,-55,-57,-68,-64,-68,-63,-62,-59,-51,-72,-65,NaN,-79,-87,NaN,NaN,5
-36,-39,-55,-64,-67,-63,-68,-66,-59,-58,-50,NaN,-65,NaN,-79,NaN,NaN,NaN,5
-36,-38,-55,-61,-66,-64,-75,-65,-59,-57,-52,-71,NaN,NaN,-67,NaN,NaN,NaN,5
-36,-39,-55,-60,-67,-64,-69,-65,NaN,-57,-50,-71,-65,NaN,-67,NaN,NaN,NaN,5
-36,-38,-49,-60,-68,-64,-71,-62,-59,-58,-50,-71,-65,NaN,NaN,NaN,NaN,NaN,5
-36,-37,-55,-60,-67,-64,-68,-62,-59,-60,-50,-71,-65,NaN,-67,NaN,NaN,NaN,5
-36,-37,-56,-59,-67,NaN,-70,-64,-64,-56,-51,-71,-64,NaN,-67,NaN,NaN,-77,5
-37,-38,-56,-65,-66,-64,-67,-64,-64,-60,-51,NaN,-66,-85,-67,NaN,NaN,-77,5
-63,-37,-56,-60,-66,-64,-78,-66,NaN,-57,-51,NaN,-66,-85,-67,NaN,NaN,NaN,5
-36,-39,-57,-62,-66,NaN,-66,-65,-64,-57,-51,NaN,-66,NaN,-67,NaN,NaN,NaN,5
-37,-40,-54,-68,-68,-64,-76,-65,-60,-58,-50,NaN,-67,-88,-66,NaN,NaN,NaN,5
-34,-35,-53,-49,-65,-65,-60,-52,NaN,-50,-53,NaN,-64,NaN,NaN,NaN,NaN,-73,6
-33,-36,-53,-49,-66,-65,-60,-52,NaN,-74,-50,-75,NaN,NaN,NaN,NaN,NaN,-73,6
-33,-37,-53,-51,-66,-65,-60,-52,NaN,-50,-50,-75,NaN,NaN,NaN,NaN,NaN,-75,6
-33,-37,-55,-47,-67,-65,-60,-52,-64,-51,-50,-75,-64,NaN,NaN,NaN,NaN,-75,6
-35,-38,-54,-49,-66,NaN,-59,-51,-68,-50,-50,NaN,-67,NaN,-78,NaN,NaN,NaN,6
-33,-83,-53,-49,-67,NaN,-60,-52,-68,-52,-52,NaN,-65,NaN,-78,NaN,NaN,NaN,6
-32,-37,-53,NaN,-64,-63,-57,-52,NaN,-51,-49,NaN,-65,NaN,-73,NaN,NaN,NaN,6
-73,-91,-52,-47,-66,-65,-65,-52,NaN,-50,-49,-76,-66,NaN,-72,NaN,NaN,NaN,6
-33,-36,-52,-47,-66,-64,-59,-52,-67,-55,-49,-73,-66,NaN,-71,NaN,NaN,NaN,6
-33,-37,-54,-47,-66,-65,-59,-52,-66,-52,-50,-73,NaN,-82,-71,NaN,NaN,NaN,6
-33,-37,-53,-47,-66,-65,-59,-52,-66,-50,-51,NaN,NaN,-80,NaN,NaN,NaN,NaN,6
-33,-37,-53,-47,-66,NaN,-61,-52,-66,-50,-50,NaN,NaN,-80,-74,NaN,NaN,NaN,6
-33,-37,-53,NaN,-66,NaN,-83,-52,NaN,-55,-49,NaN,NaN,-83,-92,NaN,NaN,NaN,6
-33,-37,-52,-49,-66,-64,-60,-52,NaN,-53,-50,NaN,-67,-83,-69,NaN,NaN,NaN,6
-33,-37,-52,-48,-66,-65,-62,-52,-63,-55,-51,NaN,-67,-83,-69,NaN,NaN,NaN,6
-33,-37,-53,-48,-67,-65,-60,-52,-66,-51,-51,NaN,NaN,NaN,-69,NaN,NaN,-77,6
-34,-37,-52,-49,-66,NaN,-60,-52,-66,-51,-50,NaN,-65,NaN,-69,NaN,NaN,-77,6
-32,-36,-52,-46,-65,-64,-58,-51,-70,-49,-49,NaN,-64,NaN,-70,NaN,NaN,NaN,6
-33,-37,-52,-47,-66,-64,-61,-51,-63,-50,-50,NaN,-65,NaN,-75,NaN,NaN,NaN,6
-33,-38,-51,-47,-68,NaN,-60,-46,-66,-49,-50,-74,-65,NaN,-75,NaN,NaN,NaN,6
-33,-37,-53,-47,-65,-63,-59,-52,-59,-56,-51,-74,NaN,NaN,NaN,-85,NaN,NaN,6
-33,-37,-53,-47,-67,-63,-60,-52,-63,-54,-51,NaN,-62,-81,NaN,-85,NaN,NaN,6
-33,-37,-51,-48,-66,-65,-64,-52,-65,-51,-53,NaN,-65,-81,NaN,NaN,NaN,NaN,6
-33,-37,-52,-46,-66,-65,-64,-51,-64,-51,-53,NaN,-65,-81,-71,NaN,NaN,-79,6
-33,-37,-54,-48,-67,-65,-60,-52,-64,-50,-50,-75,-64,-82,-72,NaN,NaN,-76,6
-33,-37,-53,-47,-66,-65,-59,-52,-65,-51,-49,-75,-66,-82,-72,NaN,NaN,-76,6
