GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
-2.82E-08,13.80289387,-24.21713362,4
-8.31E-07,13.56547029,-24.48384183,4
-2.78E-07,13.10129282,-24.84408381,4
-1.27E-07,13.73670801,-24.57522841,4
-6.50E-07,13.6688556,-24.66762072,4
-9.67E-07,13.99146623,-24.39840642,4
-4.68E-07,13.73086483,-24.57849363,4
-9.99E-07,13.36130658,-24.83906994,4
2.59E-07,13.15477323,-24.48121552,4
5.87E-07,13.75914834,-24.39664447,4
4.02E-07,13.72215666,-24.67302641,4
5.67E-07,13.34954926,-25.29820187,4
1.20E-07,13.82924462,-24.95635733,4
9.10E-07,14.01983281,-24.31792836,4
3.70E-08,13.27664295,-24.29308607,4
-9.77E-08,13.3611758,-24.67103202,4
-7.90E-07,13.11758951,-24.56565197,4
-1.79E-07,13.68934098,-24.47680369,4
4.28E-07,14.20667699,-24.49537425,4
1.33E-06,13.53211846,-24.93412775,4
-9.96E-07,13.62273485,-24.48955606,4
4.86E-07,13.40826042,-24.20211288,4
6.26E-07,13.73219952,-24.02787479,4
1.01E-06,13.85446663,-24.03779706,4
8.43E-07,13.99597605,-24.03430237,4
-3.76E-08,13.92227603,-24.49215251,4
-4.13E-07,13.72186278,-24.49375501,4
-5.04E-07,13.5645945,-24.58746839,4
-7.43E-07,13.771735,-24.50364762,4
-3.57E-07,13.79070573,-24.59060447,4
9.60E-07,13.48068227,-24.48391945,4
-9.74E-07,13.64701766,-24.76391674,4
4.41E-08,13.82894766,-24.66843434,4
7.69E-07,13.40381803,-24.1200008,4
-4.75E-07,13.24113477,-24.38386829,4
-5.38E-07,13.31037357,-24.40180969,4
1.21E-07,13.33397341,-24.58750083,4
-9.64E-07,13.60579756,-24.59106866,4
-8.25E-07,13.2894297,-24.76409503,4
3.95E-08,12.64508484,-28.4156061,5
6.18E-08,12.52827904,-28.17468399,5
4.99E-07,12.86398426,-28.54295413,5
-4.23E-07,12.82390864,-28.44282985,5
-9.37E-08,12.48701808,-28.53638539,5
5.51E-07,12.28126532,-29.61883266,5
-8.02E-07,12.44883883,-29.63058992,5
-2.99E-07,12.30644807,-29.26308467,5
3.69E-07,12.45772876,-28.81181436,5
-1.38E-07,12.43392508,-28.9946217,5
-5.30E-07,12.14734954,-28.81283267,5
-4.82E-07,12.40155201,-28.80782125,5
-1.75E-07,12.32051943,-28.80436093,5
-3.22E-07,12.02454954,-28.90020725,5
2.47E-07,12.19382879,-28.25927598,5
7.50E-07,12.85092512,-28.17724791,5
-1.72E-07,12.4981613,-28.99334886,5
-6.85E-07,11.72588209,-29.07837575,5
-7.80E-07,12.77302868,-29.00677336,5
-9.71E-08,13.14055371,-28.90810556,5
-6.55E-07,12.60637166,-28.89727426,5
-3.08E-07,13.04100035,-28.81345668,5
-2.22E-07,12.67177945,-28.99488366,5
2.05E-07,12.19797717,-28.80191047,5
-3.05E-07,12.3311321,-28.35626482,5
1.96E-07,12.38713353,-29.00362514,5
7.22E-07,12.38192811,-29.17852767,5
6.72E-07,12.37708629,-29.26125736,5
6.66E-07,12.78404101,-29.00188058,5
