@relation RFKON_MF_Train

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
0.18,-20.219999,-22.02,12
0.42,-19.98,-21.779999,12
0.6,-19.199999,-22.26,12
0.36,-19.32,-22.379999,12
0.24,-20.34,-22.08,12
0,-20.219999,-22.08,12
0.06,-19.799999,-21.9,12
0.18,-19.379999,-22.74,12
0,-19.92,-22.08,12
0.42,-20.1,-22.08,12
0.42,-19.799999,-21.84,12
0.24,-19.619999,-21.9,12
0.3,-19.559999,-21.959999,12
1.02,-19.559999,-22.02,12
0.54,-19.5,-22.26,12
0.72,-19.139999,-22.02,12
0.84,-18.959999,-21.959999,12
0.84,-18.959999,-22.439999,12
0.6,-19.379999,-22.08,12
0.84,-18.959999,-22.08,12
0.66,-19.379999,-22.199999,12
1.14,-19.139999,-21.6,12
0.48,-19.02,-21.42,12
0.18,-20.16,-21.959999,12
0.48,-20.039999,-21.84,12
0,-19.68,-22.439999,12
0.6,-19.799999,-22.379999,12
-0.18,-19.98,-21.719999,12
-0.06,-19.74,-22.199999,12
0.3,-19.74,-22.199999,12
0.18,-20.16,-21.9,12
0.12,-20.039999,-21.539999,12
0.36,-19.68,-21.9,12
0.18,-19.68,-22.559999,12
0,-19.619999,-22.08,12
-8.16,-25.859999,-16.559999,52
-7.74,-25.92,-16.799999,52
-7.92,-25.92,-16.799999,52
-8.099999,-26.279999,-16.92,52
-7.92,-25.92,-16.92,52
-7.8,-25.859999,-17.219999,52
-7.5,-25.92,-16.92,52
-7.56,-25.559999,-16.859999,52
-7.8,-25.439999,-16.68,52
-7.74,-25.619999,-16.98,52
-7.68,-25.859999,-16.98,52
-8.099999,-25.799999,-16.74,52
-8.22,-25.379999,-16.559999,52
-7.8,-25.199999,-16.379999,52
-7.62,-25.199999,-16.32,52
-7.74,-25.26,-16.859999,52
-7.92,-25.74,-16.74,52
-7.68,-25.5,-16.859999,52
-7.5,-25.199999,-17.279999,52
-7.02,-25.559999,-17.459999,52
-7.2,-25.26,-17.1,52
-7.5,-25.68,-16.74,52
-7.56,-25.799999,-16.859999,52
-8.34,-26.279999,-17.039999,52
-8.28,-25.92,-17.039999,52
-7.92,-25.799999,-16.68,52
-7.62,-25.619999,-16.559999,52
-8.16,-25.619999,-16.619999,52
-8.16,-25.559999,-16.559999,52
-7.2,-25.26,-16.92,52
-7.56,-25.139999,-17.219999,52
-7.8,-25.5,-16.799999,52
-7.86,-25.98,-16.859999,52
-7.32,-25.199999,-16.68,52
-6.48,-24.059999,-16.26,52
-4.08,-23.459999,-20.4,6
-3.84,-23.639999,-20.4,6
-3.54,-23.58,-20.939999,6
-3.54,-23.519999,-20.639999,6
-3.54,-23.639999,-20.4,6
-3.78,-23.459999,-20.82,6
-3.54,-23.519999,-20.82,6
-3.54,-23.459999,-20.879999,6
-3.6,-23.4,-21,6
-3.9,-23.34,-20.699999,6
-4.2,-23.4,-20.16,6
-3.78,-23.58,-20.52,6
-3.48,-23.459999,-20.459999,6
-3.72,-23.519999,-20.279999,6
-3.72,-23.879999,-20.939999,6
-3.78,-23.4,-21.119999,6
-3.78,-22.98,-21.059999,6
-3.24,-22.799999,-20.76,6
-3.06,-23.039999,-20.639999,6
-3.12,-23.16,-20.219999,6
-4.14,-23.639999,-20.82,6
-3.54,-23.34,-20.58,6
-3.48,-23.34,-20.52,6
-3.42,-23.519999,-20.4,6
-3.66,-23.16,-20.4,6
-3.72,-23.34,-20.459999,6
-3.48,-23.219999,-20.639999,6
-3.42,-23.459999,-20.639999,6
-3.48,-23.459999,-21.18,6
-3.96,-24.119999,-20.76,6
-3.78,-23.939999,-21.119999,6
-4.02,-23.879999,-20.879999,6
-4.14,-23.639999,-20.52,6
-3.9,-23.699999,-20.279999,6
-4.02,-23.82,-20.4,6
-0.18,-19.26,-21,53
-0.06,-19.139999,-20.879999,53
0.12,-19.199999,-21.059999,53
0,-18.9,-21.119999,53
-0.12,-18.959999,-21.539999,53
-0.18,-19.379999,-21.24,53
-0.48,-19.68,-21.42,53
-0.48,-18.959999,-21.18,53
-0.6,-19.32,-21.18,53
-0.24,-19.02,-20.52,53
-0.24,-19.32,-20.4,53
-0.3,-19.799999,-20.639999,53
-0.48,-19.379999,-20.879999,53
0.3,-19.379999,-21.24,53
-0.42,-19.439999,-21,53
-0.24,-19.26,-20.82,53
-0.3,-18.719999,-20.52,53
-0.18,-19.02,-20.76,53
0.24,-18.959999,-20.639999,53
0.36,-19.439999,-20.879999,53
-0.06,-18.9,-21.119999,53
0.36,-18.84,-20.939999,53
-0.24,-19.379999,-21.059999,53
0,-18.66,-21,53
0.42,-19.32,-21.359999,53
-0.36,-19.32,-21.059999,53
-0.12,-18.6,-20.58,53
-0.06,-18.6,-20.939999,53
0.24,-18.959999,-20.879999,53
0,-18.779999,-21.48,53
-0.42,-19.799999,-21.359999,53
0.06,-19.619999,-21.539999,53
-0.54,-19.68,-21.42,53
-0.6,-20.039999,-20.82,53
-0.12,-19.559999,-21,53
-9.059999,-22.619999,-15.42,1
-9.059999,-22.08,-15.299999,1
-9.42,-22.559999,-15.66,1
-9.36,-22.439999,-15.36,1
-8.58,-22.02,-15.299999,1
-8.7,-21.9,-15.66,1
-8.58,-22.08,-15.54,1
-8.94,-21.959999,-15.78,1
-8.82,-21.779999,-15.719999,1
-8.76,-22.139999,-15.48,1
-9.179999,-22.859999,-15.839999,1
-9.36,-22.859999,-15.719999,1
-9.48,-22.799999,-15.839999,1
-9.36,-22.799999,-15.179999,1
-9.12,-22.5,-15.299999,1
-9.059999,-22.559999,-15.059999,1
-8.76,-22.859999,-15.179999,1
-8.82,-22.619999,-15.36,1
-8.94,-22.559999,-15.839999,1
-9.179999,-22.559999,-15.42,1
-9.36,-22.199999,-15.66,1
-9.12,-22.08,-15.299999,1
-8.88,-22.199999,-15.599999,1
-9,-22.32,-15.54,1
-8.94,-22.379999,-15.299999,1
-8.82,-22.5,-15.78,1
-9,-22.439999,-15.839999,1
-9.719999,-22.5,-15.54,1
-9.36,-22.5,-15.78,1
-9.3,-22.5,-15.9,1
-8.88,-21.299999,-15.599999,1
-9.3,-21.959999,-15.12,1
-9.059999,-21.779999,-15.48,1
-9.059999,-22.5,-15.66,1
-9.3,-22.5,-15.839999,1
-1.8,-21.48,-19.859999,7
-1.86,-21.359999,-19.619999,7
-1.38,-21.42,-19.859999,7
-1.5,-21.24,-19.559999,7
-2.04,-21.84,-19.68,7
-2.22,-21.66,-19.619999,7
-1.68,-21.18,-19.74,7
-1.56,-21.059999,-19.799999,7
-1.98,-21.48,-19.379999,7
-2.1,-21.84,-19.26,7
-1.62,-22.02,-19.32,7
-1.5,-21.42,-19.74,7
-1.2,-21.18,-19.74,7
-1.26,-21.299999,-19.68,7
-1.68,-21.66,-19.26,7
-1.86,-21.42,-19.26,7
-1.56,-21.299999,-19.68,7
-1.86,-21.42,-19.799999,7
-1.68,-21.24,-19.799999,7
-1.62,-21.779999,-19.619999,7
-2.04,-21.84,-19.68,7
-1.92,-21.9,-19.68,7
-1.98,-21.6,-19.5,7
-1.98,-21.299999,-19.379999,7
-1.56,-21.299999,-19.5,7
-1.44,-20.82,-19.859999,7
-1.5,-21.059999,-20.039999,7
-2.16,-21.84,-19.559999,7
-1.86,-21.719999,-19.5,7
-1.26,-22.02,-19.559999,7
-1.44,-21.359999,-19.68,7
-1.74,-21,-19.199999,7
-1.8,-21.18,-19.02,7
-1.5,-21.719999,-19.439999,7
-1.86,-21.539999,-19.98,7
3.3,-21.24,-18.119999,11
3.3,-21.66,-18,11
3.12,-21.24,-17.82,11
2.94,-21.66,-18.24,11
2.88,-21.66,-18.299999,11
3.36,-21.779999,-18.48,11
2.88,-21.48,-18.9,11
2.82,-21.779999,-18.6,11
2.7,-21.66,-18.66,11
2.88,-21.059999,-18.539999,11
3.12,-21.299999,-18.18,11
2.88,-21.9,-18.779999,11
3.12,-21.539999,-19.02,11
3.36,-21,-18.719999,11
3.12,-21.66,-18.059999,11
3.36,-21.18,-18.059999,11
3.78,-21.359999,-18,11
3.24,-20.939999,-18.24,11
3.06,-21,-18.6,11
2.94,-21.299999,-18.299999,11
3.84,-20.939999,-18.42,11
3.84,-21.24,-18.359999,11
3.48,-21.18,-18.539999,11
3.06,-20.939999,-18.24,11
2.94,-21.42,-18.42,11
3.12,-21.299999,-18,11
2.82,-21.6,-18.48,11
3.36,-21.42,-18.42,11
2.82,-21.359999,-18.359999,11
2.58,-21.779999,-18.299999,11
2.76,-22.08,-18.359999,11
2.94,-21.299999,-18.42,11
3.06,-21.42,-18,11
3.18,-21.719999,-18.6,11
2.94,-21.299999,-18.539999,11
-5.34,-19.74,-18.42,51
-4.68,-19.26,-18.6,51
-4.74,-20.039999,-18.779999,51
-4.86,-19.439999,-18.6,51
-4.8,-19.199999,-18.539999,51
-4.92,-19.379999,-18.539999,51
