@relation RFKON_train
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute c8:6c:87:46:62:1c_ZyXEL8908bS3 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 18:28:61:c7:6b:67_inonet numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 04:18:d6:3e:4d:9f_ESOGU-WIFI numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 18:28:61:c7:6b:40_evarobot_wifi numeric
@attribute 98:fc:11:d7:73:e4_inonet-104 numeric
@attribute 18:28:61:72:86:cc_isimbulamadimp numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 08:37:3d:c7:8d:ea_B.B. numeric
@attribute 06:18:d6:c2:98:24_inonet-alt numeric
@attribute 04:18:d6:c1:98:24_inonet-alt numeric
@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute 88:e3:ab:57:c1:14_VINNWiFi-c114 numeric
@attribute 4c:5e:0c:6f:73:41_feniks-2 numeric
@attribute 64:70:02:a4:35:04_regulateurrestaurant numeric
@attribute 'ba:b4:2e:cd:29:8a_BLU LIFE PLAY' numeric
@attribute e8:37:7a:6c:7f:55_TTNET_ZyXEL_CA3E numeric
@attribute c8:d7:19:bc:98:31_ numeric
@attribute 38:2d:d1:3e:15:9d_isimbulamadimxx numeric
@attribute '3c:33:00:50:6c:77_RC Leading-506c77' numeric
@attribute e4:8d:8c:95:5c:60_evarobot_wifi numeric
@attribute REF_POINT {1,6,7,8,9,10,11,12,50,51,52,53,54}

@data
-76,100,100,100,100,-60,100,-70,-38,-68,100,100,100,100,-51,-24,100,-49,100,100,100,-60,-70,100,100,100,-53,-66,100,100,100,100,-57,-66,-57,100,100,12
100,100,100,100,100,-61,100,-73,-74,-69,100,100,100,100,-49,-25,100,-49,100,100,100,-59,-70,100,100,100,-51,-67,100,100,100,100,100,-67,-58,100,100,12
100,100,100,-82,100,-61,100,-70,100,-68,100,100,100,100,-49,-25,100,-49,100,100,100,-59,-70,100,100,100,-51,-66,100,100,100,100,-58,-67,-56,100,100,12
100,-70,100,100,100,-61,-86,-68,-38,-68,100,100,100,100,-49,-25,100,-49,100,100,100,-60,-70,100,100,100,-56,-65,100,100,100,100,-57,100,-57,100,100,12
100,-71,100,-83,100,-61,-85,-74,-38,-68,100,100,100,100,-49,-25,100,-49,100,100,100,-59,-70,100,100,100,-52,-66,100,100,100,100,-58,-66,-57,100,100,12
100,100,100,100,100,-59,100,-74,100,-68,100,100,-74,100,-49,-25,100,-48,100,100,100,-58,100,100,100,100,-52,-65,100,100,100,100,-58,100,-57,100,100,12
-76,100,100,100,-85,-57,100,100,-40,-69,100,100,100,100,-50,-24,100,-48,100,100,100,-53,-75,100,100,100,-54,-64,100,100,100,100,-58,100,-56,100,100,12
100,100,100,-82,100,-64,100,-72,100,100,100,100,100,100,-50,-25,100,-46,100,100,100,-55,100,100,100,100,-55,-66,100,100,100,100,-61,-65,-59,100,100,12
100,-69,100,100,100,-60,100,-74,-38,-69,100,100,100,100,-50,-25,100,-47,100,100,100,-54,100,100,100,100,-51,-67,100,100,100,100,-59,-67,-56,100,100,12
100,100,100,-83,100,-61,100,-71,-38,-70,100,100,100,100,-50,-25,100,-47,100,100,100,-56,-73,100,100,100,-49,-65,100,100,100,100,-63,-67,-56,100,100,12
100,-68,100,100,100,-64,100,-72,-37,-71,100,100,100,100,-50,-25,100,-47,100,100,100,-55,100,100,100,100,-51,-67,100,100,100,100,-58,100,-57,100,100,12
100,100,100,100,100,-61,100,-70,-39,100,100,100,100,100,-51,-25,100,-48,100,100,100,-52,-77,100,100,100,-51,-67,100,100,100,100,100,100,-56,100,100,12
-73,-69,100,100,100,-61,100,100,-36,100,100,100,-76,100,-50,-24,100,-47,100,100,100,-57,-76,100,100,100,-55,-65,100,100,100,100,-60,-69,-56,100,100,12
100,-68,100,100,100,-58,-87,-73,-37,100,100,100,100,100,-50,-24,100,-47,100,100,100,-57,-78,100,100,100,-52,-66,100,100,100,100,-60,100,-56,100,100,12
-76,-69,100,100,100,-54,100,-75,-43,-68,100,100,-74,100,-49,-25,100,-48,100,100,100,-56,-79,100,100,100,-52,-66,100,100,100,100,-58,-58,-55,100,100,12
100,-69,100,100,100,-59,100,-72,-38,100,100,100,-75,100,-49,-24,100,-47,100,100,100,-56,-70,100,100,100,-50,-66,100,100,100,100,-58,-68,-56,100,100,12
100,-69,100,100,100,-59,100,-71,-38,-68,100,100,100,100,-49,-24,100,-50,100,100,100,-57,-71,100,100,100,-53,-66,100,100,100,100,-59,-66,100,100,100,12
100,-69,100,100,100,-60,100,-72,-38,100,100,100,100,100,-49,-24,100,-50,100,100,100,-57,-70,100,100,100,-51,-66,100,100,100,100,-59,100,-57,100,100,12
100,100,100,100,100,-60,-78,-71,-38,-67,100,100,-74,100,-49,-24,100,-50,100,100,100,-55,-70,100,100,100,-54,-65,100,100,100,100,-59,-65,-57,100,100,12
-75,-68,100,100,100,-60,100,-72,-38,-68,100,100,-73,100,-49,-24,100,-50,100,100,100,-56,-69,100,100,100,-57,-65,100,100,100,100,-60,-66,-57,100,100,12
100,100,100,100,100,-60,100,-72,-38,-70,100,100,100,100,-49,-72,100,-50,100,100,100,-52,-70,100,100,100,-51,-66,100,100,100,100,100,-67,-57,100,100,12
100,-69,100,100,-89,-59,-87,-69,-41,100,100,100,100,100,-49,-24,100,-49,100,100,100,-56,100,100,100,100,-54,-64,100,100,100,100,-60,-66,-57,100,100,12
-77,100,100,100,100,-60,100,-71,-38,-67,100,100,-73,100,-49,-24,100,-50,100,100,100,-58,-70,100,100,100,-51,-59,100,100,100,100,-59,-66,-57,100,100,12
-77,-68,100,100,100,-60,100,-69,100,-67,100,100,100,100,-49,-24,100,-49,100,100,100,100,-71,100,100,100,-51,-66,100,100,100,100,-57,-67,-57,-88,100,12
100,100,100,100,100,-60,100,-70,-38,-68,100,100,-74,100,-50,-24,100,-49,100,100,100,-58,100,100,100,100,-51,-66,100,100,100,100,-58,-66,-57,100,100,12
100,-67,100,-81,100,-60,100,100,-38,-66,100,100,100,100,-49,-24,100,-50,100,100,100,-58,-70,100,100,100,-51,-66,100,100,100,100,-59,-66,-56,100,100,12
100,-69,100,100,100,-61,100,-70,-39,100,100,100,100,100,-50,-26,100,-50,100,100,100,100,-70,100,100,100,-51,-65,100,100,100,100,-59,100,-56,100,100,12
100,100,100,100,100,-61,100,100,-38,100,100,100,100,100,-49,-30,100,-49,100,100,100,-57,100,100,100,100,-52,-64,100,100,100,100,-59,-67,-56,100,100,12
100,-67,100,100,100,-61,100,100,-38,-71,100,100,100,100,-50,-24,100,-50,100,100,100,-58,100,100,100,100,-51,-66,100,100,100,100,-59,100,-56,100,100,12
-76,-68,100,100,100,100,-68,-73,-38,100,100,100,-75,100,-48,-24,100,-49,100,100,100,-57,-69,100,100,100,-51,-66,100,100,100,100,-59,-66,-56,100,100,12
-76,-68,100,100,100,-63,100,-74,100,100,100,100,-75,100,-50,-30,100,-49,100,100,100,-58,-70,100,100,100,-52,-65,100,100,100,100,-59,-66,-56,100,100,12
100,-68,100,100,100,-60,100,-74,-38,-67,100,100,100,100,-50,-25,100,-49,100,100,100,-57,100,100,100,100,-54,-66,100,100,100,100,-59,100,-56,100,100,12
100,-68,100,100,100,-63,100,-72,100,-66,100,100,100,100,100,-24,100,-49,100,100,100,-57,100,100,100,100,-52,-66,100,100,100,100,-60,-66,-56,100,100,12
100,-68,100,100,100,-60,100,100,-38,100,100,100,100,100,-50,-25,100,-49,100,100,100,-58,-70,100,100,100,-52,-66,100,100,100,100,-59,100,-57,100,100,12
100,100,100,-80,100,100,100,-69,-38,-68,100,100,-75,100,-50,-24,100,-49,100,100,100,-58,-70,100,100,100,-52,-66,100,100,100,100,-60,-66,-55,100,100,12
-76,-68,100,100,100,-63,100,-69,-38,-69,100,100,100,100,-50,-24,100,-49,100,100,100,-55,-70,100,100,100,-54,-66,100,100,100,100,-60,-66,-55,100,100,12
100,-69,100,100,100,100,100,100,-88,100,100,100,-74,100,-48,-24,100,-50,100,100,100,-57,100,100,100,100,-52,-66,100,100,100,100,-60,-66,-55,100,100,12
-75,-70,100,-80,100,-59,100,-73,-38,-69,100,100,-76,100,-50,-24,100,-49,100,100,100,-58,100,100,100,100,-55,-66,100,100,100,100,-60,-65,-55,100,100,12
100,-70,100,100,100,-59,100,-71,100,-68,100,100,100,100,-50,-24,100,-49,100,100,100,-55,100,100,100,100,-54,-66,100,100,100,100,-60,-67,-56,100,100,12
100,-74,100,-81,100,-60,100,-71,-38,-67,-71,100,-75,100,-50,-24,100,-49,100,100,100,-55,-76,100,100,100,-55,-66,100,100,100,100,-58,-68,-55,100,100,12
-77,100,100,100,100,-63,100,100,-39,100,100,100,100,100,100,-24,100,-49,100,100,100,100,-76,100,100,100,-56,-67,100,100,100,100,-60,100,-55,100,100,12
100,100,100,100,100,-51,100,-59,-32,-65,100,100,-73,100,100,-32,100,-45,100,100,100,-59,-73,100,100,100,-54,-64,100,100,100,100,-60,100,-66,100,100,52
-72,-64,100,-83,100,-53,-80,-61,-26,-64,100,100,-72,100,-57,-32,100,-43,100,100,100,-58,-73,100,100,100,-51,-60,100,100,100,100,-60,-81,100,100,100,52
100,-64,100,100,100,-52,-80,-65,-32,-65,100,100,100,100,-57,-32,100,-43,100,100,100,-68,-70,100,100,100,-55,-64,100,100,100,100,-67,100,100,100,100,52
100,100,100,100,100,-54,100,-60,-32,-65,100,100,-76,100,-57,-32,100,-45,100,100,100,-60,-74,100,100,100,-53,-64,100,100,100,100,-61,100,-66,100,100,52
-72,100,100,100,100,-59,100,-62,-31,-88,-68,100,100,100,-57,-32,100,-43,100,100,100,-58,-77,100,100,100,-49,-66,100,100,100,100,-60,-84,-69,100,100,52
100,100,100,-84,100,-50,100,-60,-32,-72,100,100,-75,100,-57,-33,100,-43,100,100,100,-57,-76,100,100,100,-54,-67,100,100,100,100,-62,100,-66,100,100,52
-73,-65,100,100,-85,-50,100,-60,-31,100,100,100,100,100,-57,-32,100,-44,100,100,100,-59,100,100,100,100,-55,-67,100,100,100,100,-60,-85,-66,100,100,52
100,100,100,100,100,-52,100,-62,-32,100,-66,100,-71,100,-57,-33,100,-44,100,100,100,-60,100,100,100,100,-50,-66,100,100,100,100,-62,-82,-69,100,100,52
100,-68,100,100,-86,-48,100,-60,-29,100,100,100,-71,100,-59,-33,100,-45,100,100,100,-59,-74,100,100,100,-50,-67,100,100,100,100,-65,100,-66,100,100,52
100,100,100,100,100,-51,-78,-61,-32,100,100,100,-72,100,-57,-33,100,-45,100,100,100,-60,100,100,100,100,-50,-65,100,100,100,100,-61,100,100,100,100,52
-72,-69,100,100,100,-51,100,-61,-30,100,100,100,100,100,100,-33,100,-43,100,100,100,-58,-73,100,100,100,-52,-65,100,100,100,100,-59,100,-66,100,100,52
-74,-66,100,100,-86,-49,100,-60,-33,100,100,100,100,100,-57,-32,100,-45,100,100,100,-60,100,100,100,100,-53,-66,100,100,100,100,-59,100,-68,100,100,52
100,100,100,100,100,-52,-79,-63,-32,-66,100,100,100,100,-57,-33,100,-45,100,100,100,-58,-74,100,100,100,-54,-66,100,100,100,100,-57,100,-67,100,100,52
-72,-66,100,100,100,-53,100,-61,-32,-64,100,100,-71,100,-56,-31,100,-45,100,100,100,-59,100,100,100,100,-54,-67,100,100,100,100,-59,100,100,100,100,52
-72,100,100,100,100,-51,100,-64,-31,100,100,100,100,100,100,100,100,-46,100,100,100,100,100,100,100,100,-58,-66,100,100,100,100,100,100,100,100,100,52
100,-72,100,-83,-88,-53,100,-62,-30,-68,-67,100,-75,100,-64,-33,100,-45,100,100,100,-59,-75,100,100,100,-50,-69,100,100,100,100,-57,100,-66,100,100,52
-74,-69,100,-84,-85,-51,100,-60,-31,100,100,100,-74,100,-63,-29,100,-43,100,100,100,-59,-79,100,100,100,-55,-66,100,100,100,100,-61,100,-68,100,100,52
-75,-72,100,100,100,-50,100,-62,-29,100,100,100,100,100,-57,-33,100,-42,100,100,100,-59,-75,100,100,100,-56,-64,100,100,100,100,-58,100,-66,100,100,52
100,100,100,100,100,-53,100,-61,-36,100,100,100,100,100,-56,-31,100,-45,100,100,100,-55,-76,100,100,100,-56,-67,100,100,100,100,-62,-74,-74,100,100,52
-73,-67,100,100,-86,-53,100,-62,-30,-65,100,100,-73,100,-62,-28,100,-45,100,100,100,-60,100,100,100,100,-57,-64,100,100,100,100,100,100,-69,100,100,52
100,-65,100,100,100,-54,100,-60,-31,-65,-75,100,-79,100,-56,-32,100,-43,100,100,100,-60,-76,100,100,100,-57,-64,100,100,100,100,-59,-81,-68,100,100,52
100,-65,100,100,100,-54,-78,-61,-31,-67,100,100,-73,100,-62,-31,100,-45,100,100,100,-57,-76,100,100,100,-56,-66,100,100,100,100,-58,-75,-69,100,100,52
-75,-66,100,-64,100,-54,100,-62,-31,-86,100,100,-72,100,100,-32,100,-44,100,100,100,-68,-77,100,100,100,-53,-66,100,100,100,100,-58,-78,-66,100,100,52
-73,-66,100,-84,100,-55,100,-61,-29,-64,100,100,-73,100,-55,-31,100,-45,100,100,100,-65,-76,100,100,100,-50,-65,100,100,100,100,-57,-76,-66,100,100,52
-74,-64,100,100,100,-53,100,-61,-28,-65,100,100,-73,100,-58,-31,100,-42,100,100,100,-67,-78,100,100,100,-53,-64,100,100,100,100,-60,100,-66,100,100,52
-76,-64,100,-85,100,-51,-83,-62,-35,-64,100,100,-71,100,-57,-32,100,-43,100,100,100,-56,-78,100,100,100,-58,-62,100,100,100,100,-59,-72,-64,100,100,52
100,-65,100,100,-83,-52,100,-60,-32,-63,100,100,-70,100,-58,-33,100,-42,100,100,100,-57,-73,100,100,100,-53,-66,100,100,100,100,-57,100,-67,100,100,52
-71,-67,100,100,100,-53,100,-59,-33,100,100,100,100,100,-59,-33,100,-44,100,100,100,-54,-72,100,100,100,-49,-67,100,100,100,100,-57,100,-67,100,100,52
100,-66,100,100,100,-50,100,-58,100,100,100,100,100,100,100,-34,100,-45,100,100,100,-57,-74,100,100,100,-52,-67,100,100,100,100,-58,100,-68,100,100,52
-74,-65,100,100,100,100,100,100,-31,-64,100,100,100,100,-58,-34,100,-44,100,100,100,-55,100,100,100,100,-52,-65,100,100,100,100,-57,100,-68,100,100,52
100,-65,100,100,100,-51,100,-61,-30,-65,100,100,100,100,-56,-34,100,-42,100,100,100,-55,-73,100,100,100,-49,-64,100,100,100,100,-59,100,-66,100,100,52
100,100,100,100,100,-47,100,-59,-31,100,100,100,100,100,-56,-34,100,-42,100,100,100,-56,-74,100,100,100,-54,-64,100,100,100,100,-54,100,-68,100,100,52
100,-69,100,-87,100,-48,100,-60,100,100,100,100,-71,100,100,-32,100,-44,100,100,100,-58,-73,100,100,100,-53,-61,100,100,100,100,-58,-76,-64,100,100,52
100,-65,100,100,100,-48,-80,-60,-31,-64,100,100,-70,100,-60,-32,100,-44,100,100,100,-56,100,100,100,100,-48,-67,100,100,100,100,-57,-73,-64,100,100,52
-73,-64,100,100,100,-48,100,-59,-31,-63,100,100,-83,100,-61,-32,100,-43,100,100,100,-57,100,100,100,100,-48,-66,100,100,100,100,-56,-75,-65,100,100,52
-73,-64,100,100,100,-52,100,-60,-31,-65,100,100,-71,100,100,-33,100,-42,100,100,100,-55,100,100,100,100,-54,-63,100,100,100,100,-58,100,-65,100,100,52
-73,-64,100,100,-84,-52,100,-60,-30,-63,-63,100,-70,100,-57,-32,100,-42,100,100,100,-57,-74,100,100,100,-49,-67,100,100,100,100,-57,100,-64,100,100,52
-75,-66,100,100,-84,-49,100,-61,-30,-64,100,100,-70,100,-64,-32,100,-42,100,100,100,-58,-74,100,100,100,-53,-65,100,100,100,100,-57,100,100,100,100,52
