@relation SamsungTablet_Train

@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute c8:d7:19:bc:98:31_ numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 04:18:d6:3e:4d:9f_ESOGU-WIFI numeric
@attribute e4:8d:8c:95:5c:60_evarobot_wifi numeric
@attribute c8:6c:87:46:62:1c_ZyXEL8908bS3 numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
-61,-33,-56,-47,-57,-52,-75,-42,100,-51,-62,100,-56,-65,100,100,100,-83,100,100,100,100,100,100,4
-61,-33,-54,-50,-57,-52,-35,-43,-83,-51,100,-72,-55,100,-69,100,100,100,-69,100,100,100,100,100,4
-62,-32,-57,-52,100,-51,-35,-42,-82,-49,-61,-69,100,-63,100,100,100,100,100,100,100,100,100,100,4
-62,-33,-54,-49,-56,-53,-35,-42,-83,-52,100,-70,-55,-63,-72,100,100,100,-68,100,100,-94,100,100,4
-62,100,-56,-49,-57,-45,-35,-43,-84,-50,-62,100,-57,100,100,100,100,100,-68,100,100,-95,100,100,4
-62,-33,100,-49,-57,-51,-35,-42,100,-58,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4
-62,-33,100,-49,-56,-52,100,-43,100,-51,-61,100,-55,100,100,100,100,100,100,100,100,-96,100,100,4
-62,-33,-55,-49,-57,-51,100,-44,100,-51,100,100,-57,-66,100,-74,100,100,100,100,100,100,100,100,4
-63,-33,-56,-49,-57,-52,-35,-47,100,-51,100,100,-55,100,100,100,-71,100,100,100,100,100,100,100,4
-61,-32,-55,-49,100,-52,-35,100,100,-52,100,-70,100,-62,100,100,100,100,100,100,100,100,100,100,4
-61,-33,-56,-49,-57,-52,-35,-42,100,-50,100,100,-56,100,100,100,100,100,100,100,100,-94,100,100,4
-62,-33,-56,-49,-57,-53,100,-42,100,-51,-61,-70,100,100,100,100,100,100,100,100,100,-94,100,100,4
-62,-33,-56,-50,-57,100,-35,100,100,-50,100,100,-56,100,100,-73,100,100,100,100,100,-94,100,100,4
-62,-33,-55,-49,100,-53,-35,-42,100,-49,-62,100,-56,-64,100,100,100,100,-66,100,100,100,100,100,4
-61,-32,-53,-48,100,-54,-35,100,100,-50,-61,-69,100,100,100,100,100,100,-69,100,100,100,100,100,4
-61,-33,100,-50,-55,-51,-35,-42,100,-51,100,100,-57,-63,100,100,100,100,100,100,100,100,100,100,4
-61,-33,-55,100,-58,-51,100,-42,100,-50,100,100,100,-63,100,100,100,100,100,100,100,100,100,100,4
-61,-33,-56,100,-56,-52,-35,-42,100,-50,-62,-69,100,100,100,100,100,100,-68,100,100,100,100,100,4
-64,-30,-43,-54,-59,-47,-85,-46,-75,-50,100,-70,-49,-58,100,-70,100,-79,100,100,100,100,100,100,13
-65,-30,-42,-48,-59,-47,-41,-46,-68,-50,-69,-69,100,-60,100,100,100,100,100,100,100,100,100,100,13
-65,-31,-43,-48,-60,-47,-40,-47,100,-49,-68,100,-50,100,100,100,100,100,100,100,100,100,100,100,13
-65,-30,-41,-48,-59,-47,-40,-47,100,-49,-68,-69,-48,-55,-71,-71,-76,100,-79,100,100,100,100,100,13
-65,-30,-42,-48,-59,-46,-40,-47,100,-49,100,100,-50,100,-71,100,100,100,100,100,100,100,100,100,13
-66,-31,-42,-48,-59,-49,-40,-47,100,-44,-72,100,-49,-60,-71,-71,100,100,-71,-85,100,100,100,100,13
-64,-31,-40,-48,-59,-49,-41,100,-80,-50,100,-70,-48,-59,-74,100,-76,-78,-70,100,-83,100,100,100,13
-65,-30,-43,-49,-61,-47,-41,-47,-78,-53,100,-70,-49,-60,-71,-59,100,100,100,100,-83,100,100,100,13
-48,-31,-41,-48,-60,-48,-40,-47,100,-48,-68,-71,-50,-60,-72,100,100,-80,100,100,-85,100,100,100,13
-66,-31,-41,-48,100,-49,-41,-49,100,-49,-68,-69,-50,-60,100,-70,-78,100,100,100,100,100,100,100,13
-65,100,-41,-48,100,-47,-41,-48,100,-50,-67,-70,-50,-62,100,100,100,100,100,100,100,100,100,100,13
-66,-31,-41,-48,-57,-46,-40,-47,100,-49,-68,100,-50,-60,-70,100,-79,100,100,100,100,100,100,100,13
-66,-30,-41,-48,-63,-48,-40,-48,100,-45,-69,100,-49,-60,-71,100,-78,100,-71,100,100,100,100,100,13
-66,-30,-42,-48,-59,-49,-40,-47,100,-53,-68,-69,100,100,-71,100,100,100,100,100,100,100,100,100,13
-66,-31,-40,-48,100,-49,-40,-68,100,-50,-69,-69,-49,100,-70,100,100,100,100,100,100,100,100,100,13
-66,-34,-40,-48,-59,-49,-40,-47,-80,-44,-68,100,-50,-61,-70,-70,-78,100,-70,100,100,100,100,100,13
-66,-31,-41,-48,-61,-49,-40,-48,100,-50,100,100,-50,-59,-72,-72,100,100,100,100,-84,100,100,100,13
-64,-31,-42,-48,-59,-49,-41,-47,-79,-50,-68,100,-49,-61,-71,100,100,100,-73,100,100,100,100,100,13
-64,-31,-41,-48,100,-49,-40,-47,-78,-49,-68,100,-50,-60,-70,-72,100,-79,-71,-86,100,100,100,100,13
-63,-30,-40,-48,100,-46,-41,-47,-79,-53,100,100,-50,-60,-72,100,100,100,100,100,100,100,100,100,13
-64,-31,-42,-48,-60,-48,-41,-44,100,-53,-69,100,-50,-60,-77,100,100,100,-70,100,100,100,100,100,13
-64,-30,-42,-48,-60,-47,-40,-47,-80,-51,100,-69,-50,-60,100,100,100,100,100,100,-86,100,100,100,13
-56,-30,-42,-48,-60,-49,-40,-47,100,-52,100,-69,-50,100,-70,-71,100,-79,-71,100,100,100,100,100,13
-64,-31,-43,-48,-60,-49,-41,100,100,-45,100,100,100,-60,100,100,100,100,100,100,100,100,100,100,13
-64,-30,-42,-49,-61,-49,-41,-48,-80,-50,100,-69,-49,-59,100,-72,100,-78,100,100,100,100,100,100,13
-64,-71,-42,-54,-60,-46,-40,-48,100,-49,-68,100,-49,-62,100,-73,100,100,100,100,100,100,100,100,13
-64,-30,-40,-53,-60,-49,-40,-85,100,-50,-69,100,-50,-63,-70,-72,100,-78,-70,100,100,100,100,100,13
-54,-30,-41,-49,-59,-49,-41,-48,100,-53,-69,-70,-49,100,100,-73,100,-78,100,100,100,100,100,100,13
-64,-30,-42,-48,-59,-49,-41,100,-79,-50,100,100,-49,-61,100,100,100,-80,100,100,100,100,100,100,13
-57,-30,-41,-54,-58,-46,-41,-48,-81,-52,100,-69,-50,-60,-70,-72,100,100,100,100,100,100,100,100,13
-65,-31,-42,-49,-61,-49,-41,100,-76,-50,100,100,-50,100,100,100,100,100,100,100,100,100,100,100,13
-66,-30,-42,-54,-62,-49,-41,-48,-75,-53,-68,100,-50,-60,-70,100,100,100,100,100,100,100,100,100,13
-58,-31,-42,-55,-66,-49,-41,-48,-79,-45,100,100,-87,-70,100,-73,100,-79,100,100,100,100,100,100,13
-64,-29,-42,-54,-60,-47,-40,-50,100,-53,100,-69,-50,-68,100,-71,100,-80,100,100,100,100,100,100,13
-67,-31,-43,-48,-59,-47,-42,-55,100,-52,-69,-70,-49,-59,100,-67,100,100,100,100,100,100,100,100,13
-67,-29,-42,-50,-57,-51,-40,-47,-78,-59,-68,-70,-49,100,-73,-68,100,100,-71,100,100,100,100,100,13
-63,-81,-43,-53,-60,-49,-42,-49,-81,-48,100,-70,-48,-60,-71,-72,100,100,100,100,-86,100,100,100,13
-66,-31,-41,-54,-59,-49,-40,-45,-79,-51,100,100,-50,-60,100,100,100,100,-69,100,100,100,100,100,13
-64,-31,-42,-54,-61,-49,-40,100,-79,-51,-69,100,-49,-60,-75,-69,100,100,100,100,100,100,100,100,13
-63,-31,-42,-48,-60,-48,-41,-49,-81,-44,100,-70,-49,100,-70,-71,100,100,100,100,100,100,100,100,13
-64,-30,-42,-50,-59,-49,-40,-48,-85,-49,-68,-70,-49,100,100,100,-80,-79,-70,100,100,100,100,100,13
-64,-31,-42,-55,-60,-48,-41,-50,100,-50,100,100,-49,-58,-73,100,100,100,-71,100,-86,100,100,100,13
-64,-85,-41,-54,-60,-48,-41,-48,-80,-49,100,-70,100,100,-69,100,100,100,100,100,-82,100,100,100,13
-64,-31,-43,-48,-59,-49,-41,-47,100,-52,100,-71,-49,-59,-73,-70,100,100,-72,100,100,100,100,100,13
-64,-31,-43,-48,-59,-48,-41,-48,100,-51,-68,-70,-49,-60,-69,100,-77,100,-79,100,-85,100,100,100,13
-56,-31,-43,-48,-66,-47,-40,-48,100,-50,-68,-68,-49,-60,-71,-70,-78,100,-70,100,100,100,100,100,13
-64,-31,-41,-49,-59,-49,-41,-48,-79,-49,-68,100,-50,-60,-74,100,100,100,-72,100,100,100,100,100,13
-65,-31,-41,-49,-59,-45,-41,-68,100,-50,-68,100,-49,-55,-75,-70,100,100,100,100,100,100,100,100,13
-65,-31,-40,-54,-60,-49,100,-48,100,-45,100,100,-49,100,-69,-72,100,100,100,100,100,100,100,100,13
-64,-31,-41,-48,-62,-48,-40,-48,100,-50,-68,-71,-50,-65,100,-71,100,-78,100,100,100,100,100,100,13
-65,-31,-43,-48,100,-48,-39,-49,100,-52,100,100,100,-60,100,-71,100,-78,100,100,100,100,100,100,13
-64,-31,-42,-48,-64,-49,-40,-47,-77,-45,100,-71,-50,-59,-69,-77,100,100,100,100,100,100,100,100,13
-64,-31,-43,-48,100,-48,-41,-50,-80,-49,-67,-71,-50,100,100,-71,100,100,100,100,100,100,100,100,13
-65,-31,-42,-54,-63,-49,-40,-49,-81,-45,-69,-72,-50,-61,-75,-72,100,-78,-71,100,100,100,100,100,13
-64,-31,-41,-48,100,-48,-41,-49,100,-50,100,100,-50,100,-74,100,-79,-78,100,100,100,100,100,100,13
-63,-31,-41,-49,100,-49,-41,-48,-80,-50,-69,100,-50,-61,-70,100,100,-79,100,100,100,100,100,100,13
-65,100,-43,-48,-60,-47,-41,100,-80,-52,-68,100,-50,-59,-72,100,100,100,100,100,100,100,100,100,13
-64,-31,-43,-48,-60,-49,-41,-48,100,-52,-73,-70,-50,-65,100,-71,100,-78,100,100,100,100,100,100,13
-64,-31,-43,-48,-59,-49,-42,-48,100,-45,100,-71,-50,-60,-70,-70,100,100,100,100,100,100,100,100,13
-56,100,-41,-48,-59,-49,-40,-48,-79,-45,100,-71,-50,-60,100,-70,-77,-79,-71,100,100,100,100,100,13
-65,-31,-43,-48,-60,-49,-40,-49,100,-48,100,100,-49,-59,100,-71,100,100,-70,100,100,100,100,100,13
-66,-31,-41,-48,-59,-50,-41,-49,-81,-49,100,100,-49,-61,-70,-71,100,-79,-71,100,100,100,100,100,13
-66,-31,-42,-48,-59,-50,-41,-48,-80,-49,100,-78,-50,100,100,-70,100,-79,100,100,100,100,100,100,13
-67,-31,-42,-48,-60,-52,-41,-49,100,-49,100,-71,-50,-61,100,-71,100,100,100,100,100,100,100,100,13
-65,-31,-41,-47,-60,-48,-41,-49,100,-49,100,100,-49,-60,100,-70,100,100,100,100,100,100,100,100,13
-66,-31,-42,-48,100,-48,-41,-49,100,-45,100,100,-50,100,100,100,100,100,100,100,100,100,100,100,13
-53,-31,-42,-48,-59,100,-40,-48,100,-49,100,100,-50,-61,100,-70,100,100,100,100,100,100,100,100,13
-66,-31,-41,-47,-62,-49,-41,100,100,-50,-68,-71,-50,100,-73,100,100,100,-69,100,100,100,100,100,13
-64,-31,-41,-50,-60,-50,-42,-50,100,-44,100,-73,-49,-60,-74,100,100,-78,100,100,100,100,100,100,13
-64,-30,-41,-48,-60,-49,-41,-49,-79,-50,-69,-72,-50,-67,100,-70,100,-78,-80,100,100,100,100,100,13
-66,-31,-41,-49,-60,-47,-40,-48,-78,-46,100,100,-49,-60,-71,100,100,100,100,100,100,100,100,100,13
-66,-31,-41,-49,-70,-49,-41,-50,-78,-43,100,-72,-50,100,100,-69,100,100,100,100,100,100,100,100,13
-66,-34,-41,-48,100,-48,-40,-49,100,-49,100,100,-50,-60,100,100,-78,100,100,100,100,100,100,100,13
-65,-31,-41,-54,-60,-46,-40,100,-79,-44,100,-71,-49,-60,100,100,100,100,100,100,100,100,100,100,13
-66,-34,-40,-55,-60,-49,-40,-50,-78,-47,100,100,-47,-62,100,100,100,100,100,100,100,100,100,100,13
-68,-32,-51,-52,-68,100,-39,-52,-82,-52,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,2
-68,-31,-48,-52,-69,-64,-39,-51,-82,-51,100,-74,-51,-60,100,-75,100,100,100,100,100,100,100,100,2
-69,-32,-51,-51,100,-63,-40,-51,-83,-56,100,100,100,-58,100,100,100,100,100,100,100,100,100,100,2
-69,-33,-51,-52,-67,-63,-39,-52,100,-56,100,-73,-50,-60,100,-76,100,100,100,100,100,100,100,100,2
-69,-32,-51,-57,100,-63,-40,-50,-81,-52,-71,100,100,100,-66,-75,100,100,-71,100,100,100,100,100,2
-61,-32,-49,-52,-66,-63,-40,-47,100,-52,100,100,-52,100,100,100,100,100,100,100,100,100,100,100,2
-68,-32,-51,-52,-70,-63,-39,-51,100,-52,100,100,-50,-58,100,100,100,100,100,100,100,100,100,100,2
-68,-32,-51,-52,-69,-64,-39,-50,-86,-56,100,100,100,-56,-67,100,100,100,-71,100,100,100,100,100,2
-68,-32,-49,-57,-64,-61,-39,100,100,-55,100,-73,-51,-59,-67,-76,-74,-81,100,100,100,100,100,100,2
-67,-32,-49,-52,-66,-63,-40,-54,100,-52,100,-74,-50,100,100,-76,100,-80,100,100,100,-93,100,100,2
-69,-84,-49,-52,-65,-64,-40,100,100,-56,100,100,-49,-58,100,-77,100,100,100,100,100,100,100,100,2
-69,-32,-48,-53,-66,-61,-39,100,-81,-52,100,100,-50,100,100,100,100,100,100,100,100,100,100,100,2
-68,-31,-50,-56,100,-59,-39,-50,-83,-50,-71,100,-52,100,-64,100,100,100,100,100,100,100,100,100,2
-67,-32,-51,-52,-64,-63,-39,-51,100,-52,100,100,100,-59,100,100,100,100,100,100,100,100,100,100,2
-68,100,-51,-51,-77,-64,-39,-51,-84,-51,-70,-74,-51,-55,100,-78,100,100,100,100,100,100,100,100,2
-67,-32,-51,-52,-72,-53,-39,-51,-79,-52,100,-72,-56,100,-70,-78,-71,100,-76,100,100,-94,100,100,2
-68,-32,-49,-52,-71,-64,-40,-51,-81,-56,100,-72,-49,-56,100,100,100,100,100,100,100,100,100,100,2
-68,-32,-51,-53,100,-61,-39,-50,100,-52,100,100,-50,-59,-63,100,100,100,100,100,100,100,100,100,2
-60,-32,-51,-52,-68,-59,-39,-52,100,-52,100,-74,-49,100,-66,-75,100,100,100,100,100,100,100,100,2
-62,-32,-51,-52,-66,-61,-39,100,100,-52,100,-75,-50,-58,100,100,100,100,100,100,100,100,100,100,2
-69,-32,-51,-53,-67,-64,-40,-51,-83,-51,100,100,-50,-57,100,100,100,100,100,100,100,100,100,100,2
-68,-32,-51,-52,-71,-64,-40,-52,-83,-56,100,-73,-52,-59,100,100,100,100,100,100,100,100,100,100,2
-69,-32,-51,-52,-68,-64,-40,-51,100,-52,100,100,-52,-58,100,100,100,100,100,100,100,-93,100,100,2
-70,-32,-48,-51,-66,-63,-40,-51,100,-57,100,-75,-50,100,100,100,100,100,100,100,100,100,100,100,2
-70,-33,-51,-51,-67,100,-41,-52,100,-51,100,100,-51,100,100,100,100,100,100,100,100,100,100,100,2
-70,100,-51,-52,-69,-64,-41,-52,100,-52,100,-74,-49,-58,100,100,100,-81,100,100,100,100,100,100,2
-69,-32,-51,-52,-71,-63,-39,-52,-82,-51,100,100,-55,100,100,100,100,100,100,100,100,100,100,100,2
-69,-32,-49,-52,-68,-66,-80,-51,-83,-52,100,-74,100,100,100,100,100,100,100,100,100,100,100,100,2
-68,-33,-51,-52,-67,-65,-41,-51,100,-52,100,-74,-50,-59,100,-77,100,100,100,100,100,-93,100,100,2
-69,-32,-50,-52,-68,-62,-40,-52,-80,-52,100,-75,-51,-55,100,-75,100,-80,100,100,100,100,100,100,2
-69,-32,-50,-56,100,-58,-41,-55,100,-53,100,100,-51,100,100,100,100,100,100,100,100,100,100,100,2
-69,100,-51,-51,100,100,-41,-52,-79,-57,100,100,-51,-56,100,-74,100,100,100,100,100,100,100,100,2
-62,-31,-49,-52,-69,-61,100,100,100,-57,100,-77,100,100,100,100,100,-81,100,100,100,100,100,100,2
-69,100,-51,-52,-69,-61,-40,-52,100,-52,100,100,-50,100,-69,100,100,100,100,100,100,100,100,100,2
-69,-32,-49,-52,-69,-60,-42,-52,-91,-53,100,100,-50,-57,100,100,100,100,100,100,100,100,100,100,2
-69,-32,-48,-52,-67,-61,-41,-53,-82,-52,100,100,-50,100,100,-75,100,100,100,100,100,100,100,100,2
-69,100,-51,-52,-69,-63,-40,100,-77,-57,100,100,-50,100,100,-76,100,100,100,100,100,100,100,100,2
-69,-32,-50,-56,-69,-66,-41,100,-81,-52,100,-75,-50,-57,100,-76,100,-81,100,100,100,-57,100,100,2
-69,-32,-48,-52,-68,-62,-40,100,100,-53,100,100,100,100,100,-75,100,100,100,100,-85,100,100,100,2
-68,-31,-50,-52,-67,-62,-39,-51,-76,-57,100,-74,-51,-57,100,-75,100,100,100,100,100,100,100,100,2
-62,-32,-50,-52,-69,-62,-41,100,100,-53,100,100,-50,-57,100,-76,100,-81,100,100,100,-93,100,100,2
-68,100,-49,-52,-68,-64,-40,-85,100,-54,100,100,-51,-64,100,100,100,100,100,100,100,-94,100,100,2
-67,-32,-51,-52,-68,-61,-45,-51,-82,-50,100,100,-50,100,100,100,100,100,100,100,100,100,100,100,2
-67,-32,-49,-52,-69,-62,-41,-52,-82,-53,-74,100,100,100,100,100,100,-81,100,100,100,100,100,100,2
-62,-32,-51,-52,-68,-62,-40,-52,-83,-53,100,-76,-50,100,100,-75,100,-81,100,100,100,100,100,100,2
-67,-86,-51,-52,-70,-57,-40,-51,-82,-53,100,-75,-50,100,100,100,100,-76,100,100,100,100,100,100,2
-68,-32,-51,-53,-68,-63,-40,-85,-82,-52,100,100,-50,-57,100,100,100,100,100,100,100,-93,100,100,2
-68,-32,-51,-53,-68,-61,-40,-51,-74,-57,100,100,-50,100,100,-74,100,-82,100,100,100,-93,100,100,2
-68,100,-51,-51,100,-63,-40,-52,-81,-53,100,100,-51,-57,100,100,100,100,100,100,100,100,100,100,2
-68,-32,-50,-52,-68,100,-39,100,-71,-58,100,100,-51,100,100,100,100,100,100,100,100,-93,100,100,2
-68,-32,-50,-52,-68,-58,-40,-54,-78,-52,100,100,-50,-58,100,100,100,-81,100,100,100,-94,100,100,2
-68,-32,-51,-51,-68,-62,-40,-52,100,-52,100,100,100,-58,100,-76,100,-81,100,100,100,100,100,100,2
-68,-32,-51,-52,-68,100,-40,-52,-81,-52,100,-75,100,-57,100,100,100,100,100,100,100,100,100,100,2
-67,-32,-51,-52,-70,100,-40,-50,100,-52,100,100,-51,-57,100,-75,100,100,100,100,100,100,100,100,2
-67,-33,-49,-52,-68,-63,-40,-51,-82,-57,100,-71,-51,100,100,-75,100,100,100,100,100,100,100,100,2
-68,-32,-51,-52,-69,-63,-40,-51,-82,-53,100,100,100,100,-68,-76,100,-81,100,100,100,100,100,100,2
-62,-32,-51,-51,-68,-56,-39,-52,-81,-53,100,100,-51,-56,100,-76,100,-81,100,100,100,100,100,100,2
-67,-32,-51,-51,100,-64,100,100,-82,-56,100,100,100,100,100,-75,100,100,100,100,100,-93,100,100,2
-67,-34,-51,-51,-68,-58,-40,-50,-79,-52,100,100,100,-57,100,100,100,100,100,100,100,100,100,100,2
-67,-32,-49,-52,-68,-63,-40,-51,100,-53,100,-74,-51,-55,100,-75,100,100,100,100,100,-94,100,100,2
-62,-32,-48,-52,-68,-65,-40,-51,-80,-52,100,100,-50,-57,100,100,100,100,100,100,100,100,100,100,2
-67,100,-51,-51,-63,-59,-40,-51,100,-52,100,-74,-50,100,100,100,100,100,100,100,100,100,100,100,2
-67,-32,-51,-56,-70,-59,-39,-50,-83,-53,100,-74,-52,-60,100,-77,100,100,100,100,100,-93,100,100,2
-66,100,-50,-56,-64,-59,-41,-48,100,-52,100,-72,-51,100,100,-75,100,100,-71,100,100,100,100,100,2
-67,-84,-53,-56,-62,-62,-50,-48,-82,-53,100,100,100,100,100,-75,100,-82,100,100,100,100,100,100,2
-65,-33,-50,-54,-64,-58,-37,100,-79,-55,100,100,-51,100,-69,-74,100,100,-74,-86,100,100,100,100,2
-65,100,-50,-54,100,-61,-40,-46,100,-53,-74,100,-52,-62,-67,100,100,-79,-72,100,100,100,100,100,2
-66,-34,-49,-54,100,100,-40,-45,100,-59,100,100,-52,100,100,100,100,100,-72,100,100,100,100,100,2
-66,-33,-50,-54,-63,-58,-39,-45,100,-53,100,-74,-53,-59,100,-78,100,100,-77,100,100,100,100,100,2
-65,-33,-47,-55,-63,-59,-41,-46,-73,-50,100,100,-52,100,100,100,100,100,100,100,100,-94,100,100,2
-65,-35,-49,-59,-63,100,-40,-45,-80,-51,100,100,-53,-63,100,100,100,100,100,100,100,100,100,100,2
-65,-34,-49,-56,100,-60,-40,-46,-82,-61,100,-75,-52,100,-67,-73,100,-78,-72,100,100,100,100,100,2
-65,-85,-49,-54,-63,-63,-40,-45,100,-51,100,100,-53,-63,100,100,100,100,-72,-86,100,100,100,100,2
-65,-33,-49,-55,-63,-59,-40,-46,-81,-55,-72,100,-53,-60,-62,-70,100,-71,100,100,100,-93,100,100,2
-67,100,-49,-55,-64,-58,-41,100,-78,-60,100,100,-52,100,-66,-71,100,100,100,100,100,100,100,100,2
-61,-31,-51,-60,-57,-54,-36,100,100,-50,100,100,-60,-65,100,100,100,100,100,100,100,100,100,100,5
-61,-31,-49,-60,-56,-57,-35,-53,-76,-52,100,100,-56,-67,100,100,100,100,100,100,100,100,100,100,5
-61,-31,-51,-53,-56,-54,-34,-54,100,-51,-68,100,-55,-67,100,-70,100,-82,100,100,100,100,100,100,5
-61,-31,-50,-52,-55,-54,-35,-53,-78,-49,-67,100,-55,100,-60,100,100,100,-74,100,100,100,100,100,5
-61,-31,-50,-53,-55,-53,-34,-54,-79,-50,100,-75,-55,100,-63,-71,100,100,100,100,100,100,100,100,5
-61,-31,-50,-52,-56,-54,-34,-51,-78,-51,-69,-76,-55,-68,-63,-71,100,-82,100,100,100,100,100,100,5
-61,-31,-50,-53,-56,-53,-34,-53,-77,-50,-67,100,-55,-67,-63,-71,100,-82,100,100,100,100,100,100,5
-61,-31,-50,-53,-54,-54,-34,-51,-79,-51,100,-75,-55,-67,-63,-71,100,100,100,100,100,100,100,100,5
-58,-30,-50,-52,-56,-53,-34,-54,-73,-49,-68,100,-55,-67,-63,-72,100,-80,100,100,100,100,100,100,5
-62,-31,-48,-53,-56,-54,-34,-53,-78,-51,-69,100,-55,-67,100,-70,100,100,-80,100,100,100,100,100,5
-61,-31,-47,-53,-57,-53,-33,100,100,-51,-67,100,-54,100,-59,-71,100,100,100,100,100,100,100,100,5
-61,-31,-47,-53,-56,-54,-33,-54,-77,-51,100,100,-57,-65,100,-70,100,100,100,100,100,100,100,100,5
-61,-31,-51,-53,-56,-52,-34,-53,-80,-50,100,-75,-56,100,-60,-71,100,100,100,100,100,100,100,100,5
-55,-31,-51,-53,-57,-54,-35,-53,-78,-51,100,-74,-60,100,100,-71,100,100,-74,100,100,100,100,100,5
-61,-31,-51,-53,-56,-53,-34,-53,-76,-50,100,-75,-56,-65,-63,-71,100,-81,100,100,100,100,100,100,5
-61,-31,-51,-52,-55,-54,-35,-53,100,-50,-67,-72,-55,-67,100,-70,-74,-82,100,100,100,100,100,100,5
-61,-30,-50,-52,-56,-54,-34,-54,-77,-51,100,-75,-56,100,-60,100,100,-83,-75,100,100,100,100,100,5
-61,-30,-50,-52,-56,-54,-34,-53,-78,-50,-67,-75,-55,100,-62,-70,100,100,100,100,100,100,100,100,5
-61,-30,-48,-53,-56,-54,-36,-54,100,-51,-69,100,-56,-67,100,-70,100,100,100,100,100,100,100,100,5
-61,-30,-51,-53,-56,-54,-35,-54,-78,-51,100,100,100,100,-61,100,100,100,100,100,100,100,100,100,5
-61,-30,-49,-61,100,-52,-35,-53,100,-51,-65,100,100,-66,-62,100,100,100,100,100,100,100,100,100,5
-61,-31,-49,-53,-56,-52,-36,-54,-80,-51,-66,100,-56,100,-63,100,100,100,100,100,100,100,100,100,5
-61,-30,-50,-54,-56,-56,-36,-53,100,-50,-66,100,100,-67,-63,100,100,100,100,100,100,100,100,100,5
-61,-31,-50,-53,-56,-54,-67,-54,-79,-51,-66,-76,-54,100,-61,-70,100,100,100,100,100,100,100,100,5
-61,-33,-50,-54,-56,-53,-36,-55,-78,-50,100,-75,-56,100,-57,-71,100,-83,100,100,100,100,100,100,5
-61,-31,-50,-53,-57,-53,-36,-55,-78,-50,-67,-75,-55,-67,-63,-71,100,-82,100,100,100,100,100,100,5
-61,-30,-49,-52,-55,-54,-35,-54,-78,-49,100,-75,-56,-66,-63,-73,100,-84,100,100,100,100,100,100,5
-62,-30,-50,-54,-56,-53,-35,-56,-79,-49,100,100,-55,100,-58,100,100,100,-75,100,100,100,100,100,5
-62,-30,-49,-53,-57,-54,-37,-55,-76,-51,100,100,-55,100,100,100,100,100,100,100,100,100,100,100,5
-62,-30,-50,-53,-56,-54,-36,100,-73,-50,100,100,-54,-68,-63,-71,-74,-73,100,100,100,100,100,100,5
-55,-29,-49,-53,-56,-54,-36,-57,-79,-51,100,-76,-56,100,-58,-71,100,100,100,100,100,100,100,100,5
-61,-30,-50,-52,-56,-54,-42,-55,100,-48,100,-76,-56,100,100,100,100,-82,100,100,100,100,100,100,5
-62,-30,-49,-55,-56,-52,-35,-54,-79,-51,100,-75,-56,-69,100,-68,100,-83,100,100,100,100,100,100,5
-62,-30,-50,-53,-56,-55,-83,-55,-79,-50,-69,-76,-55,100,-63,-70,100,-81,100,100,100,100,100,100,5
-62,-31,-50,-61,-57,-54,-36,-55,100,-50,100,100,100,-68,100,-70,100,100,100,100,100,100,100,100,5
-62,-32,-50,-56,-56,-54,-37,-54,100,-51,100,100,-56,-67,-63,100,100,-82,100,100,100,100,100,100,5
-62,-30,-49,-53,-56,-53,-35,-57,-80,-51,-70,-74,-55,-65,100,100,100,-83,100,100,100,100,100,100,5
-62,-30,-50,-52,-56,-52,-37,-55,100,-48,100,100,-55,100,-62,100,100,100,100,100,100,100,100,100,5
-63,-30,-49,-62,100,-54,-35,-55,100,-51,100,100,100,100,100,100,100,100,100,100,100,100,100,100,5
-63,-31,-51,-52,-56,-54,-35,100,100,-52,100,100,-55,-66,-60,100,100,100,100,100,100,100,100,100,5
-58,-32,-50,-53,-56,-52,-35,100,100,-50,100,100,-55,100,100,100,100,100,100,100,100,100,100,100,5
