@relation RFKON_train

@attribute 4c:5e:0c:71:a8:bf numeric
@attribute d4:ca:6d:bc:1d:73 numeric
@attribute 18:28:61:13:0d:9d numeric
@attribute 00:26:5a:52:0b:8c numeric
@attribute 18:28:61:58:78:6a numeric
@attribute 4c:5e:0c:6f:20:b2 numeric
@attribute 64:66:b3:d0:4a:8d numeric
@attribute dc:02:8e:c2:23:52 numeric
@attribute 4c:5e:0c:70:52:5a numeric
@attribute 18:28:61:9e:ab:5c numeric
@attribute 4c:5e:0c:6f:20:fa numeric
@attribute c8:6c:87:46:62:1c numeric
@attribute e4:8d:8c:20:4d:c1 numeric
@attribute 18:28:61:c7:6b:67 numeric
@attribute d4:ca:6d:c9:f1:c5 numeric
@attribute 4c:5e:0c:71:aa:15 numeric
@attribute 04:18:d6:3e:4d:9f numeric
@attribute 18:28:61:1c:0b:69 numeric
@attribute 18:28:61:c7:6b:40 numeric
@attribute 98:fc:11:d7:73:e4 numeric
@attribute 18:28:61:72:86:cc numeric
@attribute c0:4a:00:0f:03:51 numeric
@attribute 4c:5e:0c:23:44:33 numeric
@attribute 08:37:3d:c7:8d:ea numeric
@attribute 06:18:d6:c2:98:24 numeric
@attribute 04:18:d6:c1:98:24 numeric
@attribute 88:e3:ab:57:c1:14 numeric
@attribute 4c:5e:0c:6f:73:41 numeric
@attribute 64:70:02:a4:35:04 numeric
@attribute ba:b4:2e:cd:29:8a numeric
@attribute e8:37:7a:6c:7f:55 numeric
@attribute c8:d7:19:bc:98:31 numeric
@attribute 38:2d:d1:3e:15:9d numeric
@attribute 3c:33:00:50:6c:77 numeric
@attribute e4:8d:8c:95:5c:60 numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
-69,-63,100,-83,100,-55,100,-70,-32,100,-75,100,-71,100,-58,-31,100,-45,100,100,100,-52,-78,100,-64,-48,100,100,100,100,-59,-75,100,100,100,5
100,100,100,100,100,-58,100,-69,-32,100,100,100,-70,100,-59,-31,100,-44,100,100,100,-52,-79,100,-68,-47,100,100,100,100,100,-76,100,100,100,5
100,-63,100,-81,100,-64,-81,100,100,-72,100,100,100,100,-56,-30,100,-44,100,100,100,-50,100,100,-67,-49,100,100,100,100,100,100,100,100,100,5
100,-63,100,100,100,100,100,100,-33,100,-74,100,-69,100,-56,-31,100,-45,100,100,100,-52,-79,100,-68,-46,100,100,100,100,-58,100,100,100,100,5
100,-62,100,100,100,-63,100,-69,-50,-72,100,100,100,100,-57,-31,100,-44,100,100,100,-52,100,100,-68,-47,100,100,100,100,100,100,100,100,100,5
100,-67,100,-82,-86,100,100,100,-33,-74,100,100,-72,100,-57,-31,100,-44,100,100,100,-52,100,100,-68,-49,100,100,100,100,-58,-78,100,100,100,5
100,-63,100,100,100,-64,100,-68,-32,-76,100,100,-70,100,-56,-31,100,-45,100,100,100,-51,-79,100,-68,-48,100,100,100,100,-58,-84,100,100,100,5
-69,-63,100,100,100,-66,100,-69,-30,-76,-74,100,100,100,-56,-31,100,-44,100,100,100,-51,100,100,-55,-47,100,100,100,100,-58,100,100,100,100,5
100,-63,100,100,100,-64,-81,-69,-32,-74,-69,100,-71,100,-56,-31,100,-44,100,100,100,-51,-77,100,-55,-51,100,100,100,100,-56,100,100,100,100,5
-69,-64,100,100,-85,-61,100,100,-32,-73,-69,100,-71,100,-57,-31,100,-44,100,100,100,-52,-78,100,-65,-50,100,100,100,100,-58,100,100,100,100,5
-70,-65,100,-82,-88,-61,100,-64,-33,100,-73,100,-71,100,-57,-31,100,-45,100,100,100,-51,-78,100,-66,-46,100,100,100,100,-57,100,100,100,100,5
100,100,100,100,100,-63,-78,-67,-32,100,-69,100,100,100,-54,-31,100,-44,100,100,100,-51,-77,100,-67,-49,100,100,100,100,-55,-80,100,100,100,5
100,-63,100,100,100,-53,100,-70,-32,100,-67,100,100,100,100,-32,100,-44,100,100,100,-51,-81,100,-66,-50,100,100,100,100,-54,100,100,100,100,5
-69,-65,100,-83,100,-55,100,100,-33,100,100,100,100,100,-57,-31,100,-44,100,100,100,-51,100,100,-70,-46,100,100,100,100,-59,100,100,100,100,5
-68,-64,100,100,100,-50,100,100,-32,100,-69,100,100,100,-56,-31,100,-44,100,100,100,-51,100,100,-68,-45,100,100,100,100,-58,100,100,100,100,5
-69,-63,-86,-84,100,100,100,-73,-32,-74,-68,100,100,100,-59,-29,100,-45,100,100,100,-50,-76,100,-54,-50,100,100,100,100,-56,100,100,100,100,5
-70,-64,100,-82,100,-54,-81,-69,-32,100,-70,100,100,100,-56,-31,100,-44,100,100,100,-52,-77,100,-67,-46,100,100,100,100,-58,100,100,100,100,5
100,-61,100,100,100,-54,-81,-74,-32,-78,-68,100,-71,100,-59,-31,100,-44,100,100,100,-50,-77,100,-66,-47,100,100,100,100,-58,-82,100,100,100,5
-68,-63,100,100,100,-55,-82,-71,-36,-76,-69,100,-70,100,-59,-31,100,-44,100,100,100,-52,100,100,-68,-46,100,100,100,100,-59,-78,100,100,100,5
-69,-65,100,100,100,-52,-81,-67,-32,-77,-68,100,-71,100,-59,-31,100,-44,100,100,100,-51,-78,100,-67,-48,100,100,100,100,100,-81,100,100,100,5
-68,100,100,100,-87,-54,100,100,100,100,-74,100,100,100,-58,-31,100,-44,100,100,100,-53,-78,100,-64,-46,100,100,100,100,-57,100,100,100,100,5
100,100,100,-86,100,-52,-81,-72,-32,-75,100,100,-71,100,-60,-31,100,-44,100,100,100,-51,-76,100,-65,-46,100,100,100,100,-57,100,100,100,100,5
-68,100,100,100,100,-55,100,-72,-32,100,100,100,100,100,-58,-31,100,-44,100,100,100,-50,-78,100,-66,-46,100,100,100,100,-58,100,100,100,100,5
100,100,100,100,100,-54,100,-70,-33,-73,100,100,-70,100,-58,-31,100,-44,100,100,100,-51,-79,100,-67,-45,100,100,100,100,-58,100,100,100,100,5
100,-65,100,-82,100,-53,100,-77,-32,-70,100,100,-72,100,-58,-30,100,-44,100,100,100,-51,-77,100,-66,-47,100,100,100,100,-57,-75,100,100,100,5
100,-65,-88,-82,100,-53,-81,100,-69,100,-69,100,-72,100,-59,-31,100,-45,100,100,100,-52,-76,100,-66,-46,100,100,100,100,-58,-79,100,100,100,5
100,-64,100,100,100,-54,-83,-68,-32,-74,100,100,-71,100,-58,-31,100,-45,100,100,100,-50,-80,100,-59,-45,100,100,100,100,-58,-80,100,100,100,5
-69,-65,100,-83,100,-52,-81,-66,-33,-72,100,100,100,100,100,-31,100,-45,100,100,100,-50,100,100,-68,-48,100,100,100,100,-58,100,100,100,100,5
100,-65,100,-83,100,-53,-81,-74,-33,-79,-69,100,-72,100,-57,-32,100,-45,100,100,100,-50,-79,100,-66,-47,100,100,100,100,-50,-74,100,100,100,5
-69,100,100,100,100,-53,100,-75,-32,-72,-67,100,-69,100,100,-31,100,-45,100,100,100,-51,-78,100,-67,-48,100,100,100,100,-58,-76,100,100,100,5
-69,-66,100,-82,100,-50,100,100,-34,-70,-68,100,-71,100,-58,-31,100,-45,100,100,100,-50,-80,100,-66,-46,100,100,100,100,-58,-77,100,100,100,5
-69,-65,100,100,100,-55,100,-76,-34,100,-68,100,100,100,-66,-31,100,-45,100,100,100,-51,100,100,-69,-47,100,100,100,100,-59,100,100,100,100,5
100,100,100,100,100,-50,100,-69,-33,100,100,100,100,100,-66,-31,100,-44,100,100,100,-49,100,100,-67,-49,100,100,100,100,-58,100,100,100,100,5
-68,-65,100,-82,100,-52,100,-75,-34,-69,-69,100,-72,100,-58,-32,100,-45,100,100,100,-49,-80,100,-65,-46,100,100,100,100,-57,100,100,100,100,5
100,-65,100,-82,100,-50,-81,-69,-34,-71,-68,100,-72,100,-59,-31,100,-44,100,100,100,-51,100,100,-67,-47,100,100,100,100,-58,-77,100,100,100,5
-69,-66,100,-82,100,-51,100,-67,-33,-68,-69,100,-68,100,-57,-31,100,-44,100,100,100,-49,-81,100,-66,-47,100,100,100,100,-58,100,100,100,100,5
