@relation 'LogDosyasi_Samsung_Tablet_Train_WiFi-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 00:66:4b:1f:08:23_TeknoTAM numeric
@attribute 1c:87:2c:7e:23:9d_EROGLU-PUB numeric
@attribute 1c:87:2c:7e:23:9c_EROGLU-PRI numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
-54,-37,-31,-60,-58,-66,-49,-55,-67,?,-68,-70,-71,-60,-72,?,?,?,?,?,?,?,?,3
-56,-37,-31,?,-58,-68,-50,-53,-66,-69,-68,?,?,-61,?,?,?,?,?,-74,?,?,?,3
-54,-37,-31,-60,-59,-67,-51,-53,-66,-59,-67,?,?,-63,-70,-90,?,?,?,-73,?,?,?,3
-53,-37,-32,-57,-57,-63,-50,-53,-67,-68,-67,?,?,-61,?,?,?,?,?,?,?,?,?,3
-52,-36,-31,-60,-60,-67,-51,?,-70,-67,-63,?,-71,?,?,?,?,?,?,?,?,?,?,3
-53,-36,-30,-59,-59,-62,-51,-55,-68,-67,-66,?,-72,?,-71,?,?,?,?,?,?,?,?,3
-53,-36,-30,-61,-58,-62,-50,-54,-69,-68,-68,-71,-71,-62,-70,?,?,-87,?,?,?,?,?,3
-52,-36,-31,?,-59,-61,?,-53,-66,-67,-66,-74,?,-62,-71,?,?,?,-89,-72,?,?,?,3
-53,-36,-31,-60,-59,-61,-51,-54,-67,-67,-66,-73,?,-62,?,-90,-81,-86,-90,-72,?,?,?,3
-53,-37,-30,-60,-59,-63,-51,-53,-68,-67,-65,?,-73,?,-71,-87,-80,-86,?,-71,?,?,?,3
-52,-37,-31,-59,-60,-61,-52,-52,-68,-68,-85,-71,-72,-61,-71,?,?,?,?,?,?,?,?,3
-51,-37,-31,-59,?,-63,-48,-54,-67,-68,-67,?,?,-62,-71,-83,?,?,?,-74,?,?,?,3
-51,-36,-31,-61,-67,-65,-49,-52,-69,-68,-68,-68,?,-62,?,?,?,?,?,-75,?,?,?,3
-53,-37,?,-62,-73,-62,-53,-53,-66,-67,?,?,?,?,-70,?,?,?,-88,?,?,?,?,3
-51,-38,-30,-63,-57,?,-54,-53,-69,-67,-67,?,?,-62,-71,?,?,-84,?,?,?,?,?,3
-51,-37,-32,?,-59,-62,-54,-52,-70,-66,-72,-73,?,?,-71,?,?,?,-87,?,?,?,?,3
-50,-38,-31,-61,-59,-67,-52,-56,-69,-67,?,-71,-82,-61,-72,?,?,?,?,-74,?,?,?,3
-53,-38,-31,?,-60,-66,-52,-54,-68,-67,-70,-70,?,-61,-72,?,?,?,?,-73,?,?,?,3
-51,-38,-32,-59,-57,-64,-52,-54,-69,-67,-69,-72,?,-61,-72,?,?,-85,?,?,?,?,?,3
-51,-38,-31,-87,-59,-64,-51,-52,-86,-65,?,?,?,?,?,?,?,-85,?,-71,?,?,?,3
-51,-38,-31,?,-59,-61,-51,-52,-68,-67,-72,?,-80,-61,-71,?,?,?,?,?,?,?,?,3
-51,-36,-30,-60,-59,-60,-50,-52,-68,-67,-66,?,-81,-62,-71,?,?,-85,-87,?,?,?,?,3
-51,-37,-31,-61,-58,?,-49,-54,-69,-68,-67,-74,?,-62,-71,?,-79,-84,?,-72,?,?,?,3
-52,-37,-31,-58,-61,?,-51,-56,-67,-67,-65,-72,-71,-62,-71,?,?,?,?,?,?,?,?,3
-53,-36,-30,-59,-63,-65,-51,-55,-66,-68,-66,-74,-71,-61,?,?,?,?,?,-74,?,?,?,3
-51,-35,-31,?,-54,-69,-53,-52,-71,-68,-67,-76,-71,-61,?,?,-82,?,?,?,?,?,?,3
-51,-37,-32,-60,?,-63,-49,-53,-67,-67,-68,?,?,?,?,?,-80,?,?,?,?,?,?,3
-51,-36,-31,-64,-66,-64,-52,-54,-67,-68,-65,-71,?,-62,-71,?,?,?,?,-74,-85,?,?,3
-54,-40,-31,-60,-57,-65,-53,-51,-67,-65,-68,?,-73,-61,-72,?,?,?,?,?,?,?,?,3
-52,-39,-31,-61,-57,-63,-53,-52,?,-67,-67,?,-72,?,-72,?,?,-84,?,-73,-88,?,?,3
-52,-33,-30,-51,-48,-55,-53,-59,-80,-64,?,-57,?,-63,-73,-89,?,?,?,-78,?,?,?,3
-52,-35,-30,-57,-53,-56,-52,-57,-75,-65,-68,-58,-79,-63,-75,?,-86,?,?,-73,?,?,?,3
-53,-36,-30,-55,-52,-58,-50,-56,-75,-67,-65,-60,-77,-63,?,?,?,-84,?,-73,?,?,?,3
-52,-36,-30,-55,-54,-59,-52,-55,-79,-66,?,?,?,-61,-75,?,?,?,?,-72,?,?,?,3
-57,-36,-30,-55,-54,-59,-49,-56,-78,-56,-65,-59,-77,?,-75,?,?,-83,?,?,?,?,?,3
-51,-36,-30,-55,-54,-57,-50,-56,-77,-66,-65,-58,?,-62,?,?,?,?,?,?,?,?,?,3
-51,-83,-30,-60,-54,-58,-51,-56,-75,-67,?,-58,-75,-62,?,-86,?,?,?,-70,?,?,?,3
-59,-36,-30,-53,-54,-58,-51,-56,-75,-67,-67,-58,-74,-63,-76,?,-85,-84,?,-70,?,?,?,3
-54,-36,-30,-58,-54,-59,?,-55,-75,-67,?,-63,?,-61,?,?,?,?,?,?,?,-92,?,3
-52,-37,-30,-55,-54,-60,-50,-54,-76,-67,-64,-59,-75,-62,?,?,?,-83,?,?,?,?,?,3
-51,-37,-29,-54,-54,-59,-50,-58,-74,-68,-65,?,-75,-61,-70,?,-84,?,?,?,?,?,?,3
-57,-36,-30,-54,-54,-58,-50,-59,-75,-67,-65,?,?,-61,-75,?,-84,-84,?,-74,?,?,?,3
-52,-36,-30,-55,-55,-58,-49,?,-75,-67,-64,?,-77,-62,-74,-78,?,-86,?,-72,?,?,?,3
-51,-84,-34,-55,-51,-59,-50,-55,-79,-67,-64,-60,?,-61,-73,?,-85,?,?,?,?,?,?,3
-52,-36,-30,-55,-53,-59,-51,-55,-75,-67,-65,-60,?,?,-75,?,?,?,?,?,-88,?,?,3
-53,-36,-30,-54,-57,-59,-50,-54,-73,-67,-65,-59,?,-61,-75,?,?,?,-83,?,?,?,?,3
-51,-36,-30,-54,-54,-62,-51,?,-77,-62,-67,?,-77,-63,-76,?,?,?,?,?,?,?,?,3
-52,-36,-29,-54,-52,-58,-51,-55,-80,-67,-66,-58,-79,?,?,?,?,-83,-83,?,?,?,?,3
-55,-36,-29,-54,-54,-58,-50,-54,?,-67,-66,-57,-78,-63,-75,?,?,-82,?,?,?,?,?,3
-52,-36,-30,-55,-55,-58,-49,-54,-72,-66,-66,-58,-73,-61,-77,?,?,-83,?,-71,?,?,?,3
-51,?,-30,-55,-57,-54,-52,-56,?,-66,-66,-59,?,-63,?,?,?,-84,?,?,?,?,?,3
-57,-36,-30,-54,-55,-58,-51,-53,-81,-67,?,?,?,-62,?,?,?,-83,?,-74,?,?,?,3
-51,-36,-30,-54,-55,-59,-51,-55,-74,-67,-66,-59,-74,-62,-76,-83,?,?,?,-73,?,?,?,3
-51,-36,-30,-54,-56,-58,-46,-55,-73,-67,?,-59,-74,-61,?,?,?,-82,?,-72,?,?,?,3
-50,-36,-30,-54,-56,-57,-50,-56,-73,-67,-66,?,-76,-61,?,-85,?,-83,?,-72,?,?,?,3
-51,-36,-30,-54,-54,-57,-51,-55,-75,-68,-66,-57,?,-62,-76,-85,?,?,?,?,?,?,?,3
-51,-36,-29,-54,-56,-60,-50,?,-74,-68,-66,?,-77,-62,-75,?,?,-83,?,-71,?,?,?,3
-51,-36,-30,-54,-53,-58,-49,-54,-71,-66,-66,?,-75,-62,?,-88,?,?,?,-72,?,?,?,3
-52,-36,-30,-54,-53,-58,-51,?,?,-67,-66,-59,?,?,?,?,?,-85,?,?,?,?,?,3
-52,-36,-30,-54,-54,-59,-49,-55,?,-67,?,-59,?,-61,?,?,?,-85,?,?,?,?,?,3
-55,-36,-30,-53,-53,-58,-48,-57,-78,-68,-76,-58,-76,-61,-75,?,?,?,?,-72,?,?,?,3
-58,-36,-29,-54,-54,-58,-49,-55,-75,-67,-66,?,-76,?,?,?,?,-83,?,?,?,?,?,3
-54,?,-61,-54,-56,-60,-50,-56,-72,-67,-66,?,-73,-61,?,?,?,?,?,?,?,?,?,3
-52,?,-30,-54,-53,-59,-50,-57,-72,-67,-66,?,?,-62,?,?,?,?,?,?,?,?,?,3
-52,-36,-30,-54,-56,-58,-50,-54,-72,-67,?,-59,-76,-61,?,?,?,?,?,?,?,?,?,3
-52,-36,-30,-54,-55,-58,-53,-55,-74,-66,?,-60,?,?,?,?,?,?,-81,-72,?,?,?,3
-50,-36,-28,-55,-56,-58,-52,-54,?,-67,-67,-59,-77,-61,?,-85,?,-82,?,-71,?,?,?,3
-52,-36,-30,-55,-53,-58,-50,-53,-75,-67,-67,-60,?,-61,-75,-86,?,?,-84,?,?,?,?,3
-51,-36,-28,-54,-56,-57,-50,-56,?,-67,-67,?,?,-61,?,-86,?,?,-84,?,?,?,?,3
-52,-36,-30,-54,-54,-59,-53,-55,?,-68,-66,?,?,-61,?,?,?,?,?,?,?,?,?,3
-51,-37,-30,-54,-55,-58,-50,-54,-74,-68,-66,?,?,?,?,?,?,?,?,?,?,?,?,3
-56,-36,-30,-55,-55,-58,-51,-56,?,-68,-67,-61,?,?,-75,?,?,-83,?,?,?,?,?,3
-56,-77,-30,?,-56,-58,-50,-56,-73,-68,-66,?,?,-62,-75,-87,?,-82,-84,-74,?,?,?,3
-51,-36,-30,-55,-91,-58,-50,-54,-76,-68,-66,-60,-78,-61,-74,-78,-83,-83,?,?,?,?,?,3
-55,-30,-51,-65,-50,-60,-51,-52,-68,-64,-64,-59,?,-68,-75,?,?,?,?,-72,?,?,?,4
-58,-32,-39,?,-45,-56,-57,?,?,-67,-71,?,?,-67,-74,?,?,?,?,?,?,?,?,4
-56,-31,?,-56,-45,?,-50,-50,-64,-68,-67,?,?,-64,?,?,?,?,?,?,?,?,?,4
-55,-29,-33,-69,-44,-56,-50,-52,-63,-69,-64,-61,-76,-63,?,?,?,?,?,?,?,?,?,4
-51,-29,-33,-63,-43,-57,-52,-55,-64,-58,-65,?,?,-65,-72,?,?,-82,?,?,?,?,?,4
-54,-28,-33,-69,-44,-53,-51,-55,?,-66,-73,-63,-76,-65,-72,-81,?,?,?,?,-89,?,?,4
-54,-29,-33,-64,-44,-55,-48,-53,-62,-67,-64,-64,?,-64,-71,?,?,?,?,?,?,?,?,4
-56,-28,-33,-62,-46,-56,-49,-52,-63,-69,-68,?,-76,-65,-75,?,?,?,?,-71,?,?,?,4
-58,-27,?,-58,-44,-58,-51,-51,-62,-66,-63,-61,?,-64,?,?,?,?,?,?,?,?,?,4
-54,-27,-33,-58,-46,-56,-49,-52,-63,-67,-63,-59,?,-64,?,-80,?,?,?,?,?,?,?,4
-58,-28,-33,-59,-44,-55,-50,?,?,-67,-63,-59,-73,?,?,?,?,?,?,?,?,?,?,4
-59,-27,-33,-59,-46,-56,-50,-53,-62,-67,-64,?,?,?,?,?,?,-81,?,?,?,?,?,4
-59,-31,?,-59,-44,-54,-55,?,-62,-66,-64,-61,-80,-66,-72,?,?,?,?,-79,?,?,?,4
-59,-27,-33,-58,-44,-56,-49,-52,-63,-67,?,-58,-80,-66,?,?,?,-83,?,-75,?,?,?,4
-58,-27,-33,-66,-44,-56,-48,-51,?,-67,-65,-82,?,-64,?,?,?,?,?,?,?,?,?,4
-60,-27,-33,?,-46,-56,-48,-53,-61,-68,-66,-59,?,-63,-72,-82,?,-81,?,-78,?,?,?,4
-60,-58,?,-57,-43,-56,-48,-52,-62,-61,-64,?,?,?,-72,-79,-81,?,?,?,?,-90,?,4
-56,-31,-33,-62,-45,-55,-53,-53,-61,-66,-63,-61,?,-66,?,-82,?,?,?,?,?,?,?,4
-57,-27,-33,-61,?,-55,-50,-54,-59,-67,-64,?,?,-64,-75,?,?,?,?,-73,?,?,?,4
-59,-27,-33,-58,-46,-57,-52,-51,-61,-68,-66,?,-75,-64,?,?,?,?,?,-77,?,?,?,4
-58,-27,-32,-59,-44,-60,?,-53,-61,-67,-66,-66,-74,?,-74,?,?,?,?,?,?,?,?,4
-58,-27,-33,-57,?,-59,-50,-58,-62,-67,-66,?,-76,?,?,?,?,?,?,?,?,?,?,4
-56,-28,-33,-58,-46,-61,-48,?,-61,-68,-62,-60,-73,?,?,?,?,?,?,?,?,?,?,4
-59,-30,-33,-56,-48,-55,-51,-52,-64,-64,-64,?,?,?,?,?,?,-83,-83,?,?,?,?,4
-57,-29,-34,-55,-46,-56,-49,-50,-60,-66,-65,-63,?,?,?,?,?,?,?,?,?,?,?,4
-58,-29,-33,?,-47,-57,-49,-55,-65,-66,-63,-60,?,-65,?,?,?,?,?,?,?,?,?,4
-59,-30,-34,-56,-46,-56,-49,-50,-59,-66,-60,?,-80,?,?,?,?,?,-87,?,?,?,?,4
-61,-29,-33,-55,-47,-57,-51,-50,-62,-66,?,?,?,-63,?,?,?,?,?,?,?,?,?,4
-61,-29,-34,-56,-46,-56,-50,-50,-62,-66,-63,?,?,-64,?,?,?,-84,?,?,?,?,?,4
-57,-64,-33,-56,-45,-57,-52,-50,-63,-63,-63,?,?,-64,?,?,?,?,?,?,?,?,?,4
-58,-29,-33,-65,-45,-57,-49,-50,?,-67,-62,-61,-72,?,-73,?,?,?,?,?,?,?,?,4
-64,-29,-33,-56,-46,-58,-47,-50,-63,-69,?,?,-75,-65,-75,?,?,?,?,?,?,?,?,4
-65,-25,-33,-56,-45,-56,-63,-51,-60,-67,-63,?,-74,-66,-75,?,?,?,?,?,?,?,?,4
-63,-29,-33,-57,-43,-57,-46,-50,-60,-66,-62,-62,-73,-64,-75,?,?,?,?,?,?,?,?,4
-63,-29,-33,-57,-44,-57,-47,-50,-59,-61,-63,-60,?,-64,-73,?,?,?,?,?,?,?,?,4
-63,-29,-33,-57,-47,-57,-47,-50,-61,-67,-62,-60,?,-64,-74,?,?,?,?,?,?,?,?,4
-65,-29,-33,-57,-46,-57,-47,-50,-62,-67,-63,-62,?,-64,-73,?,?,?,?,?,?,?,?,4
-62,-29,-33,-57,-46,-57,-47,-52,-61,-67,-62,-60,?,?,?,?,?,?,?,?,?,?,?,4
-62,-32,-33,-57,-44,-57,-48,-51,?,-67,?,?,?,-66,?,?,?,?,?,?,?,?,?,4
-63,-29,-32,-57,-46,-57,-48,-49,-61,-67,-63,?,-75,-66,?,?,?,?,?,?,?,?,?,4
-59,-29,-32,-57,-44,-57,-49,?,-63,-67,-71,?,?,?,?,?,?,?,?,?,?,?,?,4
-66,-29,-33,-64,-46,-58,-50,-49,-63,-66,-64,-63,-83,-63,-72,?,?,?,-83,?,?,?,?,4
-63,-29,-32,-57,-44,-58,-50,-50,-61,-66,-63,-65,-75,?,-74,?,?,?,?,?,?,?,?,4
-63,-29,-32,-57,-46,-57,-51,-50,-60,-66,-70,-60,-77,?,?,?,?,?,?,?,?,?,?,4
-59,-59,-31,-56,-46,-58,?,-50,?,-67,?,?,-75,?,?,?,?,?,?,?,?,?,?,4
-63,-29,-32,-56,-46,-58,-49,-51,-63,-67,-65,?,?,?,-75,?,?,?,?,?,?,?,?,4
-63,-29,-33,?,-44,-57,-50,-49,-61,-64,-64,-58,?,-63,?,?,?,?,?,?,?,?,?,4
-60,-29,-34,-56,-44,-59,-48,-51,-63,-61,?,-60,-77,-64,-74,?,?,?,?,?,?,?,?,4
-61,?,-32,-65,-46,-58,?,-50,-62,-65,-63,-59,-74,?,?,?,?,?,?,?,?,?,?,4
-62,-29,-33,-57,-46,-57,-47,-50,-62,-67,-62,-55,?,-65,?,?,?,-86,?,?,?,?,?,4
-61,-29,-33,-57,-46,-59,-49,-50,-63,-67,-62,-59,-76,?,-75,?,?,?,?,?,?,?,?,4
-60,-29,-33,-58,-46,-58,-51,-51,-67,-67,-62,-60,-76,?,?,?,?,?,?,?,?,?,?,4
-62,-29,-33,-57,-46,-57,-50,-51,-66,-67,-62,-59,-76,-65,-73,?,?,?,?,?,?,?,?,4
-63,-30,-33,?,-46,-58,?,-50,?,-61,-62,-60,-76,?,?,?,?,?,?,?,?,?,?,4
-60,?,-33,-57,-44,-58,-50,-50,-67,-68,-63,-60,?,?,?,?,?,?,?,?,?,?,?,4
-64,-30,-33,-56,-46,-56,-49,-56,-62,-67,?,?,?,?,?,?,?,?,?,?,?,?,?,4
-63,?,-33,-56,-46,-53,-51,-50,-63,-68,-60,-59,?,?,?,?,?,-82,?,?,?,?,?,4
-64,-29,-32,-57,-46,-55,-57,-50,-62,-68,-62,?,?,?,-73,?,?,?,?,?,?,?,?,4
-64,-29,-33,-57,-46,-58,-51,?,-60,-67,-63,?,?,-64,?,?,?,?,?,?,?,?,?,4
-62,-30,-33,-57,?,-57,-50,?,-63,-68,-63,-59,-82,-65,?,?,?,-84,?,?,?,?,?,4
-63,-27,-71,-57,-44,-56,-48,-50,-60,-68,-62,-61,?,-65,-75,?,?,?,?,?,?,?,?,4
-63,-29,-33,?,-46,-58,-49,-49,?,-66,-63,?,-82,-65,?,?,?,?,?,?,?,?,?,4
-62,-29,-34,-58,-45,-56,-50,-50,-62,-68,?,?,?,?,?,?,?,?,?,?,?,?,?,4
-62,-29,-33,?,-47,-57,-49,-50,-61,-67,-63,?,?,-64,?,?,?,?,?,?,?,?,?,4
-62,-29,-33,-57,-44,-57,-49,-50,?,-67,-63,-59,?,-64,-74,?,?,?,?,?,?,?,?,4
-62,-29,-33,-58,-46,-58,-50,-50,?,-68,-84,-60,?,-64,?,?,?,?,-83,?,?,?,?,4
-59,-29,-33,-58,?,-60,-56,-51,?,-67,-68,?,?,-64,-77,?,?,?,?,?,?,?,?,4
-60,-32,-34,-57,?,-59,-58,?,-60,-67,-63,?,?,-64,-73,?,?,?,?,?,?,?,?,4
-60,-29,-33,-55,-46,-59,?,-49,-62,-67,-61,-59,?,-64,-74,?,?,?,?,?,?,?,?,4
-63,-30,-32,-57,-44,-59,-59,-50,-60,-68,-63,?,?,?,-73,?,?,?,?,?,?,?,?,4
-62,-29,-33,-58,-47,-56,-48,-50,-67,-68,-62,-59,-81,?,?,?,?,?,-82,?,?,?,?,4
-66,-29,-33,-57,-46,-56,-47,-51,-73,-69,-63,-58,-81,-64,?,?,?,?,?,?,?,?,?,4
-64,-29,-34,-58,-46,-56,-47,-50,-62,-67,?,?,?,-63,?,?,?,?,?,?,?,?,?,4
-63,-29,-33,-57,-45,-56,-46,-50,-75,-69,?,?,?,?,?,?,?,?,?,?,?,?,?,4
-63,-29,-34,-58,-46,-55,-47,-51,?,-68,-64,?,?,?,-74,?,?,?,?,?,?,?,?,4
-56,-29,-33,-58,-46,-57,-48,-50,-63,-68,-63,?,?,-64,-75,?,?,?,?,?,?,?,?,4
-63,-28,-33,-57,-44,?,-49,-51,-63,-69,-63,?,?,-64,-74,?,?,?,-83,?,?,?,?,4
-63,?,-34,-58,-48,-56,-51,-50,-63,-68,-69,?,?,?,?,?,?,?,?,?,?,?,?,4
-60,-29,-34,?,-44,-55,-62,?,?,-68,-63,-59,?,?,?,?,?,?,?,?,?,?,?,4
-60,-28,-34,-58,-45,-55,-51,-51,-60,-70,-64,?,?,?,-73,?,?,?,?,?,?,?,?,4
-54,-33,-35,-53,-47,-54,-43,-49,-68,-64,-63,-59,?,?,-79,-80,?,-75,?,-73,?,?,?,5
-53,-29,-36,-52,-51,-55,-46,-61,-68,-68,-67,-54,?,?,-72,?,?,?,?,?,?,?,?,5
-58,-35,-32,-51,-45,-57,-43,-51,-66,-64,-70,-59,-73,-66,?,?,?,?,-84,?,?,?,?,5
-52,-28,-33,-50,-47,-54,-42,-47,-69,-67,-64,-58,-74,-66,-78,-83,?,?,?,-76,?,?,?,5
-54,-30,-30,-51,-50,-55,-44,-49,-68,-67,-63,-59,-72,-64,-75,?,?,-68,?,-75,?,?,?,5
-55,-30,-30,-50,-50,-55,-42,-46,?,-67,-67,-56,?,-66,?,?,?,-76,?,-72,?,?,?,5
-53,-30,-34,-51,-50,-55,-43,-47,-70,-67,-65,-57,?,-65,-73,?,?,?,?,-77,?,?,?,5
-55,-29,?,-51,-52,-56,-42,-46,-67,-68,-65,-56,?,?,?,?,?,?,?,?,?,?,?,5
-55,-30,-31,-51,-51,-57,-43,-46,-69,-68,?,-56,-77,?,?,?,?,?,?,?,?,?,?,5
-57,?,-31,-48,-50,-57,-43,-47,-70,-67,-64,?,?,?,-74,?,?,-66,?,?,-86,?,?,5
-55,-29,-34,-51,-50,-56,-43,-46,-68,-67,-64,-58,?,-65,?,?,?,?,-90,?,?,?,?,5
-53,-30,-31,-51,-51,-56,-43,-46,-66,-67,-64,-56,-73,-65,?,?,?,?,?,?,?,?,?,5
-52,-29,-66,?,-51,-54,-43,-47,-69,-67,-64,?,?,?,?,?,?,?,?,?,?,?,?,5
-53,-29,-34,-52,-49,-56,-43,-46,-67,-68,-64,?,?,-65,-74,?,?,?,?,?,?,?,?,5
-54,-29,-31,-51,-51,-56,-43,-46,?,-60,-63,-56,?,-65,-74,?,?,?,?,?,?,?,?,5
-52,-30,-30,-50,-50,-56,-43,?,-67,-69,-65,?,-79,?,-73,?,?,?,?,?,?,?,?,5
-53,-29,-31,-51,-50,-54,-43,-46,?,-68,?,-56,-74,?,?,?,?,-77,?,-71,?,?,?,5
-52,-29,-30,-51,-51,-56,-44,-47,-65,-69,-65,-57,-73,-65,-73,?,?,?,?,?,?,?,?,5
-54,-30,-31,-51,-50,-56,-43,-47,-65,-69,?,-57,-72,-65,?,?,?,?,?,-69,?,?,?,5
-56,-30,?,-51,-48,-56,-43,-47,-65,-67,?,-55,?,?,?,?,?,?,?,?,?,?,?,5
-54,-29,?,-51,-50,-56,-43,-57,-65,-67,?,-57,-79,?,?,?,?,-76,?,?,?,?,?,5
-52,-30,-31,-51,-51,-57,-43,-47,-65,-66,?,?,?,?,-73,?,?,?,?,?,?,?,?,5
-52,-29,-31,-51,-51,-56,-43,-47,-65,-67,-64,-57,-73,-65,-74,?,?,-76,?,?,?,?,?,5
-52,-29,-31,?,-51,-56,-43,-47,?,-67,?,-56,?,-73,?,?,?,?,?,-69,?,?,?,5
-53,-29,?,-51,?,-55,-43,-47,-65,-67,?,?,?,?,?,?,?,?,?,?,?,?,?,5
-54,-28,-31,-50,-48,-56,-43,-56,-64,-68,-65,-57,-73,-64,-73,?,?,?,?,?,?,?,?,5
-53,-29,-31,-51,-51,-57,-43,-55,-64,-67,-65,-57,?,-65,-73,?,?,?,?,?,-86,?,?,5
-53,-27,-31,-51,-49,-56,-43,-46,-65,-66,-65,-57,?,-65,-73,?,?,?,?,?,?,?,?,5
-56,-30,-31,-51,-50,-56,-43,-48,-65,-67,-65,-55,-73,-64,-74,?,?,?,?,?,?,?,?,5
-53,-29,-30,-51,-50,-57,-45,-46,-72,-61,?,-57,?,-73,?,?,?,?,?,?,?,?,?,5
-52,-28,-30,-51,-50,-56,-43,-57,-71,-67,?,?,-78,-65,?,?,?,?,?,?,?,?,?,5
-56,-28,-31,-54,-51,-57,-43,-57,-65,-68,-65,-57,?,-65,-73,-82,?,?,-88,?,?,?,?,5
-53,-30,-30,-52,-53,-56,?,-46,-66,-68,?,?,?,?,-73,?,?,?,?,?,?,?,?,5
-53,-28,-30,-51,-51,-57,-42,-46,-66,-60,-66,?,?,?,?,?,?,?,?,?,?,?,?,5
-54,-30,-31,-54,-51,-56,-43,-47,?,-59,-65,-56,?,?,-72,-85,?,?,?,-77,?,?,?,5
-50,-29,-31,-50,-50,-55,-43,-51,-65,-68,-65,-57,-78,-65,-73,-82,?,?,?,?,?,?,?,5
-54,-30,-31,?,-49,-56,-43,?,-71,-68,-67,-56,?,?,?,?,?,?,?,-71,?,?,?,5
-50,-30,-64,-51,-51,-56,-43,-46,-73,-67,?,-57,-70,-64,?,?,?,-77,?,?,?,?,?,5
-50,-30,-31,-51,-50,-54,-42,-46,-66,-68,?,-57,-72,?,?,?,?,-77,?,-70,?,?,?,5
-53,-30,-31,-50,-51,-50,-45,-47,-64,-67,?,-58,?,-65,-70,?,?,?,-88,-68,?,?,?,5
-53,-29,-30,-54,-50,-56,-43,-46,-69,-67,?,-57,-79,?,?,-84,?,-77,?,?,?,?,?,5
-52,-29,-31,-51,-50,-56,-42,-56,-66,-68,-62,-58,-73,-66,-75,?,?,?,?,?,?,?,?,5
-51,-30,-31,-51,-51,-56,-42,-47,?,-68,?,-57,-81,-72,-73,?,?,?,?,?,?,?,?,5
-53,-29,-31,-51,-52,-56,-43,-58,-66,-69,-68,?,-74,-65,?,?,?,?,?,?,?,?,?,5
-53,-30,-30,-51,-50,-56,-43,-58,?,-67,?,?,?,?,?,?,?,?,?,?,?,?,?,5
-54,-29,-31,-53,-51,-57,-43,-46,?,-68,-65,-57,?,?,-73,-80,?,-82,?,-70,?,?,?,5
-54,-29,-31,-50,-51,-53,-43,-51,-66,-69,?,-57,-73,-72,?,?,?,-75,?,?,?,?,?,5
-55,-30,-31,-51,-51,-56,-43,-49,-73,-69,-66,-56,-80,-65,?,?,?,?,?,?,-85,?,?,5
-53,-30,-31,-55,-48,-56,?,-54,?,-65,-66,?,-74,?,-74,?,?,?,?,?,?,?,?,5
-54,-30,-29,-50,-51,-56,-43,-45,-67,-67,-66,-57,?,?,?,?,?,?,?,-73,?,?,?,5
-54,-30,-31,-51,-51,-56,-43,-47,-66,-67,-66,-57,-73,-65,-72,-82,?,?,?,?,?,?,?,5
-55,-30,-31,-51,-51,-57,-43,-55,?,-58,-67,-57,?,?,?,?,?,?,?,-69,?,?,?,5
-55,-30,-31,-50,-51,-56,-43,-57,-69,-66,?,-56,-72,-72,?,?,?,?,?,-71,?,?,?,5
-54,-30,-31,-51,-51,-56,-42,-46,-68,-67,-68,-57,?,-71,-73,?,?,?,?,?,?,?,?,5
-55,-30,-30,-51,-51,-56,-43,-59,-69,-66,?,?,-80,-65,?,?,?,?,?,?,?,?,?,5
-55,-29,-31,?,?,-56,-43,-57,-69,-66,-68,-58,?,-71,?,?,?,?,?,?,?,?,?,5
-55,-31,-31,-51,-49,-56,-43,-46,-67,-65,?,-57,?,-65,-72,-86,?,?,?,-76,?,?,?,5
-52,-30,-31,-51,-51,-56,-43,-56,-66,-67,?,?,?,?,?,?,?,-78,?,?,?,?,?,5
-54,-34,-31,-51,-52,-57,-43,-45,?,-66,?,?,?,-65,-73,?,?,-76,?,-73,?,?,?,5
