@relation 'LogDosyasi_Samsung_Tablet_Train_WiFi-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 00:66:4b:1f:08:23_TeknoTAM numeric
@attribute 1c:87:2c:7e:23:9d_EROGLU-PUB numeric
@attribute 1c:87:2c:7e:23:9c_EROGLU-PRI numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
-57,-34,-40,-59,-51,-63,-53,-58,-64,-65,-72,?,-70,-74,?,-84,?,?,?,?,?,?,?,1
-56,-34,-39,?,-49,-60,-53,?,-63,-65,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-51,-34,-39,?,-51,?,-53,-57,?,-65,-71,?,-72,-75,?,?,?,?,?,?,?,?,?,1
-56,-34,-39,-60,-49,-64,-52,-56,?,-66,-70,?,-69,?,?,-83,?,?,?,-73,-91,?,?,1
-57,-36,-40,-59,-49,-62,-52,-57,-68,-65,-75,?,-69,?,-78,?,?,?,?,-73,?,?,?,1
-55,-34,-71,-59,-51,-64,?,-57,-67,-65,?,?,-70,-76,-77,?,?,?,?,?,?,?,?,1
-59,-34,-39,-61,-51,-64,-53,-65,?,-65,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-52,-34,-39,-61,-51,-62,-52,-57,?,-66,-76,-69,-70,?,-78,?,-79,?,?,?,?,?,?,1
-57,-34,-38,-63,-51,-61,-55,-58,-63,-65,-72,-69,-70,-70,?,?,?,?,?,?,-88,?,?,1
-53,-32,-38,-62,-51,-61,-52,-57,?,-65,-76,?,-73,?,?,?,?,?,?,?,?,?,?,1
-57,-34,-38,-62,-49,-60,-51,-57,-63,-65,-72,-69,-76,-72,-78,?,?,?,?,-73,-87,?,?,1
-57,-34,-38,?,-51,-61,-52,-58,-64,-66,-72,?,-76,?,?,?,?,?,?,?,?,?,-92,1
-57,-34,-37,-60,-49,-61,-54,-58,-63,-66,-72,-69,-76,-72,-77,?,?,-90,?,?,-89,?,?,1
-56,-33,-37,-63,-52,-62,-51,-56,?,-65,-73,-70,-76,?,?,?,?,-90,?,?,?,?,?,1
-52,-34,-37,-62,-51,-61,?,-56,-64,-65,-72,-69,?,-74,?,?,?,?,?,?,-87,?,?,1
-57,-32,-37,-61,-51,-61,-51,-57,-67,-65,-72,-69,-79,-74,-77,-82,?,-87,?,?,?,?,?,1
-55,-33,-37,-60,-51,-62,-51,-57,-64,-66,-72,-68,-76,?,?,?,?,?,?,?,?,?,?,1
-51,-34,-37,-60,-51,-61,-51,-57,-64,-65,-73,-68,?,-74,?,-83,?,?,?,-73,?,?,?,1
-55,-34,-37,-59,-51,-61,-51,-57,-68,-66,?,-68,?,?,-76,?,?,?,?,?,?,?,?,1
-51,-34,-37,-60,-51,-60,?,-57,?,-65,-71,?,?,?,?,?,?,?,?,?,?,?,?,1
-55,-34,-38,-60,-49,-58,-51,-58,-63,-59,-71,?,-76,-73,-76,-83,?,?,?,?,?,?,?,1
-56,-34,-37,-58,-51,-61,-51,-56,-63,-65,-71,?,-76,-73,-76,?,?,-89,?,?,?,?,?,1
-56,-31,-37,-74,-49,-61,-51,-64,-64,-65,?,?,-75,-73,?,?,?,?,?,?,?,?,?,1
-56,-34,-39,?,-50,-61,-51,-56,?,-65,-70,-59,-76,-73,?,?,?,?,?,-72,?,?,?,1
-56,-33,-38,-60,-51,-59,-51,-57,-63,-65,?,-70,-76,-74,?,-78,?,?,?,?,?,?,?,1
-56,-33,-39,-58,-51,-62,-52,-56,-63,-65,-74,-68,-71,-73,?,-84,?,-89,?,-72,-89,?,?,1
-52,-34,-39,-59,-51,-63,-52,-58,-64,-65,-72,-68,-70,?,?,?,?,?,?,?,-86,?,?,1
-56,-34,-39,-60,-51,-59,-53,-58,-65,-63,?,-68,-70,?,?,-82,?,?,-87,-75,-88,?,?,1
-53,-34,-38,-60,-51,?,-52,-90,-64,-65,-71,?,-71,-72,?,?,?,?,-86,-73,?,?,?,1
-56,-34,-39,-60,-51,-65,-53,-57,-63,-65,?,-72,?,?,?,?,?,?,?,?,?,?,?,1
-56,-34,-38,-59,-51,-64,-53,-57,-64,-65,?,?,?,-75,?,?,?,?,?,-72,?,?,?,1
-56,-34,-37,-60,-50,-59,-53,-56,-63,-64,-75,?,-74,-76,?,?,?,?,?,-71,-89,?,?,1
-56,-34,-39,-60,-52,-61,-53,-57,-63,-65,-74,-69,-70,-72,?,?,?,?,-86,-72,?,-94,?,1
-53,-33,-39,-59,-51,-62,-54,-56,-63,-65,-70,-68,-70,-72,?,-79,?,?,?,-73,?,?,?,1
-55,-33,-39,-60,-51,-64,-54,-57,-63,-65,-70,-70,-71,-71,-77,?,-84,?,-86,?,-89,?,?,1
-55,-33,-39,-61,-49,-65,-54,-57,?,-65,-70,-67,-70,-70,?,?,?,-82,?,?,?,?,?,1
-57,-34,-40,-61,-51,-62,-54,-57,-68,-65,-69,?,-70,?,?,?,?,?,?,?,?,?,?,1
-58,-33,-38,-62,-51,-62,-52,-57,-64,-66,-69,?,-70,-71,-77,?,?,-87,?,?,?,?,?,1
-52,-34,-40,-60,-51,-61,-53,-57,-64,-65,-71,-66,-70,-71,?,-81,?,?,?,-71,?,?,?,1
-58,-35,-41,-60,-51,-60,-53,-57,-64,-65,-72,-66,-69,-73,-78,?,?,?,?,-74,-90,?,?,1
-57,-34,-40,-61,-52,-60,-51,?,-62,-66,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-57,-34,-40,?,-52,-62,-52,-57,-63,-65,-73,?,?,?,-79,?,?,?,?,?,?,?,?,1
-57,-34,-39,-60,-51,-62,-52,-56,-68,-65,?,?,?,-72,?,?,?,-84,?,?,?,?,?,1
-63,-41,-42,-56,-60,-62,-64,-64,-64,-69,-68,-71,-74,-75,-77,?,?,?,?,?,?,?,?,2
-66,-39,-64,-54,-60,-56,-52,-62,-63,-69,-69,?,-71,-71,?,-77,?,?,?,?,?,?,?,2
-64,-42,-30,-54,-57,-57,-49,?,-63,-69,-66,?,-72,-69,?,-79,-79,?,?,?,?,?,?,2
-53,-40,-30,-53,-56,-57,-48,?,-63,-70,-65,?,-72,?,?,?,?,?,?,?,?,?,?,2
-63,-41,-30,-54,-56,-58,-50,-87,-61,-69,-66,-71,?,?,?,?,?,?,?,?,?,?,?,2
-65,-41,-30,-52,-55,-59,-48,?,-62,-70,?,?,-71,-71,?,-79,?,-83,-85,?,?,?,?,2
-64,-40,-30,-53,-57,-59,-48,?,-63,-70,-67,?,-71,-70,?,?,?,?,?,?,?,?,?,2
-63,-40,-30,-53,-73,-58,-50,-63,-64,-70,-65,?,?,-70,-78,-78,?,?,?,?,?,?,?,2
-63,-42,-31,?,-57,?,-52,-64,-62,-70,-65,?,-72,-69,-76,-78,?,?,?,?,?,?,?,2
-64,-41,-31,-53,-57,-58,-50,-60,-62,-70,?,?,?,-70,?,-78,?,?,?,?,?,?,?,2
-60,-40,-30,?,-53,-58,-50,-61,-64,-68,?,-68,?,-70,?,-79,-82,?,?,?,?,?,?,2
-63,-37,-29,-55,?,-58,-47,-60,-62,-70,?,?,-71,-69,-83,-72,?,?,-85,?,?,?,?,2
-63,-37,-30,-53,-56,-58,-49,-65,-62,-71,-64,?,?,-68,?,-79,-79,?,?,-70,?,?,?,2
-63,-38,-31,-54,-58,-58,-52,-63,-62,-70,-65,?,-71,?,-76,-80,?,?,?,?,?,?,?,2
-63,-38,-30,-54,-57,-58,-48,?,-63,-72,-65,?,-72,-68,-75,-80,?,?,-85,-69,?,?,?,2
-63,-38,-31,-54,-57,-58,-49,-63,-61,-73,-65,-72,-71,-68,-77,-79,?,-83,?,-74,?,?,?,2
-62,-38,-31,-54,-56,-58,-49,-64,-63,-70,-65,-72,?,?,-76,?,?,?,?,-74,?,?,?,2
-60,-38,-30,-54,?,-58,-47,?,-64,-71,-65,?,?,?,?,?,?,?,?,?,?,?,?,2
-63,-38,-30,?,-56,-58,-47,-58,-64,-71,-64,?,-71,?,-77,-79,?,?,?,?,?,?,?,2
-63,-38,-30,-53,-57,-57,-51,-64,-63,-70,-64,-75,-71,-69,-77,-81,-81,?,-83,-70,?,?,?,2
-63,-38,-30,-51,?,-58,-47,-63,-62,-71,-65,?,?,-69,-75,-81,?,?,?,-68,?,?,?,2
-63,-38,-30,?,-57,-58,-49,-62,-63,-69,?,?,?,-68,?,?,?,?,?,-71,?,?,?,2
-62,-37,-31,-54,-57,-58,?,-65,?,-73,-65,-70,-71,-69,-76,-82,?,?,?,-83,?,?,?,2
-62,-37,-29,-54,-56,-58,-47,?,-63,-68,?,?,-71,-69,?,?,-82,?,?,-75,?,?,?,2
-63,-40,-31,-53,-56,-59,-49,-67,-62,-70,?,?,-71,-69,-76,-78,-79,?,?,-74,?,?,?,2
-65,-36,-30,-53,-56,-59,-50,?,-63,-70,-67,?,?,-70,?,-82,-81,-82,?,-69,?,?,?,2
-60,-39,-30,-56,-56,-58,-52,-63,-63,-69,-67,?,-70,-69,?,-73,-82,?,-86,-69,?,?,?,2
-62,-38,-31,-54,-55,-58,-51,-66,-61,-68,-68,?,-71,-70,-76,-79,?,?,?,?,?,?,?,2
-61,-37,-31,-53,-57,-60,-52,-61,-62,-60,?,?,?,-70,?,?,?,-82,?,?,?,?,?,2
-61,-37,-31,-55,-56,-58,-50,-63,-63,-69,-73,?,-70,-69,?,?,?,-85,?,?,?,?,?,2
-62,-38,-31,?,-60,-57,-51,-85,-63,-71,-66,-71,-72,-68,-74,?,?,-82,?,?,?,?,?,2
-61,-39,-31,-54,-52,-58,-50,-62,-61,-58,-65,?,?,-70,-75,-79,?,?,?,?,?,?,?,2
-61,-38,-31,?,-55,-58,?,-63,-64,-71,-66,-70,-76,-69,?,?,-79,-84,?,?,?,?,?,2
-61,-39,-29,-54,-60,-58,-50,?,?,-70,-66,?,-72,-69,-75,?,?,?,?,-71,?,?,?,2
-60,-39,-30,?,-58,-59,-53,-79,-63,-69,-66,?,-73,-69,-74,?,-80,?,?,-69,?,?,?,2
-62,-37,-30,-53,-55,-59,?,-59,-62,-71,-67,-73,?,?,?,-78,?,?,?,-70,?,?,?,2
-61,-39,-31,-53,-57,-58,-51,-60,-63,-70,-66,-71,?,-69,?,-79,?,?,?,?,?,?,?,2
-62,-39,-31,-53,-58,-59,-56,-60,-63,-71,-67,?,-72,-69,-75,-81,?,?,?,-70,?,?,?,2
-63,-40,-31,-54,-58,-59,-49,-60,-64,-70,-66,?,?,-70,-75,-79,?,?,?,-71,?,?,?,2
-52,-38,-31,-53,-57,-58,-50,-56,-64,-71,-67,?,-70,-69,?,?,?,?,?,?,?,?,?,2
-62,-39,-30,-54,-58,-58,-50,-71,-63,-70,-68,?,-72,-70,-75,?,?,-82,?,-73,?,?,?,2
-61,-39,-30,-54,-56,-57,-50,-61,-63,-70,-66,-70,?,?,-75,-78,?,?,?,?,?,?,?,2
-60,-37,-30,-55,-58,-59,-53,-60,-62,-72,-66,?,-72,-69,?,?,-81,?,?,?,?,?,?,2
-60,-38,-30,-57,-57,-58,-50,-64,-63,-69,-66,?,-72,-69,?,?,?,-82,-85,?,?,?,?,2
-59,-37,-30,-53,-58,-59,-51,-78,-64,-70,-68,-71,?,-69,?,-83,?,?,?,-70,-88,?,?,2
-60,-37,-30,-54,-56,-58,-50,-62,-63,-70,-66,?,?,?,?,?,?,?,?,-70,?,?,?,2
-61,-39,-30,-55,-57,-58,-50,-73,-63,-72,-69,-71,-72,-69,-76,-80,-80,?,?,?,?,?,?,2
-62,-39,-31,-53,-54,-57,-49,-59,-63,-69,-68,?,?,-69,-75,-81,-79,?,?,?,?,?,?,2
-63,-37,-34,-56,-59,-55,-47,-63,-65,-67,-67,-69,-72,-71,?,-80,?,?,?,-75,-86,?,?,2
-62,-39,-31,-56,?,?,-49,?,-63,-71,-67,?,?,-67,?,?,?,?,?,-76,?,?,?,2
-65,-38,-29,-54,-57,-54,-49,-65,-63,-72,-69,?,-75,?,?,?,?,?,?,?,?,?,?,2
-65,-40,-30,-54,-60,-56,-50,-63,-63,-67,-67,?,?,-72,-77,?,?,?,?,?,?,?,?,2
-65,-41,-30,-54,-59,-56,-50,-56,-64,-68,-68,-70,-85,-68,?,?,-78,?,-93,?,?,?,?,2
-61,-43,-30,-57,-57,-56,-49,?,?,-65,-68,?,-71,-70,-78,?,?,?,?,?,?,?,?,2
-63,-41,-26,-55,-57,-58,-51,-65,-64,-68,?,?,?,?,-77,?,?,?,-87,?,?,?,?,2
-65,-41,-27,?,-59,-58,-51,-57,-63,-68,?,-76,-73,-69,?,?,?,?,?,?,?,?,?,2
-64,-42,-27,-55,-59,-57,-50,-60,-63,-67,?,-73,-84,?,-78,-84,-77,?,?,?,-90,?,?,2
-63,-42,-29,-55,-59,-58,-51,-70,-65,-65,-69,-73,-73,-68,?,-70,?,-81,?,?,?,?,?,2
-62,-39,-29,-55,-56,-58,-49,-60,-63,-69,-68,-70,-72,-68,?,?,?,?,?,-70,-88,?,?,2
-61,-40,-30,-54,-58,-59,?,-61,-64,-65,-66,-68,?,-67,?,?,-80,?,?,?,?,?,?,2
-61,-40,-29,?,-58,-61,-48,-59,-84,-63,-69,?,?,-68,?,?,?,?,?,-88,?,?,?,2
-61,-41,-30,-55,-59,-58,-50,-63,-65,-67,-69,-70,-74,-67,?,-78,?,?,?,?,-88,?,?,2
-63,-39,-35,-54,?,-61,-49,?,-64,-65,?,?,-79,-67,?,?,?,?,?,?,?,?,?,2
-59,-39,-30,-56,-57,-59,-48,-62,-65,-63,-73,-67,-74,?,-79,?,?,?,?,?,?,?,?,2
-60,-38,-30,-54,-55,-58,-50,?,?,-68,-69,?,?,?,?,?,?,?,?,?,?,?,?,2
-62,-37,-35,-54,-61,-58,-50,-67,-63,-69,-70,?,?,?,?,?,?,?,?,?,?,?,?,2
-63,-38,?,-54,-57,-60,-51,-73,-64,-67,?,?,?,-71,-77,?,?,?,-85,?,?,?,?,2
-61,-37,-29,-54,-59,-62,-50,-58,?,-65,-74,-69,-73,-68,?,?,?,?,?,-72,-85,?,?,2
-64,-43,-30,-55,-58,-58,-51,-60,-64,-63,-67,?,?,?,?,?,?,?,?,?,?,?,?,2
-64,-36,-29,-55,-57,-56,-46,?,-64,-63,-69,?,?,?,-81,?,?,?,?,?,?,?,?,2
-62,-37,-30,-56,-57,-57,-48,-63,-68,-70,?,?,?,-70,-76,?,?,?,-89,-73,?,?,?,2
