@relation 'LogDosyasi_Samsung_Tablet_Train_WiFi_MF-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27'

@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 00:66:4b:1f:08:23_TeknoTAM numeric
@attribute 1c:87:2c:7e:23:9d_EROGLU-PUB numeric
@attribute 1c:87:2c:7e:23:9c_EROGLU-PRI numeric
@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
-54,-28,-33,-69,-44,-53,-51,-55,?,-66,-73,-63,-76,-65,-72,-81,?,?,?,?,-89,?,?,6.84,-22.74,-27.599998,4
-54,-29,-33,-64,-44,-55,-48,-53,-62,-67,-64,-64,?,-64,-71,?,?,?,?,?,?,?,?,5.58,-25.559999,-26.639999,4
-56,-28,-33,-62,-46,-56,-49,-52,-63,-69,-68,?,-76,-65,-75,?,?,?,?,-71,?,?,?,6.06,-24.719999,-26.76,4
-58,-27,?,-58,-44,-58,-51,-51,-62,-66,-63,-61,?,-64,?,?,?,?,?,?,?,?,?,5.94,-24.119999,-27.359999,4
-54,-27,-33,-58,-46,-56,-49,-52,-63,-67,-63,-59,?,-64,?,-80,?,?,?,?,?,?,?,5.52,-24.539999,-26.879999,4
-58,-28,-33,-59,-44,-55,-50,?,?,-67,-63,-59,-73,?,?,?,?,?,?,?,?,?,?,6.18,-23.519999,-27.119999,4
-59,-27,-33,-59,-46,-56,-50,-53,-62,-67,-64,?,?,?,?,?,?,-81,?,?,?,?,?,6.66,-23.459999,-27.18,4
-59,-31,?,-59,-44,-54,-55,?,-62,-66,-64,-61,-80,-66,-72,?,?,?,?,-79,?,?,?,5.94,-25.5,-26.82,4
-59,-27,-33,-58,-44,-56,-49,-52,-63,-67,?,-58,-80,-66,?,?,?,-83,?,-75,?,?,?,5.82,-25.139999,-27.42,4
-58,-27,-33,-66,-44,-56,-48,-51,?,-67,-65,-82,?,-64,?,?,?,?,?,?,?,?,?,6,-24.299999,-27.539999,4
-60,-27,-33,?,-46,-56,-48,-53,-61,-68,-66,-59,?,-63,-72,-82,?,-81,?,-78,?,?,?,5.7,-25.26,-27.539999,4
-60,-58,?,-57,-43,-56,-48,-52,-62,-61,-64,?,?,?,-72,-79,-81,?,?,?,?,-90,?,6.12,-25.379999,-26.34,4
-56,-31,-33,-62,-45,-55,-53,-53,-61,-66,-63,-61,?,-66,?,-82,?,?,?,?,?,?,?,5.82,-25.32,-26.459999,4
-57,-27,-33,-61,?,-55,-50,-54,-59,-67,-64,?,?,-64,-75,?,?,?,?,-73,?,?,?,5.82,-25.98,-26.879999,4
-59,-27,-33,-58,-46,-57,-52,-51,-61,-68,-66,?,-75,-64,?,?,?,?,?,-77,?,?,?,5.7,-25.799999,-26.76,4
-58,-27,-32,-59,-44,-60,?,-53,-61,-67,-66,-66,-74,?,-74,?,?,?,?,?,?,?,?,5.7,-25.619999,-26.76,4
-58,-27,-33,-57,?,-59,-50,-58,-62,-67,-66,?,-76,?,?,?,?,?,?,?,?,?,?,5.7,-25.379999,-26.76,4
-56,-28,-33,-58,-46,-61,-48,?,-61,-68,-62,-60,-73,?,?,?,?,?,?,?,?,?,?,5.64,-25.439999,-26.939999,4
-59,-30,-33,-56,-48,-55,-51,-52,-64,-64,-64,?,?,?,?,?,?,-83,-83,?,?,?,?,5.82,-25.379999,-27.18,4
-57,-29,-34,-55,-46,-56,-49,-50,-60,-66,-65,-63,?,?,?,?,?,?,?,?,?,?,?,6.06,-24.66,-27.299999,4
-58,-29,-33,?,-47,-57,-49,-55,-65,-66,-63,-60,?,-65,?,?,?,?,?,?,?,?,?,5.88,-24.9,-26.879999,4
-59,-30,-34,-56,-46,-56,-49,-50,-59,-66,-60,?,-80,?,?,?,?,?,-87,?,?,?,?,6,-24.779999,-26.58,4
-61,-29,-33,-55,-47,-57,-51,-50,-62,-66,?,?,?,-63,?,?,?,?,?,?,?,?,?,6.24,-24.42,-27.24,4
-61,-29,-34,-56,-46,-56,-50,-50,-62,-66,-63,?,?,-64,?,?,?,-84,?,?,?,?,?,6,-25.019999,-27.299999,4
-57,-64,-33,-56,-45,-57,-52,-50,-63,-63,-63,?,?,-64,?,?,?,?,?,?,?,?,?,6.78,-24.059999,-27.18,4
-58,-29,-33,-65,-45,-57,-49,-50,?,-67,-62,-61,-72,?,-73,?,?,?,?,?,?,?,?,6.06,-24.779999,-26.82,4
-64,-29,-33,-56,-46,-58,-47,-50,-63,-69,?,?,-75,-65,-75,?,?,?,?,?,?,?,?,5.94,-25.379999,-26.76,4
-65,-25,-33,-56,-45,-56,-63,-51,-60,-67,-63,?,-74,-66,-75,?,?,?,?,?,?,?,?,5.82,-25.379999,-26.699999,4
-63,-29,-33,-57,-43,-57,-46,-50,-60,-66,-62,-62,-73,-64,-75,?,?,?,?,?,?,?,?,5.58,-25.199999,-27,4
-63,-29,-33,-57,-44,-57,-47,-50,-59,-61,-63,-60,?,-64,-73,?,?,?,?,?,?,?,?,5.82,-24.539999,-26.76,4
-63,-29,-33,-57,-47,-57,-47,-50,-61,-67,-62,-60,?,-64,-74,?,?,?,?,?,?,?,?,5.46,-25.32,-27.059999,4
-65,-29,-33,-57,-46,-57,-47,-50,-62,-67,-63,-62,?,-64,-73,?,?,?,?,?,?,?,?,5.28,-25.439999,-27.359999,4
-62,-29,-33,-57,-46,-57,-47,-52,-61,-67,-62,-60,?,?,?,?,?,?,?,?,?,?,?,5.1,-25.92,-27.059999,4
-62,-32,-33,-57,-44,-57,-48,-51,?,-67,?,?,?,-66,?,?,?,?,?,?,?,?,?,5.28,-25.019999,-27.059999,4
-63,-29,-32,-57,-46,-57,-48,-49,-61,-67,-63,?,-75,-66,?,?,?,?,?,?,?,?,?,5.4,-25.199999,-27.24,4
-54,-33,-35,-53,-47,-54,-43,-49,-68,-64,-63,-59,?,?,-79,-80,?,-75,?,-73,?,?,?,2.04,-24.359999,-33.899998,5
-53,-29,-36,-52,-51,-55,-46,-61,-68,-68,-67,-54,?,?,-72,?,?,?,?,?,?,?,?,1.74,-25.799999,-33.719997,5
-58,-35,-32,-51,-45,-57,-43,-51,-66,-64,-70,-59,-73,-66,?,?,?,?,-84,?,?,?,?,1.44,-25.799999,-33.719997,5
-52,-28,-33,-50,-47,-54,-42,-47,-69,-67,-64,-58,-74,-66,-78,-83,?,?,?,-76,?,?,?,1.98,-24.9,-33.599998,5
-54,-30,-30,-51,-50,-55,-44,-49,-68,-67,-63,-59,-72,-64,-75,?,?,-68,?,-75,?,?,?,2.16,-24.959999,-33.719997,5
-55,-30,-30,-50,-50,-55,-42,-46,?,-67,-67,-56,?,-66,?,?,?,-76,?,-72,?,?,?,1.92,-25.5,-34.02,5
-53,-30,-34,-51,-50,-55,-43,-47,-70,-67,-65,-57,?,-65,-73,?,?,?,?,-77,?,?,?,1.86,-25.799999,-34.32,5
-55,-29,?,-51,-52,-56,-42,-46,-67,-68,-65,-56,?,?,?,?,?,?,?,?,?,?,?,1.92,-25.74,-33.899998,5
-55,-30,-31,-51,-51,-57,-43,-46,-69,-68,?,-56,-77,?,?,?,?,?,?,?,?,?,?,2.28,-26.099998,-33.239998,5
-57,?,-31,-48,-50,-57,-43,-47,-70,-67,-64,?,?,?,-74,?,?,-66,?,?,-86,?,?,2.22,-26.4,-33.419998,5
-55,-29,-34,-51,-50,-56,-43,-46,-68,-67,-64,-58,?,-65,?,?,?,?,-90,?,?,?,?,1.8,-25.559999,-33.66,5
-53,-30,-31,-51,-51,-56,-43,-46,-66,-67,-64,-56,-73,-65,?,?,?,?,?,?,?,?,?,1.8,-25.5,-33.66,5
-52,-29,-66,?,-51,-54,-43,-47,-69,-67,-64,?,?,?,?,?,?,?,?,?,?,?,?,2.04,-25.379999,-33.299999,5
-53,-29,-34,-52,-49,-56,-43,-46,-67,-68,-64,?,?,-65,-74,?,?,?,?,?,?,?,?,1.92,-25.379999,-33.239998,5
-54,-29,-31,-51,-51,-56,-43,-46,?,-60,-63,-56,?,-65,-74,?,?,?,?,?,?,?,?,2.04,-25.5,-34.139999,5
-52,-30,-30,-50,-50,-56,-43,?,-67,-69,-65,?,-79,?,-73,?,?,?,?,?,?,?,?,2.58,-25.559999,-34.200001,5
-53,-29,-31,-51,-50,-54,-43,-46,?,-68,?,-56,-74,?,?,?,?,-77,?,-71,?,?,?,1.92,-25.74,-33.360001,5
-52,-29,-30,-51,-51,-56,-44,-47,-65,-69,-65,-57,-73,-65,-73,?,?,?,?,?,?,?,?,1.8,-25.68,-33.119999,5
-54,-30,-31,-51,-50,-56,-43,-47,-65,-69,?,-57,-72,-65,?,?,?,?,?,-69,?,?,?,2.1,-25.98,-33.419998,5
-56,-30,?,-51,-48,-56,-43,-47,-65,-67,?,-55,?,?,?,?,?,?,?,?,?,?,?,2.22,-26.16,-33.48,5
-54,-29,?,-51,-50,-56,-43,-57,-65,-67,?,-57,-79,?,?,?,?,-76,?,?,?,?,?,2.04,-25.98,-33.599998,5
-52,-30,-31,-51,-51,-57,-43,-47,-65,-66,?,?,?,?,-73,?,?,?,?,?,?,?,?,1.62,-26.16,-33.599998,5
-52,-29,-31,-51,-51,-56,-43,-47,-65,-67,-64,-57,-73,-65,-74,?,?,-76,?,?,?,?,?,1.68,-25.799999,-33.66,5
-52,-29,-31,?,-51,-56,-43,-47,?,-67,?,-56,?,-73,?,?,?,?,?,-69,?,?,?,2.58,-25.5,-33.599998,5
-53,-29,?,-51,?,-55,-43,-47,-65,-67,?,?,?,?,?,?,?,?,?,?,?,?,?,2.1,-26.039999,-33.239998,5
-54,-28,-31,-50,-48,-56,-43,-56,-64,-68,-65,-57,-73,-64,-73,?,?,?,?,?,?,?,?,1.98,-26.099998,-33.540001,5
-53,-29,-31,-51,-51,-57,-43,-55,-64,-67,-65,-57,?,-65,-73,?,?,?,?,?,-86,?,?,2.16,-25.98,-34.079998,5
-53,-27,-31,-51,-49,-56,-43,-46,-65,-66,-65,-57,?,-65,-73,?,?,?,?,?,?,?,?,1.68,-25.5,-33.360001,5
-56,-30,-31,-51,-50,-56,-43,-48,-65,-67,-65,-55,-73,-64,-74,?,?,?,?,?,?,?,?,1.86,-25.859999,-33.299999,5
-53,-29,-30,-51,-50,-57,-45,-46,-72,-61,?,-57,?,-73,?,?,?,?,?,?,?,?,?,1.86,-25.799999,-33.299999,5
-52,-28,-30,-51,-50,-56,-43,-57,-71,-67,?,?,-78,-65,?,?,?,?,?,?,?,?,?,1.74,-25.379999,-33.84,5
-56,-28,-31,-54,-51,-57,-43,-57,-65,-68,-65,-57,?,-65,-73,-82,?,?,-88,?,?,?,?,2.04,-25.439999,-33.18,5
-53,-30,-30,-52,-53,-56,?,-46,-66,-68,?,?,?,?,-73,?,?,?,?,?,?,?,?,2.04,-25.68,-33.119999,5
-53,-28,-30,-51,-51,-57,-42,-46,-66,-60,-66,?,?,?,?,?,?,?,?,?,?,?,?,1.98,-25.859999,-33.719997,5
-54,-30,-31,-54,-51,-56,-43,-47,?,-59,-65,-56,?,?,-72,-85,?,?,?,-77,?,?,?,2.1,-25.439999,-33.48,5
-50,-29,-31,-50,-50,-55,-43,-51,-65,-68,-65,-57,-78,-65,-73,-82,?,?,?,?,?,?,?,1.8,-25.619999,-33.239998,5
-54,-30,-31,?,-49,-56,-43,?,-71,-68,-67,-56,?,?,?,?,?,?,?,-71,?,?,?,1.98,-25.32,-33.299999,5
-50,-30,-64,-51,-51,-56,-43,-46,-73,-67,?,-57,-70,-64,?,?,?,-77,?,?,?,?,?,2.22,-25.139999,-33.719997,5
-50,-30,-31,-51,-50,-54,-42,-46,-66,-68,?,-57,-72,?,?,?,?,-77,?,-70,?,?,?,2.1,-26.039999,-33.719997,5
-53,-30,-31,-50,-51,-50,-45,-47,-64,-67,?,-58,?,-65,-70,?,?,?,-88,-68,?,?,?,1.56,-26.039999,-33.360001,5
-63,-32,-39,-53,-46,-48,-48,-48,-60,-64,-64,-62,-75,-67,?,?,?,-71,?,-69,?,?,?,4.86,-28.619999,-37.799999,6
-61,-32,-39,-52,-46,-53,-47,-45,-65,-64,-63,-63,?,-70,?,?,?,?,?,?,?,?,?,4.86,-28.98,-37.68,6
-60,-31,-38,?,-46,-53,?,-46,-66,-64,-64,-63,?,-70,-67,-77,?,-73,?,-71,?,?,?,4.68,-29.099998,-37.619999,6
-61,-31,-38,-53,-46,-52,-85,-46,-65,-64,?,-62,?,?,?,?,?,?,?,?,?,?,-92,5.04,-29.279999,-37.559998,6
-60,-32,-38,-53,-46,-53,?,-45,?,-64,?,-69,?,?,?,?,?,-75,?,?,?,?,?,5.22,-28.619999,-37.259998,6
-59,-33,-39,?,-47,-54,-45,-48,-65,-66,-75,?,?,-68,-69,?,?,?,?,?,?,?,?,5.46,-28.799999,-37.259998,6
-54,-32,-38,-51,-45,-53,-49,-83,-66,-65,-65,-62,?,-71,-68,?,?,-73,?,-70,?,?,?,5.4,-28.619999,-37.5,6
-61,-32,-37,-54,?,-52,-69,-53,-67,-65,-67,-60,?,-69,-70,?,?,?,?,?,?,?,?,5.1,-28.559999,-37.68,6
-60,-32,-37,-51,-44,-51,-46,-51,-66,-64,-67,?,?,-70,?,?,?,?,?,?,?,?,?,5.04,-29.34,-37.860001,6
-59,-32,-38,-53,-87,-52,?,-52,-68,-64,?,-61,-73,?,-68,?,?,?,?,?,?,?,?,5.22,-30.179998,-38.099998,6
-59,-32,-38,-52,-46,-53,-46,-45,-66,-64,?,?,?,-70,?,-80,?,-73,?,?,?,?,?,5.16,-28.68,-37.380001,6
-60,-31,-38,-54,-44,-52,-46,-46,-68,-64,?,?,?,-71,?,-79,?,-75,?,?,?,?,-89,4.98,-28.98,-37.259998,6
-59,-32,-38,-52,-44,-53,?,-45,?,-65,?,-63,?,?,?,?,?,?,?,?,?,?,?,4.98,-29.459999,-36.899998,6
-59,-32,-38,-52,-46,-53,-46,-51,-67,-53,-66,-88,?,-71,-73,?,?,?,?,?,?,?,?,4.86,-29.279999,-37.32,6
-60,-32,-38,-52,-47,-53,-45,-45,-66,-65,-64,-63,-67,-66,-67,?,?,-68,?,?,?,?,?,4.68,-29.519999,-37.559998,6
-61,-31,-38,-51,-47,-52,-47,?,-68,-64,-65,-62,-68,-70,-67,?,?,-74,?,?,?,?,?,5.04,-29.58,-37.439999,6
-59,-32,-38,-52,-45,-53,-46,-46,-66,-64,-65,-61,?,-69,-67,-78,?,-82,?,?,?,?,?,5.1,-29.519999,-37.619999,6
-65,-31,-39,-54,-46,-52,-46,-50,-65,-65,-66,?,?,-71,?,?,?,?,?,?,?,?,?,4.92,-29.16,-37.559998,6
-59,-32,-37,?,-46,-53,-51,-45,?,-65,?,?,?,-70,?,?,?,-75,?,?,?,?,?,4.74,-28.92,-37.380001,6
-59,?,-38,-52,-45,-47,-46,-45,-66,-66,-67,?,-69,-71,-67,?,?,?,?,?,?,?,?,4.92,-29.76,-37.259998,6
-60,-32,-38,-52,-46,-52,-49,-45,?,-65,?,-62,-77,-70,?,-78,?,-74,?,?,?,?,?,5.34,-29.099998,-37.32,6
-59,?,-38,-52,-46,-52,-48,-45,-66,-67,?,-63,?,-69,?,?,?,?,?,-75,?,?,?,5.04,-28.74,-36.899998,6
-59,-31,-38,-53,?,-52,-57,-48,-66,-66,?,-64,-73,-69,?,-80,?,-74,?,?,?,?,?,5.04,-29.039999,-36.419998,6
-58,-29,-38,-51,?,-52,-48,-50,-67,-64,-66,-65,-77,-68,?,?,?,?,?,-78,?,?,?,4.98,-28.98,-36.899998,6
-58,-31,-38,-52,-46,-57,-49,-45,-65,-65,-68,-62,?,-69,?,?,?,?,?,?,?,?,?,5.28,-29.519999,-37.5,6
-60,-32,-37,-52,-46,-52,-49,-45,-65,-65,-62,-63,?,-69,?,-79,?,-73,?,?,?,?,?,5.16,-28.92,-37.32,6
-62,-31,-38,-52,-46,-52,-48,-45,-61,-65,-66,-64,-71,?,-67,?,?,-74,?,?,?,?,?,5.16,-28.5,-36.959999,6
-62,-32,-39,-52,-45,-51,-48,-45,-64,-67,-65,?,?,-71,-74,?,?,-73,?,?,?,?,?,5.58,-28.859999,-37.259998,6
-60,-87,-39,-55,-46,-51,-52,-44,-59,-63,-60,?,?,-69,-68,?,?,-75,?,?,?,?,?,5.76,-28.98,-36.84,6
-60,-31,-39,-51,-46,-52,-52,-45,-67,-65,-67,-58,-69,-69,-68,?,?,-74,?,?,?,?,?,5.88,-28.74,-37.079998,6
-60,-31,-38,-53,-46,-52,-47,-42,?,-64,?,-63,-71,?,-68,?,?,-76,?,?,?,?,?,5.58,-28.92,-37.68,6
-60,-33,-38,-70,-46,-52,-47,-45,-66,-64,-67,-62,?,-69,?,?,?,?,?,?,?,?,?,4.92,-28.92,-37.079998,6
-60,-32,-39,-52,-46,-52,-48,-47,-65,-65,?,?,-77,-69,?,?,?,?,?,?,?,?,?,4.68,-28.92,-37.559998,6
-58,-31,-38,-52,-46,-51,-48,-45,-64,-56,-66,-61,-75,-69,-73,?,?,?,?,-78,?,?,-90,5.34,-29.219999,-37.68,6
-59,-31,-38,-52,-46,-52,-48,-85,-64,-64,-65,?,-75,-69,-68,?,?,-74,?,-76,?,?,?,5.28,-28.859999,-37.439999,6
-61,-32,-71,-52,-46,-52,?,-45,-66,-64,-64,?,?,-69,-67,-76,?,?,?,-71,?,?,?,4.8,-29.459999,-37.619999,6
-60,-31,-39,-51,-46,-52,-52,-45,-63,-65,-66,?,?,-69,-65,?,?,?,?,?,?,?,?,4.5,-29.219999,-37.32,6
-60,-31,-38,-58,-43,-52,-49,?,?,-64,-66,?,-76,?,-72,?,?,?,?,-81,?,?,?,4.62,-29.219999,-37.439999,6
-60,-32,-38,-52,-45,-52,-47,-51,-64,-64,?,?,?,-70,-69,-79,?,?,?,-69,?,?,-90,4.86,-29.34,-37.619999,6
-61,-31,-39,-53,-46,-52,?,-45,-67,-64,?,?,?,?,?,?,?,-72,?,?,?,?,?,4.98,-29.34,-37.860001,6
-67,-26,-44,-51,-40,-52,-58,-45,-66,-65,-59,-59,-74,-69,?,?,?,-76,?,-71,?,?,?,3.18,-23.58,-38.099998,7
-68,-27,-46,-56,-34,-60,?,-47,-66,-68,-63,-57,-72,?,-71,?,?,-77,?,?,?,?,?,2.7,-24.359999,-37.860001,7
-68,-30,-40,-60,-34,-59,-79,-46,-66,-68,-61,-57,-70,-66,-74,?,?,?,-81,-67,?,?,?,3,-24.24,-37.559998,7
-68,-27,-42,-59,-34,-58,-54,-47,-62,-67,-60,-57,-72,?,?,?,?,-89,?,-60,?,?,?,3.06,-23.82,-36.66,7
-68,-27,-42,-59,-34,-51,?,-46,?,-67,?,-57,-70,?,-68,?,?,?,?,-66,?,?,?,3.06,-23.76,-37.68,7
-70,-27,-43,-60,-34,-53,-54,-46,-64,-68,-60,-57,-70,?,?,?,?,?,-80,-66,?,?,?,3,-23.82,-37.98,7
-72,-27,-42,-61,-34,-56,-54,-49,-63,-69,-60,?,-72,?,?,?,?,-78,?,?,?,?,?,3.36,-23.34,-37.68,7
-67,-27,?,-63,-32,-74,-54,-46,-68,-67,?,-58,?,?,?,?,?,-77,?,?,?,?,?,3.42,-23.16,-37.32,7
-67,-28,-42,-61,-31,-53,-54,-47,-72,-68,-60,-58,-69,?,?,?,?,-88,?,?,?,?,?,3.42,-22.92,-37.559998,7
-68,-27,-60,?,-31,-52,-52,-49,-70,-67,-60,?,-66,-65,?,?,?,?,?,?,?,?,?,2.76,-24.24,-37.5,7
-69,-27,-42,-61,-34,-59,-52,-49,-69,-67,-59,-57,?,?,?,-81,?,-77,?,-65,?,?,?,2.94,-24.6,-37.32,7
-69,-27,-49,-60,-31,-57,?,-46,-63,-68,-60,-56,-69,?,?,-78,?,-77,?,?,?,?,?,2.88,-24.18,-37.32,7
-70,-28,?,-63,-32,-58,-51,-46,?,-69,-60,-58,-69,?,?,?,?,?,?,?,?,?,?,3.36,-23.699999,-36.959999,7
-67,-27,-42,-60,-34,-58,-52,-45,-68,-69,-61,-58,?,?,?,?,?,?,?,-68,?,-88,?,2.82,-23.459999,-37.200001,7
-68,-27,-42,-61,-34,-63,-54,-46,-64,-68,-61,-56,-69,-67,?,?,?,-76,?,?,?,?,?,2.52,-23.939999,-37.919998,7
-66,-27,-41,-60,-31,-51,-55,-48,-62,-68,-59,-57,?,-66,?,?,?,-77,?,-65,?,?,?,2.46,-24.42,-37.5,7
-67,-27,-42,-60,-34,-61,-53,-46,-63,-67,-59,-57,-69,-66,-68,-80,-82,-77,?,-66,-75,?,?,2.88,-24.359999,-37.200001,7
-65,-27,-42,-60,-34,-53,-54,-44,-63,-68,-62,-56,?,-66,-68,-78,-80,?,?,-66,?,-86,-87,2.64,-23.58,-37.32,7
-67,-26,-42,-62,-34,-63,-53,-49,-65,-68,-60,-56,?,-65,-68,?,?,-76,?,?,?,?,?,2.46,-23.459999,-37.5,7
-70,-27,-42,-60,-34,-55,-59,-44,-65,-67,-60,-57,-69,-66,-68,?,?,?,?,?,?,-86,?,2.94,-23.639999,-37.5,7
-68,-28,-41,-57,-34,-56,-56,-48,-67,-69,-59,-57,?,-66,-69,?,?,?,-80,?,?,?,?,3.48,-23.82,-37.32,7
-74,-27,-42,-59,-34,-59,-53,-46,-65,-69,?,-56,-70,-61,-69,?,?,?,?,?,?,?,?,2.64,-24.119999,-37.139999,7
-70,-28,-42,?,-34,-52,-54,-45,-67,-68,-60,-57,?,-66,?,?,?,?,?,?,?,-98,?,3.24,-23.519999,-37.68,7
-69,-27,-41,-60,-32,-52,-51,-46,-63,-65,-61,-58,-70,?,?,?,?,?,?,?,?,?,?,2.94,-23.519999,-37.380001,7
-72,-27,-41,-60,-31,-53,-51,-46,-65,-67,-61,-58,-70,-66,?,-82,?,?,?,?,?,?,?,3.06,-23.459999,-37.5,7
-71,-27,-41,-59,-34,-57,-50,-45,-63,-68,-61,?,?,-66,-70,?,?,?,?,?,?,?,?,3.3,-23.1,-37.5,7
-72,-26,-41,-61,-34,-56,-54,-46,-63,-67,-60,?,-69,-66,-69,?,?,?,?,?,?,?,?,3.66,-22.439999,-37.860001,7
-70,-27,-41,-60,-32,-57,-52,-49,-63,-68,-59,?,-68,-67,-67,?,?,?,?,-66,?,?,?,3.3,-22.559999,-37.559998,7
-68,-27,-42,-60,-33,-57,-53,-46,-71,-62,-61,-56,?,-66,-68,?,?,-77,?,?,?,?,?,3.3,-23.58,-37.5,7
-68,-27,-42,-59,-33,-53,-54,-46,-64,-69,-61,-56,-70,-67,-68,?,?,?,?,?,?,?,?,3.24,-23.939999,-37.380001,7
-71,-27,-42,-59,-32,-57,-54,-50,-67,-69,-60,-56,-70,-68,?,-78,?,-77,?,-71,?,?,?,3.3,-23.58,-37.32,7
-68,-26,-41,-61,-34,-57,-53,-46,-64,-68,-59,-58,?,-66,?,?,-82,-77,?,-71,?,?,?,3.36,-23.16,-37.68,7
-68,-56,-41,-62,-31,-56,?,-46,-72,-69,-59,-48,-69,?,?,?,?,-77,?,?,?,?,?,3.48,-22.559999,-37.919998,7
-68,-27,-41,-60,-32,-56,?,-45,-65,-69,-58,-55,-69,-66,-68,?,?,?,?,?,?,?,?,3.72,-22.859999,-37.799999,7
-69,-27,-41,-59,-31,-54,-55,-49,-65,-68,-60,?,?,?,?,?,?,?,-80,?,?,?,?,3.36,-24.059999,-37.380001,7
-79,-27,-42,-62,-33,-52,-52,-49,-69,-68,-59,-57,-72,-67,?,?,?,?,?,?,?,?,?,2.94,-24.24,-37.68,7
-68,-27,-41,-59,-32,-58,?,-48,-65,-67,-63,-56,-71,?,?,?,?,?,?,?,?,?,?,3.24,-24.059999,-37.619999,7
-66,-27,-41,-60,-32,-51,-52,-46,-64,-67,-59,-57,-70,-69,?,?,?,?,?,?,?,?,?,2.88,-24.48,-37.860001,7
-69,-29,-41,?,-31,-52,?,-45,-64,-67,-60,-57,?,-63,-71,?,?,?,?,?,?,?,?,3.06,-23.82,-37.439999,7
-67,-27,-40,-62,-34,-57,-55,-49,-65,-68,-59,-57,-69,-67,?,?,?,?,?,?,?,?,?,3.36,-23.219999,-37.200001,7
-59,-37,-39,-47,-48,-50,-47,-43,-64,-58,-51,?,-71,-66,-66,?,?,-76,?,-66,?,?,?,5.7,-22.92,-39.419998,8
-60,-32,-43,-52,-43,-48,-45,-44,-65,-57,-48,-60,-72,?,?,?,?,-77,?,?,?,?,?,5.52,-24.6,-39.18,8
-58,?,?,-52,-45,-50,-46,-44,-63,-58,?,?,-72,?,?,?,?,-75,?,?,?,?,?,5.16,-24.66,-38.879997,8
-59,-33,-41,-51,-43,-49,-47,-45,-69,-58,-48,?,?,?,-67,?,?,?,?,?,?,?,?,5.4,-24.48,-39.18,8
-58,-31,-40,-51,-45,-49,-45,-45,-69,-58,-49,-63,-73,?,-66,?,?,-74,?,?,?,?,?,5.46,-24.779999,-39.299999,8
-59,-31,-42,-51,-45,-49,-45,-43,-66,-59,-49,-60,-71,?,?,?,?,?,?,?,?,?,?,5.34,-24.539999,-38.82,8
-58,-31,-42,-57,-45,-49,-46,-44,-67,-58,-64,-59,-68,?,?,?,?,-73,?,?,?,?,?,4.8,-24.42,-39.059998,8
-58,-30,-40,-51,-45,-43,-45,-45,-68,-59,?,?,?,?,?,-80,?,-71,?,?,?,?,?,4.62,-24.539999,-39.360001,8
-58,-33,-40,-51,-45,-48,-46,-44,-68,-59,-50,-58,?,?,?,?,?,-77,?,?,?,?,?,5.34,-24.779999,-39.239998,8
-59,-30,-64,-51,-46,-44,-45,-43,?,-58,-49,-61,-69,-64,?,?,?,-72,?,?,?,?,?,5.76,-24.24,-40.200001,8
-58,-31,-40,-52,-44,-48,-46,-45,-65,-59,-49,-62,?,?,?,-72,?,?,?,?,?,?,?,5.94,-23.879999,-39.719997,8
-58,-31,-40,-51,-45,-49,-46,-44,-65,-59,-49,-60,-70,-64,?,?,?,?,?,-70,?,?,?,5.4,-24.66,-39.419998,8
-55,?,?,-52,-46,-49,-48,-45,-63,-59,-49,-61,-71,?,-67,?,?,?,?,?,?,-89,?,5.28,-24.959999,-39.119999,8
-58,-31,-40,?,-45,-49,-47,-45,?,-59,-50,?,-69,?,-66,?,?,?,?,?,?,?,?,5.1,-24.6,-38.939999,8
