@relation 'LogDosyasi_Samsung_Tablet_Train_WiFi_MF-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27'

@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 00:66:4b:1f:08:23_TeknoTAM numeric
@attribute 1c:87:2c:7e:23:9d_EROGLU-PUB numeric
@attribute 1c:87:2c:7e:23:9c_EROGLU-PRI numeric
@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
-62,-39,-31,-53,-58,-59,-56,-60,-63,-71,-67,?,-72,-69,-75,-81,?,?,?,-70,?,?,?,0.6,-29.34,-21.959999,2
-63,-40,-31,-54,-58,-59,-49,-60,-64,-70,-66,?,?,-70,-75,-79,?,?,?,-71,?,?,?,0.9,-29.4,-22.68,2
-52,-38,-31,-53,-57,-58,-50,-56,-64,-71,-67,?,-70,-69,?,?,?,?,?,?,?,?,?,0.9,-29.459999,-22.199999,2
-53,-29,-33,-54,-54,-65,-50,-60,-78,-69,-67,-59,-78,-63,-72,-82,-77,-83,?,?,?,?,?,-4.26,-26.939999,-25.139999,3
-52,-32,-30,-54,-55,-54,-51,-53,-72,-68,-69,-65,-79,-61,?,?,-81,?,?,?,?,?,?,-5.04,-27.779999,-25.559999,3
-51,-31,-32,-56,-54,-56,-51,-55,-73,-67,-67,-64,?,-64,-74,?,?,?,?,?,?,?,?,-5.16,-27.9,-25.5,3
-50,-32,-30,-54,-65,?,-49,-61,-76,-66,-65,?,?,-60,-74,?,?,?,?,?,?,?,?,-4.62,-28.139999,-25.379999,3
-53,-32,-31,-60,?,?,-54,-53,-73,-67,?,?,?,?,-77,?,?,?,?,?,?,?,?,-4.68,-28.199999,-25.799999,3
-50,-37,-31,-62,-60,?,-51,-53,-70,-68,-67,?,?,?,?,?,?,?,?,?,?,?,?,-4.98,-28.32,-25.379999,3
-54,-37,-31,-60,-58,-66,-49,-55,-67,?,-68,-70,-71,-60,-72,?,?,?,?,?,?,?,?,-5.64,-27.9,-25.26,3
-56,-37,-31,?,-58,-68,-50,-53,-66,-69,-68,?,?,-61,?,?,?,?,?,-74,?,?,?,-5.64,-28.559999,-25.559999,3
-54,-37,-31,-60,-59,-67,-51,-53,-66,-59,-67,?,?,-63,-70,-90,?,?,?,-73,?,?,?,-5.1,-29.219999,-25.5,3
