4c:5e:0c:6f:20:b2_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,e4:8d:8c:20:4d:c1_UPLAT,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,04:18:d6:c1:98:24_inonet,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,64:66:b3:d0:4a:8d_DLink_D01,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,c4:6e:1f:58:40:d2_DLink_D01,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,18:28:61:9e:ab:5c_MMD,18:28:61:58:78:6a_Dlink_DAP-1360,18:28:61:13:0d:9d_EROGLU,REF_POINT
-55,-41,-60,NaN,-68,-70,-59,-54,-39,-62,-58,-76,-67,NaN,-74,-71,NaN,NaN,-73,NaN,NaN,1
-57,-40,-62,NaN,-68,-69,-59,-54,-39,-61,-59,-76,-70,-82,-74,-71,NaN,NaN,-73,NaN,-92,1
-55,-41,-62,-77,-68,-70,-57,-54,-39,-60,-59,-76,-67,-82,NaN,-74,-83,-88,NaN,NaN,-92,1
-57,-42,-61,-77,-68,-70,-91,-54,-40,-60,-57,-76,-66,-81,-74,-72,-83,-88,-75,NaN,NaN,1
-55,-40,-60,-78,-68,-69,-91,-51,-39,-61,-56,-75,-66,-81,-73,-72,-78,-89,-75,NaN,NaN,1
-57,-41,-62,-76,-68,-70,NaN,-53,-39,-61,-59,-76,-67,NaN,-73,-72,-83,-89,NaN,NaN,NaN,1
-58,-42,-60,-76,-68,-69,NaN,-54,-39,NaN,-58,-73,-67,NaN,-69,-71,-83,-89,-75,NaN,NaN,1
-55,-41,-62,-78,-69,-69,-62,-53,-39,-60,-60,-76,-67,-80,-69,-74,-83,NaN,-75,NaN,NaN,1
-57,-41,-62,-78,-68,-69,-62,-52,-39,-60,-60,-76,-67,-80,-74,-74,-83,NaN,NaN,NaN,NaN,1
-57,-41,NaN,NaN,-69,-69,-58,-54,-38,-60,-60,-76,-66,NaN,-74,-71,NaN,-88,NaN,NaN,NaN,1
-58,-42,-62,NaN,-68,-69,-62,-54,-39,-61,-57,-76,-67,NaN,-73,-71,-84,-88,NaN,-88,NaN,1
-58,-41,-66,-81,-67,-69,-59,-54,-39,-60,-59,-74,-67,NaN,-75,-71,-84,NaN,NaN,-88,NaN,1
-59,-41,-71,-81,-68,-70,-59,-53,-39,-61,-59,-75,-68,-81,-74,-71,NaN,NaN,NaN,NaN,NaN,1
-59,-41,-65,NaN,-68,-70,-59,-53,-39,-60,-60,-75,-68,-81,-74,-72,NaN,NaN,-75,NaN,NaN,1
-57,-42,-65,-76,-67,-70,-63,-54,-40,-60,-60,-76,-67,-83,-73,-72,NaN,NaN,-75,-87,NaN,1
-58,-42,NaN,-76,-69,-69,-60,-54,-36,-61,NaN,-75,-68,-83,-73,-73,NaN,NaN,NaN,-87,NaN,1
-58,-40,-61,-84,-68,-69,-59,-53,-38,-60,NaN,-76,-69,NaN,-75,-72,-73,-87,NaN,NaN,NaN,1
-58,-42,-61,-84,-68,-69,-60,-51,-39,-60,-59,-75,-68,-86,-71,-72,-74,-88,-73,NaN,NaN,1
-58,-40,-67,NaN,-68,-69,-63,-53,-38,-60,-60,-75,-68,-86,-71,NaN,-74,-88,-75,-88,NaN,1
-59,-40,-67,NaN,-68,-68,-62,-54,-38,-60,-60,-75,-68,-82,-69,-72,NaN,NaN,-75,-88,NaN,1
-57,-41,-62,NaN,-67,-70,-62,-54,-36,-60,-57,-76,-69,-82,-73,-72,-73,NaN,NaN,NaN,NaN,1
-57,-42,-62,NaN,-68,-69,-60,-54,-38,-61,-59,-75,-69,-82,-72,NaN,-74,NaN,-74,NaN,NaN,1
-57,-41,-67,-84,-68,-69,-58,-54,-38,-64,-59,-76,-68,NaN,-72,-72,-74,NaN,-74,NaN,NaN,1
-53,-38,-61,-84,-68,-69,-61,-53,-38,-69,-59,-76,-67,NaN,NaN,-72,-84,NaN,NaN,NaN,NaN,1
-53,-41,-61,NaN,NaN,-68,-61,-53,-38,-63,-63,-78,-69,-79,NaN,NaN,-82,NaN,NaN,NaN,NaN,1
-57,-38,-60,NaN,-69,-69,NaN,-54,-39,-63,-60,-78,-67,-79,NaN,NaN,-82,NaN,-75,NaN,NaN,1
-58,-41,-63,NaN,-68,-69,-58,-53,-38,-64,-57,-76,-67,NaN,-73,-72,NaN,NaN,-75,NaN,NaN,1
-59,-41,-61,-78,-75,-69,-58,-53,-38,-61,-59,-76,-67,NaN,-75,-72,-84,NaN,NaN,NaN,NaN,1
-59,-40,-62,-78,-68,-69,-59,-54,-39,-61,-62,-76,-69,-82,-71,-72,-86,NaN,-75,NaN,NaN,1
-58,-40,-62,NaN,-68,-69,-57,-54,-41,-61,-62,-76,-67,-82,-74,-72,-86,NaN,-75,NaN,NaN,1
-59,-40,-62,NaN,-71,-69,-57,-53,-39,-63,-59,-72,-70,NaN,-74,-75,NaN,NaN,NaN,NaN,NaN,1
-59,-42,-62,-80,-68,-70,-61,-53,-39,-63,-60,-81,-69,-84,-73,-75,-82,NaN,NaN,NaN,NaN,1
