4c:5e:0c:6f:20:b2_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,e4:8d:8c:20:4d:c1_UPLAT,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,04:18:d6:c1:98:24_inonet,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,64:66:b3:d0:4a:8d_DLink_D01,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,c4:6e:1f:58:40:d2_DLink_D01,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,18:28:61:9e:ab:5c_MMD,18:28:61:58:78:6a_Dlink_DAP-1360,18:28:61:13:0d:9d_EROGLU,REF_POINT
-54,-48,-58,-75,NaN,-72,-59,-56,-31,-61,-53,-76,-70,-82,-83,NaN,NaN,NaN,-67,NaN,NaN,3
-57,-48,-60,-75,-76,-71,-66,-59,-32,-60,-54,-77,-71,-78,-78,-69,NaN,-88,-67,NaN,NaN,3
-56,-46,-60,-74,-75,-70,-56,-59,-31,-60,-55,-76,-71,-80,-78,-69,-84,-88,-67,NaN,NaN,3
-56,-47,-58,-74,-74,-71,-66,-58,-33,-60,-55,-76,-70,-80,-78,-68,-86,-88,NaN,NaN,-88,3
-55,-47,-61,-75,-75,-70,-58,-57,-31,-60,-54,-77,-68,-80,NaN,-68,-86,NaN,-65,NaN,-88,3
-57,-48,-61,-74,-74,-69,-63,-55,-31,NaN,-54,-77,-71,-80,-74,NaN,NaN,NaN,-65,NaN,NaN,3
-58,-46,-60,-74,-76,-70,-60,-57,-30,NaN,-54,NaN,-70,-80,-74,-69,NaN,-89,NaN,NaN,NaN,3
-60,-46,-62,-73,-77,-70,-59,-58,-31,NaN,-54,-77,-69,-81,-78,-69,NaN,-89,-68,NaN,NaN,3
-57,-44,-57,-73,-78,-70,-93,-57,-31,-60,-52,-77,-70,-81,-78,-69,NaN,NaN,-68,NaN,NaN,3
-57,-44,-58,-64,-76,-70,-55,-57,-31,-62,-56,-77,-69,-80,-78,NaN,NaN,NaN,-67,NaN,NaN,3
-58,-46,-57,-73,-84,-71,-58,-57,-31,-60,-56,-77,-70,-80,-78,NaN,NaN,-88,-67,NaN,NaN,3
-55,-45,-60,-73,-79,-71,-58,-56,-30,-60,-56,-80,-69,-81,-78,-69,-87,-88,-67,-92,NaN,3
-55,-46,-57,-79,-74,-71,-58,-58,-30,-58,-55,-77,-68,-81,-77,-69,-87,NaN,-67,-92,NaN,3
-55,-46,-62,-78,-75,-71,-58,-58,-32,-58,-55,-76,-69,-81,-77,NaN,NaN,NaN,NaN,NaN,NaN,3
-55,-49,-60,-78,-90,-71,-56,-58,-31,-58,-67,-76,-71,NaN,-78,NaN,NaN,NaN,NaN,-90,NaN,3
-57,-47,-61,NaN,-90,-71,-59,-58,-32,-59,-57,-86,-70,NaN,-76,NaN,NaN,NaN,NaN,-90,NaN,3
-57,-46,-57,NaN,NaN,-71,-56,-58,-31,-59,-57,-86,-70,-80,-76,NaN,NaN,NaN,NaN,NaN,NaN,3
-66,-46,-57,NaN,-89,-71,-68,-58,-33,-60,-57,NaN,-68,-80,-78,-69,NaN,-89,-67,NaN,NaN,3
-58,-46,NaN,NaN,-89,-71,-59,-58,-31,-60,-55,-84,-67,-82,-80,-69,NaN,-89,-87,-91,NaN,3
-59,-46,-60,-78,-75,-70,-64,-56,-31,-60,-56,-84,-68,-82,-79,-69,NaN,NaN,-87,-91,NaN,3
-57,-46,-60,-79,-74,-71,-64,-56,-32,-59,-56,-78,-69,-81,-78,-69,-80,NaN,NaN,NaN,NaN,3
-56,-47,-61,-79,-82,-71,-59,-59,-33,-59,-57,-84,-69,-80,-78,-69,-80,NaN,NaN,NaN,NaN,3
-57,-46,-59,NaN,-74,-71,-60,-57,-33,NaN,-54,-84,NaN,-80,NaN,-69,NaN,NaN,NaN,NaN,NaN,3
-57,-44,-57,-78,-70,-72,-60,-53,-32,-58,-53,-82,-70,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,3
-57,-45,-58,-78,-71,-71,-58,-54,-32,-58,-51,-74,-70,NaN,-74,NaN,-80,NaN,NaN,NaN,NaN,3
-56,-44,-58,-75,-71,-72,-60,-54,-31,-58,-51,-83,-71,-81,-76,-74,-84,NaN,-70,NaN,NaN,3
-54,-43,-60,-75,-72,-73,-57,-54,-31,-58,-52,-83,-70,-81,-76,-74,-84,NaN,-70,NaN,NaN,3
-50,-43,-59,-75,-70,-73,-52,-54,-31,-57,-49,-85,-72,NaN,NaN,-70,NaN,NaN,-72,NaN,NaN,3
-55,-44,-58,NaN,-72,-72,-60,-54,-31,-58,-49,-84,-71,-82,-78,-71,-80,NaN,-71,NaN,NaN,3
-56,-43,-60,NaN,-72,-72,-63,-54,-32,-58,-51,-83,-71,-82,-77,-71,-81,NaN,-70,NaN,NaN,3
-55,-44,-60,-74,-72,-72,-61,-54,-31,-59,-51,-83,-70,NaN,-77,NaN,-81,NaN,-70,NaN,NaN,3
-56,-45,-60,-74,-73,-72,-61,-54,-31,-59,-51,NaN,-69,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,3
-55,-44,-62,NaN,-73,-72,-60,-54,-31,-57,-92,NaN,-71,-82,NaN,NaN,-80,NaN,NaN,NaN,NaN,3
-56,-44,-60,NaN,-72,-71,-60,-54,-31,-58,-49,NaN,-71,-81,NaN,NaN,-80,NaN,NaN,NaN,NaN,3
-56,-45,-59,NaN,-73,-72,-60,-54,-31,-59,-51,-85,-69,-81,-76,NaN,-79,-94,NaN,NaN,NaN,3
-56,-44,-59,-76,-72,-72,-61,-52,-31,-58,-49,-86,-69,NaN,-77,NaN,-79,-94,-69,NaN,NaN,3
-55,-45,-58,-74,-72,-71,-62,-54,-31,-58,-49,-87,NaN,NaN,-75,NaN,NaN,NaN,-69,NaN,NaN,3
-53,-44,-59,-75,-72,-72,-62,-54,-32,-58,-51,-86,-73,NaN,-77,-69,NaN,NaN,-70,NaN,NaN,3
-54,-44,-59,-75,NaN,-71,-54,-54,-31,-59,-49,-82,-71,NaN,-76,-68,NaN,NaN,-70,NaN,NaN,3
-54,-42,-59,-75,-72,-71,-54,-55,-31,-59,-50,-83,-73,-82,-77,-72,NaN,NaN,-70,NaN,NaN,3
-55,-43,-58,-77,-73,-72,-54,-55,-32,-59,-51,-83,-70,-82,-77,-72,NaN,-73,-70,NaN,NaN,3
-55,-43,-59,-74,-71,-71,-55,-55,-35,-58,-52,-84,-71,-86,-77,-72,-84,-73,-71,NaN,NaN,3
-54,-48,-57,-75,-74,-71,-55,-54,-31,-60,-52,-79,-73,-86,-75,-71,-84,NaN,-68,NaN,NaN,3
-56,-44,-59,-75,-74,-73,-55,-55,-31,-60,-51,-79,-70,NaN,-78,-69,-80,NaN,-70,NaN,NaN,3
-58,-46,-60,NaN,-73,-72,-62,-55,-31,-60,-49,-83,-70,NaN,-78,-69,-82,NaN,-70,NaN,NaN,3
-56,-44,-59,-75,-74,-72,-60,-55,-31,-59,-51,-84,-74,NaN,-77,-69,-82,NaN,-71,NaN,NaN,3
-56,-44,-75,-75,-74,-71,-60,-55,-35,-59,-52,-84,-74,NaN,-77,-69,NaN,NaN,-70,NaN,NaN,3
-56,-44,-59,-75,-74,-72,-61,-55,-32,-57,-51,-83,-71,-80,NaN,-74,NaN,NaN,-70,NaN,NaN,3
-60,-44,-58,NaN,-73,-72,-55,-56,-31,-58,-52,-82,-71,-80,NaN,-74,NaN,NaN,-70,NaN,NaN,3
-53,-44,-60,-75,-74,-72,-62,-56,-31,-58,-51,-85,-70,-80,-77,-73,NaN,NaN,-69,NaN,NaN,3
-53,-45,-59,-75,-74,-73,-64,-55,-31,-59,-50,-73,-72,-81,-77,-70,NaN,NaN,-69,NaN,NaN,3
-55,-44,-61,-75,NaN,-72,-64,-55,-32,-60,-51,-73,-72,-81,-79,-69,-81,NaN,-70,NaN,NaN,3
-54,-44,-59,-75,NaN,-73,-61,-56,-31,-60,-51,-74,-71,-82,-79,-69,-80,NaN,-70,NaN,NaN,3
-55,-45,-57,NaN,-73,-72,-61,-55,-31,-60,-53,-74,-71,-82,-78,-69,-80,NaN,NaN,NaN,NaN,3
-54,-45,-57,NaN,-73,-72,-60,-54,-32,NaN,-50,-71,-71,NaN,-77,NaN,NaN,NaN,NaN,NaN,-88,3
-55,-45,-58,-77,NaN,-72,-58,-55,-32,-58,-52,-71,-74,NaN,-78,NaN,NaN,NaN,-69,NaN,-88,3
-54,-45,-64,-75,NaN,-72,-55,-56,-31,-58,-52,-76,-74,NaN,-78,NaN,NaN,NaN,-69,NaN,NaN,3
-54,-45,-61,-75,-73,-71,-54,-55,-31,-58,-56,-70,-74,NaN,NaN,NaN,-78,NaN,NaN,NaN,NaN,3
NaN,-46,-58,NaN,-73,-71,-54,-56,-32,NaN,-52,-76,-72,-82,-76,-71,-82,NaN,-70,NaN,NaN,3
-56,-45,-63,NaN,-75,-70,-57,-55,-32,-58,-54,-76,-76,-82,-75,-68,-80,NaN,-69,NaN,NaN,3
-61,-48,-62,NaN,-75,-70,-59,-54,-32,-64,-53,-77,-76,NaN,-81,-68,-80,NaN,-71,NaN,NaN,3
-58,-46,-59,NaN,NaN,-70,-63,-56,-32,-65,-52,-77,-70,NaN,-81,NaN,-83,NaN,-71,NaN,NaN,3
-62,-47,-62,-73,NaN,-70,-57,-56,-32,-60,-54,NaN,-74,-86,-82,-69,-83,NaN,-71,NaN,NaN,3
-59,-47,-59,-73,NaN,-70,-57,-57,-31,-60,-54,NaN,-71,-86,-82,-69,NaN,NaN,-71,NaN,NaN,3
-57,-47,-62,-73,-73,-70,-59,-57,-31,-61,-54,-80,-73,NaN,-82,NaN,-82,NaN,NaN,NaN,NaN,3
-57,-48,-62,-74,-73,-72,-59,-54,-32,-60,-53,-79,-72,NaN,-81,NaN,-82,NaN,-70,-89,NaN,3
-57,-46,-64,-74,-77,-71,-56,-56,-31,-62,-56,-80,-72,-84,-81,NaN,NaN,NaN,-70,-89,NaN,3
-59,-46,-64,-77,-77,-72,-56,-55,-31,-62,-55,-80,NaN,-84,NaN,NaN,-80,NaN,NaN,NaN,NaN,3
-59,-48,-63,-77,NaN,-73,-56,-55,-31,-60,-54,NaN,-71,-84,-81,-67,-80,NaN,NaN,NaN,NaN,3
-57,-46,-62,NaN,-81,-73,-57,-55,-31,-61,-56,-80,-72,NaN,-82,-67,-81,NaN,NaN,NaN,NaN,3
-57,-45,-63,-76,-76,-73,-59,-56,-32,-61,-56,-82,-71,NaN,-82,-68,-79,NaN,NaN,NaN,NaN,3
-57,-47,-63,-76,-76,-72,-59,-54,-31,NaN,-56,-81,-71,NaN,NaN,-68,-79,NaN,NaN,-90,NaN,3
-56,-44,-62,-75,NaN,-73,NaN,-55,-32,-61,-58,-81,-71,NaN,-82,NaN,NaN,NaN,NaN,-91,NaN,3
-56,-45,-64,-75,-80,-72,-62,-55,-32,-64,-56,-81,NaN,NaN,-82,NaN,NaN,NaN,-69,-91,NaN,3
-58,-45,-63,-75,-76,-72,-58,-56,-31,-59,-53,NaN,-70,-83,-81,-68,NaN,NaN,-69,NaN,NaN,3
-59,-44,-65,-79,-77,-72,-62,-55,-32,-60,-55,NaN,-74,-83,-81,-68,-79,NaN,-69,NaN,NaN,3
-60,-43,-65,-76,-74,-72,-63,-55,-32,-60,-54,-81,-70,NaN,-81,-68,-79,NaN,-69,NaN,NaN,3
-60,-43,-61,-73,-74,-73,-59,-55,-32,NaN,-54,-78,-70,NaN,-81,-68,NaN,NaN,-69,NaN,NaN,3
-56,-36,-64,-83,-71,-68,-54,-59,-40,-58,-53,-90,-66,NaN,-77,-67,-80,NaN,NaN,NaN,NaN,4
-52,-35,-64,-77,-70,-68,-54,-59,-43,-64,-55,-76,-65,-76,-73,-72,-80,-75,-70,NaN,NaN,4
-52,-35,-60,-77,-71,-69,-62,-57,-39,-64,-56,-77,-64,-76,-81,-72,NaN,-75,-91,NaN,NaN,4
-51,-32,-60,NaN,-71,-68,-62,-56,-39,-68,-56,-78,-65,NaN,-80,-72,NaN,NaN,-91,NaN,NaN,4
-52,-36,-59,NaN,-71,-68,-58,-56,-43,-62,-55,-82,-64,NaN,-80,-72,NaN,NaN,-70,NaN,NaN,4
-57,-36,-59,NaN,-70,-68,-58,-56,-42,-64,-55,-76,-69,-80,-78,-74,NaN,NaN,-70,NaN,NaN,4
-51,-35,-63,NaN,-70,-68,-57,-57,-42,-67,-56,-79,-65,-77,-78,-74,NaN,NaN,NaN,NaN,NaN,4
-52,-37,-59,NaN,-72,-69,-62,-57,-40,-60,-56,-79,-65,-77,-81,NaN,NaN,-83,-70,NaN,NaN,4
-50,-35,-61,NaN,-72,-68,-57,-57,-39,-62,-56,-79,-65,-78,-79,-71,NaN,-83,-70,NaN,NaN,4
-53,-36,-58,-85,-72,-69,-62,-57,-40,-60,-54,-79,-65,-80,-79,-71,-81,-85,-70,NaN,NaN,4
-52,-37,-58,-77,-72,-68,-59,-56,-39,-60,-55,-79,-65,-77,-80,-72,-81,-85,-70,NaN,NaN,4
-52,-34,-63,-77,-72,-68,-57,-56,-40,-60,-54,-78,-65,-77,-79,-72,NaN,NaN,NaN,NaN,NaN,4
-52,-35,-58,NaN,-72,-67,-57,-57,-41,-65,-56,-79,-65,NaN,-79,-72,-78,NaN,NaN,NaN,NaN,4
-52,-36,-59,NaN,-73,-68,-58,-56,-39,-61,-56,-78,-65,-76,-78,-72,-78,-85,NaN,NaN,NaN,4
-52,-35,-64,-83,-72,-68,-56,-56,-39,-60,-56,-78,-65,-78,-78,NaN,NaN,-85,-70,NaN,-89,4
-51,-36,-64,-83,-72,-68,-55,-54,-39,-60,-56,-78,-66,-78,-78,NaN,-84,-85,-70,NaN,-89,4
-51,-35,-60,-82,-71,-67,-57,-56,-41,-66,-53,NaN,-66,-78,-80,-77,-84,-88,-71,NaN,NaN,4
-54,-44,-61,-87,-73,-67,-56,-55,-39,-60,-53,-77,-66,NaN,-79,-72,-78,-89,-71,NaN,NaN,4
-51,-36,-60,-87,-74,-67,-56,-56,-41,-61,-55,-77,-66,NaN,-79,-72,-81,-89,NaN,NaN,NaN,4
-51,-34,-60,NaN,-72,-67,-56,-57,-40,-67,-55,-78,NaN,NaN,-79,-72,-78,NaN,NaN,NaN,NaN,4
-51,-35,-60,NaN,-72,-67,-60,-56,-45,-67,-56,-78,NaN,NaN,-80,-72,-78,NaN,-67,NaN,NaN,4
-53,-35,-58,NaN,NaN,-67,-58,-56,-39,-60,-56,NaN,-65,NaN,-80,-72,NaN,NaN,-67,NaN,NaN,4
-52,-36,-60,NaN,-71,-67,-57,-57,-40,-60,-56,-77,-64,-76,NaN,-79,NaN,-86,NaN,NaN,NaN,4
-52,-35,-59,-89,-71,-67,-55,-56,-39,-59,-53,-75,-65,-76,-80,-73,NaN,-86,NaN,NaN,NaN,4
-51,-36,-59,-89,-72,-68,-59,-56,-39,-59,-53,-78,-65,NaN,-80,-73,NaN,NaN,-71,NaN,NaN,4
-51,-35,-60,NaN,-72,-67,-65,-57,-39,-58,-55,-78,-65,-77,-79,-73,-79,-87,-70,NaN,NaN,4
-51,-36,-59,-84,-72,-67,-57,-59,-40,-59,-54,-78,-65,-78,-79,-73,-79,-87,-70,NaN,NaN,4
-51,-35,-59,-84,-72,-67,-54,-56,-39,-60,-53,-78,-65,-78,-79,-72,NaN,-87,NaN,NaN,NaN,4
-51,-35,-60,NaN,-72,-67,-55,-56,-39,-60,-55,-77,-65,NaN,-78,-72,NaN,NaN,NaN,NaN,NaN,4
-56,-35,-60,NaN,-71,-67,-60,-56,-40,-61,-56,-76,-65,NaN,-78,NaN,NaN,NaN,-70,NaN,NaN,4
-52,-35,-60,-79,-72,-68,-61,-56,-39,-59,-55,-76,-64,NaN,-78,NaN,NaN,NaN,-70,NaN,NaN,4
-51,-36,-62,-79,-77,-67,-60,-56,-39,-66,-55,-77,-64,NaN,-79,NaN,NaN,NaN,-70,NaN,NaN,4
-53,-35,-59,NaN,-73,-67,-60,-56,-39,-60,-53,-77,-65,NaN,-78,NaN,NaN,-87,-71,NaN,NaN,4
-52,-34,-60,NaN,-72,-67,-54,-56,-39,-58,-55,-74,-65,NaN,-74,NaN,NaN,-87,-71,NaN,NaN,4
-53,-35,-64,NaN,-72,-68,-58,-57,-41,-65,-55,-78,-64,NaN,-78,NaN,-79,NaN,-71,NaN,NaN,4
-54,-36,-61,NaN,-72,-68,-58,-56,-40,-65,-55,-74,-64,NaN,-78,NaN,-79,NaN,-71,NaN,NaN,4
-52,-36,-61,NaN,-73,-68,-53,-57,-39,-60,-55,-77,-65,NaN,NaN,-76,-79,NaN,-70,NaN,NaN,4
-52,-35,-61,NaN,-72,-68,-53,-58,-39,-65,-53,-78,-64,NaN,-79,-72,-79,NaN,-70,NaN,NaN,4
-53,-36,-65,NaN,-75,-68,-59,-57,-41,-59,-53,-76,-64,NaN,-77,-73,NaN,NaN,-70,NaN,NaN,4
-51,-36,-60,-77,-71,-68,-55,-57,-39,-60,-53,-79,-64,NaN,-79,-73,NaN,-85,-70,NaN,-92,4
-51,-33,-60,-77,-72,-67,-55,-57,-39,-57,-55,-74,-64,NaN,-79,NaN,NaN,-85,NaN,NaN,-92,4
-52,-35,-59,NaN,-72,-67,-61,-57,-39,-59,-53,-78,-64,-77,-79,NaN,NaN,NaN,NaN,NaN,NaN,4
-51,-36,-61,NaN,-71,-67,-55,-57,-39,-60,-55,-77,-64,-80,-74,-74,NaN,NaN,NaN,NaN,NaN,4
-52,-36,-63,NaN,-79,-67,-55,-57,-38,-65,-53,-77,-64,-80,-79,-74,NaN,NaN,-70,NaN,NaN,4
-51,-36,-60,NaN,-79,-68,-55,-57,-39,-60,-55,NaN,NaN,-80,-79,NaN,-76,NaN,-70,NaN,NaN,4
-52,-34,-61,NaN,-72,-68,-57,-56,-39,-61,-53,NaN,-65,-80,NaN,-73,-80,NaN,-70,NaN,NaN,4
-51,-35,-60,NaN,-83,-68,-60,-57,-41,-61,-54,-77,-65,-77,-81,-73,-79,NaN,-70,NaN,NaN,4
-52,-36,-58,NaN,-83,-68,-58,-57,-40,-61,-55,-77,-70,-77,-80,-77,-79,NaN,-71,NaN,NaN,4
-56,-44,-59,-85,-71,-67,-58,-57,-41,-60,-54,-78,-70,NaN,-80,-77,NaN,NaN,-71,NaN,NaN,4
-53,-36,-59,-85,-71,-67,-56,-57,-39,-66,-55,-76,-66,NaN,NaN,-72,-79,NaN,-71,NaN,NaN,4
-53,-35,-60,NaN,-71,-67,-56,-57,-39,-66,-53,-77,-69,NaN,-79,-72,-79,NaN,-71,NaN,NaN,4
-53,-35,-60,NaN,-71,-68,-57,-57,-39,NaN,-53,-77,-66,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,4
-55,-35,-59,NaN,-72,-68,-56,-58,-41,-60,-53,-77,-65,NaN,-80,NaN,-79,NaN,-71,NaN,NaN,4
-53,-37,-58,NaN,-71,-68,-57,-58,-40,-60,-54,-75,-67,NaN,-79,-72,-79,NaN,-71,NaN,NaN,4
-52,-35,-59,-77,-71,-68,-57,-57,-38,-61,-54,-76,-65,-77,-79,-72,NaN,NaN,-71,NaN,NaN,4
-54,-33,-60,-75,-72,-67,-55,-57,-40,-61,-54,-77,-65,-77,-79,-72,-79,-85,-70,NaN,NaN,4
-52,-35,-59,-75,-71,-68,-55,-57,-40,-62,-54,-77,-65,-77,-79,-72,-79,-85,-70,-88,NaN,4
-64,-35,-60,-76,-71,-68,-59,-58,-40,-60,-53,-76,-66,-77,-80,-72,NaN,-87,-70,-88,-90,4
-52,-35,-59,-76,-71,-67,-58,-57,-39,-60,-54,-78,-65,-78,-79,-72,-79,-85,-69,NaN,-90,4
-56,-36,-58,-77,NaN,-67,-55,-57,-39,-60,-55,-76,-65,-77,-79,-73,-79,-84,-69,NaN,NaN,4
-51,-33,-59,-78,-72,-67,-57,-57,-45,-61,-52,-76,-65,-77,-80,-73,NaN,-84,NaN,-88,NaN,4
-52,-35,-59,-78,-72,-67,-58,-58,-40,-60,-55,-77,-65,-76,-79,-72,-78,NaN,-70,-88,NaN,4
-52,-35,-64,NaN,-72,-67,-58,-58,-41,-60,-54,-76,-70,-76,-78,-72,-79,-82,-70,NaN,NaN,4
-52,-35,-64,NaN,-72,-67,-54,-58,-40,-61,-54,-77,-70,NaN,-78,-72,-79,-87,-71,NaN,NaN,4
-50,-35,-59,NaN,-71,-67,-57,-56,-40,-61,-53,-76,-66,-79,-79,-73,-86,-87,-71,NaN,NaN,4
-55,-35,-58,NaN,-71,-67,-57,-57,-46,-61,-54,-77,-65,-79,-77,-74,-79,NaN,-71,NaN,NaN,4
-52,-43,-58,NaN,-72,-67,-55,-58,-39,-61,-55,-77,-65,NaN,-77,-74,-79,NaN,-70,NaN,NaN,4
-51,-35,-60,NaN,-72,-67,-61,-58,-45,-61,-55,-78,-65,-75,-78,NaN,-78,-86,-70,NaN,NaN,4
-53,-36,-61,-77,-72,-68,-57,-56,-43,-61,-53,-76,-69,-75,-78,NaN,-78,-86,-70,NaN,NaN,4
-53,-35,-66,-77,-72,-67,-58,-56,-42,-60,-53,-77,-66,-77,-78,-73,-79,-86,-70,-88,-89,4
-53,-35,-61,-77,-72,-67,-57,-57,-43,-60,-55,-77,-66,-76,-78,-74,-79,-86,-70,-88,-89,4
-53,-37,-57,-77,-72,-67,-56,-57,-41,-61,-55,-77,-66,-78,-80,-73,-79,NaN,-71,NaN,NaN,4
-52,-36,-57,NaN,-72,-67,-61,-56,-40,-60,-55,-76,-65,-77,-80,-73,NaN,-86,-71,NaN,NaN,4
-53,-37,-59,NaN,-71,-67,-57,-57,-41,-60,-53,-76,-65,-77,-80,-73,-80,-86,-71,-88,NaN,4
-53,-40,-59,-76,-71,-67,-57,-57,-40,-60,-54,-76,-68,-78,-75,NaN,-80,NaN,-71,-88,NaN,4
-51,-37,-59,-76,-79,-67,-52,-57,-77,-60,-54,-77,-65,-78,-80,-73,-81,NaN,-71,NaN,NaN,4
-51,-33,-65,-78,-71,-67,-52,-57,-38,-59,-54,-77,-65,-78,-79,-73,-81,NaN,-72,NaN,NaN,4
-52,-37,-63,-78,-71,-67,-54,-57,-40,-60,-55,-78,-66,NaN,-79,NaN,-83,NaN,-75,NaN,NaN,4
-52,-37,-61,NaN,-72,-67,-54,-56,-41,-60,-54,-77,-66,-78,-80,-71,-83,NaN,-75,NaN,NaN,4
-52,-36,-90,NaN,-71,-67,-62,-57,-40,-61,-51,-77,-64,-78,-77,-73,-80,-86,NaN,NaN,NaN,4
-60,-40,-57,NaN,-74,-71,-55,-65,-48,-56,-54,-81,-65,NaN,-77,-65,-80,-82,-69,-89,NaN,5
-60,-40,-55,NaN,-73,-69,-62,-62,-37,-70,-52,-78,-65,NaN,-83,-65,NaN,-82,-69,-89,NaN,5
-60,-35,-55,NaN,-72,-69,-62,-64,-34,-60,-54,-83,NaN,NaN,-83,NaN,NaN,-79,NaN,NaN,NaN,5
-59,-39,-57,NaN,-71,-69,-59,-65,-40,-61,-54,-83,NaN,-78,NaN,-66,NaN,-79,NaN,NaN,NaN,5
-59,-39,-54,NaN,-72,-70,-54,-65,-38,-61,-54,NaN,NaN,-78,-83,-66,-81,NaN,-66,NaN,NaN,5
-61,-39,-55,NaN,-73,-69,-60,-64,-40,-62,-56,NaN,-62,NaN,-83,NaN,-74,NaN,-66,NaN,NaN,5
-61,-38,-54,-83,-72,-69,-62,-64,-39,-61,-55,-78,-61,NaN,-82,-66,-74,-79,-66,NaN,NaN,5
-62,-39,-56,-83,-72,-69,-64,-65,-39,-62,-55,-77,-61,-79,-82,-66,NaN,-79,-66,NaN,NaN,5
-62,-39,-55,NaN,-73,-70,-64,-64,-38,-61,-55,-77,-60,-75,-83,NaN,NaN,-80,-66,NaN,NaN,5
-63,-39,-57,NaN,-72,-70,-63,-65,-39,-61,-51,-79,-60,-75,-83,-65,NaN,-80,-90,NaN,NaN,5
-63,-40,-56,NaN,-71,-70,-63,-66,-38,-64,-53,-81,-63,-75,-80,-65,NaN,-79,-90,NaN,NaN,5
-63,-41,-56,NaN,-71,-70,-61,-64,-39,-63,-50,-81,-60,-76,-80,-65,NaN,-79,-67,NaN,NaN,5
-63,-41,-54,NaN,-71,-70,-65,-64,-39,-60,-50,NaN,-65,-76,NaN,-65,NaN,-72,-67,NaN,NaN,5
-63,-41,-53,-81,-70,-70,-61,-64,-39,-71,-53,NaN,-62,NaN,NaN,-65,-80,-72,-67,NaN,NaN,5
-63,-42,-53,-81,-71,-70,-61,-65,-38,-62,-53,-79,-62,NaN,-80,-66,-80,-80,NaN,NaN,NaN,5
-89,-42,NaN,-80,-70,-70,-63,-90,-39,-57,-52,-80,-62,-77,-79,-65,-80,-79,-68,-90,NaN,5
-68,-40,NaN,-80,-71,-70,-56,-63,-43,-63,-52,-81,-62,-77,-79,-65,NaN,-79,-68,-90,NaN,5
-64,-41,NaN,-82,-72,-70,-63,-61,-38,-63,-53,-78,-57,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,5
-65,-40,-54,-77,-73,-71,-63,-62,-38,-63,-53,-82,-60,-74,-88,-65,-79,-78,NaN,NaN,NaN,5
-64,-40,-56,-79,-73,-70,-54,-62,-37,-62,-51,-80,-61,-75,-85,-65,-78,-78,-66,NaN,NaN,5
-63,-40,-54,-79,-73,-70,-59,-62,-38,-62,-53,-80,-62,-75,-85,-65,-77,-80,-66,NaN,NaN,5
-64,-41,-55,-76,-72,-70,-59,-63,-37,-62,-51,-75,-62,NaN,-87,-66,-77,-79,NaN,NaN,NaN,5
-64,-40,-54,-76,-72,-69,-61,-62,-38,-61,-53,-80,-62,NaN,-87,-66,-81,-79,-67,NaN,NaN,5
-64,-40,-54,NaN,-73,-70,-64,-59,-34,-61,-51,-80,-61,-74,NaN,NaN,-78,-78,-66,NaN,NaN,5
-64,-40,-54,-84,-72,-70,-64,-63,-38,-64,-53,-79,-60,-74,-87,NaN,-82,-78,-66,NaN,NaN,5
-65,-39,-54,-84,-72,-70,-59,-63,-39,-63,-51,-80,-59,-74,-90,NaN,-82,-78,NaN,NaN,NaN,5
-65,-40,-57,NaN,NaN,-70,-61,-63,-38,-62,-51,-80,-61,-74,-90,-65,-80,-78,-66,NaN,NaN,5
-65,-35,-55,NaN,-72,-70,-54,-61,-44,-62,-54,-81,-61,-74,-88,-65,-80,-78,-66,NaN,NaN,5
-64,-40,-55,NaN,-73,-70,-61,-61,-44,-62,-53,-80,-63,-73,-88,-66,-80,-79,-66,NaN,NaN,5
-66,-39,-56,NaN,-73,-70,-56,-63,-39,-58,-53,-81,-61,-74,NaN,-65,NaN,-79,-66,NaN,NaN,5
-64,-40,-55,NaN,-73,-70,-64,-61,-39,-59,-52,-79,-61,-74,NaN,-66,-81,-79,-68,NaN,NaN,5
-64,-41,-56,-88,-73,-70,-64,-62,-44,-61,-53,-81,-61,-74,-87,-66,-78,-79,-68,NaN,NaN,5
-61,-39,-55,-88,-73,-70,-57,-62,-39,-60,-53,-79,-61,NaN,-86,-65,-78,-73,-67,NaN,-86,5
-65,-42,-55,NaN,-73,-70,-56,-63,-38,-60,-54,-81,-61,NaN,-86,-65,-78,-73,-87,NaN,-86,5
-66,-40,-54,-81,-73,-69,-56,-62,-38,-61,-53,-81,-60,NaN,-86,-65,NaN,NaN,-87,NaN,NaN,5
