1.2,1.2,-58,-40.837,-62.707,-77.765,-68.782,-69.5,-60.39,-53.675,-40.1,-60.62,-58.447,-76.276,-67.844,-82.15,-73.294,-72.377,-80.049,-88.905,-75.079,-87.75,-92,2.4651,1.2573,3.3238,2.3798,1.3642,0.90007,5.5302,0.79197,7.7224,1.9435,1.6198,2.5171,1.0395,1.6878,2.0374,2.8133,4.3529,1.136,1.4023,1,0,7.1085e-08,16.124,-19.255,6.1383e-07,0.3403,0.3327
3.6,1.2,-59.25,-47.325,-66.257,-79.902,-75.233,-71.975,-60.103,-55.388,-45.438,-62.078,-61.909,-79.645,-75.873,-84.964,-81.122,-78.362,-79.676,-90.586,-81.7,-88,-91,3.8303,4.6109,5.6252,2.6926,4.0535,0.69309,1.5839,0.73766,4.0623,1.4579,2.5036,1.663,1.8968,1.8874,1.7277,2.0061,2.2491,1.2961,3.9082,0.75593,0,-1.0197e-07,17.888,-20.332,6.576e-07,0.25396,0.2859
1.2,3.6,-56.392,-45.25,-60.215,-75.131,-75.368,-71.425,-59.709,-55.663,-31.488,-59.444,-53.737,-79.7,-70.92,-81.44,-78.229,-69.769,-81.415,-86.923,-70.073,-90.545,-88,2.3006,1.522,2.6922,2.2096,4.4551,0.96489,5.0843,1.6144,0.85675,1.5824,5.1748,4.168,1.8141,1.9077,2.323,2.0828,2.3449,6.5251,4.0909,1.0357,0,-1.1134e-07,18.72,-22.11,8.9174e-07,0.32236,0.33542
3.6,3.6,-52.425,-35.7,-60.65,-79.838,-72.321,-67.463,-57.163,-56.788,-40.625,-61.228,-54.337,-77.276,-65.468,-77.479,-78.711,-72.82,-79.625,-85.189,-71.079,-88,-90,1.9276,1.9383,3.8815,4.2066,2.4468,0.57244,2.5776,0.85231,4.4334,2.444,1.1467,1.95,1.5095,1.3045,1.4771,1.6981,1.8175,2.8852,3.8197,0,1.3093,8.2918e-08,14.519,-23.959,5.6787e-07,0.31115,0.3235
1.2,6,-62.712,-40.1,-54.96,-80.152,-72.662,-69.888,-59.519,-63.75,-38.75,-61.538,-52.987,-79.662,-61.143,-75,-83.881,-65.19,-78.766,-78.2,-68.317,-88.643,-86.5,3.8883,1.197,1.1559,2.7159,1.2836,0.52756,3.0207,4.4622,2.3573,2.3218,1.5219,1.6983,1.3641,1.4011,3.582,0.88767,2.3885,2.2583,5.3876,0.8419,1.1952,-1.2928e-08,13.648,-28.536,4.8695e-07,0.26401,0.28807
3.6,6,-47.975,-42.575,-53.212,-75.462,-71.92,-67.1,-57.526,-49.388,-47.675,-54.338,-61.231,-80.74,-66.975,-81.727,-80.727,-68.234,-77.829,-84.806,-73.089,-89,-84.81,6.2338,6.0667,1.0873,1.7203,2.6394,0.93592,3.4254,1.1528,5.4767,1.1426,5.4794,3.2405,2.0926,2.0946,2.6227,0.84969,2.312,1.7373,4.1834,0,2.0401,1.0027e-07,10.965,-27.186,6.0156e-07,0.33882,0.27327
1.2,8.4,-49.862,-39.127,-52.38,-72.891,-71.753,-69.612,-53.215,-55.75,-48.225,-51.737,-45.45,-69.112,-60.447,-65.986,-71.779,-67.54,-71.304,-80.778,-68.516,-83.333,-79.8,7.3325,8.0006,2.2776,3.1357,2.4876,0.6263,2.3131,1.6876,8.0693,0.99038,4.9373,1.4319,3.838,3.1778,1.5696,3.0524,2.2717,3.3005,4.2686,1.5275,1.8828,4.7065e-08,10.97,-31.236,3.6987e-07,0.30554,0.29256
3.6,8.4,-51.675,-35.62,-51.712,-71.361,-69.974,-67.025,-57.087,-62.663,-44.775,-50.475,-49.862,-80.72,-56.038,-71.37,-71,-69.189,-71.358,-78.382,-54.129,-78.605,-82.476,7.223,12.098,1.4686,2.7449,1.395,0.42022,5.4638,2.3109,8.3847,2.0805,1.1334,1.4756,0.89221,2.3363,2.2423,2.7631,1.2637,2.7483,3.2878,1.3057,1.721,-3.2172e-08,11.146,-33.118,4.2913e-07,0.31759,0.29053
6,8.4,-54.712,-34.388,-47.138,-69.847,-67.025,-64.4,-54.825,-63.513,-47.788,-43.1,-54.288,-78.62,-62.61,-64.733,-72.076,-71.338,-71.4,-73.025,-56.615,-84.217,-80.786,3.9752,5.2398,5.0984,2.2371,1.585,0.62844,3.8345,3.2491,3.4373,5.0731,1.3797,2.0274,5.2545,1.9336,2.8319,2.2651,1.7059,4.1571,2.2617,1.5942,2.4699,-2.0767e-08,13.593,-30.655,5.0012e-07,0.26665,0.27784
8.4,8.4,-45.538,-47.282,-44.85,-69.043,-68.103,-56.462,-46.089,-51.4,-48.581,-45.7,-56.725,-75.806,-57.918,-66.556,-72.932,-66.883,-70.175,-67.282,-53.063,-80.667,-75.1,9.9809,9.6172,2.5163,4.5743,2.5257,0.76214,4.8864,1.4106,6.3763,7.0269,2.9766,2.1666,5.3275,1.0125,2.1729,1.4391,1.5713,1.7939,4.395,1.2635,2.3403,3.203e-08,11.197,-26.027,3.7983e-07,0.20867,0.31941
