@relation '20.01.2016.train-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1'

@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
-34,-38,-51,-53,-59,-69,?,-74,13
-33,-41,-49,-54,?,?,?,-73,13
-31,-41,-50,-52,-56,-66,?,-72,13
-31,-41,-50,-52,-55,-66,?,?,13
-30,-42,-50,-51,?,-66,?,-78,13
-31,-42,-50,-51,-55,-65,?,-73,13
-31,-42,-50,-52,-56,?,?,-73,13
-31,-42,-65,-52,?,-66,?,?,13
-32,-42,-51,-52,?,?,?,?,13
-30,-40,-50,-52,?,-66,?,?,13
-31,-41,-51,-52,-55,?,-73,-78,13
-31,-41,-50,-53,-55,?,?,-73,13
-31,-41,?,-52,-55,-65,?,-73,13
-32,-41,-48,-52,-54,-65,?,-74,13
-65,?,-50,-53,?,-65,?,-72,13
-31,?,-49,-52,-56,-66,?,-72,13
-31,-41,-50,-52,-55,?,?,-72,13
-30,-41,?,-51,-55,-66,-77,-72,13
-30,-41,-49,-52,-56,-65,?,-73,13
-31,-42,-49,-52,-56,-65,-74,-73,13
-31,-42,-49,?,?,?,?,-72,13
-30,-42,-46,-52,-55,?,?,-73,13
-30,-41,-49,-54,-56,-66,?,-75,13
-30,-41,-49,-51,-55,?,-80,-71,13
-31,-42,-49,-50,-55,-66,?,-73,13
-30,-41,-47,-51,-57,?,?,?,13
-31,-42,-52,-51,-57,-66,-75,-71,13
-31,-41,-50,-51,?,-66,?,-74,13
-31,-41,-51,-52,-57,-66,?,?,13
-31,-40,-50,-52,-57,?,?,-73,13
-31,-40,-51,-51,?,?,-74,?,13
-31,-41,-50,-52,?,?,-75,-74,13
-31,-41,-50,-52,-55,?,-73,-73,13
-31,-42,-50,-52,-55,?,?,?,13
-31,-41,-51,-54,-55,?,?,?,13
-30,-41,-51,-50,-56,-66,?,?,13
-31,-41,-51,-52,?,?,?,-71,13
-31,-45,-51,-60,-56,?,?,-79,13
-30,-41,-51,-51,-56,-66,?,?,13
-31,-41,-51,-51,-57,-66,?,?,13
-31,-41,-52,-51,?,-66,-72,-74,13
-30,-41,-50,-51,-55,-66,-72,-73,13
-30,-41,-50,-50,-55,-66,?,-71,13
-45,-41,-51,-51,?,?,-72,?,13
-30,-41,-51,-51,-55,-66,-79,?,13
-30,-41,-51,-54,?,-66,-80,-72,13
-30,-42,-50,-51,-55,-66,-74,-80,13
-31,-41,-52,-52,-56,-67,-73,?,13
-30,-41,-51,-52,?,-66,-73,-79,13
-31,-41,-50,-52,-55,?,-78,?,13
-31,-41,-51,-52,?,-66,-75,-87,13
-31,-40,-64,-52,?,-66,-74,-73,13
-32,-40,-51,-52,-55,?,-76,?,13
-29,-41,-51,?,?,?,-75,-72,13
-30,-41,-51,-51,-55,?,-75,-73,13
-32,-41,-50,-51,?,-66,?,?,13
?,-41,-51,-51,-56,?,-80,-78,13
-31,-41,-50,-52,-56,-66,?,-74,13
-30,-41,-50,-52,-56,-66,?,?,13
-31,-40,-50,-52,-56,-67,-80,-78,13
-31,-42,-51,-52,?,?,-83,?,13
-31,-41,-51,-51,-56,?,?,?,13
-31,-41,-51,-51,-56,-66,-76,?,13
-30,-41,-50,-52,?,?,?,-79,13
-31,-41,-51,-52,-57,-66,-76,?,13
-31,-41,-52,-53,-55,-66,-87,-69,13
-31,-41,-51,-52,-56,?,?,?,13
-33,-42,-52,-52,-56,?,?,-73,13
-31,-41,-51,-55,-56,-66,-76,-72,13
-31,-41,-51,-51,-56,-66,?,-78,13
-31,-41,-50,-52,-56,-66,-81,?,13
-31,-42,-50,-52,-56,-65,-75,?,13
-31,-42,-50,-52,-55,-65,-75,?,13
-33,-42,-51,-52,-56,-65,-76,-73,13
-31,-41,-51,-52,-55,?,-73,-77,13
-31,-40,-50,-51,-56,-65,?,-72,13
-30,-41,-50,-52,-55,-66,?,-73,13
-29,-42,-51,-51,-55,-67,-79,-71,13
-32,-30,-45,-53,?,-63,-68,-74,2
-33,-57,-45,-51,-60,-64,-69,-76,2
-33,-29,-48,-53,-62,-64,-68,-74,2
-33,-30,-48,-53,-59,?,-69,-76,2
-33,-30,-48,-53,?,-67,?,?,2
-33,-30,?,-53,-58,-64,-73,-74,2
-33,-30,-50,-53,-59,-68,-72,-75,2
-32,-30,?,-52,-59,-63,-72,-72,2
-33,-30,-50,-53,-59,-64,?,-74,2
-32,-29,-50,-52,-59,-67,-68,-73,2
-33,-30,-49,?,-59,-64,-70,-73,2
-33,-30,-50,-52,-59,?,-73,?,2
-33,-30,-49,-52,-58,-64,-70,-74,2
-32,-29,-49,-52,-59,-63,?,?,2
-33,-30,-49,-52,-59,?,?,-74,2
-34,-33,-50,-52,-59,?,-69,?,2
-32,-30,-49,-52,?,?,?,?,2
-33,-29,-49,-53,-58,-64,-69,-74,2
-32,-29,-50,-52,-59,-64,?,?,2
-32,-29,-49,-52,-59,-64,?,-75,2
-32,-29,-49,-52,-59,?,-67,?,2
-32,-30,-49,?,?,-63,?,?,2
-32,-30,-49,-52,-59,?,-68,-74,2
-33,-29,-49,-53,-59,-64,?,-75,2
-32,-29,-48,-53,-59,-67,-80,-75,2
-32,-29,-49,-52,-58,-63,-73,?,2
-32,-29,-48,-53,-58,?,?,?,2
-33,-29,-47,-52,-59,-64,?,-75,2
-32,-30,-48,-53,?,-64,-67,-74,2
?,-30,-49,-52,-59,-68,-68,-75,2
-32,-30,-49,-52,-59,-64,-69,-74,2
-33,-30,-49,-55,-59,?,-68,-74,2
-33,-30,-49,-53,-58,-68,-69,-75,2
-32,-29,-49,-52,-58,?,?,?,2
-33,-29,?,-52,?,?,?,?,2
-32,-30,-48,-52,-58,-63,-69,-74,2
-33,-30,-48,-52,-58,-64,-70,-74,2
-33,-33,-45,?,-58,-67,-69,?,2
-32,-30,-48,-53,-59,-62,-69,-74,2
-32,-30,-49,-54,-57,-64,-69,-74,2
-33,-30,-48,-52,-58,-63,-69,-74,2
-33,-30,-49,-53,-58,-63,-69,?,2
-33,-30,-49,-54,-58,?,-68,-69,2
-33,-30,-49,-52,-58,-63,-69,?,2
-32,-30,-50,-53,-58,-63,-68,?,2
-34,-30,-50,-53,-58,-63,-69,?,2
-33,-30,-50,-53,-58,-67,-68,?,2
-34,-29,-48,-53,-58,-63,-72,-74,2
-33,-30,-49,-53,?,-62,?,?,2
-33,-30,-48,-53,-58,-63,?,-75,2
-33,-30,-49,-53,-58,-63,-70,-74,2
-69,-30,-49,-53,-58,-67,-68,-75,2
-32,-29,-50,-53,-58,-64,-69,-73,2
-33,-32,-47,-58,?,-66,-71,?,2
-33,-30,-53,?,-57,-67,-72,-72,2
-32,-30,-50,-53,-58,-64,-71,-73,2
-74,-30,-50,-53,-56,-63,?,-73,2
-33,-30,-52,-52,-57,-63,-73,?,2
-33,-64,-51,-55,?,-63,?,?,2
-33,-30,-51,-53,-58,-63,-71,-74,2
-33,-30,-51,-53,-58,-63,?,-74,2
-33,-33,-49,-54,-58,-63,?,?,2
-34,-30,-53,-54,-59,-63,-71,-75,2
-33,-30,-49,-53,-58,-63,-72,-74,2
-34,-30,-51,-54,-58,-62,?,?,2
-34,-30,-51,-53,-57,-63,-82,?,2
-33,-30,-56,-54,-58,-64,?,?,2
-34,-30,-51,-53,-57,?,?,-73,2
-34,-29,-51,?,-58,-64,?,-74,2
?,-30,-52,?,-57,-64,?,?,2
-34,-30,-52,-54,-58,-64,?,-74,2
-34,-30,-51,-54,-58,-64,?,?,2
-34,-30,-51,-53,-57,-63,-71,-73,2
-34,-30,-51,-54,-57,-64,-73,-73,2
-34,-30,-51,-54,-58,-64,?,?,2
-39,-30,-51,-54,?,-63,?,?,2
-34,-30,-51,-56,-57,-59,-79,?,2
-34,-30,-50,-54,?,?,-73,?,2
-31,-32,-52,-54,-62,?,?,-78,5
-48,-86,-51,-56,-63,?,-74,-74,5
-30,-32,-51,-56,-64,-71,-73,-73,5
-30,-32,-51,-55,?,-72,?,-72,5
-30,-32,-50,-56,-63,-72,-68,?,5
-31,-32,-52,-55,-64,-71,-73,-74,5
-30,-33,-51,-55,?,?,-75,?,5
-30,-32,-51,-56,?,?,?,?,5
-30,-32,-51,-55,-65,?,?,?,5
-30,-32,-51,-55,-64,-71,?,?,5
-30,-33,-52,-56,?,-71,-73,?,5
-29,-32,-52,-55,-63,-71,-73,?,5
-31,-32,-52,?,-74,?,?,-73,5
-31,-36,-52,-54,-63,?,-72,-73,5
-33,-33,-48,-55,-64,?,?,?,5
-30,-32,-51,-55,-63,?,-73,?,5
-30,-32,-52,-56,-63,-71,-71,-74,5
-31,-33,-51,-54,-67,?,?,?,5
?,-32,-49,-54,-61,-71,-74,-72,5
-31,-32,-52,-54,?,-70,-73,?,5
-30,-31,-52,-54,-63,?,?,-74,5
-30,-32,-51,-55,?,-69,?,-79,5
-30,-32,-52,-55,-61,-70,?,-80,5
-25,-32,-49,-56,-64,-70,?,-79,5
-30,-32,-51,-55,-63,?,?,?,5
-30,-32,-49,-55,-62,-70,?,?,5
-30,-33,-53,-56,?,-70,-74,-74,5
-30,-69,-51,-56,?,-70,-73,-74,5
-30,-32,-51,-54,-65,-70,?,-75,5
-30,-32,-49,-55,?,?,-74,?,5
-29,-32,-52,-54,-64,-70,-73,?,5
-30,-32,-51,?,-61,-70,-72,-73,5
-30,-32,-50,-56,?,?,-72,-73,5
-47,-32,-51,-56,-66,?,?,-73,5
-28,-32,-50,-55,?,-70,?,?,5
-30,-32,-50,-55,?,-69,?,-80,5
-30,-33,-50,-54,-69,-70,?,-78,5
-30,-32,-51,-55,-63,-63,-81,?,5
-30,-33,-51,-56,-63,-70,?,-73,5
-30,-33,-51,-55,-63,-70,-75,-74,5
-30,-33,-51,-55,-64,?,?,?,5
-34,-33,-52,-55,?,?,-74,?,5
