@relation '20.01.2016.train-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1'

@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
-35,-29,-50,-54,-64,-66,-70,-78,52
-35,-31,-65,-54,-64,-66,-73,-75,52
-35,-30,-51,-53,-64,-66,-70,?,52
-26,-36,-49,-58,-67,-69,-71,-73,6
-28,-35,-49,-61,-68,?,?,?,6
-26,-38,-49,-62,?,-68,?,?,6
-26,-38,-51,-62,-66,-69,-70,-75,6
-26,-40,?,?,-68,-69,-71,?,6
-27,-39,-50,-60,?,-69,?,?,6
-28,-38,-51,-63,?,?,?,?,6
-27,-38,-53,-62,-68,-68,?,?,6
-26,-38,-53,-63,-66,-69,-70,-77,6
-26,-38,-54,-63,-65,-70,?,-74,6
-26,-37,-52,-63,-68,-68,?,?,6
-27,-37,-51,-62,-69,-69,-71,?,6
-27,-38,-50,-60,?,-69,-71,?,6
-26,-38,-50,-61,-67,-70,-70,?,6
-27,-37,-51,-62,-68,-68,?,?,6
-26,-38,-49,?,-66,-70,-70,?,6
-26,-38,-53,-62,-67,-69,-70,-74,6
-26,-38,-51,-61,-67,-69,?,-75,6
-26,-38,-52,-64,-67,-70,-70,?,6
-26,-38,-51,-67,-67,-68,-70,?,6
-25,-38,-52,-62,-65,-70,-70,?,6
-26,-38,-53,-58,-64,?,-74,-76,6
-26,-38,-50,-61,-69,?,-73,?,6
-26,-38,-89,?,-67,?,?,?,6
?,-38,-52,?,-67,-67,?,-78,6
-26,-57,-52,-57,-66,-68,-73,-75,6
-27,-38,-56,-61,-67,-69,?,-75,6
-26,-36,-56,-63,-66,-69,-73,-74,6
-27,-38,-54,-61,-67,-69,-71,-74,6
-27,-38,-54,-61,-65,-69,-71,-74,6
-27,-38,-53,-62,-65,-69,-71,?,6
-26,-38,-55,-74,-66,-69,?,?,6
-26,-38,-56,-74,-65,-70,?,?,6
-26,-38,-56,-62,-68,-69,-69,?,6
-26,-38,-57,-62,-68,-73,?,?,6
-27,-92,?,-60,-67,-70,?,?,6
-26,-38,-55,-75,?,-68,-70,-73,6
-26,-38,-56,-61,-65,-69,?,-74,6
-26,-38,-55,?,-65,-69,-70,?,6
-27,-38,-55,-61,-68,?,-71,-73,6
-26,-38,-56,-60,-65,-69,?,-74,6
-27,-39,-55,?,-68,-69,?,-72,6
-26,-38,-56,-62,-68,?,?,?,6
-70,-38,-55,-60,-68,-69,-70,-74,6
-27,-38,-56,-60,-68,?,?,-73,6
-26,-38,-54,-61,-65,?,-70,-78,6
-27,-39,-53,-61,-66,-70,-70,-72,6
-27,-38,-53,-61,-66,-71,-70,?,6
-27,-38,-55,-60,-66,?,?,-77,6
-26,-38,-55,-61,?,-69,?,-73,6
-26,-38,-56,-73,-67,?,?,?,6
-26,-38,-56,-61,-67,-68,?,-73,6
-26,-38,-56,-62,-66,-69,?,-72,6
-26,-38,-55,-60,-67,-67,?,-73,6
-26,-38,-55,-60,-67,-69,-71,?,6
-26,-38,-54,-60,-66,-71,?,?,6
-26,-38,-55,-62,-67,?,?,-72,6
-26,-38,-56,-59,-68,-71,?,-72,6
-27,-38,-55,-60,-67,-69,-74,-75,6
-27,-37,-56,-60,-67,-68,-74,-77,6
-73,-38,-56,-61,-68,-69,?,?,6
-26,-37,-56,-61,-66,?,-73,-77,6
-26,-38,-56,-61,-69,-69,-73,-74,6
-26,-38,-54,-60,-66,-69,-73,-74,6
-26,-38,-58,-60,-67,-68,-74,?,6
-27,-38,-56,-61,?,-69,?,-74,6
-26,-38,-55,-60,?,-69,-74,?,6
-26,-38,-57,-60,-67,-72,?,?,6
-26,-37,-56,-60,-66,?,-74,?,6
-26,-38,-56,-60,?,?,?,-73,6
-26,-37,-60,-61,-65,?,?,?,6
-27,-37,-57,-63,-65,-66,?,?,6
-27,-38,-60,?,-66,?,?,?,6
-27,-38,-56,-60,?,-70,?,?,6
-26,-38,-55,-61,-67,?,?,?,6
-26,-38,-54,?,-66,-69,-73,?,6
-26,-38,?,?,-67,?,-75,-74,6
-26,-38,-55,-60,-67,?,?,-78,6
-29,-38,-48,-61,-60,-63,-85,-74,53
-27,-40,-48,-64,?,?,?,?,53
-27,-37,-46,-61,-60,-63,-81,?,53
-27,-37,-47,-63,-61,-62,-80,-75,53
-27,-37,-46,-61,-61,-63,-71,?,53
-27,-37,-47,-63,-61,?,?,?,53
-32,-36,-47,-62,-61,-62,-70,?,53
-27,-37,-47,-63,?,-62,-71,?,53
-28,-37,-47,?,-63,?,-71,-76,53
-27,-37,-46,-64,-60,-61,?,?,53
?,-37,-48,-59,-60,-61,?,?,53
-28,-37,-46,-58,-60,-59,?,?,53
-27,-39,-48,-54,-59,-63,?,-73,53
-28,-36,-48,-63,-60,-62,-81,?,53
-62,-43,-45,-64,-59,?,-77,?,53
-27,-43,-47,-62,-60,-61,?,?,53
-27,-42,-48,?,-60,?,-77,-80,53
-28,-45,-49,-60,-60,?,-77,?,53
-29,-42,-49,-62,?,-62,-78,?,53
-28,-43,-53,-62,-60,?,?,?,53
-29,-43,-49,-61,-60,-63,?,-81,53
-29,-42,-49,?,-58,?,?,-81,53
-32,-44,-48,-59,-60,-62,?,?,53
-28,-45,-49,-61,-60,-63,?,-79,53
-28,-45,-50,-60,-60,-63,?,?,53
-29,-47,-50,-60,-60,-60,?,?,53
-28,?,-48,-60,-60,-63,-80,?,53
-28,-43,-48,-58,-59,-61,?,?,53
-28,-44,-48,-59,-59,-61,?,-80,53
-38,-44,-51,-58,-60,?,-72,?,53
-29,-43,-49,?,-60,-61,-74,?,53
-28,-43,-49,-60,-60,?,?,?,53
-27,-43,-49,-61,-61,?,-75,-81,53
-28,-39,-49,?,?,-61,?,-79,53
-29,-39,-49,-59,-60,-61,?,?,53
-28,-39,-47,-59,-60,-61,-77,?,53
-28,-40,-48,-60,-61,?,?,-79,53
-31,-45,-49,-59,-61,-61,?,-81,53
-27,-44,-49,-60,?,?,-82,-81,53
-27,-43,-49,-61,-61,-62,?,-81,53
-27,-45,-49,-58,-60,?,?,?,53
-27,-45,-53,-61,-60,-62,?,-80,53
-27,-44,-54,-60,-60,-61,-80,-81,53
-27,-44,-53,-60,-60,-62,?,?,53
-27,-45,-53,-58,-59,?,-81,-81,53
-28,-44,-52,-61,-65,?,-81,?,53
-28,-45,-53,-60,-61,?,?,-80,53
-27,-44,-53,-60,-62,?,?,-81,53
-27,-44,?,-63,-60,-61,?,?,53
-27,-44,-54,?,-60,-62,-70,-80,53
-27,-42,-53,-59,-60,-64,?,?,53
-27,-39,-52,-60,-58,-60,?,?,53
-27,-79,-53,-61,-60,-60,-75,?,53
-26,-41,-49,-62,-59,-60,-70,?,53
-26,-45,-53,-64,-60,?,?,?,53
-28,-47,-52,-60,-61,?,?,?,53
-28,-50,-50,-60,-59,-61,?,?,53
-27,-42,-50,-63,-60,-61,?,-81,53
-27,-60,-47,-63,-59,-61,?,-82,53
-27,-43,-49,-64,-60,-60,?,?,53
-27,-42,-49,-69,-60,-60,-81,?,53
-27,-40,-50,-63,-61,-61,-81,?,53
-27,-40,-51,-63,-61,-60,?,?,53
-27,-40,-51,-63,-61,-69,?,-81,53
-27,-40,-51,-64,-60,-61,?,?,53
-29,-43,-49,-65,-60,?,?,?,53
-27,-43,-49,-67,-60,-61,?,-81,53
-27,-42,-51,-64,-60,-61,?,?,53
-27,-41,-50,-62,-61,?,?,?,53
-27,-40,-52,-61,-60,-62,?,-79,53
-27,-39,-51,-68,-59,-60,-81,-79,53
-27,-40,-52,-68,?,-60,-83,?,53
-27,-40,-52,-67,-60,-60,?,?,53
-27,-42,-49,-61,-60,-61,?,-81,53
-28,-44,-53,-65,-61,-61,-78,?,53
-27,-46,-52,-59,-60,?,-75,?,53
-27,-47,-51,-59,-61,?,-77,?,53
-27,-45,-52,-59,-60,?,?,?,53
-45,-30,-48,-52,-70,?,?,-75,1
-45,-31,-48,-54,-72,-68,?,-74,1
-41,-30,-49,-53,-73,-68,-79,-75,1
-41,-30,-49,?,?,-75,?,-76,1
-43,-30,-46,-53,-73,-64,?,-74,1
-42,-30,-49,-51,-73,?,-72,?,1
-40,-30,-44,-52,-72,-68,-74,-74,1
-40,-30,-48,-53,-70,-68,?,-74,1
-41,-31,-48,-53,-73,-67,?,-76,1
-39,-30,-48,-53,-73,-68,-81,-72,1
-41,-33,-48,-52,-70,-68,-80,-74,1
-40,-30,-46,-52,-71,-66,-78,?,1
-43,-30,-47,-55,-70,?,-73,?,1
-42,-30,?,-52,-71,-66,?,-72,1
-42,-31,-51,-53,-71,?,-74,?,1
-41,-30,?,-51,-72,-67,-74,-74,1
-42,-31,-50,-54,-72,-67,?,-77,1
-41,-31,-49,-53,?,?,-73,-76,1
-41,-31,-50,-52,-70,?,?,-74,1
-41,-30,-49,-55,-71,-67,-75,?,1
-41,-31,-48,-53,?,-75,-74,-74,1
-42,-30,-49,-52,-73,-67,?,-75,1
?,-31,-48,-53,?,-67,-69,-73,1
-42,-30,-49,-52,-70,-67,-76,?,1
-42,-30,-48,-53,-74,-67,-74,-75,1
-42,-31,-48,-52,-73,-67,-73,-75,1
-41,-33,-48,-53,?,-75,?,-74,1
-41,-30,-48,-52,-72,-67,-77,?,1
-41,-31,-49,-53,?,-67,?,?,1
-41,-30,-49,-52,-73,-75,-77,?,1
-42,-30,-49,-52,-75,-68,?,?,1
-42,-31,-48,-52,-74,-67,?,-73,1
-41,-30,-48,-52,-73,-75,?,?,1
-41,-30,?,-53,?,-68,?,-74,1
-40,-31,-48,?,-74,-67,-73,?,1
-41,-31,-48,-52,?,-68,-74,?,1
-40,-30,-49,-52,-75,?,-73,-75,1
-40,-30,-48,-53,-75,?,?,?,1
-41,-31,-49,-52,-75,-67,?,-74,1
-41,-30,-48,-52,?,?,?,-75,1
-44,-30,-49,-52,-75,-67,-73,-75,1
-41,-30,-49,-52,-75,-67,?,-75,1
-42,-30,-50,-52,-74,-65,-77,-76,1
-40,-30,-49,-53,-75,-67,?,-75,1
-41,-30,-49,-53,?,-68,?,-75,1
-41,-30,-48,-52,-75,-68,?,-77,1
-41,-31,-49,-53,-74,?,?,?,1
-41,-31,-50,-52,?,-69,?,?,1
-41,-30,-49,-53,?,-68,-80,-74,1
-41,-30,-49,-53,-74,-69,-73,?,1
-41,-30,?,-52,-74,-68,?,-75,1
-41,-30,-48,-52,-75,-67,?,?,1
-40,-30,-49,?,-73,?,?,-76,1
-40,-30,-49,-53,-74,-66,-74,?,1
-41,-30,-47,-53,-73,-67,-74,?,1
-41,-33,-48,-54,-73,-67,?,?,1
-42,-31,-48,-54,-74,-67,-73,-75,1
?,-31,-48,-53,?,-67,-73,?,1
-41,-31,-49,-53,-74,-65,?,-75,1
-41,-31,-48,-52,-73,-68,-77,-74,1
-41,-30,-47,-52,-74,-66,-82,?,1
-42,-30,-49,-53,-73,-67,-75,-74,1
-40,-31,-48,-52,?,-67,?,-74,1
-89,-30,-48,-52,?,-66,?,?,1
-41,-30,-47,-52,-73,-76,?,?,1
-41,-31,-47,-52,-71,-68,-76,-73,1
-41,-30,-46,-53,-73,-68,?,?,1
-41,-30,-49,-52,-72,-76,-77,-75,1
-41,-30,-49,-53,?,-68,?,-75,1
-41,-30,-48,-52,?,?,?,-75,1
-41,-30,-48,-53,-73,-67,-78,?,1
-40,-33,-48,-53,-75,-68,?,-76,1
-42,-30,-48,-53,-72,?,-76,-78,1
-41,-31,-48,-54,-72,-66,?,-76,1
-42,-30,-48,-53,-73,-67,?,-75,1
-40,-30,-48,-53,-74,-68,-74,?,1
-41,-33,-47,-53,-72,-67,?,?,1
-41,-31,-48,-54,-71,-67,-78,?,1
-32,-31,-51,-56,-62,-68,-71,?,7
-72,?,-51,-58,-63,-67,-71,?,7
-32,-30,-52,-58,-63,-67,-72,?,7
-32,-31,-51,-57,-63,-67,-71,-78,7
-32,-31,-52,-58,-63,-66,-72,-77,7
-32,-31,-50,-57,-63,-67,-75,-78,7
-32,-31,-51,-58,-63,-67,?,-79,7
-32,-31,-49,-57,-63,?,-74,?,7
-32,-31,-51,-59,-63,-67,-71,?,7
-32,-31,-51,-58,-62,-67,?,-79,7
-32,-32,-50,-59,-63,-67,-70,?,7
-32,-32,?,-58,-62,-68,?,-78,7
-31,-32,?,-59,-62,-68,-70,-80,7
-32,?,-52,-58,-62,-67,-70,-81,7
-32,-32,-51,-58,-63,-67,-70,?,7
-31,-32,-52,-56,?,?,?,?,7
-31,?,-51,-58,-61,-68,?,?,7
-31,-31,-51,-59,-61,-67,-71,-78,7
-31,-31,-51,-57,-62,-67,-71,?,7
-32,-31,-51,-57,-66,?,?,?,7
-31,-31,-51,-58,-62,-67,-72,-78,7
-32,-29,-51,-58,-60,-67,-71,-79,7
-31,-31,-52,-58,-62,-67,-71,?,7
-31,-31,-52,-58,-62,?,-72,-76,7
-32,-29,-54,-57,?,?,-71,-78,7
-32,?,-52,-59,-61,?,?,?,7
-31,-29,-52,-56,-60,?,-67,?,7
-32,-31,-52,-60,-63,?,?,?,7
-31,-31,-52,-57,-62,?,-70,-77,7
-31,-31,?,-57,-61,-67,?,-77,7
-32,-31,-52,-58,-63,-67,-73,?,7
-31,?,-53,?,-61,-67,-71,?,7
-32,?,-51,-59,-61,-67,-70,-79,7
-31,-35,-54,?,-61,-68,?,-79,7
-32,-31,-53,-57,-62,?,-71,?,7
-32,-31,-52,-58,-60,-68,-74,?,7
-31,-31,-52,-58,-62,?,-76,-80,7
-31,-31,-48,-57,-60,-67,-74,-77,7
-31,-31,-52,-57,-61,-67,?,-78,7
-32,-31,-53,-57,?,-68,-71,-78,7
-31,-31,-51,-57,-60,-72,?,?,7
-31,-30,-51,-58,?,-67,-70,?,7
-32,-31,-51,-58,-61,?,?,?,7
-32,-30,-51,-59,-63,?,?,?,7
-32,-31,-51,-58,-61,-67,-71,-67,7
-32,-31,-51,-57,-61,-66,-74,-78,7
-31,-31,?,-57,-61,?,?,-80,7
-31,-31,?,-57,-63,?,?,-77,7
-32,-28,-51,-60,-62,-67,-70,?,7
-31,-31,-51,-59,-62,?,?,-78,7
-32,-31,-52,-59,-62,-67,-70,-79,7
-32,-31,-50,-59,-62,?,-71,?,7
-32,-32,-50,-59,-62,?,?,-78,7
-31,-31,-51,-59,-62,-67,-70,?,7
-32,-31,-51,-58,-63,?,-71,?,7
-32,-28,-50,-58,-63,-66,-71,-80,7
-31,-30,?,-58,?,-67,-71,-79,7
-32,-31,-51,-58,-63,?,?,?,7
-32,-31,-51,-59,-62,-66,-71,?,7
-32,-30,?,-58,-63,-67,-71,?,7
-31,-30,-52,-59,-63,-67,?,?,7
-32,-31,-51,-59,-63,?,?,?,7
-31,-30,-52,-60,-63,?,-72,?,7
-32,-31,-51,-58,-62,-67,?,-77,7
-31,-31,-54,-58,-64,?,-71,-76,7
-32,-30,?,-58,-63,-67,?,-78,7
-32,-30,?,-58,-62,-67,-71,-78,7
-32,-28,-51,-58,-61,?,-71,?,7
-32,-31,-51,-57,-61,?,?,-78,7
-31,-31,-52,-61,-62,?,-70,?,7
-32,-30,-50,-59,-61,?,-69,-76,7
-32,-29,-51,-57,-63,?,?,?,7
-32,-31,-52,-58,-63,-67,-75,?,7
-32,-30,-51,-57,-62,-67,?,?,7
-57,-30,-51,-57,-64,?,-71,-75,7
-31,-28,-53,-59,-63,-67,-71,-75,7
-31,-31,-54,-58,-62,?,?,-76,7
-32,-30,-52,?,?,-67,-70,?,7
-34,?,-49,-64,-66,?,?,?,11
-33,-40,-49,-59,?,-72,?,?,11
-35,-39,?,-59,?,?,?,-73,11
-33,-40,-47,?,-72,-76,-79,-74,11
-33,-41,-49,-62,-78,?,?,-74,11
-37,-41,-49,?,-76,?,-79,?,11
-35,-40,-50,-66,?,-67,?,?,11
-33,-42,-48,-66,?,-70,-79,-76,11
-33,-40,-49,-60,?,?,?,?,11
-32,-41,-49,-60,?,?,?,?,11
-85,-40,-49,?,-72,-78,?,?,11
-32,-40,-49,-62,?,-72,?,?,11
-32,-40,-49,-59,-71,-73,?,-74,11
-32,-40,-51,-59,-78,?,-82,-75,11
-32,-40,-49,-60,-70,-72,?,-75,11
-32,-40,-52,-60,-71,-72,?,-74,11
-32,-39,-49,-59,-70,-71,-73,-74,11
-33,-39,-50,-60,-71,-72,-75,-74,11
-33,-39,-50,-59,-70,?,-73,?,11
-32,-41,-50,-63,-71,-73,-75,?,11
-32,-41,-49,-61,-75,?,-75,-74,11
-32,-41,-50,-60,-68,?,-74,-72,11
-32,-41,-50,-64,-69,-72,-75,-75,11
-32,-43,-50,-60,-70,?,-81,?,11
-32,-42,-49,-60,-70,-73,-82,?,11
-31,-41,-49,-59,-67,?,-83,-75,11
-32,-41,-49,-60,-72,?,-83,-75,11
-32,-40,-49,-59,-74,?,-79,-74,11
-32,-40,-49,-59,-72,-72,-83,-74,11
?,-40,-49,-58,-72,?,-83,?,11
-31,-40,-50,-60,-73,-73,-81,?,11
-32,-40,-50,-58,-72,-73,?,-74,11
-37,-40,-49,-60,-71,-72,?,-74,11
-32,-40,-52,-58,-71,?,?,-74,11
-31,-41,-49,-60,-72,-71,-79,-74,11
-31,-40,-49,-60,-76,-71,?,-74,11
-32,-40,-49,-57,-70,-71,-79,?,11
-32,-41,-49,-57,-71,?,-74,-75,11
-32,-40,-49,-58,-70,-71,?,-75,11
-32,-40,-51,-61,-72,?,-76,-74,11
-32,-40,-49,-60,?,-70,-75,?,11
-32,-41,-49,-61,-72,-72,?,-75,11
-94,-40,-49,-59,?,?,-76,-74,11
-32,-41,-49,-60,-71,-72,?,?,11
-32,-41,-49,-58,?,?,-76,-74,11
-32,-40,-49,-58,?,?,?,?,11
?,-40,-49,-58,-72,?,?,-76,11
-32,-40,-50,-58,-71,-73,?,-76,11
-32,-40,-49,-60,?,?,?,-73,11
-32,-41,-48,-59,-72,-71,-75,-75,11
-32,-40,-49,-57,-71,?,-74,-74,11
-32,-40,-49,-59,-71,-72,-80,-74,11
-32,-40,-51,-60,-70,-77,?,?,11
-32,-40,-49,-60,-71,-72,?,-74,11
-32,-40,-49,-60,-71,-77,-81,?,11
-32,-40,-49,-62,-71,-72,?,-76,11
-32,-41,-50,-58,-68,?,-81,-76,11
-37,-41,?,-59,-77,?,-82,?,11
-32,-41,-49,-61,-70,-71,?,-76,11
-32,-40,-49,-59,-69,-72,-79,?,11
-32,-41,?,-58,-70,?,?,?,11
-32,-40,-49,-60,-69,-78,?,-76,11
-32,-40,-49,-59,-71,-71,-81,?,11
-32,-40,-51,-59,-69,?,?,-74,11
-32,-40,?,?,?,?,?,?,11
-37,-40,-52,-60,?,?,-81,-77,11
-32,-40,-50,-59,-69,-73,-79,-77,11
-32,-40,-49,-59,-73,-71,-80,?,11
-32,-40,-49,-60,-71,-72,-80,-77,11
-32,-41,-50,-60,-72,?,?,-76,11
-32,-41,-49,-60,?,-76,?,?,11
-32,-40,?,-61,?,?,-81,?,11
-32,-40,-51,-60,-72,?,?,-75,11
-31,-41,-49,-60,-74,-71,?,?,11
-32,-40,-50,-59,-71,-72,?,?,11
-32,-41,-49,-60,-71,-72,-83,?,11
-32,-41,-49,-61,?,-72,-79,-80,11
-32,-40,-49,-60,?,?,-80,-76,11
-38,-30,-52,-56,?,-59,-75,?,51
-38,-33,-54,-56,-67,-59,-74,-68,51
-38,-32,-54,-56,-67,-59,?,-68,51
-39,-33,-55,-56,?,-60,-76,-68,51
-37,-33,-55,-55,-67,-59,-76,-68,51
-38,-33,-53,?,-68,-66,?,-68,51
-37,-33,-55,-55,-68,-59,?,-68,51
-39,-33,-55,-56,-69,-59,-76,-68,51
-38,-34,-56,-56,-69,-59,?,-68,51
-38,-33,-56,-56,-70,-60,-75,-67,51
-38,-33,-56,-54,-68,-59,-76,-68,51
-38,-33,-55,?,-68,-66,-77,-68,51
-38,-33,-55,-55,?,?,-76,-68,51
-38,-33,-54,?,-68,?,-74,-68,51
-38,-90,-53,?,-69,-59,-74,-68,51
-38,-33,-53,-57,-68,-59,-74,-69,51
-39,-33,-52,-55,-66,-59,?,-68,51
-38,-33,-53,-55,-67,-59,?,-68,51
-38,-33,-56,-55,-68,-59,?,-69,51
-38,-33,-55,-55,-67,-59,?,-68,51
-38,-34,-54,-55,-69,-59,-75,-68,51
-38,-33,-56,-53,-68,-59,-76,-68,51
-37,-34,-55,-57,?,-58,-75,-69,51
-38,-33,-55,-56,-68,-60,?,-69,51
-37,-33,-55,?,-68,-59,?,?,51
-39,-33,-54,-55,-68,-59,?,-69,51
-37,-33,-57,-55,-66,-66,?,-68,51
-37,-33,-57,-57,-70,-59,?,-66,51
-37,-33,-56,-56,?,-59,?,-68,51
-38,-33,-56,-55,-68,-59,?,?,51
-38,-33,-55,-56,-67,-59,-76,-68,51
-37,-33,-54,?,-67,-60,-74,-67,51
-38,-33,-55,?,?,-56,-74,-68,51
-38,-33,-55,?,?,-66,?,-67,51
?,-33,-54,-54,-67,-59,-75,-68,51
-38,-33,-55,-55,-69,-59,?,?,51
-37,-33,-56,-56,-69,-60,?,-68,51
-38,-33,-55,-56,-68,-58,?,-67,51
-38,-33,-55,-56,-71,-59,?,-67,51
-38,-33,-54,-56,?,-60,-74,-68,51
-38,-33,-54,-55,-68,-60,-74,-67,51
-38,-33,-59,?,?,-59,?,?,51
-37,-32,-55,-55,-69,-59,-73,-67,51
-37,-33,-58,-54,-71,-59,-75,-67,51
-37,-33,-55,-56,-71,-59,-73,-67,51
-37,-33,-55,-56,-73,-66,-73,-67,51
-37,-33,-57,-56,-71,-59,-74,-68,51
-38,-33,-54,?,?,-66,-73,-68,51
-37,-34,-56,-56,-73,?,-73,-69,51
-38,-33,-56,?,-70,-59,-74,-67,51
-37,-33,-57,-56,-71,-59,?,?,51
-37,-31,-54,-58,?,-59,?,-67,51
-38,-67,-55,-57,-71,-59,-76,-67,51
-37,-32,-55,-58,-70,-59,-76,-67,51
-38,-33,-54,-56,-69,-58,?,-67,51
-38,-33,-55,-58,-71,-58,-76,-68,51
-37,-33,-55,-58,-70,-60,-76,-67,51
-38,-33,-55,-57,?,-60,?,-67,51
-37,-33,-55,-58,?,-59,?,-66,51
-38,-33,-55,-58,-69,-59,?,-67,51
-37,-34,-54,-56,?,-66,-74,-67,51
-38,-33,-55,?,-71,-59,-75,-66,51
-38,-33,-55,?,-68,-59,?,?,51
-38,-33,-53,-67,-72,-59,-73,?,51
-37,-34,-51,-58,?,-60,-75,-67,51
-38,-33,-50,-58,-68,-60,-79,?,51
-38,-33,-52,?,-70,-59,-78,?,51
-38,-33,-52,-57,?,-59,?,-67,51
-37,-34,-53,-58,-73,-59,?,?,51
-38,-33,-52,-57,-71,-59,?,-69,51
-38,-33,-52,-57,-70,-59,-76,?,51
-38,-30,-51,-58,-70,-59,?,-69,51
-38,-33,-50,-57,-69,-59,-77,-69,51
-38,-33,-52,-65,-70,-59,-76,-69,51
-37,-34,-53,-57,?,-59,?,-68,51
-37,-34,-52,-58,-67,-59,?,-68,51
-37,-33,-53,-57,-70,?,-77,-68,51
-38,-34,-53,-57,-68,-59,?,-68,51
-44,-32,-58,-57,-61,-72,?,-76,8
-42,-32,-55,-58,-62,-72,?,-78,8
-43,-32,-59,-59,-61,-72,-71,-75,8
-43,-32,-57,-65,-61,?,?,?,8
-43,-32,-57,-58,-60,-72,-71,-75,8
-42,-31,-57,-59,-60,-72,-72,-75,8
-45,-32,-57,-59,-60,-72,-71,-75,8
-43,-32,-55,-59,-60,-72,-70,?,8
-42,-32,-56,-59,-62,-72,?,-76,8
-42,-32,-56,-58,-60,-72,?,?,8
-42,-32,-54,-57,-61,-72,-71,-76,8
-42,-32,-54,-58,-61,-72,-72,-75,8
-42,-72,-55,-57,-62,-72,-75,-78,8
-42,-32,-63,-61,-59,-71,?,?,8
-44,-32,?,-56,-60,-75,?,-75,8
-42,-32,-56,-56,?,?,-73,?,8
-43,-31,-54,-60,-62,?,?,?,8
-43,-32,-57,-57,-61,-72,?,-79,8
-44,-31,-57,-57,-60,-72,-76,-78,8
-43,-32,-56,-57,-61,?,?,-77,8
-42,-31,-57,-57,-61,-71,?,?,8
-43,-32,-56,-57,-60,-72,?,?,8
-43,-32,-55,-57,-63,-72,-78,-79,8
-42,-32,-54,-57,-63,-72,-79,-78,8
-42,-31,-56,-58,-63,-72,?,?,8
-43,-31,-54,-58,-61,-72,-77,-77,8
-42,-32,-54,-58,-60,-72,?,-78,8
-72,-32,-53,-60,-63,?,?,?,8
-43,-31,?,-55,-61,-72,?,-78,8
-42,-32,-57,-61,-62,-71,-74,-80,8
-43,-32,-56,-58,-63,-72,?,?,8
-42,-78,-57,-57,-61,?,-72,-78,8
-42,-32,-56,-59,-61,?,-72,-78,8
-43,-32,-55,?,-61,-71,-71,?,8
-41,-32,-55,-59,-63,-71,?,-80,8
?,-32,-53,-56,?,-71,?,?,8
-43,-32,-56,-57,-61,-71,-74,-78,8
-42,-31,-55,-57,-61,-71,?,-75,8
-42,-32,-54,-59,-61,-71,?,-79,8
-42,-32,-55,-58,-62,-73,-73,-80,8
-43,-32,-55,-57,-62,-70,-72,-80,8
-42,-32,-55,-56,-61,-74,-72,-79,8
-44,-31,-55,-57,-64,?,?,-79,8
-44,-33,?,-57,-63,-70,?,?,8
-43,-32,?,-57,-63,?,-72,?,8
-43,-32,-56,-57,-63,-71,?,-81,8
-43,-32,-54,-58,-64,-71,-72,-80,8
-44,-31,-53,-57,-61,-71,-73,?,8
-43,-31,-57,-56,-63,?,-76,-78,8
-43,-32,-54,?,-62,-75,-72,?,8
-42,-32,-56,-58,-63,-74,-74,-77,8
-43,-32,-57,-56,-62,-72,-74,?,8
-45,-32,-57,-58,-65,-68,-72,-76,8
-44,-32,-54,-59,-61,-72,-72,-76,8
-43,-32,-72,-62,-61,-71,-70,?,8
-43,-32,-54,-61,-63,?,?,-79,8
-43,-31,-55,-60,-64,?,-70,?,8
-43,-32,-55,-58,-63,-72,-74,-79,8
-44,-32,-54,-58,?,?,-70,?,8
-43,-32,?,-58,-62,?,-71,-81,8
-44,-32,-55,-59,-63,-72,?,-78,8
-44,-32,-52,-58,-63,-72,-72,-80,8
-43,-32,?,-59,?,?,-71,-80,8
-43,-31,-54,-60,-63,?,-69,?,8
-42,-32,-53,-59,-65,?,-70,-77,8
-44,-32,-54,-59,-64,?,-70,-80,8
-44,-32,-54,-60,-62,-72,-70,-79,8
-43,-32,-53,?,?,?,-70,?,8
-41,-32,-52,-57,-63,?,-69,?,8
-42,-32,-53,-59,-63,-71,?,?,8
-44,-32,-55,-58,-61,-71,?,-79,8
-44,-32,-54,-59,-63,?,-70,?,8
-43,-32,-85,-57,?,?,?,-80,8
-42,-32,-55,-58,-67,-73,-70,-78,8
-43,-32,?,-59,?,?,?,-77,8
-42,-31,-54,-58,-61,-71,?,?,8
-43,-33,-57,-58,-63,-72,?,-78,8
-44,-31,-59,-57,-63,?,?,?,8
-42,-22,-53,-56,?,-71,?,-74,10
-41,-22,-52,-56,-70,-71,-80,?,10
-41,-22,-54,-63,-74,-72,?,-76,10
-40,-21,-54,-57,-69,?,-76,?,10
