@relation 'LogDosyasi_Samsung_Tablet_Train_MF-weka.filters.unsupervised.attribute.Reorder-R2,3,4,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
2.58,-25.559999,-34.200001,5
1.92,-25.74,-33.360001,5
1.8,-25.68,-33.119999,5
2.1,-25.98,-33.419998,5
2.22,-26.16,-33.48,5
2.04,-25.98,-33.599998,5
1.62,-26.16,-33.599998,5
1.68,-25.799999,-33.66,5
2.58,-25.5,-33.599998,5
2.1,-26.039999,-33.239998,5
1.98,-26.099998,-33.540001,5
2.16,-25.98,-34.079998,5
1.68,-25.5,-33.360001,5
1.86,-25.859999,-33.299999,5
1.86,-25.799999,-33.299999,5
1.74,-25.379999,-33.84,5
2.04,-25.439999,-33.18,5
2.04,-25.68,-33.119999,5
1.98,-25.859999,-33.719997,5
2.1,-25.439999,-33.48,5
1.8,-25.619999,-33.239998,5
1.98,-25.32,-33.299999,5
2.22,-25.139999,-33.719997,5
2.1,-26.039999,-33.719997,5
1.56,-26.039999,-33.360001,5
4.86,-28.619999,-37.799999,6
4.86,-28.98,-37.68,6
4.68,-29.099998,-37.619999,6
5.04,-29.279999,-37.559998,6
5.22,-28.619999,-37.259998,6
5.46,-28.799999,-37.259998,6
5.4,-28.619999,-37.5,6
5.1,-28.559999,-37.68,6
5.04,-29.34,-37.860001,6
5.22,-30.179998,-38.099998,6
5.16,-28.68,-37.380001,6
4.98,-28.98,-37.259998,6
4.98,-29.459999,-36.899998,6
4.86,-29.279999,-37.32,6
4.68,-29.519999,-37.559998,6
5.04,-29.58,-37.439999,6
5.1,-29.519999,-37.619999,6
4.92,-29.16,-37.559998,6
4.74,-28.92,-37.380001,6
4.92,-29.76,-37.259998,6
5.34,-29.099998,-37.32,6
5.04,-28.74,-36.899998,6
5.04,-29.039999,-36.419998,6
4.98,-28.98,-36.899998,6
5.28,-29.519999,-37.5,6
5.16,-28.92,-37.32,6
5.16,-28.5,-36.959999,6
5.58,-28.859999,-37.259998,6
5.76,-28.98,-36.84,6
5.88,-28.74,-37.079998,6
5.58,-28.92,-37.68,6
4.92,-28.92,-37.079998,6
4.68,-28.92,-37.559998,6
5.34,-29.219999,-37.68,6
5.28,-28.859999,-37.439999,6
4.8,-29.459999,-37.619999,6
4.5,-29.219999,-37.32,6
4.62,-29.219999,-37.439999,6
4.86,-29.34,-37.619999,6
4.98,-29.34,-37.860001,6
3.18,-23.58,-38.099998,7
2.7,-24.359999,-37.860001,7
3,-24.24,-37.559998,7
3.06,-23.82,-36.66,7
3.06,-23.76,-37.68,7
3,-23.82,-37.98,7
3.36,-23.34,-37.68,7
3.42,-23.16,-37.32,7
3.42,-22.92,-37.559998,7
2.76,-24.24,-37.5,7
2.94,-24.6,-37.32,7
2.88,-24.18,-37.32,7
3.36,-23.699999,-36.959999,7
2.82,-23.459999,-37.200001,7
2.52,-23.939999,-37.919998,7
2.46,-24.42,-37.5,7
2.88,-24.359999,-37.200001,7
2.64,-23.58,-37.32,7
2.46,-23.459999,-37.5,7
2.94,-23.639999,-37.5,7
3.48,-23.82,-37.32,7
2.64,-24.119999,-37.139999,7
3.24,-23.519999,-37.68,7
2.94,-23.519999,-37.380001,7
3.06,-23.459999,-37.5,7
3.3,-23.1,-37.5,7
3.66,-22.439999,-37.860001,7
3.3,-22.559999,-37.559998,7
3.3,-23.58,-37.5,7
3.24,-23.939999,-37.380001,7
3.3,-23.58,-37.32,7
3.36,-23.16,-37.68,7
3.48,-22.559999,-37.919998,7
3.72,-22.859999,-37.799999,7
3.36,-24.059999,-37.380001,7
2.94,-24.24,-37.68,7
3.24,-24.059999,-37.619999,7
2.88,-24.48,-37.860001,7
3.06,-23.82,-37.439999,7
3.36,-23.219999,-37.200001,7
5.7,-22.92,-39.419998,8
5.52,-24.6,-39.18,8
5.16,-24.66,-38.879997,8
