@relation 'Sony_Xperia_Train_WiFi-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R18,25-30'

@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 00:66:4b:1f:08:23_TeknoTAM numeric
@attribute 1c:87:2c:7e:23:9c_EROGLU-PRI numeric
@attribute 1c:87:2c:7e:23:9d_EROGLU-PUB numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
-33,-44,-54,-60,-72,?,-65,-66,-67,-59,-65,-74,?,?,?,?,?,?,?,-56,?,?,?,2
-34,-45,-55,-59,-73,-73,-65,-66,-67,-62,-65,-74,?,?,?,?,?,?,?,-56,?,?,?,2
-33,-46,-54,-59,-72,-74,-63,-70,-65,-57,-62,?,-76,?,-82,?,?,?,?,-57,?,?,?,2
-33,-47,-55,-56,-71,-74,-65,-65,-64,-56,-62,-76,-73,?,-82,-87,?,-84,?,-57,?,?,?,2
-33,-45,-54,-59,-71,-75,-63,-65,-67,-66,-61,-75,-73,?,?,-86,?,-79,?,-54,-89,?,?,2
-33,-45,-54,-62,-71,-75,-63,-65,-65,-63,-59,-75,-73,?,-76,-88,?,-79,?,-55,-89,?,?,2
-33,-45,-55,-59,-71,-75,-65,-65,-67,-58,-58,-75,?,?,-77,-88,?,?,?,-56,?,?,?,2
-33,-45,-55,-58,-72,-75,-64,-65,-65,-88,-61,-75,-72,-90,-76,?,?,?,?,-55,?,?,?,2
-33,-45,-55,-55,-74,?,-65,-65,-66,-88,-60,?,-72,-90,-76,?,?,?,?,-55,?,?,?,2
-33,-44,-55,-58,-61,-75,-63,-64,-66,-55,-64,-75,-73,?,?,?,?,?,?,-56,?,?,?,2
-33,-45,-57,-56,-72,-76,-65,-65,-66,-63,-62,-75,-73,?,?,?,?,?,?,-56,?,?,?,2
-33,-45,-55,-59,-73,-75,-64,-65,-66,-63,-62,-79,-73,?,?,?,?,?,?,-56,?,?,?,2
-33,-45,-55,-57,-73,-75,-64,-65,-65,-60,-63,-79,-74,?,?,?,?,-82,?,-56,?,?,?,2
-34,-45,-55,-57,-73,-76,-64,-57,-66,-58,-62,-76,-74,?,?,?,?,-82,?,-57,?,?,?,2
-34,-46,-54,-60,-72,-75,-65,-42,-66,-57,-62,-76,?,?,-81,?,?,?,?,-57,?,?,?,2
-34,-45,-56,-61,-72,-75,-63,-65,-66,-62,-61,-76,?,?,-81,?,?,-75,?,-56,?,?,?,2
-34,-45,-55,-60,-72,-75,-64,-65,-65,-62,-59,-74,?,?,-82,?,?,-79,?,-56,?,?,?,2
-33,-45,-54,-59,-72,-75,-64,-64,-65,-57,-60,-74,-74,?,-82,?,?,-79,?,-57,?,?,?,2
-33,-46,-55,-58,-60,-76,-65,-65,-65,-63,-61,-76,-74,?,-83,?,?,?,?,-55,?,?,?,2
-33,-45,-55,-59,-62,-75,-64,-68,-65,-57,-61,-76,?,?,-83,?,?,?,?,-56,?,?,?,2
-39,-37,-59,-51,-70,?,-73,-60,-78,-58,-63,-77,?,?,-78,-89,?,-78,?,-68,?,?,?,3
-37,-38,-61,-52,-70,-69,-74,-64,-78,-70,-63,-77,?,?,-78,-89,?,-78,?,-90,?,?,?,3
-39,-38,-57,-58,-71,-69,-65,-59,-74,-61,-68,-78,?,?,-76,?,?,?,?,-65,?,?,?,3
-33,-40,-61,-53,-70,-69,-68,-58,-68,-70,-62,-78,?,-70,-76,?,?,?,?,-57,?,?,?,3
-36,-40,-65,-51,-70,?,-70,-58,-68,-70,-60,-80,-72,-70,-73,?,?,-81,?,-58,?,?,?,3
-34,-38,-62,-51,-69,?,-70,-58,-73,-83,-58,-80,-83,?,-73,?,?,-81,?,-57,?,?,?,3
-33,-37,-63,-52,-70,?,-68,-56,-71,-74,-58,-80,-83,?,-73,?,?,?,?,-57,?,?,?,3
-36,-39,-64,-54,-70,-70,-69,-58,-71,-74,-59,?,?,?,?,?,-84,?,?,-57,?,?,?,3
-36,-40,-62,-69,-70,-70,-71,-60,-75,?,-60,?,?,?,-76,-90,-84,?,?,-60,?,?,?,3
-37,-41,-61,-54,-71,-70,-71,-59,-76,-64,-60,?,-74,-87,-76,-90,?,?,?,-59,?,?,?,3
-36,-40,-64,-56,-71,-70,-70,-59,-77,-69,-59,-79,-70,-87,?,?,-85,?,?,-58,?,?,?,3
-37,-41,-62,-57,-71,-70,-70,-59,-75,-65,-60,-80,-70,-81,?,?,-85,-80,?,-59,?,?,?,3
-37,-41,-63,-55,-69,-69,-71,-60,-75,-63,-59,-80,-72,-85,?,-87,?,-79,?,-57,?,?,?,3
-36,-38,-64,-55,-71,-69,-72,-60,-75,-65,-59,?,-71,-85,-77,-87,?,-80,?,-57,?,?,?,3
-36,-37,-63,-55,-72,-69,-72,-59,-75,-65,-59,?,-71,?,-77,-86,?,-80,?,-56,?,?,?,3
-35,-39,-61,-55,-71,?,-72,-58,-75,-69,-59,?,-69,?,?,-86,?,?,?,-57,?,?,?,3
-34,-39,-61,-53,-71,-69,-71,-58,-75,-68,-59,?,-73,?,?,?,?,-77,?,-57,?,?,?,3
-35,-38,-61,-53,-71,-69,-70,-59,-75,-65,-58,?,-73,?,-76,?,?,-77,?,-57,?,?,?,3
-33,-39,-61,-53,-72,-66,-70,-59,-75,-65,-59,?,-70,-88,-76,?,?,-80,?,-57,?,?,?,3
-36,-38,-63,-54,-71,-69,-71,-58,?,-65,-57,?,-72,-88,-76,-87,?,-80,?,-56,?,?,?,3
-35,-37,-58,-54,-72,-67,-72,-59,-75,-69,-59,-88,-72,?,-74,-90,?,-78,?,-56,?,?,?,3
-36,-40,-59,-54,-65,-67,-72,-57,-75,-67,-59,-88,-62,?,-74,-90,?,-77,?,-56,?,?,?,3
-34,-36,-59,-55,-72,-69,-70,-58,-78,-62,?,?,-70,?,-74,?,?,-77,?,-55,?,?,?,3
-34,-35,-61,-53,-72,-69,-71,-58,-78,-60,-56,-78,-70,-84,-74,?,?,?,?,-56,?,?,?,3
-35,-37,-61,-53,-71,-68,-71,-59,-75,-64,-56,-78,-70,-84,-74,?,?,?,?,-57,?,?,?,3
-35,-37,-62,-52,-70,-68,-71,-57,-75,-62,-57,?,-71,-84,-76,-87,?,-77,?,-56,?,?,?,3
-36,-38,-60,-52,-70,-69,-71,-58,-73,-66,-64,-82,-71,?,-76,-87,?,-79,?,-56,?,?,?,3
-38,-36,-60,-54,-71,-67,-72,-62,-73,-62,-59,-82,?,?,-76,?,?,-79,?,-57,?,?,?,3
-36,-33,-57,-60,-70,-67,-68,-65,-78,-58,-68,-84,-70,?,-75,?,?,-78,?,-67,?,?,?,3
-36,-34,-57,-61,-70,-66,-69,-62,-78,-59,-66,-84,-67,-86,-72,?,?,-75,?,-67,?,?,?,3
-36,-34,-58,-60,-70,-66,-78,-62,?,-59,-66,?,-68,-86,-72,?,?,-75,?,?,?,?,?,3
-38,-34,-61,-63,-72,-66,-71,-64,-68,-60,-66,?,-67,?,?,?,?,?,?,-69,?,?,?,3
-38,-32,-58,-63,-71,-70,-69,-48,-67,-61,-69,?,-67,?,?,?,?,?,?,-69,-91,?,?,3
-37,-35,-58,-60,-74,-65,-70,-63,-69,-61,-69,?,?,?,?,-92,?,-81,?,-69,-91,?,?,3
-37,-34,-59,-58,-72,-67,-69,-62,-65,-62,-65,-81,-67,?,?,-92,?,-81,?,-67,?,-91,?,3
-37,-34,-58,-63,-71,-66,-68,-62,-65,-62,-65,-81,-67,?,?,?,?,?,?,-66,?,-91,?,3
-37,-33,-60,-62,-71,-67,-69,-62,-69,-64,-64,?,-67,?,?,?,?,?,?,-68,?,?,?,3
-36,-34,-58,-60,-70,-67,-68,-63,-66,-63,-65,-79,-67,-87,?,?,-84,-77,-86,-67,?,?,?,3
-37,-34,-58,-63,-70,-67,-70,-63,-66,-65,-65,-79,?,-87,?,?,-84,-78,-86,-67,?,?,?,3
-37,-33,-60,-63,-70,-66,-67,-62,-64,-62,-64,-81,-66,?,-74,?,?,-78,-87,-62,?,?,?,3
-37,-33,-59,-60,-71,-67,-67,-61,-64,-61,-63,-81,-68,?,-74,?,?,?,-87,-65,?,?,?,3
-37,-33,-60,-63,-71,-67,-68,-62,-65,-63,-67,?,-65,?,?,?,?,?,?,-65,?,?,?,3
-37,-34,-59,-58,-69,?,-66,-62,-65,-64,-67,?,-66,?,-74,?,?,-85,?,?,?,?,?,3
-36,-34,-57,-58,-69,?,-67,-61,-65,-63,-68,?,-66,-85,-74,-87,?,-85,?,-69,?,?,?,3
-37,-34,-58,-64,-70,-67,-67,-61,-65,-62,-67,?,-66,-85,?,-87,?,?,?,-67,?,?,?,3
-36,-34,-58,-59,-71,-68,-70,-61,-65,-62,-67,-81,-67,?,?,?,?,?,?,-69,?,?,?,3
-36,-34,-58,-59,-69,-67,-68,-63,-65,-63,-66,-81,-67,-87,-75,?,?,?,?,-66,?,?,?,3
-36,-31,-58,-59,-72,-67,-68,-61,-65,-62,-67,?,-66,-87,-75,?,?,-78,?,-66,?,?,?,3
-37,-34,-58,-59,-71,-67,-71,-62,-65,-60,-67,-81,-67,-84,?,?,?,-76,?,-68,-87,?,?,3
-38,-35,-61,-81,-71,-67,-70,-63,-67,-63,-67,-81,-68,-84,?,?,?,-79,?,-69,-87,?,?,3
-39,-35,-60,-60,-70,-67,-71,-62,-67,-63,-68,?,-68,-83,-75,?,?,-79,?,-69,?,?,?,3
-38,-35,-63,-60,-71,?,-69,-62,-67,-63,-68,?,-68,-87,-74,-90,?,?,?,-69,?,?,?,3
-37,-32,-57,-60,-73,-67,-68,-58,-66,-60,-68,?,-68,-84,-74,-90,?,?,?,-65,?,?,?,3
-37,-35,-58,-64,-72,-67,-68,-59,-66,-62,?,?,?,-84,?,?,?,?,?,-66,?,?,?,3
-37,-34,-59,-67,-72,-67,-68,-57,-66,-62,?,?,-67,?,?,?,?,?,?,-69,?,?,?,3
-37,-34,-57,-62,-72,-67,-70,-50,-66,-62,-66,?,-67,?,-75,-90,?,?,-84,-69,?,?,?,3
-38,-34,-57,-64,-71,-68,-70,-62,-67,-64,-67,-85,-68,-89,-75,-88,?,?,-84,?,?,?,?,3
-37,-32,-58,-63,-71,-68,-70,-62,-65,-63,-68,-85,-68,-89,-74,-88,?,?,?,?,?,?,?,3
-36,-34,-57,-66,-69,?,-69,-62,-65,-61,-70,?,?,?,-74,?,?,-78,?,?,?,?,?,3
-36,-34,-58,-67,-70,?,-71,-62,-65,-62,-67,-81,-67,-85,-74,?,?,-78,?,-68,?,?,?,3
-36,-32,-60,-68,-70,-67,-72,-63,-66,-61,-67,-81,-67,-85,-74,-90,?,-78,?,-67,?,?,?,3
-36,-34,-60,-62,-71,-64,-71,-62,-66,-61,-68,?,-66,-85,-74,-86,?,-78,-85,-67,?,?,?,3
-36,-34,-57,-62,-71,-67,-70,-62,-65,-62,-67,?,-67,-85,?,-86,?,?,-85,-66,?,?,?,3
-36,-34,-58,-61,-70,-66,-70,-62,-65,-62,-67,?,-66,?,?,?,?,-79,?,-68,?,?,?,3
-36,-34,-59,-64,-69,-67,-72,-63,-66,-61,-68,?,-65,?,-72,?,?,-85,?,-68,?,?,?,3
-36,-34,-58,-63,-68,-67,-70,-61,-66,-63,-68,?,-66,?,-74,?,?,-85,?,-68,?,?,?,3
-36,-33,-56,-63,-70,-67,-71,-59,?,-59,-68,-80,-65,-86,-74,-90,?,?,?,-70,?,?,?,3
-36,-33,-58,-58,-70,-67,-69,-60,?,-58,-68,-80,-67,-86,-74,-90,?,-79,?,-66,?,?,?,3
-37,-34,-58,-57,-72,-67,-72,-59,-67,-61,-67,?,-67,?,-74,?,?,-79,?,-68,?,?,?,3
-37,-34,-57,-62,-69,-64,-67,-58,-66,-61,-67,?,-67,?,-74,?,?,?,?,-68,?,?,?,3
-38,-34,-58,-62,-68,-64,-66,-57,-67,-64,-67,?,?,-69,?,?,?,?,?,-66,?,?,?,3
-36,-33,-57,-63,-68,-67,-67,-57,-67,-65,-67,?,-69,-87,-74,?,?,?,?,-68,?,?,?,3
-37,-34,-57,-58,-68,-67,-68,-58,-67,-71,-68,?,-68,-87,-73,?,?,-80,?,-69,?,?,?,3
-37,-68,-58,-55,-68,?,-68,-58,-67,-64,-68,-75,-68,?,-73,?,?,-80,?,-69,?,?,?,3
-37,-34,-58,-58,-68,-66,-68,-59,-67,-63,-65,-75,?,?,?,?,?,?,?,-67,-88,?,?,3
-37,-34,-58,-84,-67,-66,-67,-58,-66,-63,-66,-79,-71,?,-73,?,?,-80,?,-67,-88,?,?,3
-37,-32,-57,-59,-68,?,-67,-48,-66,-65,-64,-79,-71,?,-73,?,?,-82,-88,-87,?,?,?,3
-37,-34,-55,-56,-70,-67,-67,-59,-65,-61,-65,?,-69,-83,?,?,?,-82,-88,-87,?,?,?,3
-36,-36,-58,-57,-66,-67,-65,-58,-64,-64,-63,?,-73,-80,?,?,?,?,?,-67,?,?,?,3
-41,-35,-58,-63,-66,-67,-65,-57,-64,-63,-66,?,-71,-80,?,?,?,?,?,-65,?,?,?,3
-70,-37,-61,-50,-69,-69,-71,-64,-77,-63,-60,-82,?,?,-71,?,?,?,?,-58,?,?,?,4
-40,-41,-60,-51,-70,-70,-71,-63,-72,-63,-60,-82,?,?,?,?,-88,?,?,-58,?,?,?,4
-44,-37,-62,-51,-69,-77,-74,-69,-72,-62,-60,?,?,?,?,?,-88,?,?,-56,?,?,?,4
-47,-40,-60,-50,-67,-70,-71,-69,-76,-62,-64,-79,?,?,?,?,?,?,?,-58,?,?,?,4
-47,-38,-60,-49,-68,-70,-73,-70,-76,-59,-64,-78,-76,?,?,?,?,?,?,-54,?,?,?,4
-44,-38,-57,-53,-68,-71,-72,-66,-80,-63,-64,-77,-76,?,?,?,?,?,?,-54,?,?,?,4
-46,-38,-59,-53,-67,-71,-73,-65,-77,-60,-65,-80,-76,?,-80,?,?,?,?,-57,?,?,?,4
-45,-37,-60,-53,-69,?,-71,-69,-75,-61,-62,-80,-79,-90,-80,?,?,?,?,-58,?,?,?,4
-46,-37,-58,-51,-70,-70,-72,-69,-66,-59,-63,?,-79,-90,?,?,?,?,?,-55,?,?,?,4
-45,-38,-59,-52,-69,-70,-72,-72,-74,-59,-63,?,?,?,?,?,?,?,?,-57,?,?,?,4
-47,-34,-60,-50,-70,?,-73,-68,-77,?,-64,-78,-76,?,-81,?,?,?,?,-58,?,?,?,4
-45,-37,-59,-51,-69,-70,-75,-69,-77,-60,-61,-78,-76,?,-81,?,?,?,?,-60,?,?,?,4
-45,-37,-58,-52,-69,-68,-74,-70,-76,-61,-64,?,-79,-82,?,?,?,?,?,-55,?,?,?,4
-44,-38,-58,-51,-70,-70,-74,-68,-75,-61,-62,-76,-79,-82,-81,-86,?,-77,?,-57,?,?,?,4
-44,-38,-57,-51,-70,-70,-74,-64,-75,-63,-66,-76,?,?,-81,-86,?,-77,?,-55,?,?,?,4
-44,-37,-58,-52,-69,?,-79,-67,?,-63,-64,?,?,?,?,?,?,-76,?,-60,?,?,?,4
-45,-37,-58,-52,-70,?,-79,-69,-77,-59,-63,?,?,-90,-79,?,?,-76,?,-58,?,?,?,4
-46,-37,-59,-51,-69,?,?,-69,-77,-63,-63,?,?,-90,-79,?,?,?,?,-57,?,?,?,4
-49,-39,-58,-63,-68,-71,-73,-66,?,-61,-63,-77,?,?,?,?,?,?,?,-55,?,?,?,4
-44,-39,-59,-52,-70,-75,-76,-66,?,-64,-63,-77,?,?,?,?,?,?,?,-55,?,?,?,4
-45,-40,-56,-52,-69,-70,-77,-66,-75,-64,-61,-77,?,?,?,?,?,?,?,-60,?,?,?,4
-46,-39,-57,-51,-68,-68,-73,-66,-74,-65,-61,-77,-74,?,?,?,?,?,?,-55,?,?,?,4
-46,-40,-58,-49,-69,-69,-73,-68,-73,-63,-63,-75,-74,?,-84,?,?,?,?,-57,?,?,?,4
-46,-40,-60,-51,-68,-69,-75,-66,-73,-65,-63,-76,-70,?,-84,?,?,?,?,-55,?,?,?,4
-46,-41,-58,-51,-70,-69,-72,-66,-79,-64,-62,-76,-72,?,-83,?,?,?,?,-56,?,?,?,4
-44,-41,-58,-50,-69,?,-73,-67,-83,-64,-63,-76,-72,?,-84,?,?,?,?,-54,?,?,?,4
-46,-40,-57,-49,-68,-66,-71,-67,-73,-63,-63,-76,-71,?,-84,?,-87,?,?,-58,?,?,?,4
-44,-39,-59,-49,-68,-70,-71,-66,-73,-63,-63,?,-71,?,?,?,-87,?,?,-55,?,?,?,4
-46,-40,-60,-49,-68,-70,-74,-67,-74,-63,-64,-77,-70,?,?,?,?,?,?,-57,?,?,?,4
-45,-39,-63,-50,-67,?,-72,-68,-74,-65,-64,-76,-70,?,?,?,?,?,?,-57,?,?,?,4
-43,-41,-60,-49,-66,?,-71,-64,-71,-63,-60,-76,?,?,?,?,?,?,?,-57,?,?,?,4
-46,-40,-56,-50,-68,-73,-72,-66,-71,-63,-64,?,?,?,?,?,?,?,?,-57,?,?,?,4
-47,-40,-58,-48,-69,-74,-72,-65,-72,-62,-61,?,-69,?,-79,?,?,?,?,-57,?,?,?,4
-43,-42,-60,-49,-66,-74,-73,-67,-74,-64,-63,-77,-69,?,-79,?,?,?,?,-56,?,?,?,4
-46,-38,-61,-50,-67,?,-72,-67,-74,-62,-62,-77,?,?,?,?,?,?,?,-57,?,?,?,4
-45,-40,-59,-50,-67,?,-72,?,?,-64,-62,-78,?,?,?,?,?,?,?,-55,?,?,?,4
-47,-40,-60,-50,-67,-69,-72,-64,-73,-64,-63,-78,?,?,-83,?,?,?,?,-57,?,?,?,4
-47,-40,-61,-50,-67,-69,?,-68,-73,-63,-63,-78,?,?,-81,?,?,?,?,-57,?,?,?,4
-46,-40,-62,-50,-67,-69,-70,-68,-75,-64,-64,?,-73,?,-79,?,?,?,?,-58,?,?,?,4
-80,-40,-63,-50,-66,-69,-71,-68,-76,-63,-63,-77,-73,?,-79,?,?,?,?,-54,?,?,?,4
-80,-39,-59,-49,-67,-69,-73,-67,-74,-64,-62,-77,?,?,-79,?,?,?,?,-61,?,?,?,4
-46,-39,-61,-50,-68,-69,-73,-68,-74,-63,-66,-77,-75,?,-79,?,?,?,?,-58,?,?,?,4
-47,-39,-63,-50,-67,?,-73,-69,-76,-62,-63,?,-75,?,-79,?,?,?,?,-55,?,?,?,4
-47,-39,-60,-50,-68,?,-74,-70,-75,-63,-63,-76,?,?,?,?,?,?,?,-57,?,?,?,4
-47,?,-58,-49,-67,-70,-75,-68,-77,-63,-64,-76,?,?,?,?,?,?,?,-58,?,?,?,4
-46,-40,-62,-49,-66,-70,-74,-67,-77,-64,-64,-76,?,?,-79,?,?,?,?,-55,?,?,?,4
-46,-41,-65,-50,-67,-70,-73,-68,-75,-63,-63,?,?,?,-79,?,?,?,?,-58,?,?,?,4
-47,-39,-63,-50,-67,-70,-70,-66,-74,-63,-62,?,?,?,?,?,?,?,?,-55,?,?,?,4
-43,-39,-63,-50,-68,?,-70,-71,-74,-63,-64,?,-72,?,-76,?,?,?,?,-55,?,?,?,4
-43,-40,-64,-49,-67,?,-71,-67,?,-64,-62,-76,-72,?,-77,?,?,?,?,-56,?,?,?,4
-48,-41,-62,-49,-68,?,-75,-67,?,-62,-63,-77,-71,?,-77,?,?,?,?,-56,?,?,?,4
-43,-40,-56,-52,-68,-69,-71,-67,?,-62,-63,-77,-75,?,?,?,?,?,?,-56,?,?,?,4
-46,-37,-63,-47,-68,-69,-67,-68,?,-60,-60,-76,-75,?,?,?,?,?,?,-57,?,?,?,4
-45,-39,-63,-48,-68,-69,-72,-70,-78,-64,-63,-76,?,-88,?,-85,?,?,?,-57,?,?,?,4
-47,-40,-61,-48,-68,-70,-74,-70,-76,-61,-64,?,-76,-88,-80,-85,-88,?,?,-58,?,?,?,4
-41,-39,-66,?,-67,-71,-76,-68,-76,-62,-64,?,-75,?,-80,?,-88,?,?,-55,?,?,?,4
-48,-36,-65,-50,-68,-71,-73,-70,-77,-60,-63,-78,-70,?,?,?,?,?,?,-56,?,?,?,4
-48,-39,-60,-51,-69,?,-77,-72,-79,-60,-63,-78,-70,?,?,?,?,?,?,-57,?,?,?,4
-46,-39,-61,-53,-67,?,-77,-66,-79,-59,-63,-76,?,?,?,?,?,?,?,-54,?,?,?,4
-48,-39,-62,-47,-69,?,-76,-68,?,-61,-62,-75,?,?,?,?,?,?,?,-57,?,?,?,4
-47,-39,-61,-48,-70,?,-77,-69,?,-59,-62,-75,-71,?,?,?,?,?,?,-55,?,?,?,4
-48,-40,-62,-48,-68,-69,-76,-69,?,-60,-63,-76,-72,?,?,?,?,?,?,-57,?,?,?,4
-48,-45,-65,-48,-69,-70,-75,-67,?,-60,-63,-77,-74,?,?,-84,?,?,?,-59,?,?,?,4
-47,-41,-62,-49,-68,-70,-75,-68,-79,-62,-62,-77,-74,-92,?,-88,?,-78,?,-56,?,?,?,4
-48,-41,-61,-49,-69,-72,-79,-66,-75,-60,-61,-77,-74,-92,?,-86,?,-78,?,-57,?,?,?,4
-49,-40,-62,-49,-69,-72,-76,-66,-75,-60,-64,?,-73,?,?,-86,?,?,?,-56,?,?,?,4
-47,-41,-60,-48,-68,-71,-77,-67,-76,?,-64,-78,-73,?,?,?,?,?,?,-56,?,?,?,4
-48,-40,-63,-48,-69,-71,-75,-67,-80,?,-63,-77,?,?,?,?,?,?,?,-57,?,?,?,4
-46,-40,-63,-48,-68,?,-75,-65,-78,?,-63,-78,?,?,?,?,?,?,?,-57,?,?,?,4
-43,-40,-61,-49,-66,?,-73,-64,-78,-61,-62,-77,-72,?,-78,?,?,?,?,-57,?,?,?,4
-48,-41,-62,-48,-67,?,-73,-65,?,-59,-61,-78,-72,?,-78,-88,?,-79,?,-56,?,?,?,4
-46,-39,-59,-47,-68,-71,-74,-64,-76,-60,-61,-78,-72,?,-78,-88,?,-79,?,-59,?,?,?,4
-47,-41,-60,-49,-67,-71,-75,-64,-76,-60,-64,?,?,?,-77,?,?,?,?,-57,?,?,?,4
-46,-39,-59,-49,-68,-81,-75,-65,?,-60,-64,?,?,?,-77,?,?,?,?,-57,?,?,?,4
-46,-40,-59,-55,-68,-81,-75,-62,?,-64,-64,?,?,?,?,?,?,-74,?,-55,?,?,?,4
-44,-40,-62,-52,-68,-75,-75,-67,?,-60,-64,-78,?,?,?,?,?,-74,?,-59,?,?,?,4
-46,-41,-63,-54,-68,-73,-78,-66,-77,-62,-64,-78,?,?,?,?,?,-76,?,-57,?,?,?,4
-49,-40,-63,-53,-68,-73,-78,-65,-77,-61,-63,?,-73,?,?,?,?,-77,?,-56,?,?,?,4
-48,-41,-62,-53,-68,-75,-77,-66,?,-62,-63,?,-73,?,?,-86,?,-77,?,-56,?,?,?,4
-49,-37,-61,-54,-68,-75,-74,-67,-76,-62,-63,-77,?,?,?,-86,?,-76,?,?,?,?,?,4
-44,-41,-59,-53,-70,-65,-68,-68,-65,-63,-50,-73,-67,?,-83,?,?,-80,?,-50,?,?,?,5
-44,-37,-55,-53,-70,?,-70,-66,-65,-57,-53,-72,-66,-91,-83,?,?,-80,?,-49,?,?,?,5
-38,-35,-55,-56,-71,?,-69,-65,-63,-61,-52,-72,-66,-91,-78,?,?,-79,-82,-54,?,?,?,5
-39,-38,-55,-54,-71,?,-69,-64,-63,-61,-52,-72,?,?,-78,?,?,-79,-82,-52,?,?,?,5
-35,-39,-56,-53,-70,?,-69,-62,-63,-59,-52,?,-68,?,?,?,?,?,?,-53,?,?,?,5
-37,-39,-55,-54,-71,?,-69,-63,-63,-60,-52,?,-67,?,?,?,?,?,?,-54,?,?,?,5
-38,-41,-56,-54,-71,?,-69,-62,-63,-60,-54,?,-67,?,?,?,?,?,?,-53,?,?,?,5
-37,-40,-56,-56,-71,-64,-70,-62,-63,-62,-54,?,-68,?,?,?,?,?,?,-54,?,?,?,5
-37,-39,-56,-54,-69,-64,-81,-64,-63,-59,-52,?,-68,?,?,?,?,?,?,-52,?,?,?,5
-37,-39,-57,-54,-69,-64,-81,-64,-63,-59,-54,?,?,?,?,?,?,?,?,-53,?,?,?,5
-38,-39,-59,-54,-70,-65,-74,-65,-63,-61,-52,?,-68,?,?,?,?,?,?,-53,?,?,?,5
-38,-39,-56,-52,-69,-65,-70,-65,-61,-59,-52,?,-68,?,?,?,-87,?,?,-52,?,?,?,5
-37,-39,-55,-54,-63,-71,-70,-63,-62,-59,-52,?,-67,?,-80,?,-87,?,?,-53,?,?,?,5
-39,-39,-55,-55,-70,-65,-71,-65,-63,-59,-51,?,-66,?,-80,?,?,?,?,-53,?,?,?,5
-37,-39,-55,-57,-70,-63,-70,-64,-62,-59,-53,?,-66,?,-80,?,?,?,?,-53,?,?,?,5
-36,-39,-54,-57,-70,-66,-70,-64,-63,?,-53,-72,?,?,-80,?,?,-81,?,-53,?,?,?,5
-37,-36,-56,-53,-69,-66,-70,-54,-63,-57,-53,-72,-67,?,-80,?,?,-81,?,-52,?,?,?,5
-37,-37,-55,-53,-69,?,-67,-64,-66,-59,-51,-72,-67,?,-80,?,?,?,?,-53,?,?,?,5
-43,-40,-58,-57,-70,?,-69,-65,-64,-59,-54,-72,?,?,?,?,?,?,?,-53,?,?,?,5
-43,-39,-48,-53,-69,?,-69,-63,-62,-59,-50,?,?,?,?,?,-89,?,?,-53,?,?,?,5
-36,-38,-55,-52,-69,-63,-68,-63,-65,-60,-50,-71,?,?,?,?,-89,?,?,-52,?,?,?,5
-38,-39,-55,-53,-71,-64,-70,-63,-61,-61,-53,-71,?,?,?,?,?,?,?,-53,?,?,?,5
-37,-39,-56,-55,-70,-65,-70,-64,-63,-59,-53,-72,?,?,-78,-88,?,?,?,-53,?,?,?,5
-37,-39,-56,-56,-71,-65,-71,-64,-62,-59,-54,-72,?,?,-78,-88,?,?,?,-53,?,?,?,5
-38,-39,-56,-55,-71,-65,-71,-63,-63,-59,-50,-74,?,?,?,?,?,?,-81,-54,?,?,?,5
-38,-39,-56,-55,-70,-65,-71,-64,-63,-60,-52,-74,?,?,?,?,?,-79,-84,-53,?,?,?,5
-36,-39,-54,-51,-68,?,-69,-63,-62,-58,-61,-71,-66,-87,?,?,?,-79,-83,-52,?,?,?,5
-37,-38,-55,-51,-69,-64,-69,-63,-61,-59,-50,-71,-66,-87,-67,?,?,-80,-83,-52,?,?,?,5
-39,-38,-58,-51,-69,-65,-69,-64,-63,-59,-46,-72,?,?,-67,?,?,-80,?,-53,?,?,?,5
